序号,基金代码,基金简称,日期,万份收益,年化收益率7日,年化收益率14日,年化收益率28日,近1月,近3月,近6月,近1年,近2年,近3年,近5年,今年来,成立来,手续费
39,210013,金鹰货币B,2026-04-23,0.5055,1.459,1.3738,1.3814,0.12,0.34,0.72,1.48,3.38,5.66,10.42,0.43,48.71,0.00%
40,202308,南方收益宝货币B,2026-04-23,0.3725,1.371,1.3713,1.3949,0.12,0.35,0.72,1.48,3.35,5.71,10.58,0.44,43.78,0.00%
41,018955,易方达天天发货币D,2026-04-23,0.364,1.34,1.3424,1.3651,0.12,0.35,0.71,1.48,3.36,,,0.44,5.08,0.00%
42,000605,银华多利宝货币B,2026-04-23,0.3428,1.352,1.3486,1.3644,0.12,0.35,0.71,1.47,3.27,5.58,10.12,0.44,38.89,0.00%
43,000874,华安现金宝货币B,2026-04-23,0.3641,1.364,1.369,1.3898,0.12,0.35,0.71,1.47,3.34,5.64,10.25,0.44,25.61,0.00%
44,000860,银华惠增利货币A,2026-04-23,0.356,1.349,1.3506,1.3747,0.12,0.35,0.71,1.47,3.31,5.67,10.35,0.44,34.37,0.00%
45,002680,工银安盈货币B,2026-04-23,0.3561,1.352,1.3521,1.3891,0.12,0.34,0.71,1.47,3.31,5.68,10.58,0.44,29.61,0.00%
46,003185,建信货币B,2026-04-23,0.3679,1.348,1.344,1.3644,0.12,0.35,0.7,1.47,3.35,5.66,10.6,0.44,27.41,0.00%
47,003281,广发活期宝货币B,2026-04-23,0.378,1.401,1.4069,1.4074,0.12,0.35,0.71,1.47,3.32,5.66,10.57,0.44,28.84,0.00%
48,003391,建信天添益货币A,2026-04-23,0.3613,1.347,1.3399,1.3557,0.11,0.34,0.7,1.47,3.33,5.65,10.49,0.43,27.22,0.00%
49,003393,建信天添益货币C,2026-04-23,0.3612,1.347,1.3399,1.3557,0.11,0.34,0.7,1.47,3.33,5.65,10.49,0.43,27.24,0.00%
50,003474,南方天天利货币B,2026-04-23,0.3717,1.375,1.3794,1.4037,0.12,0.35,0.71,1.47,3.34,5.7,10.67,0.44,28.75,0.00%
51,003969,交银天益宝货币E,2026-04-23,0.3549,1.346,1.3359,1.3756,0.12,0.35,0.72,1.47,3.27,5.6,10.52,0.44,26.85,0.00%
52,004262,招商招禧宝货币B,2026-04-23,0.3683,1.391,1.3936,1.3928,0.12,0.35,0.71,1.47,3.34,5.73,10.39,0.44,24.98,0.00%
53,004369,前海开源聚财宝B,2026-04-23,0.38,1.393,1.3466,1.4106,0.12,0.34,0.71,1.47,3.36,5.69,10.4,0.44,26.2,0.00%
54,004545,永赢天天利货币A,2026-04-23,0.3755,1.331,1.3293,1.3776,0.12,0.35,0.71,1.47,3.33,5.62,10.41,0.43,26.24,0.00%
