月份,全国-当月,全国-同比增长,全国-环比增长,全国-累计,城市-当月,城市-同比增长,城市-环比增长,城市-累计,农村-当月,农村-同比增长,农村-环比增长,农村-累计
2026年03月份,101.0,1.0,-0.7,100.9,101.1,1.1,-0.7,100.9,100.9,0.9,-0.5,100.7
2026年02月份,101.3,1.3,1.0,100.8,101.4,1.4,1.0,100.8,100.9,0.9,0.7,100.5
2026年01月份,100.2,0.2,0.2,100.2,100.2,0.2,0.2,100.2,100.1,0.1,0.2,100.1
2025年12月份,100.8,0.8,0.2,100.0,100.9,0.9,0.2,100.1,100.6,0.6,0.2,99.8
2025年11月份,100.7,0.7,-0.1,100.0,100.7,0.7,-0.1,100.0,100.4,0.4,0.0,99.7
2025年10月份,100.2,0.2,0.2,99.9,100.3,0.3,0.2,100.0,99.8,-0.2,0.1,99.7
2025年09月份,99.7,-0.3,0.1,99.9,99.8,-0.2,0.0,99.9,99.5,-0.5,0.2,99.7
2025年08月份,99.6,-0.4,0.0,99.9,99.7,-0.3,0.0,100.0,99.4,-0.6,0.1,99.7
2025年07月份,100.0,0.0,0.4,99.9,100.0,0.0,0.4,100.0,99.7,-0.3,0.3,99.7
2025年06月份,100.1,0.1,-0.1,99.9,100.1,0.1,-0.1,100.0,99.8,-0.2,0.0,99.7
2025年05月份,99.9,-0.1,-0.2,99.9,100.0,0.0,-0.2,100.0,99.6,-0.4,-0.2,99.7
2025年04月份,99.9,-0.1,0.1,99.9,100.0,0.0,0.2,100.0,99.7,-0.3,0.0,99.7
2025年03月份,99.9,-0.1,-0.4,99.9,99.9,-0.1,-0.4,99.9,99.7,-0.3,-0.3,99.8
2025年02月份,99.3,-0.7,-0.2,99.9,99.3,-0.7,-0.2,99.9,99.3,-0.7,-0.1,99.8
2025年01月份,100.5,0.5,0.7,100.5,100.6,0.6,0.8,100.6,100.3,0.3,0.5,100.3
2024年12月份,100.1,0.1,0.0,100.2,100.1,0.1,0.0,100.2,100.0,0.0,-0.1,100.3
2024年11月份,100.2,0.2,-0.6,100.3,100.1,0.1,-0.6,100.2,100.2,0.2,-0.6,100.3
2024年10月份,100.3,0.3,-0.3,100.3,100.2,0.2,-0.3,100.2,100.3,0.3,-0.3,100.3
