日期,收盘价,总市值,GDP,近十年分位数,总历史分位数
2005-06-27,916.04,34309.1,161840.16,0.38462,0.38462
2005-06-28,903.72,35048.82,161840.16,0.60377,0.60377
2005-06-29,898.9,34498.14,161840.16,0.44444,0.44444
2005-06-30,878.69,34322.78,161840.16,0.38182,0.38182
2005-07-01,859.49,33490.29,161840.16,0.21429,0.21429
2005-07-04,855.93,32617.48,161840.16,0.10526,0.10526
2005-07-05,849.68,32364.45,161840.16,0.05172,0.05172
2005-07-06,842.56,32100.25,161840.16,0.05085,0.05085
2005-07-07,844.73,31930.33,161840.16,0.05,0.05
2005-07-08,829.49,32082.82,161840.16,0.06557,0.06557
2005-07-11,824.1,31381.33,161840.16,0.01613,0.01613
2005-07-12,851.82,31145.23,161840.16,0.01587,0.01587
2005-07-13,846.23,32189.28,161840.16,0.125,0.125
2005-07-14,849.59,31928.08,161840.16,0.07692,0.07692
2005-07-15,841.0,32002.1,161840.16,0.10606,0.10606
2005-07-18,833.0,31553.21,161840.16,0.04478,0.04478
2005-07-19,835.61,31106.91,161840.16,0.01471,0.01471
2005-07-20,842.64,31195.22,161840.16,0.04348,0.04348
2005-07-21,843.99,31421.67,161840.16,0.07143,0.07143
2005-07-22,859.69,31403.86,161840.16,0.07042,0.07042
2005-07-25,856.86,32168.57,161840.16,0.20833,0.20833
2005-07-26,876.48,32102.96,161840.16,0.20548,0.20548
2005-07-27,894.01,32924.07,161840.16,0.31081,0.31081
2005-07-28,890.88,33509.97,161840.16,0.41333,0.41333
2005-07-29,888.16,33434.54,161840.16,0.36842,0.36842
2005-08-01,891.61,33292.06,161840.16,0.36364,0.36364
2005-08-02,903.6,33470.3,161840.16,0.39744,0.39744
2005-08-03,909.57,33965.94,161840.16,0.49367,0.49367
2005-08-04,904.15,34147.19,161840.16,0.5125,0.5125
2005-08-05,923.8,33970.5,161840.16,0.49383,0.49383
2005-08-08,927.47,34768.25,161840.16,0.71951,0.71951
2005-08-09,933.09,35093.35,161840.16,0.74699,0.74699
2005-08-10,940.37,35505.66,161840.16,0.79762,0.79762
2005-08-11,953.99,35884.71,161840.16,0.8,0.8
2005-08-12,938.32,36498.15,161840.16,0.83721,0.83721
2005-08-15,954.5,35997.68,161840.16,0.7931,0.7931
2005-08-16,945.06,36552.58,161840.16,0.84091,0.84091
2005-08-17,953.01,36258.53,161840.16,0.79775,0.79775
2005-08-18,920.67,36693.92,161840.16,0.86667,0.86667
2005-08-19,923.04,35264.14,161840.16,0.7033,0.7033
2005-08-22,931.67,35295.24,161840.16,0.70652,0.70652
2005-08-23,923.41,35559.76,161840.16,0.75269,0.75269
2005-08-24,930.65,35237.66,161840.16,0.68085,0.68085
2005-08-25,930.12,35735.26,161840.16,0.75789,0.75789
2005-08-26,928.26,35926.69,161840.16,0.77083,0.77083
2005-08-29,917.37,35932.53,161840.16,0.7732,0.7732
2005-08-30,914.88,35423.46,161840.16,0.69388,0.69388
2005-08-31,927.92,35158.68,161840.16,0.64646,0.64646
2005-09-01,944.56,35677.21,161840.16,0.74,0.74
