序号,合约编码,合约代码,合约简称,标的证券简称(代码),合约类型,行权价,合约单位,最后交易日,行权日,到期日,交收日,新挂,涨停价格,跌停价格,前结算价,合约调整,停牌,合约总持仓,挂牌原因,原合约代码,原合约简称,原行权价格,原合约单位,合约到期剩余交易天数,合约到期剩余自然天数,下次合约调整剩余交易天数,下次合约调整剩余自然天数,交易日期
42,90006482,159919C2606M004900A,沪深300ETF购6月4826A,沪深300ETF嘉实(159919),认购,4.826,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.7257,0.0001,0.2252,否,否,1305.0,非新挂牌,159919C2606M004900A,沪深300ETF购6月4826A,4.826,10153,40,62,0,0,2026-04-24
43,90006483,159919C2606M005000A,沪深300ETF购6月4925A,沪深300ETF嘉实(159919),认购,4.925,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.6614,0.0001,0.1609,否,否,804.0,非新挂牌,159919C2606M005000A,沪深300ETF购6月4925A,4.925,10153,40,62,0,0,2026-04-24
44,90006484,159919C2606M005250A,沪深300ETF购6月5171A,沪深300ETF嘉实(159919),认购,5.171,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.5435,0.0001,0.0596,否,否,1868.0,非新挂牌,159919C2606M005250A,沪深300ETF购6月5171A,5.171,10153,40,62,0,0,2026-04-24
45,90006485,159919C2606M005500A,沪深300ETF购6月5417A,沪深300ETF嘉实(159919),认购,5.417,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4817,0.0001,0.0224,否,否,1638.0,非新挂牌,159919C2606M005500A,沪深300ETF购6月5417A,5.417,10153,40,62,0,0,2026-04-24
46,90006486,159919P2606M004400A,沪深300ETF沽6月4334A,沪深300ETF嘉实(159919),认沽,4.334,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.3785,0.0001,0.0122,否,否,1372.0,非新挂牌,159919P2606M004400A,沪深300ETF沽6月4334A,4.334,10153,40,62,0,0,2026-04-24
47,90006487,159919P2606M004500A,沪深300ETF沽6月4432A,沪深300ETF嘉实(159919),认沽,4.432,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4034,0.0001,0.0175,否,否,782.0,非新挂牌,159919P2606M004500A,沪深300ETF沽6月4432A,4.432,10153,40,62,0,0,2026-04-24
48,90006488,159919P2606M004600A,沪深300ETF沽6月4531A,沪深300ETF嘉实(159919),认沽,4.531,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4307,0.0001,0.025,否,否,434.0,非新挂牌,159919P2606M004600A,沪深300ETF沽6月4531A,4.531,10153,40,62,0,0,2026-04-24
49,90006489,159919P2606M004700A,沪深300ETF沽6月4629A,沪深300ETF嘉实(159919),认沽,4.629,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4617,0.0001,0.0364,否,否,512.0,非新挂牌,159919P2606M004700A,沪深300ETF沽6月4629A,4.629,10153,40,62,0,0,2026-04-24
50,90006490,159919P2606M004800A,沪深300ETF沽6月4728A,沪深300ETF嘉实(159919),认沽,4.728,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4981,0.0001,0.053,否,否,716.0,非新挂牌,159919P2606M004800A,沪深300ETF沽6月4728A,4.728,10153,40,62,0,0,2026-04-24
51,90006491,159919P2606M004900A,沪深300ETF沽6月4826A,沪深300ETF嘉实(159919),认沽,4.826,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.5422,0.0001,0.0775,否,否,740.0,非新挂牌,159919P2606M004900A,沪深300ETF沽6月4826A,4.826,10153,40,62,0,0,2026-04-24
52,90006492,159919P2606M005000A,沪深300ETF沽6月4925A,沪深300ETF嘉实(159919),认沽,4.925,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.5966,0.0001,0.1121,否,否,1293.0,非新挂牌,159919P2606M005000A,沪深300ETF沽6月4925A,4.925,10153,40,62,0,0,2026-04-24
53,90006493,159919P2606M005250A,沪深300ETF沽6月5171A,沪深300ETF嘉实(159919),认沽,5.171,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.7567,0.0001,0.2562,否,否,605.0,非新挂牌,159919P2606M005250A,沪深300ETF沽6月5171A,5.171,10153,40,62,0,0,2026-04-24
54,90006494,159919P2606M005500A,沪深300ETF沽6月5417A,沪深300ETF嘉实(159919),认沽,5.417,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.9642,0.0001,0.4637,否,否,452.0,非新挂牌,159919P2606M005500A,沪深300ETF沽6月5417A,5.417,10153,40,62,0,0,2026-04-24
55,90006495,159922C2606M002700A,中证500ETF购6月2665A,中证500ETF嘉实(159922),认购,2.665,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.0104,0.3444,0.6774,否,否,443.0,非新挂牌,159922C2606M002700A,中证500ETF购6月2665A,2.665,10132,40,62,0,0,2026-04-24
56,90006496,159922C2606M002750A,中证500ETF购6月2714A,中证500ETF嘉实(159922),认购,2.714,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.9616,0.2956,0.6286,否,否,387.0,非新挂牌,159922C2606M002750A,中证500ETF购6月2714A,2.714,10132,40,62,0,0,2026-04-24
57,90006497,159922C2606M002800A,中证500ETF购6月2763A,中证500ETF嘉实(159922),认购,2.763,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.9128,0.2468,0.5798,否,否,356.0,非新挂牌,159922C2606M002800A,中证500ETF购6月2763A,2.763,10132,40,62,0,0,2026-04-24
