序号,合约编码,合约代码,合约简称,标的证券简称(代码),合约类型,行权价,合约单位,最后交易日,行权日,到期日,交收日,新挂,涨停价格,跌停价格,前结算价,合约调整,停牌,合约总持仓,挂牌原因,原合约代码,原合约简称,原行权价格,原合约单位,合约到期剩余交易天数,合约到期剩余自然天数,下次合约调整剩余交易天数,下次合约调整剩余自然天数,交易日期
1,90006441,159901C2606M003100A,深证100ETF购6月3025A,深证100ETF易方达(159901),认购,3.025,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.2065,0.4397,0.8231,否,否,21.0,非新挂牌,159901C2606M003100A,深证100ETF购6月3025A,3.025,10248,40,62,0,0,2026-04-24
2,90006442,159901C2606M003200A,深证100ETF购6月3123A,深证100ETF易方达(159901),认购,3.123,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.1089,0.3421,0.7255,否,否,14.0,非新挂牌,159901C2606M003200A,深证100ETF购6月3123A,3.123,10248,40,62,0,0,2026-04-24
3,90006443,159901C2606M003300A,深证100ETF购6月3220A,深证100ETF易方达(159901),认购,3.22,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.0124,0.2456,0.629,否,否,189.0,非新挂牌,159901C2606M003300A,深证100ETF购6月3220A,3.22,10248,40,62,0,0,2026-04-24
4,90006444,159901C2606M003400A,深证100ETF购6月3318A,深证100ETF易方达(159901),认购,3.318,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.9148,0.148,0.5314,否,否,94.0,非新挂牌,159901C2606M003400A,深证100ETF购6月3318A,3.318,10248,40,62,0,0,2026-04-24
5,90006445,159901C2606M003500A,深证100ETF购6月3415A,深证100ETF易方达(159901),认购,3.415,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.8183,0.0515,0.4349,否,否,239.0,非新挂牌,159901C2606M003500A,深证100ETF购6月3415A,3.415,10248,40,62,0,0,2026-04-24
6,90006446,159901C2606M003600A,深证100ETF购6月3513A,深证100ETF易方达(159901),认购,3.513,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.722,0.0001,0.3386,否,否,218.0,非新挂牌,159901C2606M003600A,深证100ETF购6月3513A,3.513,10248,40,62,0,0,2026-04-24
7,90006447,159901C2606M003700A,深证100ETF购6月3610A,深证100ETF易方达(159901),认购,3.61,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.6452,0.0001,0.2618,否,否,565.0,非新挂牌,159901C2606M003700A,深证100ETF购6月3610A,3.61,10248,40,62,0,0,2026-04-24
8,90006448,159901C2606M003800A,深证100ETF购6月3708A,深证100ETF易方达(159901),认购,3.708,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.5773,0.0001,0.1939,否,否,149.0,非新挂牌,159901C2606M003800A,深证100ETF购6月3708A,3.708,10248,40,62,0,0,2026-04-24
9,90006449,159901C2606M003900A,深证100ETF购6月3806A,深证100ETF易方达(159901),认购,3.806,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.5203,0.0001,0.1369,否,否,309.0,非新挂牌,159901C2606M003900A,深证100ETF购6月3806A,3.806,10248,40,62,0,0,2026-04-24
10,90006450,159901P2606M003100A,深证100ETF沽6月3025A,深证100ETF易方达(159901),认沽,3.025,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.2281,0.0001,0.0065,否,否,498.0,非新挂牌,159901P2606M003100A,深证100ETF沽6月3025A,3.025,10248,40,62,0,0,2026-04-24
11,90006451,159901P2606M003200A,深证100ETF沽6月3123A,深证100ETF易方达(159901),认沽,3.123,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.2502,0.0001,0.009,否,否,133.0,非新挂牌,159901P2606M003200A,深证100ETF沽6月3123A,3.123,10248,40,62,0,0,2026-04-24
12,90006452,159901P2606M003300A,深证100ETF沽6月3220A,深证100ETF易方达(159901),认沽,3.22,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.2736,0.0001,0.013,否,否,195.0,非新挂牌,159901P2606M003300A,深证100ETF沽6月3220A,3.22,10248,40,62,0,0,2026-04-24
13,90006453,159901P2606M003400A,深证100ETF沽6月3318A,深证100ETF易方达(159901),认沽,3.318,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.2993,0.0001,0.0191,否,否,147.0,非新挂牌,159901P2606M003400A,深证100ETF沽6月3318A,3.318,10248,40,62,0,0,2026-04-24
14,90006454,159901P2606M003500A,深证100ETF沽6月3415A,深证100ETF易方达(159901),认沽,3.415,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.3276,0.0001,0.028,否,否,91.0,非新挂牌,159901P2606M003500A,深证100ETF沽6月3415A,3.415,10248,40,62,0,0,2026-04-24
15,90006455,159901P2606M003600A,深证100ETF沽6月3513A,深证100ETF易方达(159901),认沽,3.513,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.3611,0.0001,0.0419,否,否,168.0,非新挂牌,159901P2606M003600A,深证100ETF沽6月3513A,3.513,10248,40,62,0,0,2026-04-24
16,90006456,159901P2606M003700A,深证100ETF沽6月3610A,深证100ETF易方达(159901),认沽,3.61,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4013,0.0001,0.0627,否,否,553.0,非新挂牌,159901P2606M003700A,深证100ETF沽6月3610A,3.61,10248,40,62,0,0,2026-04-24
17,90006457,159901P2606M003800A,深证100ETF沽6月3708A,深证100ETF易方达(159901),认沽,3.708,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.45,0.0001,0.0918,否,否,40.0,非新挂牌,159901P2606M003800A,深证100ETF沽6月3708A,3.708,10248,40,62,0,0,2026-04-24
18,90006458,159901P2606M003900A,深证100ETF沽6月3806A,深证100ETF易方达(159901),认沽,3.806,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.5119,0.0001,0.1341,否,否,34.0,非新挂牌,159901P2606M003900A,深证100ETF沽6月3806A,3.806,10248,40,62,0,0,2026-04-24
19,90006459,159915C2606M002800,创业板ETF购6月2800,创业板ETF易方达(159915),认购,2.8,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.6866,0.1954,0.941,否,否,466.0,非新挂牌,159915C2606M002800,创业板ETF购6月2800,2.8,10000,40,62,0,0,2026-04-24
20,90006460,159915C2606M002850,创业板ETF购6月2850,创业板ETF易方达(159915),认购,2.85,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.6369,0.1457,0.8913,否,否,313.0,非新挂牌,159915C2606M002850,创业板ETF购6月2850,2.85,10000,40,62,0,0,2026-04-24
21,90006461,159915C2606M002900,创业板ETF购6月2900,创业板ETF易方达(159915),认购,2.9,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.5872,0.096,0.8416,否,否,539.0,非新挂牌,159915C2606M002900,创业板ETF购6月2900,2.9,10000,40,62,0,0,2026-04-24
22,90006462,159915C2606M002950,创业板ETF购6月2950,创业板ETF易方达(159915),认购,2.95,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.5376,0.0464,0.792,否,否,414.0,非新挂牌,159915C2606M002950,创业板ETF购6月2950,2.95,10000,40,62,0,0,2026-04-24
