债券代码,债券简称,公告日期,发行起始日,发行终止日,计划发行总量,实际发行总量,发行面值,发行价格,发行方式,发行对象,发行范围,承销方式,募资用途说明,初始转股价格,转股开始日期,转股终止日期,网上申购日期,网上申购代码,网上申购简称,网上申购数量上限,网上申购数量下限,网上申购单位,网上申购中签结果公告日及退款日,优先申购日,配售价格,债权登记日,优先申购缴款日,转股代码,交易市场,债券名称
123269,金杨转债,2026-04-16,2026-04-20,2026-04-20,98000.0,98000.0,100,100.0,"网上网下优先配售,交易所系统网上向社会公众投资者发行",（1）向原股东优先配售：本次可转债发行公告公布的股权登记日（2026年4月17日，T-1日）收市后中国结算深圳分公司登记在册的发行人所有股东。（2）网上发行：持有中国证券登记结算有限责任公司深圳分公司证券账户的自然人、法人、证券投资基金、符合法律规定的其他投资者等（国家法律、法规禁止者除外）。其中自然人需根据《关于完善可转换公司债券投资者适当性管理相关事项的通知（2025年修订）》（深证上〔2025〕223号）等规定已开通向不特定对象发行的可转债交易权限。（3）本次发行的主承销商的自营账户不得参与本次申购。,深交所综合协议交易平台,余额包销,"金杨精密锂电池精密结构件项目,用于补充流动资金",39.8,2026-10-26,2026-04-17,2026-04-20,371210,金杨发债,100.0,0.1,0.1,2026-04-22,2026-04-20,100.0,2032-04-19,2026-04-20,301210,深交所,2026年无锡金杨精密制造股份有限公司向不特定对象发行可转换公司债券
123268,本川转债,2026-04-15,2026-04-17,2026-04-17,46900.0,46900.0,100,100.0,"网上优先配售,交易所系统网上向社会公众投资者发行",（1）向发行人原股东优先配售：在股权登记日（即2026年4月16日，T-1日）收市后中国结算深圳分公司登记在册的发行人所有股东。（2）网上发行：持有深交所证券账户的社会公众投资者，包括：自然人、法人、证券投资基金、符合法律规定的其他投资者（国家法律、法规禁止者除外），其中自然人需根据《关于完善可转换公司债券投资者适当性管理相关事项的通知（2025年修订）》（深证上〔2025〕223号）等规定已开通向不特定对象发行的可转债交易权限。（3）本次发行的保荐人（主承销商）的自营账户不得参与网上申购。,深交所综合协议交易平台,余额包销,"珠海硕鸿年产30万平米智能电路产品生产建设项目、本川智能泰国印制电路板生产基地建设项目,补充流动资金",75.88,2026-10-23,2026-04-16,2026-04-17,370964,本川发债,100.0,0.1,0.1,2026-04-21,2026-04-17,100.0,2032-04-16,2026-04-17,300964,深交所,2026年江苏本川智能电路科技股份有限公司向不特定对象发行可转换公司债券
