序号,分析师名称,分析师单位,年度指数,2026年收益率,3个月收益率,6个月收益率,12个月收益率,成分股个数,2026最新个股评级-股票名称,2026最新个股评级-股票代码,分析师ID,行业代码,行业,更新日期,年度
51,何鹏程,华鑫证券,1369.24,30.21,14.42,42.51,36.92,6,芯碁微装,688630,11000449870,,,2026-04-23,2026
52,陶波,中银证券,2354.91,29.94,18.1,39.64,102.52,4,安泰科技,000969,11000331131,630000,电力设备,2026-04-23,2026
53,许文荣,中信证券,1236.23,29.4,30.31,23.62,23.62,2,阳光电源,300274,11000521431,,,2026-04-23,2026
54,吴文吉,中邮证券,1708.1,29.22,7.14,41.56,110.23,88,联芸科技,688449,11000392732,270000,电子,2026-04-23,2026
55,陈子坤,广发证券,8265.47,28.49,0.19,30.28,97.96,0,南网科技,688248,11000196752,630000,电力设备,2026-04-23,2026
56,吕卓阳,华鑫证券,2466.59,28.4,24.77,46.88,105.91,2,德科立,688205,11000330031,640000,机械设备,2026-04-23,2026
57,罗江南,中国银河,2210.78,28.12,23.9,33.06,49.71,1,申通快递,002468,11000234321,420000,交通运输,2026-04-23,2026
58,刘牧野,中航证券,5101.98,28.05,5.97,60.68,132.59,0,普冉股份,688766,11000398333,270000,电子,2026-04-23,2026
59,王畅舟,中金公司,1450.87,27.82,3.2,35.7,40.31,1,厦门钨业,600549,11000422838,240000,有色金属,2026-04-23,2026
60,安子超,方正证券,1277.39,27.74,27.74,27.74,27.74,1,新易盛,300502,11000414941,,,2026-04-23,2026
61,陈蓉芳,开源证券,3179.83,27.64,9.75,34.19,104.39,27,水晶光电,002273,11000366131,270000,电子,2026-04-23,2026
62,庞倩倩,信达证券,1074.82,27.61,-2.38,32.12,37.6,0,科大讯飞,002230,11000259331,710000,计算机,2026-04-23,2026
63,陈俊云,中信证券,2359.45,27.54,10.79,18.75,43.61,1,数据港,603881,11000258351,,,2026-04-23,2026
64,王宁,国海证券,1257.54,27.08,10.86,41.98,57.3,6,华测检测,300012,11000238833,640000,机械设备,2026-04-23,2026
65,刘嘉忱,中金公司,1352.25,27.03,18.35,34.54,82.8,3,三棵树,603737,11000379431,610000,建筑材料,2026-04-23,2026
66,王芳,中泰证券,2306.99,27.03,7.28,33.14,99.48,52,水晶光电,002273,11000253533,270000,电子,2026-04-23,2026
67,刘晓旭,国联民生,1353.92,26.93,-3.87,32.98,66.05,1,奥特维,688516,11000399545,640000,机械设备,2026-04-23,2026
68,郑欣怡,中金公司,2179.91,26.9,26.57,37.62,72.62,2,锐捷网络,301165,11000413337,730000,通信,2026-04-23,2026
69,Lily Yang,招银国际,1903.4,26.81,27.73,49.01,175.84,2,中际旭创,300308,11000355141,270000,电子,2026-04-23,2026
70,笪文钊,西南证券,1680.47,26.61,18.57,60.32,76.96,7,金晶科技,600586,11000472536,610000,建筑材料,2026-04-23,2026
71,肖勇,长江证券,1139.51,26.56,21.3,18.01,40.78,7,电投能源,002128,11000230620,740000,煤炭,2026-04-23,2026
72,陈昕,广发证券,1263.73,26.37,26.37,26.37,26.37,10,海伦哲,300201,11000413636,,,2026-04-23,2026
73,孙远峰,太平洋,2351.39,26.2,26.2,26.2,31.81,1,华勤技术,603296,11000197641,270000,电子,2026-04-23,2026
74,王珂,申万宏源,5000.14,26.08,4.68,35.34,94.18,30,大族激光,002008,11000258733,640000,机械设备,2026-04-23,2026
75,马天翼,方正证券,1533.46,26.02,10.07,33.74,86.92,28,春秋电子,603890,11000281337,270000,电子,2026-04-23,2026
76,耿鹏智,广发证券,1616.35,26.02,4.3,43.25,60.33,19,利柏特,605167,11000405834,620000,建筑装饰,2026-04-23,2026
77,张帆远,麦高证券,1207.13,25.95,0.81,22.73,20.71,1,金盘科技,688676,11000472448,,,2026-04-23,2026
78,佘凌星,国盛证券有限责任公司,1596.69,25.9,31.22,25.9,25.9,18,罗曼股份,605289,11000280239,,,2026-04-23,2026
79,邱净博,广发证券,1464.51,25.72,18.82,46.45,46.45,1,长盈通,688143,11000325033,,,2026-04-23,2026
80,代川,广发证券,3055.27,25.56,5.84,42.54,73.65,8,弘亚数控,002833,11000258633,640000,机械设备,2026-04-23,2026
81,李哲,国联民生,2915.04,25.52,9.84,28.43,66.67,12,恒立液压,601100,11000268033,640000,机械设备,2026-04-23,2026
82,于海宁,长江证券,4225.41,25.48,16.15,36.11,97.22,27,润泽科技,300442,11000186920,730000,通信,2026-04-23,2026
83,贺朝晖,华金证券,2808.06,25.41,8.53,27.81,69.86,18,阳光电源,300274,11000271839,630000,电力设备,2026-04-23,2026
84,王雨然,财通证券,1735.74,25.18,8.75,34.19,58.35,6,路维光电,688401,11000488131,,,2026-04-23,2026
85,任春阳,华鑫证券,1486.96,24.98,11.68,30.12,76.48,13,光大同创,301387,11000253334,710000,计算机,2026-04-23,2026
86,彭棋,华龙证券,2753.25,24.68,25.83,35.7,149.81,1,中际旭创,300308,11000378545,610000,建筑材料,2026-04-23,2026
87,殷中枢,光大证券,1348.81,24.65,7.77,26.69,62.47,39,宁德时代,300750,11000269133,630000,电力设备,2026-04-23,2026
88,杨丰源,中邮证券,1687.02,24.51,2.09,37.89,68.7,0,紫金矿业,601899,11000454133,,,2026-04-23,2026
89,赵宇阳,东北证券,2149.35,24.42,9.16,28.18,51.97,23,优刻得,688158,11000424531,710000,计算机,2026-04-23,2026
90,孙思源,中国银河,2645.23,24.11,8.6,41.34,87.36,0,芭田股份,002170,11000371037,220000,基础化工,2026-04-23,2026
91,陈鼎如,中泰证券,2906.63,23.98,13.24,59.64,84.32,4,鸿远电子,603267,11000250534,650000,国防军工,2026-04-23,2026
92,李超,中信证券,3276.64,23.96,5.18,40.5,78.88,37,中船特气,688146,11000321036,270000,电子,2026-04-23,2026
93,贾亚萌,中国银河,1505.67,23.78,8.88,34.18,47.58,6,伟星新材,002372,11000370149,610000,建筑材料,2026-04-23,2026
94,李泽,华源证券,1234.3,23.43,23.43,23.43,23.43,2,飞龙股份,002536,11000336833,,,2026-04-23,2026
95,Kevin Zhang,招银国际,1229.85,22.99,22.99,22.99,22.99,4,北方华创,002371,11000434040,,,2026-04-23,2026
96,高峰,中国银河,2702.32,22.76,6.07,29.46,109.41,16,水晶光电,002273,11000173451,270000,电子,2026-04-23,2026
97,吴威辰,中信证券,2272.91,22.73,15.08,21.44,81.27,21,精达股份,600577,11000369887,630000,电力设备,2026-04-23,2026
98,丁士涛,国联民生,3534.57,22.61,1.0,42.75,128.01,1,盐湖股份,000792,11000178766,240000,有色金属,2026-04-23,2026
99,莫文娟,东兴证券,1357.59,22.57,19.37,21.44,35.17,2,中国海油,600938,11000440441,750000,石油石化,2026-04-23,2026
100,赵宇鹏,中泰证券,1224.67,22.47,-15.16,22.47,22.47,1,钧达股份,002865,11000346036,,,2026-04-23,2026
