日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-04-17,11.09,11.01,11.11,10.99,722530,797678405.53,1.08,-0.72,-0.08,0.37
2026-04-20,11.01,11.03,11.07,10.96,445303,491210876.46,1.0,0.18,0.02,0.23
