板块名称,涨跌幅,主力净流入,板块异动总次数,板块异动最频繁个股及所属类型-股票代码,板块异动最频繁个股及所属类型-股票名称,板块异动最频繁个股及所属类型-买卖方向,板块具体异动类型列表及出现次数
QFII重仓,-0.07,-938846.7968,1817,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 376}, {'t': 8194, 'ct': 221}, {'t': 8201, 'ct': 189}, {'t': 64, 'ct': 136}, {'t': 8202, 'ct': 116}, {'t': 8218, 'ct': 109}, {'t': 8203, 'ct': 105}, {'t': 128, 'ct': 104}, {'t': 8204, 'ct': 60}, {'t': 8221, 'ct': 41}, {'t': 8219, 'ct': 38}, {'t': 8214, 'ct': 33}, {'t': 4, 'ct': 32}, {'t': 8213, 'ct': 31}, {'t': 8212, 'ct': 27}, {'t': 8215, 'ct': 25}, {'t': 16, 'ct': 22}, {'t': 8220, 'ct': 22}, {'t': 8, 'ct': 21}, {'t': 8216, 'ct': 19}, {'t': 32, 'ct': 18}, {'t': 8217, 'ct': 17}, {'t': 8222, 'ct': 16}, {'t': 8208, 'ct': 13}, {'t': 8211, 'ct': 9}, {'t': 8209, 'ct': 6}, {'t': 8210, 'ct': 6}, {'t': 8207, 'ct': 5}]"
2025年报预增,-0.57,-1813455.6672,1810,002259,升达林业,大笔买入,"[{'t': 64, 'ct': 242}, {'t': 128, 'ct': 217}, {'t': 8201, 'ct': 188}, {'t': 8193, 'ct': 171}, {'t': 8202, 'ct': 121}, {'t': 8218, 'ct': 117}, {'t': 8203, 'ct': 98}, {'t': 8194, 'ct': 94}, {'t': 8219, 'ct': 81}, {'t': 8204, 'ct': 76}, {'t': 4, 'ct': 48}, {'t': 8214, 'ct': 39}, {'t': 16, 'ct': 38}, {'t': 8216, 'ct': 30}, {'t': 8, 'ct': 27}, {'t': 8212, 'ct': 27}, {'t': 8221, 'ct': 27}, {'t': 32, 'ct': 26}, {'t': 8213, 'ct': 26}, {'t': 8220, 'ct': 26}, {'t': 8215, 'ct': 21}, {'t': 8208, 'ct': 19}, {'t': 8222, 'ct': 18}, {'t': 8217, 'ct': 12}, {'t': 8210, 'ct': 10}, {'t': 8211, 'ct': 6}, {'t': 8209, 'ct': 3}, {'t': 8207, 'ct': 2}]"
最近多板,-0.3,-624981.9136,1705,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 250}, {'t': 8194, 'ct': 206}, {'t': 8202, 'ct': 119}, {'t': 8220, 'ct': 119}, {'t': 8203, 'ct': 117}, {'t': 8219, 'ct': 117}, {'t': 8201, 'ct': 116}, {'t': 128, 'ct': 108}, {'t': 64, 'ct': 97}, {'t': 4, 'ct': 66}, {'t': 16, 'ct': 52}, {'t': 8221, 'ct': 47}, {'t': 8213, 'ct': 43}, {'t': 8, 'ct': 36}, {'t': 8222, 'ct': 36}, {'t': 8217, 'ct': 34}, {'t': 32, 'ct': 33}, {'t': 8204, 'ct': 31}, {'t': 8218, 'ct': 21}, {'t': 8211, 'ct': 16}, {'t': 8216, 'ct': 13}, {'t': 8208, 'ct': 9}, {'t': 8215, 'ct': 8}, {'t': 8212, 'ct': 7}, {'t': 8210, 'ct': 3}, {'t': 8207, 'ct': 1}]"
通信技术,-1.01,-3281489.92,1654,000889,中嘉博创,大笔买入,"[{'t': 64, 'ct': 247}, {'t': 128, 'ct': 192}, {'t': 8193, 'ct': 171}, {'t': 8201, 'ct': 143}, {'t': 8202, 'ct': 138}, {'t': 8203, 'ct': 122}, {'t': 8218, 'ct': 102}, {'t': 8194, 'ct': 80}, {'t': 8204, 'ct': 72}, {'t': 8220, 'ct': 55}, {'t': 8221, 'ct': 52}, {'t': 8, 'ct': 37}, {'t': 32, 'ct': 31}, {'t': 8213, 'ct': 29}, {'t': 8219, 'ct': 23}, {'t': 8212, 'ct': 22}, {'t': 8208, 'ct': 21}, {'t': 4, 'ct': 19}, {'t': 8214, 'ct': 17}, {'t': 8222, 'ct': 16}, {'t': 16, 'ct': 15}, {'t': 8210, 'ct': 13}, {'t': 8216, 'ct': 12}, {'t': 8217, 'ct': 8}, {'t': 8215, 'ct': 6}, {'t': 8209, 'ct': 4}, {'t': 8211, 'ct': 4}, {'t': 8207, 'ct': 3}]"
机械设备,-0.55,-369981.0304,1600,688808,N联讯,大笔卖出,"[{'t': 8193, 'ct': 300}, {'t': 8194, 'ct': 226}, {'t': 8201, 'ct': 168}, {'t': 8218, 'ct': 136}, {'t': 8203, 'ct': 115}, {'t': 64, 'ct': 101}, {'t': 8202, 'ct': 99}, {'t': 128, 'ct': 68}, {'t': 8219, 'ct': 60}, {'t': 8204, 'ct': 48}, {'t': 8221, 'ct': 39}, {'t': 8214, 'ct': 38}, {'t': 8212, 'ct': 28}, {'t': 8220, 'ct': 21}, {'t': 8213, 'ct': 20}, {'t': 8216, 'ct': 19}, {'t': 8215, 'ct': 18}, {'t': 8217, 'ct': 14}, {'t': 8222, 'ct': 13}, {'t': 4, 'ct': 12}, {'t': 8208, 'ct': 12}, {'t': 8, 'ct': 11}, {'t': 32, 'ct': 7}, {'t': 8209, 'ct': 7}, {'t': 8210, 'ct': 7}, {'t': 8211, 'ct': 6}, {'t': 16, 'ct': 4}, {'t': 8207, 'ct': 3}]"
锂电池,0.73,1089803.5456,1594,300721,怡达股份,大笔买入,"[{'t': 8193, 'ct': 233}, {'t': 128, 'ct': 218}, {'t': 8201, 'ct': 218}, {'t': 8194, 'ct': 132}, {'t': 64, 'ct': 130}, {'t': 8219, 'ct': 106}, {'t': 8202, 'ct': 96}, {'t': 8218, 'ct': 82}, {'t': 8203, 'ct': 62}, {'t': 4, 'ct': 46}, {'t': 16, 'ct': 32}, {'t': 8220, 'ct': 32}, {'t': 8213, 'ct': 31}, {'t': 8215, 'ct': 29}, {'t': 8204, 'ct': 28}, {'t': 8221, 'ct': 27}, {'t': 8214, 'ct': 20}, {'t': 8212, 'ct': 14}, {'t': 8208, 'ct': 11}, {'t': 8217, 'ct': 9}, {'t': 8222, 'ct': 9}, {'t': 8, 'ct': 7}, {'t': 8216, 'ct': 7}, {'t': 32, 'ct': 5}, {'t': 8209, 'ct': 4}, {'t': 8210, 'ct': 4}, {'t': 8211, 'ct': 2}]"
东方财富热股,-1.05,-2154246.9632,1590,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 263}, {'t': 8194, 'ct': 203}, {'t': 64, 'ct': 151}, {'t': 128, 'ct': 136}, {'t': 8202, 'ct': 131}, {'t': 8201, 'ct': 101}, {'t': 8203, 'ct': 97}, {'t': 8220, 'ct': 96}, {'t': 8219, 'ct': 69}, {'t': 8221, 'ct': 39}, {'t': 4, 'ct': 38}, {'t': 8213, 'ct': 34}, {'t': 8204, 'ct': 32}, {'t': 8222, 'ct': 30}, {'t': 16, 'ct': 29}, {'t': 8217, 'ct': 29}, {'t': 8, 'ct': 25}, {'t': 32, 'ct': 22}, {'t': 8211, 'ct': 14}, {'t': 8218, 'ct': 12}, {'t': 8216, 'ct': 11}, {'t': 8215, 'ct': 10}, {'t': 8208, 'ct': 9}, {'t': 8212, 'ct': 5}, {'t': 8210, 'ct': 3}, {'t': 8214, 'ct': 1}]"
昨日高换手,-2.21,-946139.8272,1552,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 316}, {'t': 8194, 'ct': 240}, {'t': 8202, 'ct': 160}, {'t': 64, 'ct': 154}, {'t': 128, 'ct': 114}, {'t': 8220, 'ct': 105}, {'t': 8201, 'ct': 78}, {'t': 8203, 'ct': 75}, {'t': 8219, 'ct': 58}, {'t': 8204, 'ct': 42}, {'t': 8221, 'ct': 33}, {'t': 8222, 'ct': 26}, {'t': 8218, 'ct': 24}, {'t': 8208, 'ct': 17}, {'t': 4, 'ct': 15}, {'t': 8, 'ct': 14}, {'t': 8213, 'ct': 14}, {'t': 16, 'ct': 12}, {'t': 32, 'ct': 12}, {'t': 8210, 'ct': 12}, {'t': 8216, 'ct': 10}, {'t': 8212, 'ct': 9}, {'t': 8217, 'ct': 6}, {'t': 8215, 'ct': 3}, {'t': 8211, 'ct': 2}, {'t': 8209, 'ct': 1}]"
国产芯片,-0.13,-445811.9168,1526,301666,大普微-UW,大笔买入,"[{'t': 128, 'ct': 218}, {'t': 64, 'ct': 213}, {'t': 8201, 'ct': 182}, {'t': 8193, 'ct': 170}, {'t': 8203, 'ct': 128}, {'t': 8194, 'ct': 105}, {'t': 8202, 'ct': 80}, {'t': 8218, 'ct': 79}, {'t': 8221, 'ct': 36}, {'t': 8219, 'ct': 34}, {'t': 8220, 'ct': 32}, {'t': 8204, 'ct': 28}, {'t': 8213, 'ct': 26}, {'t': 4, 'ct': 25}, {'t': 8222, 'ct': 24}, {'t': 16, 'ct': 21}, {'t': 8215, 'ct': 19}, {'t': 8217, 'ct': 17}, {'t': 8208, 'ct': 15}, {'t': 8212, 'ct': 14}, {'t': 8214, 'ct': 14}, {'t': 8, 'ct': 9}, {'t': 8211, 'ct': 8}, {'t': 32, 'ct': 7}, {'t': 8207, 'ct': 6}, {'t': 8210, 'ct': 6}, {'t': 8216, 'ct': 6}, {'t': 8209, 'ct': 4}]"
机器人概念,-0.67,-1445569.408,1504,603236,移远通信,大笔卖出,"[{'t': 8193, 'ct': 193}, {'t': 64, 'ct': 181}, {'t': 8201, 'ct': 158}, {'t': 8218, 'ct': 147}, {'t': 128, 'ct': 133}, {'t': 8202, 'ct': 104}, {'t': 8194, 'ct': 99}, {'t': 8204, 'ct': 74}, {'t': 8203, 'ct': 71}, {'t': 8214, 'ct': 44}, {'t': 8219, 'ct': 41}, {'t': 8212, 'ct': 33}, {'t': 8216, 'ct': 29}, {'t': 8220, 'ct': 28}, {'t': 8221, 'ct': 26}, {'t': 8213, 'ct': 21}, {'t': 8215, 'ct': 21}, {'t': 8, 'ct': 15}, {'t': 4, 'ct': 13}, {'t': 32, 'ct': 13}, {'t': 8217, 'ct': 13}, {'t': 8210, 'ct': 11}, {'t': 8208, 'ct': 10}, {'t': 8222, 'ct': 8}, {'t': 8211, 'ct': 7}, {'t': 16, 'ct': 6}, {'t': 8209, 'ct': 4}, {'t': 8207, 'ct': 1}]"
西部大开发,-0.38,-618827.2128,1466,300434,金石亚药,大笔买入,"[{'t': 8201, 'ct': 178}, {'t': 8193, 'ct': 164}, {'t': 64, 'ct': 161}, {'t': 128, 'ct': 132}, {'t': 8218, 'ct': 108}, {'t': 8202, 'ct': 94}, {'t': 8219, 'ct': 87}, {'t': 8194, 'ct': 77}, {'t': 8220, 'ct': 74}, {'t': 8203, 'ct': 49}, {'t': 8214, 'ct': 42}, {'t': 4, 'ct': 36}, {'t': 8204, 'ct': 34}, {'t': 8221, 'ct': 33}, {'t': 16, 'ct': 32}, {'t': 8215, 'ct': 27}, {'t': 8212, 'ct': 21}, {'t': 8213, 'ct': 20}, {'t': 8, 'ct': 17}, {'t': 32, 'ct': 13}, {'t': 8208, 'ct': 13}, {'t': 8216, 'ct': 13}, {'t': 8210, 'ct': 12}, {'t': 8217, 'ct': 11}, {'t': 8209, 'ct': 7}, {'t': 8211, 'ct': 5}, {'t': 8222, 'ct': 5}, {'t': 8207, 'ct': 1}]"
深成500,-0.61,-1992377.1392,1457,002624,完美世界,大笔买入,"[{'t': 64, 'ct': 334}, {'t': 128, 'ct': 264}, {'t': 8201, 'ct': 136}, {'t': 8218, 'ct': 96}, {'t': 8202, 'ct': 81}, {'t': 8193, 'ct': 57}, {'t': 8204, 'ct': 48}, {'t': 8219, 'ct': 46}, {'t': 8203, 'ct': 45}, {'t': 8214, 'ct': 40}, {'t': 4, 'ct': 30}, {'t': 8194, 'ct': 29}, {'t': 8213, 'ct': 28}, {'t': 8212, 'ct': 27}, {'t': 8215, 'ct': 25}, {'t': 16, 'ct': 24}, {'t': 8, 'ct': 22}, {'t': 8216, 'ct': 21}, {'t': 32, 'ct': 20}, {'t': 8220, 'ct': 20}, {'t': 8221, 'ct': 17}, {'t': 8208, 'ct': 15}, {'t': 8210, 'ct': 12}, {'t': 8217, 'ct': 7}, {'t': 8222, 'ct': 7}, {'t': 8211, 'ct': 3}, {'t': 8207, 'ct': 2}, {'t': 8209, 'ct': 1}]"
储能,-0.79,-594439.4752,1455,301667,纳百川,大笔买入,"[{'t': 8193, 'ct': 242}, {'t': 64, 'ct': 193}, {'t': 128, 'ct': 147}, {'t': 8194, 'ct': 137}, {'t': 8201, 'ct': 129}, {'t': 8202, 'ct': 101}, {'t': 8219, 'ct': 79}, {'t': 8203, 'ct': 68}, {'t': 8218, 'ct': 62}, {'t': 8220, 'ct': 47}, {'t': 8204, 'ct': 42}, {'t': 8214, 'ct': 28}, {'t': 8221, 'ct': 26}, {'t': 4, 'ct': 19}, {'t': 8212, 'ct': 16}, {'t': 8213, 'ct': 16}, {'t': 8208, 'ct': 14}, {'t': 8215, 'ct': 14}, {'t': 16, 'ct': 13}, {'t': 8222, 'ct': 13}, {'t': 8216, 'ct': 12}, {'t': 8210, 'ct': 11}, {'t': 8217, 'ct': 10}, {'t': 8, 'ct': 6}, {'t': 32, 'ct': 5}, {'t': 8211, 'ct': 4}, {'t': 8207, 'ct': 1}]"
2025年报扭亏,-0.32,49068.2112,1451,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 185}, {'t': 64, 'ct': 142}, {'t': 8201, 'ct': 140}, {'t': 128, 'ct': 131}, {'t': 8194, 'ct': 103}, {'t': 8220, 'ct': 93}, {'t': 8202, 'ct': 87}, {'t': 8219, 'ct': 84}, {'t': 8218, 'ct': 76}, {'t': 8203, 'ct': 71}, {'t': 8204, 'ct': 55}, {'t': 8, 'ct': 34}, {'t': 32, 'ct': 30}, {'t': 8221, 'ct': 29}, {'t': 4, 'ct': 26}, {'t': 8214, 'ct': 21}, {'t': 16, 'ct': 20}, {'t': 8213, 'ct': 20}, {'t': 8215, 'ct': 20}, {'t': 8212, 'ct': 18}, {'t': 8222, 'ct': 14}, {'t': 8216, 'ct': 11}, {'t': 8217, 'ct': 10}, {'t': 8208, 'ct': 9}, {'t': 8210, 'ct': 8}, {'t': 8209, 'ct': 5}, {'t': 8211, 'ct': 5}, {'t': 8207, 'ct': 4}]"
中盘股,-0.61,-1070460.1088,1423,002624,完美世界,大笔买入,"[{'t': 64, 'ct': 266}, {'t': 128, 'ct': 227}, {'t': 8201, 'ct': 163}, {'t': 8218, 'ct': 81}, {'t': 8203, 'ct': 77}, {'t': 8202, 'ct': 74}, {'t': 8193, 'ct': 58}, {'t': 8204, 'ct': 54}, {'t': 8219, 'ct': 51}, {'t': 8214, 'ct': 40}, {'t': 8194, 'ct': 35}, {'t': 4, 'ct': 30}, {'t': 8213, 'ct': 30}, {'t': 8220, 'ct': 30}, {'t': 8212, 'ct': 28}, {'t': 16, 'ct': 24}, {'t': 8, 'ct': 22}, {'t': 8221, 'ct': 22}, {'t': 8215, 'ct': 21}, {'t': 32, 'ct': 20}, {'t': 8216, 'ct': 19}, {'t': 8217, 'ct': 13}, {'t': 8222, 'ct': 12}, {'t': 8208, 'ct': 11}, {'t': 8210, 'ct': 10}, {'t': 8211, 'ct': 3}, {'t': 8207, 'ct': 1}, {'t': 8209, 'ct': 1}]"
5G概念,-0.89,-3269906.432,1411,000889,中嘉博创,大笔买入,"[{'t': 64, 'ct': 213}, {'t': 8193, 'ct': 159}, {'t': 128, 'ct': 157}, {'t': 8201, 'ct': 118}, {'t': 8202, 'ct': 112}, {'t': 8203, 'ct': 93}, {'t': 8218, 'ct': 91}, {'t': 8194, 'ct': 59}, {'t': 8204, 'ct': 51}, {'t': 8220, 'ct': 48}, {'t': 8221, 'ct': 42}, {'t': 8, 'ct': 39}, {'t': 32, 'ct': 33}, {'t': 8219, 'ct': 25}, {'t': 8213, 'ct': 24}, {'t': 4, 'ct': 21}, {'t': 8212, 'ct': 19}, {'t': 8208, 'ct': 17}, {'t': 8214, 'ct': 17}, {'t': 16, 'ct': 16}, {'t': 8222, 'ct': 14}, {'t': 8210, 'ct': 12}, {'t': 8216, 'ct': 12}, {'t': 8217, 'ct': 7}, {'t': 8215, 'ct': 5}, {'t': 8211, 'ct': 4}, {'t': 8209, 'ct': 2}, {'t': 8207, 'ct': 1}]"
节能环保,-0.43,-713897.4464,1380,301588,美新科技,大笔买入,"[{'t': 8193, 'ct': 186}, {'t': 8201, 'ct': 156}, {'t': 8194, 'ct': 123}, {'t': 64, 'ct': 106}, {'t': 8202, 'ct': 100}, {'t': 128, 'ct': 88}, {'t': 8219, 'ct': 75}, {'t': 8218, 'ct': 68}, {'t': 8220, 'ct': 65}, {'t': 8203, 'ct': 60}, {'t': 8204, 'ct': 47}, {'t': 8, 'ct': 43}, {'t': 32, 'ct': 40}, {'t': 8214, 'ct': 30}, {'t': 8221, 'ct': 27}, {'t': 8216, 'ct': 24}, {'t': 8213, 'ct': 19}, {'t': 8217, 'ct': 19}, {'t': 4, 'ct': 17}, {'t': 8212, 'ct': 16}, {'t': 8215, 'ct': 16}, {'t': 8208, 'ct': 14}, {'t': 8222, 'ct': 14}, {'t': 16, 'ct': 11}, {'t': 8211, 'ct': 7}, {'t': 8210, 'ct': 6}, {'t': 8209, 'ct': 3}]"
基础化工,0.43,459360.1536,1359,300721,怡达股份,大笔买入,"[{'t': 8201, 'ct': 216}, {'t': 8193, 'ct': 211}, {'t': 8194, 'ct': 123}, {'t': 128, 'ct': 112}, {'t': 8202, 'ct': 109}, {'t': 8218, 'ct': 86}, {'t': 8219, 'ct': 84}, {'t': 64, 'ct': 69}, {'t': 8203, 'ct': 61}, {'t': 8220, 'ct': 32}, {'t': 8221, 'ct': 30}, {'t': 8204, 'ct': 24}, {'t': 8215, 'ct': 24}, {'t': 8, 'ct': 23}, {'t': 32, 'ct': 22}, {'t': 8214, 'ct': 21}, {'t': 8213, 'ct': 17}, {'t': 4, 'ct': 15}, {'t': 8222, 'ct': 14}, {'t': 8212, 'ct': 13}, {'t': 8208, 'ct': 12}, {'t': 8216, 'ct': 12}, {'t': 16, 'ct': 8}, {'t': 8210, 'ct': 7}, {'t': 8217, 'ct': 6}, {'t': 8209, 'ct': 4}, {'t': 8207, 'ct': 2}, {'t': 8211, 'ct': 2}]"
MSCI中国,-0.48,-3006946.9184,1346,002812,恩捷股份,大笔买入,"[{'t': 64, 'ct': 353}, {'t': 128, 'ct': 296}, {'t': 8201, 'ct': 144}, {'t': 8218, 'ct': 92}, {'t': 8202, 'ct': 61}, {'t': 8203, 'ct': 57}, {'t': 8204, 'ct': 44}, {'t': 8214, 'ct': 42}, {'t': 8193, 'ct': 37}, {'t': 8215, 'ct': 27}, {'t': 8213, 'ct': 26}, {'t': 8212, 'ct': 24}, {'t': 8194, 'ct': 21}, {'t': 8220, 'ct': 17}, {'t': 8219, 'ct': 16}, {'t': 4, 'ct': 15}, {'t': 16, 'ct': 14}, {'t': 8216, 'ct': 12}, {'t': 8208, 'ct': 11}, {'t': 8217, 'ct': 10}, {'t': 8221, 'ct': 10}, {'t': 8210, 'ct': 7}, {'t': 8222, 'ct': 4}, {'t': 8207, 'ct': 2}, {'t': 8211, 'ct': 2}, {'t': 8, 'ct': 1}, {'t': 8209, 'ct': 1}]"
百元股,-0.42,-1996360.0896,1330,301630,同宇新材,大笔买入,"[{'t': 128, 'ct': 198}, {'t': 64, 'ct': 184}, {'t': 8201, 'ct': 177}, {'t': 8193, 'ct': 147}, {'t': 8203, 'ct': 137}, {'t': 8202, 'ct': 96}, {'t': 8194, 'ct': 95}, {'t': 8204, 'ct': 45}, {'t': 8218, 'ct': 32}, {'t': 8220, 'ct': 30}, {'t': 8221, 'ct': 29}, {'t': 8213, 'ct': 23}, {'t': 8222, 'ct': 18}, {'t': 8219, 'ct': 17}, {'t': 4, 'ct': 15}, {'t': 16, 'ct': 14}, {'t': 8, 'ct': 11}, {'t': 32, 'ct': 10}, {'t': 8208, 'ct': 10}, {'t': 8217, 'ct': 9}, {'t': 8210, 'ct': 7}, {'t': 8215, 'ct': 7}, {'t': 8216, 'ct': 6}, {'t': 8209, 'ct': 4}, {'t': 8212, 'ct': 3}, {'t': 8214, 'ct': 3}, {'t': 8207, 'ct': 2}, {'t': 8211, 'ct': 1}]"
电力设备,-0.55,-208517.9648,1327,002606,大连电瓷,大笔买入,"[{'t': 8193, 'ct': 211}, {'t': 64, 'ct': 150}, {'t': 128, 'ct': 149}, {'t': 8201, 'ct': 139}, {'t': 8194, 'ct': 131}, {'t': 8202, 'ct': 97}, {'t': 8219, 'ct': 71}, {'t': 8218, 'ct': 54}, {'t': 8203, 'ct': 52}, {'t': 8204, 'ct': 41}, {'t': 8220, 'ct': 34}, {'t': 4, 'ct': 29}, {'t': 16, 'ct': 22}, {'t': 8213, 'ct': 20}, {'t': 8221, 'ct': 19}, {'t': 8215, 'ct': 18}, {'t': 8212, 'ct': 16}, {'t': 8208, 'ct': 14}, {'t': 8214, 'ct': 13}, {'t': 8222, 'ct': 10}, {'t': 8210, 'ct': 9}, {'t': 8216, 'ct': 8}, {'t': 8, 'ct': 6}, {'t': 32, 'ct': 5}, {'t': 8217, 'ct': 5}, {'t': 8211, 'ct': 3}, {'t': 8209, 'ct': 1}]"
破增发价股,-0.49,-264351.4112,1315,002259,升达林业,大笔买入,"[{'t': 64, 'ct': 169}, {'t': 8193, 'ct': 114}, {'t': 8218, 'ct': 112}, {'t': 8201, 'ct': 103}, {'t': 8214, 'ct': 90}, {'t': 8219, 'ct': 77}, {'t': 128, 'ct': 71}, {'t': 8, 'ct': 67}, {'t': 8194, 'ct': 64}, {'t': 8202, 'ct': 63}, {'t': 8220, 'ct': 63}, {'t': 32, 'ct': 61}, {'t': 8212, 'ct': 35}, {'t': 4, 'ct': 30}, {'t': 8203, 'ct': 29}, {'t': 8215, 'ct': 27}, {'t': 8216, 'ct': 26}, {'t': 8204, 'ct': 24}, {'t': 16, 'ct': 22}, {'t': 8217, 'ct': 14}, {'t': 8221, 'ct': 10}, {'t': 8213, 'ct': 9}, {'t': 8222, 'ct': 9}, {'t': 8211, 'ct': 7}, {'t': 8208, 'ct': 6}, {'t': 8210, 'ct': 6}, {'t': 8209, 'ct': 5}, {'t': 8207, 'ct': 2}]"
太阳能,-1.08,-1245480.0384,1296,601636,旗滨集团,大笔卖出,"[{'t': 64, 'ct': 214}, {'t': 8193, 'ct': 151}, {'t': 128, 'ct': 131}, {'t': 8202, 'ct': 107}, {'t': 8194, 'ct': 95}, {'t': 8201, 'ct': 90}, {'t': 8219, 'ct': 67}, {'t': 8220, 'ct': 67}, {'t': 8218, 'ct': 64}, {'t': 8203, 'ct': 58}, {'t': 8204, 'ct': 35}, {'t': 8221, 'ct': 23}, {'t': 4, 'ct': 21}, {'t': 8214, 'ct': 21}, {'t': 8208, 'ct': 18}, {'t': 16, 'ct': 17}, {'t': 8212, 'ct': 16}, {'t': 8216, 'ct': 16}, {'t': 8, 'ct': 15}, {'t': 8222, 'ct': 14}, {'t': 8210, 'ct': 13}, {'t': 32, 'ct': 12}, {'t': 8213, 'ct': 10}, {'t': 8217, 'ct': 9}, {'t': 8215, 'ct': 6}, {'t': 8211, 'ct': 3}, {'t': 8209, 'ct': 2}, {'t': 8207, 'ct': 1}]"
长江三角,-0.38,-537540.0704,1287,300067,安诺其,大笔买入,"[{'t': 64, 'ct': 169}, {'t': 8193, 'ct': 126}, {'t': 128, 'ct': 110}, {'t': 8201, 'ct': 100}, {'t': 8194, 'ct': 93}, {'t': 8202, 'ct': 85}, {'t': 8218, 'ct': 69}, {'t': 8203, 'ct': 60}, {'t': 8219, 'ct': 55}, {'t': 8, 'ct': 46}, {'t': 32, 'ct': 41}, {'t': 8220, 'ct': 41}, {'t': 8214, 'ct': 40}, {'t': 4, 'ct': 39}, {'t': 16, 'ct': 28}, {'t': 8221, 'ct': 27}, {'t': 8212, 'ct': 26}, {'t': 8204, 'ct': 23}, {'t': 8215, 'ct': 20}, {'t': 8216, 'ct': 18}, {'t': 8222, 'ct': 17}, {'t': 8217, 'ct': 15}, {'t': 8213, 'ct': 13}, {'t': 8208, 'ct': 9}, {'t': 8211, 'ct': 7}, {'t': 8209, 'ct': 5}, {'t': 8210, 'ct': 4}, {'t': 8207, 'ct': 1}]"
新材料,0.14,-76664.4224,1265,301630,同宇新材,大笔买入,"[{'t': 8193, 'ct': 156}, {'t': 8201, 'ct': 151}, {'t': 128, 'ct': 136}, {'t': 64, 'ct': 129}, {'t': 8194, 'ct': 98}, {'t': 8202, 'ct': 91}, {'t': 8218, 'ct': 81}, {'t': 8203, 'ct': 68}, {'t': 8219, 'ct': 63}, {'t': 4, 'ct': 35}, {'t': 8204, 'ct': 28}, {'t': 16, 'ct': 27}, {'t': 8221, 'ct': 25}, {'t': 8213, 'ct': 24}, {'t': 8208, 'ct': 17}, {'t': 8215, 'ct': 17}, {'t': 8222, 'ct': 17}, {'t': 8, 'ct': 15}, {'t': 32, 'ct': 14}, {'t': 8214, 'ct': 13}, {'t': 8212, 'ct': 11}, {'t': 8217, 'ct': 11}, {'t': 8216, 'ct': 9}, {'t': 8220, 'ct': 9}, {'t': 8211, 'ct': 7}, {'t': 8210, 'ct': 6}, {'t': 8209, 'ct': 5}, {'t': 8207, 'ct': 2}]"
一带一路,-0.64,-1031102.6944,1251,002478,常宝股份,大笔买入,"[{'t': 64, 'ct': 165}, {'t': 8193, 'ct': 133}, {'t': 8194, 'ct': 105}, {'t': 8201, 'ct': 102}, {'t': 8218, 'ct': 90}, {'t': 128, 'ct': 89}, {'t': 8219, 'ct': 67}, {'t': 8202, 'ct': 65}, {'t': 8214, 'ct': 56}, {'t': 8203, 'ct': 43}, {'t': 8220, 'ct': 43}, {'t': 8, 'ct': 35}, {'t': 8204, 'ct': 32}, {'t': 32, 'ct': 31}, {'t': 8212, 'ct': 27}, {'t': 4, 'ct': 25}, {'t': 8216, 'ct': 19}, {'t': 8221, 'ct': 19}, {'t': 16, 'ct': 17}, {'t': 8213, 'ct': 17}, {'t': 8215, 'ct': 17}, {'t': 8217, 'ct': 14}, {'t': 8208, 'ct': 11}, {'t': 8210, 'ct': 11}, {'t': 8222, 'ct': 9}, {'t': 8211, 'ct': 6}, {'t': 8207, 'ct': 2}, {'t': 8209, 'ct': 1}]"
军工,-1.42,-1026362.7008,1214,300067,安诺其,大笔买入,"[{'t': 8193, 'ct': 169}, {'t': 64, 'ct': 162}, {'t': 8201, 'ct': 102}, {'t': 8218, 'ct': 96}, {'t': 8202, 'ct': 89}, {'t': 8194, 'ct': 88}, {'t': 8203, 'ct': 87}, {'t': 128, 'ct': 86}, {'t': 8220, 'ct': 46}, {'t': 8204, 'ct': 42}, {'t': 8219, 'ct': 32}, {'t': 8221, 'ct': 32}, {'t': 8212, 'ct': 26}, {'t': 8214, 'ct': 23}, {'t': 8222, 'ct': 17}, {'t': 8, 'ct': 16}, {'t': 8216, 'ct': 16}, {'t': 32, 'ct': 14}, {'t': 8213, 'ct': 14}, {'t': 8215, 'ct': 12}, {'t': 4, 'ct': 11}, {'t': 8208, 'ct': 9}, {'t': 16, 'ct': 8}, {'t': 8217, 'ct': 7}, {'t': 8210, 'ct': 6}, {'t': 8209, 'ct': 2}, {'t': 8211, 'ct': 2}]"
