板块名称,涨跌幅,主力净流入,板块异动总次数,板块异动最频繁个股及所属类型-股票代码,板块异动最频繁个股及所属类型-股票名称,板块异动最频繁个股及所属类型-买卖方向,板块具体异动类型列表及出现次数
江苏板块,-0.42,-726316.1088,2509,688808,N联讯,大笔卖出,"[{'t': 8193, 'ct': 380}, {'t': 8194, 'ct': 330}, {'t': 8201, 'ct': 278}, {'t': 64, 'ct': 174}, {'t': 8202, 'ct': 161}, {'t': 8203, 'ct': 160}, {'t': 8218, 'ct': 148}, {'t': 128, 'ct': 140}, {'t': 8219, 'ct': 95}, {'t': 8204, 'ct': 84}, {'t': 8220, 'ct': 76}, {'t': 8221, 'ct': 58}, {'t': 4, 'ct': 43}, {'t': 8, 'ct': 43}, {'t': 32, 'ct': 38}, {'t': 8222, 'ct': 36}, {'t': 8212, 'ct': 35}, {'t': 8213, 'ct': 35}, {'t': 8214, 'ct': 35}, {'t': 8216, 'ct': 35}, {'t': 8215, 'ct': 29}, {'t': 16, 'ct': 27}, {'t': 8217, 'ct': 22}, {'t': 8208, 'ct': 17}, {'t': 8210, 'ct': 12}, {'t': 8211, 'ct': 11}, {'t': 8207, 'ct': 4}, {'t': 8209, 'ct': 3}]"
广东板块,-0.47,-1364584.8576,2458,301588,美新科技,大笔买入,"[{'t': 8193, 'ct': 339}, {'t': 64, 'ct': 268}, {'t': 8201, 'ct': 254}, {'t': 8194, 'ct': 204}, {'t': 128, 'ct': 192}, {'t': 8218, 'ct': 176}, {'t': 8202, 'ct': 157}, {'t': 8203, 'ct': 148}, {'t': 8219, 'ct': 94}, {'t': 8204, 'ct': 60}, {'t': 8214, 'ct': 58}, {'t': 8220, 'ct': 58}, {'t': 4, 'ct': 54}, {'t': 8221, 'ct': 49}, {'t': 8, 'ct': 42}, {'t': 16, 'ct': 42}, {'t': 32, 'ct': 36}, {'t': 8213, 'ct': 36}, {'t': 8212, 'ct': 33}, {'t': 8208, 'ct': 29}, {'t': 8215, 'ct': 28}, {'t': 8222, 'ct': 28}, {'t': 8216, 'ct': 25}, {'t': 8217, 'ct': 24}, {'t': 8210, 'ct': 10}, {'t': 8211, 'ct': 7}, {'t': 8209, 'ct': 4}, {'t': 8207, 'ct': 3}]"
标准普尔,-0.61,-1910061.8752,2421,002624,完美世界,大笔买入,"[{'t': 64, 'ct': 505}, {'t': 128, 'ct': 309}, {'t': 8201, 'ct': 201}, {'t': 8218, 'ct': 163}, {'t': 8219, 'ct': 143}, {'t': 8193, 'ct': 142}, {'t': 8202, 'ct': 117}, {'t': 8194, 'ct': 85}, {'t': 8214, 'ct': 83}, {'t': 4, 'ct': 75}, {'t': 8220, 'ct': 74}, {'t': 8203, 'ct': 70}, {'t': 8204, 'ct': 60}, {'t': 16, 'ct': 57}, {'t': 8212, 'ct': 43}, {'t': 8215, 'ct': 43}, {'t': 8, 'ct': 40}, {'t': 32, 'ct': 34}, {'t': 8213, 'ct': 34}, {'t': 8216, 'ct': 34}, {'t': 8221, 'ct': 27}, {'t': 8217, 'ct': 25}, {'t': 8208, 'ct': 20}, {'t': 8210, 'ct': 14}, {'t': 8211, 'ct': 12}, {'t': 8222, 'ct': 8}, {'t': 8209, 'ct': 3}]"
华为概念,-0.62,-1657982.1568,2351,000889,中嘉博创,大笔买入,"[{'t': 64, 'ct': 332}, {'t': 8193, 'ct': 251}, {'t': 8201, 'ct': 239}, {'t': 8218, 'ct': 212}, {'t': 128, 'ct': 207}, {'t': 8202, 'ct': 194}, {'t': 8203, 'ct': 162}, {'t': 8194, 'ct': 121}, {'t': 8204, 'ct': 118}, {'t': 8221, 'ct': 58}, {'t': 8214, 'ct': 48}, {'t': 4, 'ct': 44}, {'t': 8219, 'ct': 44}, {'t': 8220, 'ct': 42}, {'t': 8212, 'ct': 41}, {'t': 8213, 'ct': 35}, {'t': 16, 'ct': 34}, {'t': 8208, 'ct': 29}, {'t': 8216, 'ct': 24}, {'t': 8215, 'ct': 22}, {'t': 8, 'ct': 19}, {'t': 32, 'ct': 18}, {'t': 8210, 'ct': 15}, {'t': 8222, 'ct': 14}, {'t': 8217, 'ct': 13}, {'t': 8209, 'ct': 7}, {'t': 8211, 'ct': 5}, {'t': 8207, 'ct': 3}]"
半导体概念,0.16,415311.0528,2146,688808,N联讯,大笔卖出,"[{'t': 8201, 'ct': 313}, {'t': 8193, 'ct': 276}, {'t': 128, 'ct': 213}, {'t': 64, 'ct': 209}, {'t': 8194, 'ct': 185}, {'t': 8203, 'ct': 179}, {'t': 8202, 'ct': 138}, {'t': 8218, 'ct': 97}, {'t': 8204, 'ct': 61}, {'t': 8221, 'ct': 57}, {'t': 8219, 'ct': 56}, {'t': 4, 'ct': 43}, {'t': 8, 'ct': 42}, {'t': 32, 'ct': 39}, {'t': 16, 'ct': 35}, {'t': 8213, 'ct': 35}, {'t': 8215, 'ct': 25}, {'t': 8220, 'ct': 22}, {'t': 8208, 'ct': 20}, {'t': 8222, 'ct': 20}, {'t': 8212, 'ct': 17}, {'t': 8217, 'ct': 14}, {'t': 8214, 'ct': 13}, {'t': 8216, 'ct': 10}, {'t': 8210, 'ct': 9}, {'t': 8207, 'ct': 6}, {'t': 8209, 'ct': 6}, {'t': 8211, 'ct': 6}]"
人工智能,-0.71,-961497.984,2101,301077,星华新材,大笔买入,"[{'t': 64, 'ct': 247}, {'t': 8193, 'ct': 221}, {'t': 8218, 'ct': 196}, {'t': 8201, 'ct': 152}, {'t': 8202, 'ct': 148}, {'t': 128, 'ct': 146}, {'t': 8194, 'ct': 123}, {'t': 8203, 'ct': 120}, {'t': 8204, 'ct': 87}, {'t': 8220, 'ct': 78}, {'t': 8219, 'ct': 69}, {'t': 8, 'ct': 56}, {'t': 4, 'ct': 55}, {'t': 8214, 'ct': 53}, {'t': 8212, 'ct': 52}, {'t': 32, 'ct': 49}, {'t': 16, 'ct': 44}, {'t': 8221, 'ct': 42}, {'t': 8216, 'ct': 33}, {'t': 8222, 'ct': 29}, {'t': 8215, 'ct': 20}, {'t': 8217, 'ct': 19}, {'t': 8213, 'ct': 18}, {'t': 8208, 'ct': 16}, {'t': 8210, 'ct': 11}, {'t': 8211, 'ct': 8}, {'t': 8207, 'ct': 5}, {'t': 8209, 'ct': 4}]"
电池技术,0.42,880907.008,2046,300721,怡达股份,大笔买入,"[{'t': 8193, 'ct': 282}, {'t': 8201, 'ct': 281}, {'t': 128, 'ct': 243}, {'t': 64, 'ct': 177}, {'t': 8194, 'ct': 147}, {'t': 8202, 'ct': 129}, {'t': 8219, 'ct': 122}, {'t': 8218, 'ct': 109}, {'t': 8203, 'ct': 78}, {'t': 8220, 'ct': 76}, {'t': 4, 'ct': 48}, {'t': 8204, 'ct': 47}, {'t': 8213, 'ct': 41}, {'t': 8215, 'ct': 38}, {'t': 16, 'ct': 34}, {'t': 8214, 'ct': 34}, {'t': 8221, 'ct': 34}, {'t': 8208, 'ct': 21}, {'t': 8, 'ct': 18}, {'t': 8212, 'ct': 17}, {'t': 8217, 'ct': 15}, {'t': 32, 'ct': 14}, {'t': 8216, 'ct': 12}, {'t': 8222, 'ct': 11}, {'t': 8210, 'ct': 8}, {'t': 8209, 'ct': 5}, {'t': 8211, 'ct': 5}]"
新能源车,-0.61,-940525.1584,2009,002478,常宝股份,大笔买入,"[{'t': 8193, 'ct': 322}, {'t': 64, 'ct': 214}, {'t': 8194, 'ct': 213}, {'t': 8201, 'ct': 189}, {'t': 128, 'ct': 184}, {'t': 8218, 'ct': 161}, {'t': 8202, 'ct': 137}, {'t': 8203, 'ct': 97}, {'t': 8204, 'ct': 64}, {'t': 8219, 'ct': 47}, {'t': 8214, 'ct': 38}, {'t': 8221, 'ct': 38}, {'t': 8212, 'ct': 35}, {'t': 8220, 'ct': 32}, {'t': 4, 'ct': 30}, {'t': 8, 'ct': 30}, {'t': 32, 'ct': 28}, {'t': 8216, 'ct': 28}, {'t': 8213, 'ct': 26}, {'t': 16, 'ct': 23}, {'t': 8215, 'ct': 17}, {'t': 8208, 'ct': 16}, {'t': 8210, 'ct': 11}, {'t': 8222, 'ct': 11}, {'t': 8217, 'ct': 9}, {'t': 8211, 'ct': 4}, {'t': 8209, 'ct': 3}, {'t': 8207, 'ct': 2}]"
电子,-0.28,-910811.136,1970,002289,*ST宇顺,大笔买入,"[{'t': 8201, 'ct': 287}, {'t': 64, 'ct': 215}, {'t': 128, 'ct': 208}, {'t': 8193, 'ct': 179}, {'t': 8203, 'ct': 175}, {'t': 8202, 'ct': 150}, {'t': 8194, 'ct': 135}, {'t': 8218, 'ct': 108}, {'t': 8204, 'ct': 74}, {'t': 8221, 'ct': 55}, {'t': 8219, 'ct': 53}, {'t': 8213, 'ct': 42}, {'t': 4, 'ct': 39}, {'t': 16, 'ct': 36}, {'t': 8208, 'ct': 24}, {'t': 8, 'ct': 23}, {'t': 8220, 'ct': 23}, {'t': 8222, 'ct': 23}, {'t': 32, 'ct': 21}, {'t': 8215, 'ct': 19}, {'t': 8212, 'ct': 16}, {'t': 8214, 'ct': 14}, {'t': 8216, 'ct': 12}, {'t': 8217, 'ct': 12}, {'t': 8210, 'ct': 11}, {'t': 8207, 'ct': 8}, {'t': 8209, 'ct': 5}, {'t': 8211, 'ct': 3}]"
浙江板块,-0.37,-486780.8768,1964,002624,完美世界,大笔买入,"[{'t': 8193, 'ct': 279}, {'t': 8201, 'ct': 236}, {'t': 8202, 'ct': 158}, {'t': 8218, 'ct': 152}, {'t': 64, 'ct': 137}, {'t': 8194, 'ct': 135}, {'t': 128, 'ct': 112}, {'t': 8219, 'ct': 84}, {'t': 8203, 'ct': 81}, {'t': 8220, 'ct': 78}, {'t': 8204, 'ct': 63}, {'t': 8, 'ct': 51}, {'t': 8214, 'ct': 47}, {'t': 32, 'ct': 46}, {'t': 8221, 'ct': 44}, {'t': 4, 'ct': 41}, {'t': 8215, 'ct': 31}, {'t': 8216, 'ct': 31}, {'t': 8212, 'ct': 30}, {'t': 8213, 'ct': 26}, {'t': 16, 'ct': 25}, {'t': 8208, 'ct': 25}, {'t': 8222, 'ct': 15}, {'t': 8217, 'ct': 14}, {'t': 8210, 'ct': 10}, {'t': 8211, 'ct': 6}, {'t': 8209, 'ct': 5}, {'t': 8207, 'ct': 2}]"
