日期,高质量因子指数,变化幅度
2018-05-02,100.015,0.0
2018-05-03,100.336541433807,0.3214932098255252
2018-05-04,101.048383745366,0.7094547025308876
2018-05-07,101.663083362546,0.6083220675048134
2018-05-08,103.734573618388,2.037603215765889
2018-05-09,104.620779459302,0.8543013288646835
2018-05-10,104.767049023286,0.13980928524902259
2018-05-11,105.582409550203,0.7782604688385987
2018-05-14,104.515583136614,-1.0104205976486424
2018-05-15,105.583496873238,1.0217746527119498
2018-05-16,105.962549741478,0.3590076853535932
2018-05-17,106.009578640296,0.04438256622999113
2018-05-18,104.708150809042,-1.2276511688343874
2018-05-21,106.378834177794,1.595561907877508
2018-05-22,106.188435731042,-0.17898151283908662
2018-05-23,106.099878793911,-0.0833960275630229
2018-05-24,105.039438736353,-0.999473392064662
2018-05-25,104.468551469577,-0.5434980171675594
2018-05-28,104.809993291637,0.32683694495317966
2018-05-29,105.761795017591,0.9081211591203727
2018-05-30,103.111455503215,-2.5059517134095337
2018-05-31,104.0868433452,0.9459548769094667
2018-06-01,105.689727501482,1.5399488588256045
2018-06-04,104.574847755329,-1.0548610281329003
2018-06-05,105.285081252962,0.6791628320556707
2018-06-06,106.732928300021,1.3751682857900318
2018-06-07,107.532399150654,0.7490386175723829
2018-06-08,106.589115871306,-0.8772084383855744
2018-06-11,105.590048625483,-0.93730700142898
2018-06-12,104.991164475975,-0.567178590505427
2018-06-13,106.908598588655,1.8262814040116326
2018-06-14,105.847226096529,-0.9927849641073013
2018-06-15,105.608993654082,-0.2250719751783955
2018-06-19,103.197669548459,-2.28325639909153
2018-06-20,100.892231554081,-2.234001992937869
2018-06-21,102.506570001048,1.6000621872474707
2018-06-22,100.951165810276,-1.517370243444988
2018-06-25,103.118465052344,2.1468788643225345
2018-06-26,101.014935669569,-2.039915335926727
2018-06-27,101.594378826345,0.5736212698995492
2018-06-28,98.2773428739171,-3.2649798057210306
2018-06-29,97.9997015142717,-0.2825080039064496
2018-07-02,100.994261817535,3.0556830857563386
2018-07-03,99.0185612471303,-1.9562503204134347
2018-07-04,97.8278604392476,-1.2025026347443524
2018-07-05,96.8612103405416,-0.9881132985692762
2018-07-06,95.8920376861089,-1.000578715695695
2018-07-09,96.3823779756671,0.5113461986940571
2018-07-10,99.3254169767035,3.0535032055127367
2018-07-11,97.8605863880276,-1.4747791987819863
2018-07-12,98.636767562462,0.7931499320438956
2018-07-13,101.394484585782,2.7958306942425564
2018-07-16,102.325565757577,0.918275955145553
2018-07-17,102.045698052705,-0.2735071170141719
2018-07-18,101.432288852042,-0.6011122588883498
2018-07-19,100.899166214106,-0.5255946050016306
2018-07-20,100.203773360245,-0.6891958377390343
2018-07-23,100.434275737999,0.23003363049545306
2018-07-24,101.64692956038,1.2074103322499454
2018-07-25,103.090184083933,1.419870260513552
2018-07-26,103.383969553214,0.28497909077532874
2018-07-27,101.850911197774,-1.4828782083579275
2018-07-30,101.343724347121,-0.4979698705573135
2018-07-31,100.51992202113,-0.8128794666844108
2018-08-01,101.138073438168,0.6149541350699288
2018-08-02,98.7667852121533,-2.3446049004131253
2018-08-03,97.2923324682509,-1.4928629505711175
2018-08-06,94.4132340787502,-2.959224346317567
2018-08-07,92.3678180624099,-2.1664505366209714
2018-08-08,94.5278057581399,2.33846348332119
2018-08-09,92.366508996457,-2.286413764022861
2018-08-10,95.8260252772044,3.7454227926705497
2018-08-13,95.5690840437762,-0.26813303868642885
2018-08-14,97.0090122382928,1.5066882862004054
2018-08-15,96.5690381726211,-0.45353937280686857
2018-08-16,92.5249909304272,-4.187726541259542
2018-08-17,93.8431398557711,1.4246409668227562
2018-08-20,91.2658263494329,-2.746405875058434
2018-08-21,92.1669075599946,0.9873150187800807
2018-08-22,94.3339177186044,2.351180283660073
2018-08-23,93.9852551505492,-0.3696046729398593
2018-08-24,94.1816798777668,0.20899525878071318
2018-08-27,95.0002751931042,0.8691661864598444
2018-08-28,97.6820581227328,2.822921222256901
2018-08-29,97.3280862510204,-0.36237143085954904
2018-08-30,96.7509140024481,-0.5930171554834666
2018-08-31,95.4292999693916,-1.3659964318508293
2018-09-03,94.5438228969507,-0.9278880519137247
2018-09-04,95.1310809836582,0.6211490806200874
2018-09-05,95.6211499238774,0.5151512367481538
2018-09-06,93.6674483896926,-2.0431688342381524
2018-09-07,93.4070480045778,-0.278005208417151
2018-09-10,93.3975277945151,-0.010192175286640948
2018-09-11,92.038225803865,-1.4553939732117005
2018-09-12,91.9415228233129,-0.10506827973649233
2018-09-13,92.10214694247,0.17470247851537393
2018-09-14,91.7259295825241,-0.40847838235616285
2018-09-17,90.8904216424223,-0.9108743230016711
2018-09-18,90.0115655241933,-0.9669403027819127
2018-09-19,92.4053204805677,2.6593859827168553
