私募基金管理人名称,法定代表人/执行事务合伙人(委派代表)姓名,机构类型,登记编号,注册地,办公地,成立时间,登记时间,在管基金数量,会员类型,是否有提示信息,是否有诚信信息
广州昭时投资合伙企业（有限合伙）,李云峰,私募证券投资基金管理人,P1000421,广东省,广东省,2007-07-23,2014-03-17,4,观察会员,否,否
北京鼎萨投资有限公司,彭旭,私募证券投资基金管理人,P1000443,北京市,北京市,2012-03-31,2014-03-17,38,普通会员,是,否
上海合晟资产管理股份有限公司,胡远川,私募证券投资基金管理人,P1000450,上海市,上海市,2011-03-28,2014-03-17,118,普通会员,是,否
万博兄弟资产管理（北京）有限公司,滕泰,私募证券投资基金管理人,P1000460,北京市,北京市,2012-06-08,2014-03-17,1,非会员机构,是,否
君联资本管理股份有限公司,朱立南,私募股权、创业投资基金管理人,P1000489,北京市,北京市,2003-11-19,2014-03-17,49,普通会员,是,否
敦和资产管理有限公司,施建军,私募证券投资基金管理人,P1000501,浙江省,浙江省,2011-03-02,2014-03-17,146,普通会员,否,否
歌斐诺宝（上海）资产管理有限公司,殷哲,私募证券投资基金管理人,P1000548,上海市,上海市,2013-04-10,2014-03-17,109,普通会员,是,否
友山私募基金管理有限公司,何炫,私募证券投资基金管理人,P1000551,贵州省,贵州省,2013-03-21,2014-03-17,34,普通会员,是,是
深圳长城汇理资产管理有限公司,宋晓明,私募证券投资基金管理人,P1000630,广东省,深圳市,2013-05-17,2014-03-17,4,观察会员,是,否
深圳市康曼德资本管理有限公司,丁楹,私募证券投资基金管理人,P1000633,广东省,深圳市,2013-07-25,2014-03-17,82,普通会员,否,否
上海铭深资产管理有限公司,潘智勇,私募证券投资基金管理人,P1000634,上海市,上海市,2013-02-27,2014-03-17,4,观察会员,否,是
深圳天生桥私募证券基金管理有限公司,夏春,私募证券投资基金管理人,P1000635,广东省,深圳市,2013-04-07,2014-03-17,4,观察会员,否,否
中关村三川（北京）股权投资管理有限公司,周骋,私募股权、创业投资基金管理人,P1000636,北京市,北京市,2011-12-01,2014-03-17,1,观察会员,否,否
歌斐资产管理有限公司,殷哲,私募股权、创业投资基金管理人,P1000637,江苏省,上海市,2012-02-09,2014-03-17,202,普通会员,是,是
招商昆仑股权投资管理有限公司,郭健,私募股权、创业投资基金管理人,P1000638,新疆维吾尔自治区,深圳市,2011-09-19,2014-03-17,1,非会员机构,是,否
信达资本管理有限公司,周思良,私募股权、创业投资基金管理人,P1000639,天津市,北京市,2008-12-16,2014-03-17,31,普通会员,是,否
建银腾晖（上海）私募基金管理有限公司,米强,私募股权、创业投资基金管理人,P1000640,上海市,上海市,2009-12-18,2014-03-17,1,普通会员,是,否
上海健壹私募基金管理有限公司,吴爱民,私募股权、创业投资基金管理人,P1000641,上海市,上海市,2012-01-19,2014-03-17,5,观察会员,是,否
苏州工业园区元禾辰坤股权投资基金管理中心（有限合伙）,徐清,私募股权、创业投资基金管理人,P1000642,江苏省,江苏省,2012-04-13,2014-03-17,20,普通会员,是,否
中信资本（天津）投资管理合伙企业（有限合伙）,张懿宸,私募股权、创业投资基金管理人,P1000643,天津市,天津市,2009-07-15,2014-03-17,16,普通会员,是,否
