编号,备案编号,专项计划全称,管理人,托管人,成立日期,预期到期时间,备案通过时间
47,SAAP24,国海证券-广西金控第1期资产支持专项计划,国海证券股份有限公司,中国民生银行股份有限公司,2026-03-15,2028-02-17,2026-04-16
48,SAAN58,华泰资管惠鑫1号第3期资产支持专项计划,华泰证券（上海）资产管理有限公司,南京银行股份有限公司,2026-03-18,2027-12-26,2026-04-16
49,SAAG04,首创-丰锦2期资产支持专项计划,首创证券股份有限公司,上海银行股份有限公司,2026-03-19,2028-03-19,2026-04-16
50,SAAN76,华泰资管诚新2号8期资产支持专项计划,华泰证券（上海）资产管理有限公司,上海浦东发展银行股份有限公司,2026-03-24,2028-11-29,2026-04-16
51,SAAN69,西部创新-新投汇金城资产支持专项计划,西部证券股份有限公司,华夏银行股份有限公司,2026-03-26,2044-01-27,2026-04-16
52,SAAN75,国海证券-成都中小担1期数据资产支持专项计划,国海证券股份有限公司,中国工商银行股份有限公司,2026-03-26,2028-03-26,2026-04-16
53,SAAN95,中国铁建第48期资产支持专项计划,中信证券股份有限公司,中国民生银行股份有限公司,2026-03-29,2028-03-29,2026-04-16
54,SAAP98,国盛资管-淮安担保-高质发展赋能1期资产支持专项计划（数据资产）,国盛证券资产管理有限公司,平安银行股份有限公司,2026-04-07,2029-04-07,2026-04-16
55,SAAM82,天弘创新中车信融2025年第4期资产支持专项计划,天弘创新资产管理有限公司,中国民生银行股份有限公司,2026-04-01,2029-03-20,2026-04-16
56,SBWJ98,中铁资本保理工瑞22期资产支持专项计划,上海国泰海通证券资产管理有限公司,北京银行股份有限公司,2026-02-09,2028-12-27,2026-04-15
57,SBWJ99,长城长兴22号资产支持专项计划（可续发型）,上海国泰海通证券资产管理有限公司,江苏银行股份有限公司,2026-02-12,2027-01-28,2026-04-15
58,SBWK01,亚洲保理信盈1号1期资产支持专项计划,华泰证券（上海）资产管理有限公司,华夏银行股份有限公司,2026-03-09,2027-03-09,2026-04-15
59,SBWK02,雅州集团雅安大数据产业园绿色资产支持专项计划（东数西算）,华鑫证券有限责任公司,中国农业银行股份有限公司,2026-03-23,2044-04-19,2026-04-15
60,SBWK03,国泰海通-悦达租赁第1期资产支持专项计划,上海国泰海通证券资产管理有限公司,江苏银行股份有限公司,2026-03-23,2028-07-25,2026-04-15
61,SABR88,弘创租赁2026年第一期资产支持专项计划,中信证券股份有限公司,华夏银行股份有限公司,2026-03-30,2029-07-22,2026-04-16
62,SABS09,天津食品集团·天食禾润资产支持专项计划,首创证券股份有限公司,华夏银行股份有限公司,2026-03-30,2044-01-27,2026-04-16
63,SABS02,财信证券-湖南省担-保理融资债权2期资产支持专项计划,财信证券股份有限公司,中国光大银行股份有限公司,2026-03-31,2028-03-31,2026-04-16
64,SABS07,联储-苏州融担1期资产支持专项计划（数据资产）,联储证券股份有限公司,中信银行股份有限公司,2026-04-02,2029-04-01,2026-04-16
65,SAAQ45,天风-金源华兴租赁锐行3期资产支持专项计划,天风（上海）证券资产管理有限公司,上海农村商业银行股份有限公司,2026-04-08,2029-05-30,2026-04-16
66,SAAP30,西安担保集团-华金-技术产权（技术交易）2期资产支持专项计划,华金证券股份有限公司,北京银行股份有限公司,2026-03-05,2029-03-05,2026-04-16
67,SAAP24,国海证券-广西金控第1期资产支持专项计划,国海证券股份有限公司,中国民生银行股份有限公司,2026-03-15,2028-02-17,2026-04-16
68,SAAN58,华泰资管惠鑫1号第3期资产支持专项计划,华泰证券（上海）资产管理有限公司,南京银行股份有限公司,2026-03-18,2027-12-26,2026-04-16
69,SAAG04,首创-丰锦2期资产支持专项计划,首创证券股份有限公司,上海银行股份有限公司,2026-03-19,2028-03-19,2026-04-16
70,SAAN76,华泰资管诚新2号8期资产支持专项计划,华泰证券（上海）资产管理有限公司,上海浦东发展银行股份有限公司,2026-03-24,2028-11-29,2026-04-16
71,SAAN69,西部创新-新投汇金城资产支持专项计划,西部证券股份有限公司,华夏银行股份有限公司,2026-03-26,2044-01-27,2026-04-16
72,SAAN75,国海证券-成都中小担1期数据资产支持专项计划,国海证券股份有限公司,中国工商银行股份有限公司,2026-03-26,2028-03-26,2026-04-16
73,SAAN95,中国铁建第48期资产支持专项计划,中信证券股份有限公司,中国民生银行股份有限公司,2026-03-29,2028-03-29,2026-04-16
74,SAAP98,国盛资管-淮安担保-高质发展赋能1期资产支持专项计划（数据资产）,国盛证券资产管理有限公司,平安银行股份有限公司,2026-04-07,2029-04-07,2026-04-16
75,SAAM82,天弘创新中车信融2025年第4期资产支持专项计划,天弘创新资产管理有限公司,中国民生银行股份有限公司,2026-04-01,2029-03-20,2026-04-16
76,SBWJ98,中铁资本保理工瑞22期资产支持专项计划,上海国泰海通证券资产管理有限公司,北京银行股份有限公司,2026-02-09,2028-12-27,2026-04-15
77,SBWJ99,长城长兴22号资产支持专项计划（可续发型）,上海国泰海通证券资产管理有限公司,江苏银行股份有限公司,2026-02-12,2027-01-28,2026-04-15
78,SBWK01,亚洲保理信盈1号1期资产支持专项计划,华泰证券（上海）资产管理有限公司,华夏银行股份有限公司,2026-03-09,2027-03-09,2026-04-15
79,SBWK02,雅州集团雅安大数据产业园绿色资产支持专项计划（东数西算）,华鑫证券有限责任公司,中国农业银行股份有限公司,2026-03-23,2044-04-19,2026-04-15
80,SBWK03,国泰海通-悦达租赁第1期资产支持专项计划,上海国泰海通证券资产管理有限公司,江苏银行股份有限公司,2026-03-23,2028-07-25,2026-04-15
81,SABR88,弘创租赁2026年第一期资产支持专项计划,中信证券股份有限公司,华夏银行股份有限公司,2026-03-30,2029-07-22,2026-04-16
82,SABS09,天津食品集团·天食禾润资产支持专项计划,首创证券股份有限公司,华夏银行股份有限公司,2026-03-30,2044-01-27,2026-04-16
83,SABS02,财信证券-湖南省担-保理融资债权2期资产支持专项计划,财信证券股份有限公司,中国光大银行股份有限公司,2026-03-31,2028-03-31,2026-04-16
84,SABS07,联储-苏州融担1期资产支持专项计划（数据资产）,联储证券股份有限公司,中信银行股份有限公司,2026-04-02,2029-04-01,2026-04-16
85,SAAQ45,天风-金源华兴租赁锐行3期资产支持专项计划,天风（上海）证券资产管理有限公司,上海农村商业银行股份有限公司,2026-04-08,2029-05-30,2026-04-16
86,SAAP30,西安担保集团-华金-技术产权（技术交易）2期资产支持专项计划,华金证券股份有限公司,北京银行股份有限公司,2026-03-05,2029-03-05,2026-04-16
87,SAAP24,国海证券-广西金控第1期资产支持专项计划,国海证券股份有限公司,中国民生银行股份有限公司,2026-03-15,2028-02-17,2026-04-16
88,SAAN58,华泰资管惠鑫1号第3期资产支持专项计划,华泰证券（上海）资产管理有限公司,南京银行股份有限公司,2026-03-18,2027-12-26,2026-04-16
89,SAAG04,首创-丰锦2期资产支持专项计划,首创证券股份有限公司,上海银行股份有限公司,2026-03-19,2028-03-19,2026-04-16
90,SAAN76,华泰资管诚新2号8期资产支持专项计划,华泰证券（上海）资产管理有限公司,上海浦东发展银行股份有限公司,2026-03-24,2028-11-29,2026-04-16
91,SAAN69,西部创新-新投汇金城资产支持专项计划,西部证券股份有限公司,华夏银行股份有限公司,2026-03-26,2044-01-27,2026-04-16
92,SAAN75,国海证券-成都中小担1期数据资产支持专项计划,国海证券股份有限公司,中国工商银行股份有限公司,2026-03-26,2028-03-26,2026-04-16
93,SAAN95,中国铁建第48期资产支持专项计划,中信证券股份有限公司,中国民生银行股份有限公司,2026-03-29,2028-03-29,2026-04-16
94,SAAP98,国盛资管-淮安担保-高质发展赋能1期资产支持专项计划（数据资产）,国盛证券资产管理有限公司,平安银行股份有限公司,2026-04-07,2029-04-07,2026-04-16
95,SAAM82,天弘创新中车信融2025年第4期资产支持专项计划,天弘创新资产管理有限公司,中国民生银行股份有限公司,2026-04-01,2029-03-20,2026-04-16
96,SBWJ98,中铁资本保理工瑞22期资产支持专项计划,上海国泰海通证券资产管理有限公司,北京银行股份有限公司,2026-02-09,2028-12-27,2026-04-15
97,SBWJ99,长城长兴22号资产支持专项计划（可续发型）,上海国泰海通证券资产管理有限公司,江苏银行股份有限公司,2026-02-12,2027-01-28,2026-04-15
98,SBWK01,亚洲保理信盈1号1期资产支持专项计划,华泰证券（上海）资产管理有限公司,华夏银行股份有限公司,2026-03-09,2027-03-09,2026-04-15
99,SBWK02,雅州集团雅安大数据产业园绿色资产支持专项计划（东数西算）,华鑫证券有限责任公司,中国农业银行股份有限公司,2026-03-23,2044-04-19,2026-04-15
100,SBWK03,国泰海通-悦达租赁第1期资产支持专项计划,上海国泰海通证券资产管理有限公司,江苏银行股份有限公司,2026-03-23,2028-07-25,2026-04-15
