编号,备案编号,专项计划全称,管理人,托管人,成立日期,预期到期时间,备案通过时间
19,SBWK02,雅州集团雅安大数据产业园绿色资产支持专项计划（东数西算）,华鑫证券有限责任公司,中国农业银行股份有限公司,2026-03-23,2044-04-19,2026-04-15
20,SBWK03,国泰海通-悦达租赁第1期资产支持专项计划,上海国泰海通证券资产管理有限公司,江苏银行股份有限公司,2026-03-23,2028-07-25,2026-04-15
21,SABR88,弘创租赁2026年第一期资产支持专项计划,中信证券股份有限公司,华夏银行股份有限公司,2026-03-30,2029-07-22,2026-04-16
22,SABS09,天津食品集团·天食禾润资产支持专项计划,首创证券股份有限公司,华夏银行股份有限公司,2026-03-30,2044-01-27,2026-04-16
23,SABS02,财信证券-湖南省担-保理融资债权2期资产支持专项计划,财信证券股份有限公司,中国光大银行股份有限公司,2026-03-31,2028-03-31,2026-04-16
24,SABS07,联储-苏州融担1期资产支持专项计划（数据资产）,联储证券股份有限公司,中信银行股份有限公司,2026-04-02,2029-04-01,2026-04-16
25,SAAQ45,天风-金源华兴租赁锐行3期资产支持专项计划,天风（上海）证券资产管理有限公司,上海农村商业银行股份有限公司,2026-04-08,2029-05-30,2026-04-16
26,SAAP30,西安担保集团-华金-技术产权（技术交易）2期资产支持专项计划,华金证券股份有限公司,北京银行股份有限公司,2026-03-05,2029-03-05,2026-04-16
27,SAAP24,国海证券-广西金控第1期资产支持专项计划,国海证券股份有限公司,中国民生银行股份有限公司,2026-03-15,2028-02-17,2026-04-16
28,SAAN58,华泰资管惠鑫1号第3期资产支持专项计划,华泰证券（上海）资产管理有限公司,南京银行股份有限公司,2026-03-18,2027-12-26,2026-04-16
29,SAAG04,首创-丰锦2期资产支持专项计划,首创证券股份有限公司,上海银行股份有限公司,2026-03-19,2028-03-19,2026-04-16
30,SAAN76,华泰资管诚新2号8期资产支持专项计划,华泰证券（上海）资产管理有限公司,上海浦东发展银行股份有限公司,2026-03-24,2028-11-29,2026-04-16
31,SAAN69,西部创新-新投汇金城资产支持专项计划,西部证券股份有限公司,华夏银行股份有限公司,2026-03-26,2044-01-27,2026-04-16
32,SAAN75,国海证券-成都中小担1期数据资产支持专项计划,国海证券股份有限公司,中国工商银行股份有限公司,2026-03-26,2028-03-26,2026-04-16
33,SAAN95,中国铁建第48期资产支持专项计划,中信证券股份有限公司,中国民生银行股份有限公司,2026-03-29,2028-03-29,2026-04-16
34,SAAP98,国盛资管-淮安担保-高质发展赋能1期资产支持专项计划（数据资产）,国盛证券资产管理有限公司,平安银行股份有限公司,2026-04-07,2029-04-07,2026-04-16
35,SAAM82,天弘创新中车信融2025年第4期资产支持专项计划,天弘创新资产管理有限公司,中国民生银行股份有限公司,2026-04-01,2029-03-20,2026-04-16
36,SBWJ98,中铁资本保理工瑞22期资产支持专项计划,上海国泰海通证券资产管理有限公司,北京银行股份有限公司,2026-02-09,2028-12-27,2026-04-15
37,SBWJ99,长城长兴22号资产支持专项计划（可续发型）,上海国泰海通证券资产管理有限公司,江苏银行股份有限公司,2026-02-12,2027-01-28,2026-04-15
38,SBWK01,亚洲保理信盈1号1期资产支持专项计划,华泰证券（上海）资产管理有限公司,华夏银行股份有限公司,2026-03-09,2027-03-09,2026-04-15
39,SBWK02,雅州集团雅安大数据产业园绿色资产支持专项计划（东数西算）,华鑫证券有限责任公司,中国农业银行股份有限公司,2026-03-23,2044-04-19,2026-04-15
40,SBWK03,国泰海通-悦达租赁第1期资产支持专项计划,上海国泰海通证券资产管理有限公司,江苏银行股份有限公司,2026-03-23,2028-07-25,2026-04-15
41,SABR88,弘创租赁2026年第一期资产支持专项计划,中信证券股份有限公司,华夏银行股份有限公司,2026-03-30,2029-07-22,2026-04-16
42,SABS09,天津食品集团·天食禾润资产支持专项计划,首创证券股份有限公司,华夏银行股份有限公司,2026-03-30,2044-01-27,2026-04-16
43,SABS02,财信证券-湖南省担-保理融资债权2期资产支持专项计划,财信证券股份有限公司,中国光大银行股份有限公司,2026-03-31,2028-03-31,2026-04-16
44,SABS07,联储-苏州融担1期资产支持专项计划（数据资产）,联储证券股份有限公司,中信银行股份有限公司,2026-04-02,2029-04-01,2026-04-16
45,SAAQ45,天风-金源华兴租赁锐行3期资产支持专项计划,天风（上海）证券资产管理有限公司,上海农村商业银行股份有限公司,2026-04-08,2029-05-30,2026-04-16
46,SAAP30,西安担保集团-华金-技术产权（技术交易）2期资产支持专项计划,华金证券股份有限公司,北京银行股份有限公司,2026-03-05,2029-03-05,2026-04-16
