date,close,position
2017-12-04,4018.86,51.44
2017-12-08,4003.38,52.48
2017-12-15,3980.86,52.59
2017-12-22,4054.6,52.7
2017-12-29,4030.85,53.18
2018-01-05,4138.75,55.14
2018-01-12,4225.0,55.25
2018-01-19,4285.4,55.71
2018-01-26,4381.3,56.58
2018-02-02,4271.23,56.96
2018-02-09,3840.65,55.42
2018-02-14,3966.96,55.54
2018-02-23,4071.09,58.03
2018-03-02,4016.46,58.05
2018-03-09,4108.87,58.47
2018-03-16,4056.42,58.55
2018-03-23,3904.94,58.63
2018-03-30,3898.5,55.27
2018-04-04,3854.86,54.34
2018-04-13,3871.14,57.24
2018-04-20,3760.85,56.6
2018-04-27,3756.88,56.05
2018-05-04,3774.6,56.2
2018-05-11,3872.84,56.73
2018-05-18,3903.06,57.19
2018-05-25,3816.5,57.19
2018-06-01,3770.59,56.16
2018-06-08,3779.62,54.77
2018-06-15,3753.43,53.28
2018-06-22,3608.9,51.23
2018-06-29,3510.98,50.55
2018-07-06,3365.12,50.13
2018-07-13,3492.69,49.98
2018-07-20,3492.89,50.35
2018-07-27,3521.23,51.26
2018-08-03,3315.28,51.59
2018-08-10,3405.02,51.74
2018-08-17,3229.62,52.07
2018-08-24,3325.33,51.42
2018-08-31,3334.5,51.76
2018-09-07,3277.64,52.02
2018-09-14,3242.09,52.44
2018-09-21,3410.49,52.83
2018-09-28,3438.86,52.82
2018-10-12,3170.73,52.16
2018-10-19,3134.95,51.08
2018-10-26,3173.64,49.9
2018-11-02,3290.25,48.67
2018-11-09,3167.44,48.04
2018-11-16,3257.67,47.96
2018-11-23,3143.48,47.92
2018-11-30,3172.69,48.03
2018-12-07,3181.56,48.63
2018-12-14,3165.91,48.78
2018-12-21,3029.4,49.05
2018-12-28,3010.65,49.09
2019-01-04,3035.87,49.29
2019-01-11,3094.78,49.29
2019-01-18,3168.17,50.09
2019-01-25,3184.47,50.94
2019-02-01,3247.4,51.58
2019-02-15,3338.7,52.44
2019-02-22,3520.12,54.15
2019-03-01,3749.71,54.67
2019-03-08,3657.58,54.72
2019-03-15,3745.01,54.71
2019-03-22,3833.8,54.2
2019-03-29,3872.34,54.76
2019-04-04,4062.23,55.44
2019-04-12,3988.62,56.17
2019-04-19,4120.61,56.35
2019-04-26,3889.27,56.36
2019-04-30,3913.21,56.6
2019-05-10,3730.45,56.15
2019-05-17,3648.76,55.76
2019-05-24,3593.91,55.36
2019-05-31,3629.79,54.71
2019-06-06,3564.68,54.4
2019-06-14,3654.88,54.35
2019-06-21,3833.94,54.67
2019-06-28,3825.59,55.02
2019-07-05,3893.2,55.33
2019-07-12,3808.73,55.45
2019-07-19,3807.96,55.92
2019-07-26,3858.57,55.36
2019-08-02,3747.44,55.03
2019-08-09,3633.53,55.0
2019-08-16,3710.54,54.37
2019-08-23,3820.86,55.16
2019-08-30,3799.59,56.47
2019-09-06,3948.51,57.81
2019-09-12,3972.38,59.39
2019-09-20,3935.65,60.3
2019-09-27,3852.65,60.69
2019-09-30,3814.53,60.95
2019-10-11,3911.73,61.13
2019-10-18,3869.38,61.0
2019-10-25,3896.79,60.64
2019-11-01,3952.39,60.2
2019-11-08,3973.01,59.64
