成交时间,股票代码,股票简称,成交价格,成交量,成交额,大单性质,涨跌幅,涨跌额
2026-04-24 15:00:01,688396,华润微,54.73,13412,73.4,买盘,3.87%,2.12
2026-04-24 15:00:01,688396,华润微,54.73,24843,135.97,卖盘,3.87%,2.12
2026-04-24 15:00:01,688396,华润微,54.73,11507,62.98,卖盘,3.87%,2.12
2026-04-24 15:00:01,688396,华润微,54.73,10319,56.48,卖盘,3.87%,2.12
2026-04-24 15:00:01,688388,嘉元科技,46.06,15434,71.09,买盘,-2.00%,-0.92
2026-04-24 15:00:01,688388,嘉元科技,46.06,18832,86.74,买盘,-2.00%,-0.92
2026-04-24 15:00:01,688368,晶丰明源,146.4,4651,68.09,卖盘,2.64%,3.87
2026-04-24 15:00:01,688368,晶丰明源,146.4,6600,96.62,买盘,2.64%,3.87
2026-04-24 15:00:01,688362,甬矽电子,46.79,13600,63.63,卖盘,1.83%,0.86
2026-04-24 15:00:01,688362,甬矽电子,46.79,11200,52.4,卖盘,1.83%,0.86
2026-04-24 15:00:01,688361,中科飞测,167.62,3175,53.22,卖盘,0.30%,0.5
2026-04-24 15:00:01,688353,华盛锂电,119.92,6500,77.95,卖盘,3.58%,4.3
2026-04-24 15:00:01,688347,华虹公司,138.8,8683,120.52,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,9785,135.82,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,11932,165.62,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,3725,51.7,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,9578,132.94,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,8152,113.15,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,4369,60.64,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,22863,317.34,卖盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,3800,52.74,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,5141,71.36,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,19696,273.38,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,10835,150.39,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,20000,277.6,卖盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,10000,138.8,卖盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,26284,364.82,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,38575,535.42,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,18106,251.31,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,4005,55.59,卖盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,5000,69.4,卖盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,6516,90.44,买盘,12.31%,17.08
2026-04-24 15:00:01,688347,华虹公司,138.8,49197,682.85,买盘,12.31%,17.08
