基金代码,基金简称,发行公司,基金类型,集中认购期,募集份额,成立日期,成立来涨幅,基金经理,申购状态,优惠费率
006258,富国丰泰债券C,富国基金,债券型-混合一级,26/03/20～26/03/20,,2018-08-24,25.13,吕春杰,开放申购,0.0
026934,鑫元周期睿选混合发起式C,鑫元基金,混合型-偏股,26/03/20～26/03/20,0.1,2026-03-24,1.48,王丽军,开放申购,0.0
000104,富国丰泰债券A,富国基金,债券型-混合一级,26/03/20～26/03/20,1.98,2013-08-20,55.14,吕春杰,开放申购,0.03
026933,鑫元周期睿选混合发起式A,鑫元基金,混合型-偏股,26/03/20～26/03/20,0.1,2026-03-24,1.54,王丽军,开放申购,0.08
026222,财通沣悦回报债券C,财通基金,债券型-混合二级,26/03/18～26/03/31,2.23,2026-04-02,-0.02,"罗晓倩,匡恒",开放申购,0.0
026221,财通沣悦回报债券A,财通基金,债券型-混合二级,26/03/18～26/03/31,2.23,2026-04-02,-0.01,"罗晓倩,匡恒",开放申购,0.03
026706,方正富邦恒信双利债券C,方正富邦基金,债券型-混合二级,26/03/17～26/03/25,2.27,2026-03-26,0.17,"区德成,吴佩珊,张艺曦",开放申购,0.0
026705,方正富邦恒信双利债券A,方正富邦基金,债券型-混合二级,26/03/17～26/03/25,2.27,2026-03-26,0.18,"区德成,吴佩珊,张艺曦",开放申购,0.03
026701,泰康中证全指电力公用事业指数A,泰康基金,指数型-股票,26/03/16～26/04/07,3.78,2026-04-09,2.05,魏军,开放申购,0.03
026702,泰康中证全指电力公用事业指数C,泰康基金,指数型-股票,26/03/16～26/04/07,3.78,2026-04-09,2.05,魏军,开放申购,0.0
026493,恒生前海丰元兴瑞债券A,恒生前海基金,债券型-混合二级,26/03/16～26/04/03,2.56,2026-04-09,0.03,"张昆,钟恩庚",开放申购,0.3
026494,恒生前海丰元兴瑞债券C,恒生前海基金,债券型-混合二级,26/03/16～26/04/03,2.56,2026-04-09,0.02,"张昆,钟恩庚",开放申购,0.0
025786,中金科创优选混合发起C,中金基金,混合型-偏股,26/03/16～26/03/20,0.1,2026-03-24,9.01,张传捷,开放申购,0.0
025785,中金科创优选混合发起A,中金基金,混合型-偏股,26/03/16～26/03/20,0.1,2026-03-24,9.04,张传捷,开放申购,0.08
026891,兴合产业优选混合发起式C,兴合基金,混合型-偏股,26/03/10～26/03/20,0.73,2026-03-25,19.91,"梁辰星,侯吉冉",开放申购,0.0
026890,兴合产业优选混合发起式A,兴合基金,混合型-偏股,26/03/10～26/03/20,0.73,2026-03-25,19.95,"梁辰星,侯吉冉",开放申购,0.08
026508,中邮睿福债券A,中邮基金,债券型-混合二级,26/03/09～26/03/25,13.27,2026-03-27,0.05,闫宜乘,开放申购,0.03
026509,中邮睿福债券C,中邮基金,债券型-混合二级,26/03/09～26/03/25,13.27,2026-03-27,0.04,闫宜乘,开放申购,0.0
026703,长城港股价值优选股票(QDII)A,长城基金,QDII-普通股票,26/03/09～26/03/25,4.04,2026-03-27,-0.16,曲少杰,开放申购,0.08
026704,长城港股价值优选股票(QDII)C,长城基金,QDII-普通股票,26/03/09～26/03/25,4.04,2026-03-27,-0.18,曲少杰,开放申购,0.0
026862,易方达恒生生物科技ETF联接发起式A,易方达基金,指数型-股票,26/03/09～26/03/20,0.53,2026-03-24,0.84,成曦,开放申购,0.03
026606,南方中证港股通50ETF联接A,南方基金,指数型-股票,26/03/09～26/03/20,3.94,2026-03-24,0.95,张其思,开放申购,0.03
026607,南方中证港股通50ETF联接C,南方基金,指数型-股票,26/03/09～26/03/20,3.94,2026-03-24,0.93,张其思,开放申购,0.0
026362,财通资管双泰债券C,财通资管,债券型-混合二级,26/03/09～26/03/20,2.39,2026-03-24,0.09,"宫志芳,王剑",开放申购,0.0
026361,财通资管双泰债券A,财通资管,债券型-混合二级,26/03/09～26/03/20,2.39,2026-03-24,0.1,"宫志芳,王剑",开放申购,0.03
026863,易方达恒生生物科技ETF联接发起式C,易方达基金,指数型-股票,26/03/09～26/03/20,0.53,2026-03-24,0.83,成曦,开放申购,0.0
025851,山证资管裕弘60天滚动持有债券C,山证(上海),债券型-中短债,26/03/09～26/03/19,2.41,2026-03-24,0.26,刘凌云,开放申购,0.0
025850,山证资管裕弘60天滚动持有债券A,山证(上海),债券型-中短债,26/03/09～26/03/19,2.41,2026-03-24,0.28,刘凌云,开放申购,0.03
026233,东财瑞兴债券A,东财基金,债券型-混合二级,26/03/09～26/03/18,2.22,2026-03-20,0.3,"徐成,宝音",开放申购,0.03
026234,东财瑞兴债券C,东财基金,债券型-混合二级,26/03/09～26/03/18,2.22,2026-03-20,0.28,"徐成,宝音",开放申购,0.0
026887,财通资管消费研选混合发起式C,财通资管,混合型-偏股,26/03/09～26/03/09,0.1,2026-03-11,0.75,赵雯,开放申购,0.0
