基金名称,基金代码,持仓数量,占流通股比例,持股市值,占净值比例,截止日期
华安安康灵活配置混合A,002363,1836000,0.0095,20342900,1.06,2026-03-31
红利TK,560150,1789500,0.0092,19827700,2.51,2026-03-31
鹏华中证银行指数(LOF)A,160631,1203068,0.0062,13330000,3.26,2026-03-31
鹏华中证银行指数(LOF)I,025130,1203068,0.0062,13330000,3.26,2026-03-31
鹏华中证银行指数(LOF)C,012042,1203068,0.0062,13330000,3.26,2026-03-31
富国天成红利灵活配置混合,100029,1200000,0.0062,13296000,2.25,2026-03-31
华安景气优选混合C,014755,1139000,0.0059,12620100,4.58,2026-03-31
华安景气优选混合A,014754,1139000,0.0059,12620100,4.58,2026-03-31
建信深证基本面60ETF,159916,1082249,0.0056,11991300,4.76,2026-03-31
广发大盘价值混合C,012766,1037500,0.0053,11495500,3.0,2026-03-31
广发大盘价值混合A,012765,1037500,0.0053,11495500,3.0,2026-03-31
富国中证红利低波动ETF,159525,1033400,0.0053,11450100,2.51,2026-03-31
易方达中证红利价值ETF,563700,978412,0.005,10840800,2.43,2026-03-31
金元顺安消费主题混合,620006,900000,0.0046,9972000,5.33,2026-03-31
嘉实深证基本面120ETF,159910,731635,0.0038,8106520,3.42,2026-03-31
富安达行业轮动混合,001660,600000,0.0031,6648000,4.26,2026-03-31
华富强化回报债券,164105,550000,0.0028,6094000,0.82,2026-03-31
中银淳益混合C,026231,409300,0.0021,4535040,0.4,2026-03-31
中银淳益混合A,026230,409300,0.0021,4535040,0.4,2026-03-31
华安智增精选灵活配置混合,160421,405400,0.0021,4491830,5.07,2026-03-31
华安中证银行ETF,516210,402700,0.0021,4461920,3.37,2026-03-31
广发估值优势混合C,011430,368100,0.0019,4078550,3.2,2026-03-31
广发估值优势混合A,006136,368100,0.0019,4078550,3.2,2026-03-31
银行FUND,512730,366400,0.0019,4059710,3.41,2026-03-31
长江红利回报混合型发起式C,013935,350000,0.0018,3878000,6.33,2026-03-31
长江红利回报混合型发起式A,013934,350000,0.0018,3878000,6.33,2026-03-31
华安新优选C,002144,345800,0.0018,3831460,1.08,2026-03-31
华安新优选A,001312,345800,0.0018,3831460,1.08,2026-03-31
财通华晟量化选股混合C,024595,286784,0.0015,3177570,4.81,2026-03-31
财通华晟量化选股混合A,024594,286784,0.0015,3177570,4.81,2026-03-31
博时中证银行ETF,159253,270800,0.0014,3000460,3.3,2026-03-31
鹏扬景升混合C,005643,270300,0.0014,2994920,4.29,2026-03-31
鹏扬景升混合A,005642,270300,0.0014,2994920,4.29,2026-03-31
天弘中证银行ETF联接C,001595,267510,0.0014,2964010,0.06,2026-03-31
天弘中证银行ETF联接A,001594,267510,0.0014,2964010,0.06,2026-03-31
华安景气驱动一年持有混合C,014178,257500,0.0013,2853100,4.55,2026-03-31
华安景气驱动一年持有混合A,014177,257500,0.0013,2853100,4.55,2026-03-31
中欧大盘智选混合发起C,024447,249300,0.0013,2762240,1.16,2026-03-31
中欧大盘智选混合发起A,024446,249300,0.0013,2762240,1.16,2026-03-31
东财中证银行指数E,021129,248100,0.0013,2748950,3.27,2026-03-31
东财中证银行指数C,011972,248100,0.0013,2748950,3.27,2026-03-31
东财中证银行指数A,011971,248100,0.0013,2748950,3.27,2026-03-31
中欧中证红利低波动指数C,023614,245200,0.0013,2716820,2.47,2026-03-31
中欧中证红利低波动指数A,023613,245200,0.0013,2716820,2.47,2026-03-31
财通鼎欣量化选股18个月定开混合,018705,223500,0.0012,2476380,1.83,2026-03-31
浦银安盛中证A500指数增强C,022769,191500,0.001,2121820,1.46,2026-03-31
浦银安盛中证A500指数增强A,022768,191500,0.001,2121820,1.46,2026-03-31
华安添瑞6个月混合C,009401,182400,0.0009,2020990,1.05,2026-03-31
华安添瑞6个月混合A,009400,182400,0.0009,2020990,1.05,2026-03-31
长江添利混合C,009701,150000,0.0008,1662000,3.25,2026-03-31
长江添利混合A,009700,150000,0.0008,1662000,3.25,2026-03-31
交银深证300价值ETF,159913,133000,0.0007,1473640,2.34,2026-03-31
长江均衡成长混合C,010664,120000,0.0006,1329600,2.42,2026-03-31
长江均衡成长混合A,010663,120000,0.0006,1329600,2.42,2026-03-31
富国稳健双鑫债券C,021549,116700,0.0006,1293040,0.35,2026-03-31
富国稳健双鑫债券A,021548,116700,0.0006,1293040,0.35,2026-03-31
永赢悦享债券B,023546,107300,0.0006,1188880,0.56,2026-03-31
