合约编码,合约交易代码,合约简称,标的券名称及代码,类型,行权价,合约单位,期权行权日,行权交收日,到期日,开始日期
10011430,510050C2612M03100,50ETF购12月3100,50ETF(510050),认购,3.100,10000,20261223,20261224,20261223,20260423
10011431,510050C2612M03200,50ETF购12月3200,50ETF(510050),认购,3.200,10000,20261223,20261224,20261223,20260423
10011432,510050C2612M03300,50ETF购12月3300,50ETF(510050),认购,3.300,10000,20261223,20261224,20261223,20260423
10011433,510050C2612M03400,50ETF购12月3400,50ETF(510050),认购,3.400,10000,20261223,20261224,20261223,20260423
10011382,510050P2605M02700,50ETF沽5月2700,50ETF(510050),认沽,2.700,10000,20260527,20260528,20260527,20260327
10011300,510050P2605M02750,50ETF沽5月2750,50ETF(510050),认沽,2.750,10000,20260527,20260528,20260527,20260326
10011301,510050P2605M02800,50ETF沽5月2800,50ETF(510050),认沽,2.800,10000,20260527,20260528,20260527,20260326
10011302,510050P2605M02850,50ETF沽5月2850,50ETF(510050),认沽,2.850,10000,20260527,20260528,20260527,20260326
10011303,510050P2605M02900,50ETF沽5月2900,50ETF(510050),认沽,2.900,10000,20260527,20260528,20260527,20260326
10011304,510050P2605M02950,50ETF沽5月2950,50ETF(510050),认沽,2.950,10000,20260527,20260528,20260527,20260326
10011305,510050P2605M03000,50ETF沽5月3000,50ETF(510050),认沽,3.000,10000,20260527,20260528,20260527,20260326
10011306,510050P2605M03100,50ETF沽5月3100,50ETF(510050),认沽,3.100,10000,20260527,20260528,20260527,20260326
10011307,510050P2605M03200,50ETF沽5月3200,50ETF(510050),认沽,3.200,10000,20260527,20260528,20260527,20260326
10011308,510050P2605M03300,50ETF沽5月3300,50ETF(510050),认沽,3.300,10000,20260527,20260528,20260527,20260326
10011400,510050P2605M03400,50ETF沽5月3400,50ETF(510050),认沽,3.400,10000,20260527,20260528,20260527,20260409
10010304,510050P2606A02850,50ETF沽6月2776A,50ETF(510050),认沽,2.776,10265,20260624,20260625,20260624,20251023
