日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
2026-03-31,000001,上证指数,SSE Index,600073,光明肉业,"SHANGHAI BRIGHT MEAT GROUP CO.,LTD.",上海证券交易所,Shanghai Stock Exchange,0.009
2026-03-31,000001,上证指数,SSE Index,600075,新疆天业,Xinjiang Tianye Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.02
2026-03-31,000001,上证指数,SSE Index,600076,康欣新材,"Kangxin New Materials Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,0.008
2026-03-31,000001,上证指数,SSE Index,600078,澄星股份,Jiangsu Chengxing Phosph-Chemical Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.012
2026-03-31,000001,上证指数,SSE Index,600080,金花股份,Ginwa Enterprise (Group) Inc,上海证券交易所,Shanghai Stock Exchange,0.005
2026-03-31,000001,上证指数,SSE Index,600081,东风科技,Dongfeng Electronic Technology Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.01
2026-03-31,000001,上证指数,SSE Index,600082,海泰发展,Tianjin Hi-Tech Development Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.004
2026-03-31,000001,上证指数,SSE Index,600084,中信尼雅,"Citic Niya Wine Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.013
2026-03-31,000001,上证指数,SSE Index,600085,同仁堂,Beijing Tongrentang Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.062
2026-03-31,000001,上证指数,SSE Index,600088,中视传媒,China Television Media Ltd,上海证券交易所,Shanghai Stock Exchange,0.009
2026-03-31,000001,上证指数,SSE Index,600089,特变电工,TBEA Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.216
2026-03-31,000001,上证指数,SSE Index,600094,大名城,Greattown Holdings Ltd,上海证券交易所,Shanghai Stock Exchange,0.014
2026-03-31,000001,上证指数,SSE Index,600095,湘财股份,"XIANGCAI CO.,LTD",上海证券交易所,Shanghai Stock Exchange,0.043
2026-03-31,000001,上证指数,SSE Index,600096,云天化,Yunnan Yuntianhua Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.098
2026-03-31,000001,上证指数,SSE Index,600097,开创国际,"Shanghai Kaichuang Marine International Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,0.004
2026-03-31,000001,上证指数,SSE Index,600098,广州发展,Guangzhou Development Group Incorporated,上海证券交易所,Shanghai Stock Exchange,0.04
2026-03-31,000001,上证指数,SSE Index,600099,林海股份,Linhai Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.004
2026-03-31,000001,上证指数,SSE Index,600100,同方股份,Tsinghua Tongfang Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.043
2026-03-31,000001,上证指数,SSE Index,600101,明星电力,Sichuan Mingxing Electric Power Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.009
2026-03-31,000001,上证指数,SSE Index,600103,青山纸业,Fujian Qingshan Paper Industry Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.012
2026-03-31,000001,上证指数,SSE Index,600104,上汽集团,SAIC Motor Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.271
2026-03-31,000001,上证指数,SSE Index,600105,永鼎股份,"Jiangsu Etern Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,0.066
2026-03-31,000001,上证指数,SSE Index,600106,重庆路桥,Chongqing Road & Bridge Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.012
2026-03-31,000001,上证指数,SSE Index,600108,亚盛集团,Gansu Yasheng Industrial (Group) Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.014
2026-03-31,000001,上证指数,SSE Index,600109,国金证券,Sinolink Securities Co. Ltd.,上海证券交易所,Shanghai Stock Exchange,0.05
2026-03-31,000001,上证指数,SSE Index,600110,诺德股份,"Nuode Investment Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.026
2026-03-31,000001,上证指数,SSE Index,600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,0.279
2026-03-31,000001,上证指数,SSE Index,600113,浙江东日,Zhejiang Dongri Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.034
2026-03-31,000001,上证指数,SSE Index,600114,东睦股份,Ningbo Tongmuo New Material Group Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.028
2026-03-31,000001,上证指数,SSE Index,600115,中国东航,"China Eastern Airlines Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.117
2026-03-31,000001,上证指数,SSE Index,600116,三峡水利,Chongqing Three Gorges Water Conservancy and Electric Power Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.021
2026-03-31,000001,上证指数,SSE Index,600117,西宁特钢,Xining Special Steel Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.014
2026-03-31,000001,上证指数,SSE Index,600118,中国卫星,China Spacesat Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.156
2026-03-31,000001,上证指数,SSE Index,600119,长江投资,Y.U.D. Yangtze River Investment Industry Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.004
2026-03-31,000001,上证指数,SSE Index,600120,浙江东方,"Zhejiang Orient Holdings Group Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,0.031
2026-03-31,000001,上证指数,SSE Index,600121,郑州煤电,Zhengzhou Coal Industry & Electric Power Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.009
2026-03-31,000001,上证指数,SSE Index,600123,兰花科创,Shanxi Lanhua Science-Tech Venture Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.016
2026-03-31,000001,上证指数,SSE Index,600125,铁龙物流,China Railway Tielong Container Logistics Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.015
2026-03-31,000001,上证指数,SSE Index,600126,杭钢股份,Hang Zhou Iron & Steel Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.047
2026-03-31,000001,上证指数,SSE Index,600127,金健米业,"Jinjian Cereals Industry Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.008
2026-03-31,000001,上证指数,SSE Index,600128,苏豪弘业,Soho Holly Corporation,上海证券交易所,Shanghai Stock Exchange,0.004
2026-03-31,000001,上证指数,SSE Index,600129,太极集团,Chongqing Taiji Industry (Group) Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.015
2026-03-31,000001,上证指数,SSE Index,600131,国网信通,"State Grid Information&Communication Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.036
2026-03-31,000001,上证指数,SSE Index,600132,重庆啤酒,Chongqing Brewery Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.044
2026-03-31,000001,上证指数,SSE Index,600133,东湖高新,Wuhan East Lake High Technology Group Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.015
2026-03-31,000001,上证指数,SSE Index,600135,乐凯胶片,Lucky Film Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.01
2026-03-31,000001,上证指数,SSE Index,600137,浪莎股份,Sichuan Langsha Holding Ltd,上海证券交易所,Shanghai Stock Exchange,0.004
2026-03-31,000001,上证指数,SSE Index,600138,中青旅,China CYTS Tours Holding Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.011
