序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日
59,000157,中联重科,7.99,-0.13,0.76,14.22,7.96391218485,0.3209716,70.01095165,711,768,82.4,2026-04-24
60,000158,常山北明,18.84,2.45,4.69,900.48,18.667759412185,0.3022328,69.4177999,97,866,76.8,2026-04-24
61,000159,国际实业,6.69,-0.15,4.54,84.59,6.662125591256,0.284148,67.34693713,-530,1269,72.8,2026-04-24
62,000166,申万宏源,4.63,-0.43,0.26,12.19,4.62688934696,0.4849972,70.81595518,535,652,77.6,2026-04-24
63,000301,东方盛虹,12.45,-0.16,0.3,488.34,12.433070124047,0.2759944,68.74461576,-364,986,83.6,2026-04-24
64,000333,美的集团,79.66,-0.24,0.32,13.79,79.88707657895,0.4422072,79.87735412,-5,57,90.8,2026-04-24
65,000338,潍柴动力,29.59,0.34,2.09,23.59,29.480386628141,0.3806116,72.82183994,-241,431,92.0,2026-04-24
66,000400,许继电气,25.8,-1.34,1.97,59.17,25.860314336312,0.3201288,63.9854526,-229,2052,84.8,2026-04-24
67,000401,金隅冀东,4.64,-1.07,0.33,56.4,4.64281234936,0.27074,63.53977282,883,2191,71.2,2026-04-24
68,000402,金 融 街,2.65,-1.12,0.92,-4.4,2.653186208972,0.369198,58.405427,470,3677,76.8,2026-04-24
69,000403,派林生物,12.55,-1.03,0.53,25.05,12.578442585324,0.2235996,61.98563469,-118,2632,68.0,2026-04-24
70,000404,长虹华意,8.97,3.82,9.5,13.53,8.665276426357,0.2783044,82.51879315,20,21,85.2,2026-04-24
71,000407,胜利股份,4.69,-1.05,2.17,26.5,4.686007085394,0.2586096,59.76006637,-544,3288,67.2,2026-04-24
72,000408,藏格矿业,90.25,3.39,0.97,22.51,88.740550298769,0.4465,81.22614321,223,37,86.4,2026-04-24
73,000409,云鼎科技,10.34,1.67,1.67,88.67,10.231894163142,0.1972804,68.78508653,1626,975,70.0,2026-04-24
74,000410,沈阳机床,6.2,-7.19,4.0,10754.88,6.216058984201,0.34868,56.31458628,-288,4189,71.2,2026-04-24
75,000411,英特集团,11.0,-1.43,1.11,12.4,10.992898340801,0.216228,64.13714114,-510,2001,68.8,2026-04-24
76,000415,渤海租赁,4.56,0.0,1.23,-15.41,4.503131197131,0.3995352,59.17135622,842,3466,69.2,2026-04-24
77,000417,合百集团,6.31,-1.25,1.33,30.72,6.307840151653,0.2551488,58.71228116,-5,3590,63.6,2026-04-24
78,000419,通程控股,5.64,0.89,1.5,24.93,5.593250418787,0.2395616,66.20685743,1137,1490,63.6,2026-04-24
79,000420,吉林化纤,5.13,-2.47,5.44,289.78,5.143835036386,0.2917452,50.46960163,-703,5033,81.6,2026-04-24
80,000421,南京公用,5.96,-0.5,1.39,71.2,5.930730403875,0.209676,58.83455063,-358,3558,69.2,2026-04-24
81,000422,湖北宜化,16.51,1.41,4.94,20.2,16.51483178126,0.3438084,69.95312288,1000,777,79.6,2026-04-24
82,000423,东阿阿胶,52.0,-0.4,0.95,18.41,51.864592084635,0.2672804,75.79954201,16,214,76.8,2026-04-24
83,000425,徐工机械,9.76,-0.41,0.67,14.39,9.743568286243,0.3832624,70.36609062,585,713,83.2,2026-04-24
84,000426,兴业银锡,40.54,-1.36,2.84,42.24,40.347808026768,0.3730736,62.70687671,106,2419,82.0,2026-04-24
85,000428,华天酒店,3.8,0.8,1.37,-18.59,3.758354814032,0.3083108,62.60951375,-42,2452,68.8,2026-04-24
86,000429,粤高速Ａ,12.83,0.47,0.35,14.89,12.805612341381,0.1636804,74.53716801,38,299,72.4,2026-04-24
87,000430,ST张家界,7.85,-0.13,1.18,5.19,7.854433356092,0.327594509804,62.37772773,12,2518,72.0,2026-04-24
88,000488,ST晨鸣,2.76,2.99,2.67,-0.98,2.769762430404,0.3192752,56.6496228,-848,4100,75.6,2026-04-24
89,000498,山东路桥,5.73,-0.52,0.81,3.99,5.721818864627,0.2779844,68.88518684,1152,952,75.2,2026-04-24
90,000501,武商集团,8.23,-0.36,0.88,35.08,8.189883133411,0.3228132,64.17989571,1173,1985,65.6,2026-04-24
91,000503,国新健康,7.35,-2.91,1.83,-39.0,7.354950165355,0.218624,57.07027821,-1099,3992,71.2,2026-04-24
92,000504,*ST生物,9.9,4.98,1.01,468.32,9.651734067861,0.29037,62.31850635,2107,2539,63.6,2026-04-24
93,000505,京粮控股,6.45,-0.46,1.26,-17.62,6.439292480161,0.2438216,53.78830525,-1107,4651,71.6,2026-04-24
94,000506,招金黄金,16.12,-2.18,2.56,19.98,16.120566621922,0.182738,58.57354583,180,3635,76.4,2026-04-24
95,000507,珠海港,5.18,-1.89,1.91,14.39,5.194854815018,0.284724,57.94184043,-1805,3800,73.2,2026-04-24
96,000509,华塑控股,3.49,-0.57,1.57,-349.78,3.489093986479,0.2038896,51.36972286,-101,4955,68.0,2026-04-24
97,000510,新金路,13.75,0.95,7.61,-85.2,13.467977696821,0.2722984,51.89221225,289,4899,67.6,2026-04-24
98,000513,丽珠集团,32.8,-2.26,1.69,12.62,32.789970619406,0.2813656,66.36356117,-285,1446,78.4,2026-04-24
99,000514,渝 开 发,4.72,0.0,0.93,30.84,4.713913650971,0.286116,62.69954855,1326,2423,68.8,2026-04-24
100,000516,国际医学,4.68,2.18,2.06,-54.19,4.695472046756,0.3524772,65.12469978,2089,1743,74.0,2026-04-24
