代码,简称,股东大会名称,召开开始日,股权登记日,现场登记日,网络投票时间-开始日,网络投票时间-结束日,决议公告日,公告日,序列号,提案
601968,宝钢包装,2025年年度股东大会,2026-05-18,2026-05-08,,2026-05-18,2026-05-18,,2026-04-25,235164,"1、关于2025年度董事会工作报告的议案、关于2025年度报告的议案、关于宝钢包装2025年度董事、高级管理人员薪酬执行情况报告的议案
4、关于宝钢包装2025年度财务决算报告的议案
5、关于宝钢包装2025年度利润分配方案的议案
6、关于宝钢包装2026年度财务预算的议案
7、关于开展远期结汇业务暨关联交易的议案
8、关于宝钢包装2025年度内部控制评价报告的议案"
002695,煌上煌,2025年年度股东大会,2026-05-18,2026-05-12,,2026-05-18,2026-05-18,,2026-04-25,235117,"1、《2025年度董事会工作报告》、《2025年度财务决算报告及2026年度财务预算报告》、《2025年度利润分配及资本公积金转增股本预案》
4、《2025年年度报告及摘要》
5、《关于制定董事、高级管理人员薪酬管理制度的议案》
6、《2026年度董事薪酬方案》
7、《关于制定公司未来三年(2026-2028年)股东回报规划的议案》"
600748,上实发展,2026年第1次临时股东大会,2026-05-14,2026-05-07,,2026-05-14,2026-05-14,,2026-04-25,235118,1、公司关于与上海上实集团财务有限公司签订《金融服务协议》暨关联交易的议案
600604,市北高新,2025年年度股东大会,2026-05-18,2026-05-07,,2026-05-18,2026-05-18,,2026-04-25,235115,"1、2025年年度报告及摘要、2025年度董事会工作报告、独立董事2025年度述职报告
4、2025年度财务决算和2026年财务预算
5、2025年度利润分配方案
6、关于2026年日常关联交易预计的议案
7、关于公司2026年对外融资计划的议案
8、关于制定公司董事、高级管理人员薪酬管理制度的议案
9、关于2026年公司董事薪酬方案的议案
10、关于公司注册发行中期票据的议案"
300213,佳讯飞鸿,2025年年度股东大会,2026-05-18,2026-05-11,,2026-05-18,2026-05-18,,2026-04-25,235116,"1、《关于<公司2025年度董事会工作报告>的议案》、《关于<2025年年度报告全文>及<2025年年度报告摘要>的议案》、《关于2025年度利润分配预案的议案》
4、《关于续聘2026年度审计机构的议案》
5、《关于公司向金融机构申请综合授信额度的议案》
6、《关于制定<董事、高级管理人员薪酬管理制度>的议案》
7、《关于2026年度董事薪酬方案的议案》
8、《关于补选公司第七届董事会独立董事的议案》"
601918,新集能源,2025年年度股东大会,2026-06-11,2026-06-05,,2026-06-11,2026-06-11,,2026-04-25,235119,"1、关于《公司2025年度董事会工作报告》的议案、关于《公司2025年度利润分配预案》的议案、关于公司与中国中煤能源集团有限公司及其控股企业2025年度关联交易实际发生情况的议案
4、关于续聘2026年度审计机构的议案
5、关于公司2026年度融资额度的议案
6、关于制定《公司董事和高级管理人员薪酬管理办法》的议案
7、关于制定《2026年度公司董事薪酬方案》的议案
8、关于选举公司第十一届董事会董事的议案"
688195,腾景科技,2025年年度股东大会,2026-05-15,2026-05-11,,2026-05-15,2026-05-15,,2026-04-25,235121,"1、《2025年度董事会工作报告》、《2025年度利润分配及资本公积金转增股本方案》、《关于变更注册资本、修订<公司章程>并办理工商变更登记的议案》
4、《关于续聘公司2026年度审计机构的议案》
5、《关于修订<董事和高级管理人员薪酬管理制度>的议案》
6、《关于确认董事2025年度薪酬及2026年度薪酬方案的议案》"
600409,三友化工,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235123,"1、2025年度董事会工作报告、2025年度利润分配预案、关于在公司领薪的董事2025年度考核情况及其薪酬的议案
4、2026年度筹融资计划
5、关于2026年度为子公司提供担保的议案
6、关于2026年度子公司为子公司提供担保的议案
7、关于聘请2026年度财务审计机构的议案
8、关于聘请2026年度内部控制审计机构的议案
9、关于与关联方签署《日常关联交易框架协议》的议案"
300887,谱尼测试,2025年年度股东大会,2026-05-18,2026-05-13,,2026-05-18,2026-05-18,,2026-04-25,235120,"1、《关于<2025年度董事会工作报告>的议案》、《关于<2025年度财务决算报告>的议案》、《关于<2025年年度报告>全文及其摘要的议案》
4、《关于2025年度拟不进行利润分配的议案》
5、《关于续聘2026年度审计机构的议案》
6、《关于董事和高级管理人员2025年度薪酬与考核的议案》
7、《关于制定<董事和高级管理人员离职管理制度>、<董事和高级管理人员薪酬管理制度>的议案》"
600522,中天科技,2025年年度股东大会,2026-05-21,2026-05-14,,2026-05-21,2026-05-21,,2026-04-25,235122,"1、关于变更部分募集资金投资项目的议案、关于开展2026年度期货和衍生品交易的议案、关于制定《江苏中天科技股份有限公司董事和高级管理人员薪酬管理制度》的议案
4、江苏中天科技股份有限公司2025年度董事会工作报告
5、江苏中天科技股份有限公司2025年年度报告及摘要
6、江苏中天科技股份有限公司关于2025年度募集资金存放、管理与实际使用情况的专项报告
7、江苏中天科技股份有限公司2025年度独立董事述职报告
8、江苏中天科技股份有限公司2025年度内部控制评价报告
9、江苏中天科技股份有限公司2025年度利润分配方案
10、关于续聘中兴华会计师事务所(特殊普通合伙)为公司2026年度审计机构的议案
11、关于公司董事2025年度薪酬确认及2026年度薪酬方案的议案
12、关于选举公司第九届董事会非独立董事的议案"
600780,通宝能源,2025年年度股东大会,2026-06-17,2026-06-08,,2026-06-17,2026-06-17,,2026-04-25,235112,"1、2025年度董事会工作报告、2025年度独立董事述职报告、2025年度利润分配方案
4、关于续聘2026年度审计机构的议案
5、董事、高级管理人员薪酬管理制度
6、2026年度董事薪酬方案
7、关于公司董事2025年度薪酬执行情况的议案
8、2026年度经营建议计划"
300860,锋尚文化,2025年年度股东大会,2026-05-15,2026-05-11,,2026-05-15,2026-05-15,,2026-04-25,235105,1、《2025年年度报告及摘要》、《2025年度董事会工作报告》、《关于2025年度利润分配预案的议案》
301022,海泰科,2025年年度股东大会,2026-06-26,2026-06-18,,2026-06-26,2026-06-26,,2026-04-25,235106,"1、《关于公司2025年度董事会工作报告的议案》、《关于公司2025年年度报告及摘要的议案》、《关于确认董事2025年度薪酬及拟定2026年度薪酬方案的议案》
4、《关于公司2025年度利润分配预案的议案》
5、《关于公司2026年度续聘审计机构的议案》
6、《董事会议事规则》
7、《董事、高级管理人员薪酬管理制度》"
600206,有研新材,2025年年度股东大会,2026-05-19,2026-05-08,,2026-05-19,2026-05-19,,2026-04-25,235103,"1、关于修订《有研新材股东会议事规则》的议案、关于修订《有研新材董事会议事规则》的议案、2025年度董事会工作报告
4、2025年度独立董事述职报告
5、关于延长 2024 年度向特定对象发行 A 股股票股东会决议有效期及授权有效期的议案
6、关于使用自有资金进行投资理财的议案
7、2025年度日常关联交易情况和预计2026年度日常关联交易情况议案
8、关于续聘信永中和会计师事务所(特殊普通合伙)为公司2026年度审计机构的议案
9、关于控股子公司有研亿金开展商品期货套期保值业务的议案
10、关于提请股东会授权董事会调整商品期货套期保值业务的议案
11、2025年度利润分配预案
12、关于提请股东会授权董事会制定2026年中期分红方案的议案"
000821,ST京机,2025年年度股东大会,2026-05-19,2026-05-13,,2026-05-19,2026-05-19,,2026-04-25,235104,"1、《2025年度董事会工作报告》、《2025年度报告和报告摘要》、《关于续聘会计师事务所的议案》
4、《关于2026年度对外担保额度预计的议案》
5、《2025年度利润分配预案》
6、《关于董事2025年度薪酬情况及2026年度薪酬方案的议案》
7、《未来三年股东回报规划(2026-2028年)》
8、《关于修订<董事、高级管理人员薪酬管理制度>的议案》
9、《关于董事会换届选举非独立董事的议案》
10、《关于董事会换届选举独立董事的议案》"
601112,振石股份,2025年年度股东大会,2026-05-18,2026-05-11,,2026-05-18,2026-05-18,,2026-04-25,235107,"1、公司2025年度董事会工作报告、《公司2025年年度报告》及其摘要、关于2025年度利润分配方案的议案
4、关于确认董事2025年度薪酬及2026年度薪酬方案的议案
5、关于续聘2026年度审计机构的议案
6、关于确认2025年度日常关联交易及预计2026年度日常关联交易的议案
7、关于授权公司及子公司2026年融资授信总额度的议案
8、关于授权公司及全资子公司2026年为下属子公司提供银行授信担保总额度的议案
9、关于变更公司注册资本、公司类型及修订《公司章程》并办理工商变更登记的议案
10、关于制定《公司董事、高级管理人员薪酬管理制度》的议案"
000985,大庆华科,2025年年度股东大会,2026-05-21,2026-05-14,,2026-05-21,2026-05-21,,2026-04-25,235110,"1、2025年度董事会工作报告、2025年度利润分配方案、关于授权董事会决定2026年中期利润分配方案的议案
4、2025年年度报告全文及摘要
5、关于修订《大庆华科股份有限公司董事、高级管理人员薪酬管理制度》的议案"
600316,洪都航空,2025年年度股东大会,2026-05-20,2026-05-13,,2026-05-20,2026-05-20,,2026-04-25,235111,"1、公司2025年度董事会工作报告、公司2026年度财务预算报告、公司2025年度财务决算报告
4、关于预计公司2026年度日常关联交易的议案
5、关于授权公司管理层办理融资业务的议案
6、公司2025年度利润分配方案
7、公司2025年年度报告及摘要
8、关于续聘会计师事务所的议案
9、关于调整公司独立董事津贴的议案
10、关于与中航工业集团财务有限责任公司签署《金融服务框架协议》暨关联交易的议案"
601567,三星电气,2025年年度股东大会,2026-05-15,2026-05-11,,2026-05-15,2026-05-15,,2026-04-25,235108,"1、关于2025年度董事会工作报告的议案、关于2025年度独立董事述职报告的议案、关于2025年度财务报告的议案
4、关于2025年年度报告及其摘要的议案
5、关于2025年度利润分配方案的议案
6、关于公司及控股子公司向银行申请授信额度的议案
7、关于为控股子公司提供担保的议案
8、关于2025年度董事薪酬的议案
9、关于2026年度非独立董事薪酬方案的议案
10、关于选聘安永会计师事务所为公司2026年度财务及内控审计机构的议案"
002067,景兴纸业,2025年年度股东大会,2026-05-15,2026-05-11,,2026-05-15,2026-05-15,,2026-04-25,235109,"1、《2025年度董事会工作报告》、《2025年年度报告》、《关于2025年度利润分配预案的议案》
4、《关于拟续聘会计师事务所的议案》
5、《关于公司及子公司2026年度向银行申请授信额度及相关授权的议案》
6、《关于2026年度公司向控股子公司提供及由子公司向母公司提供担保额度的议案》
7、《关于与平湖弘欣热电有限公司续签互保协议的议案》
8、《关于增加经营范围并修订<公司章程>的议案》
9、《关于制定<董事、高级管理人员薪酬管理制度>的议案》
10、《关于2026年度公司董事薪酬方案的议案》"
603833,欧派家居,2025年年度股东大会,2026-05-18,2026-05-08,,2026-05-18,2026-05-18,,2026-04-25,235102,"1、公司2025年度董事会工作报告、关于公司2025年年度报告全文及其摘要的议案、关于公司2025年度利润分配预案的议案
4、关于公司非独立董事2025年度薪酬确认及2026年度薪酬方案的议案
5、关于修订《公司董事(非独立董事)、高级管理人员薪酬与考核管理办法》的议案
6、关于续聘华兴会计师事务所(特殊普通合伙)为公司2026年度财务报告审计机构和内部控制审计机构的议案
7、关于提请股东会授权董事会制定2026年度中期分红方案的议案"
605162,新中港,2025年年度股东大会,2026-05-18,2026-05-13,,2026-05-18,2026-05-18,,2026-04-25,235133,"1、《关于2025年度董事会工作报告的议案》、《关于2025年度利润分配预案的议案》、《关于2026年度董事薪酬的议案》
4、《关于制定<董事、高级管理人员薪酬管理制度>的议案》"
603817,海峡环保,2025年年度股东大会,2026-06-04,2026-05-29,,2026-06-04,2026-06-04,,2026-04-25,235098,"1、《2025年度董事会工作报告》、《独立董事2025年度述职报告》、《2025年年度利润分配方案》
4、《2025年年度报告及其摘要》
5、《关于2026年度申请银行综合授信额度的议案》
6、《关于聘请2026年度审计机构的议案》
7、《关于制定<董事、高级管理人员薪酬管理制度>的议案》"
600498,烽火通信,2025年年度股东大会,2026-05-15,2026-05-11,,2026-05-15,2026-05-15,,2026-04-25,235131,"1、《2025年度董事会工作报告》、《2025年度独立董事述职报告》、关于预计2026年度日常关联交易的议案
4、关于公司及子公司向金融机构申请信贷业务办理额度的议案
5、关于公司及子公司开展金融衍生品业务的议案
6、2025年度公司利润分配方案
7、关于修改《公司章程》有关条款的议案
8、《董事、高级管理人员薪酬管理制度》
9、2026年度董事薪酬方案
10、2025年度报告正文及摘要"
003040,楚天龙,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235132,"1、《关于2025年度董事会工作报告的议案》、《关于2025年年度报告全文及其摘要的议案》、《关于2025年度利润分配预案的议案》
4、《关于公司董事2025年度薪酬情况及2026年度薪酬方案的议案》
5、《关于提请股东会授权董事会办理小额快速融资相关事宜的议案》"
002112,三变科技,2025年年度股东大会,2026-05-15,2026-05-07,,2026-05-15,2026-05-15,,2026-04-25,235134,"1、《2025年年度报告及其摘要》、《2025年度董事会工作报告》、《2025年度财务决算报告》
4、《2025年度利润分配预案》
5、《关于2026年度向金融机构申请综合授信、融资额度的议案》
6、《关于续聘公司2026年度审计机构的议案》
7、《关于确认董事2025年度薪酬及2026年度薪酬方案的议案》
8、《关于制定<董事、高级管理人员薪酬管理制度>的议案》
9、《关于修订<董事、高级管理人员离职管理制度>的议案》"
603321,梅轮电梯,2025年年度股东大会,2026-05-20,2026-05-15,,2026-05-20,2026-05-20,,2026-04-25,235137,"1、关于公司董事会2025年度工作报告的议案、关于公司2025年度利润分配方案的议案、关于公司2025年年度报告及摘要的议案
4、关于续聘公司2026年度审计机构暨确认审计费用的议案
5、关于公司2025年度董事和高级管理人员薪酬方案的议案
6、关于授权董事长决定投资理财事项的议案
7、关于向银行申请授信额度的议案
8、关于修订《董事、高级管理人员薪酬管理制度》的议案
9、关于公司《2025年度募集资金存放及使用情况的专项报告》的议案"
600501,航天晨光,2025年年度股东大会,2026-05-28,2026-05-25,,2026-05-28,2026-05-28,,2026-04-25,235138,"1、公司2025年度董事会工作报告、公司2025年年度报告全文及摘要、关于公司2025年财务决算和2026年财务预算的议案
4、关于公司2025年度拟不进行利润分配的议案
5、关于公司2026年向金融机构申请综合授信额度的议案
6、关于公司2026年度关联交易总额的议案
7、关于公司未弥补亏损达到实收股本总额三分之一的议案
8、关于选举公司董事的议案"
688335,复洁科技,2025年年度股东大会,2026-05-18,2026-05-13,,2026-05-18,2026-05-18,,2026-04-25,235135,"1、《关于<2025年度董事会工作报告>的议案》、《关于确认公司董事2025年度薪酬发放情况及2026年度薪酬方案的议案》、《关于续聘公司2026年度财务及内部控制审计机构的议案》
4、《关于<2025年年度利润分配预案>的议案》
5、《关于制定<未来三年(2026年-2028年)股东分红回报规划>的议案》
6、《关于修订<董事、高级管理人员薪酬管理制度>的议案》
7、《关于使用超募资金永久补充流动资金的议案》
8、《关于提请股东会授权董事会办理以简易程序向特定对象发行股票的议案》"
301151,冠龙节能,2025年年度股东大会,2026-05-20,2026-05-13,,2026-05-20,2026-05-20,,2026-04-25,235136,"1、《关于<2025年度董事会工作报告>的议案》、《关于<2025年年度报告>及其摘要的议案》、《关于公司2025年度利润分配预案的议案》
4、《关于公司董事2026年度薪酬方案的议案》
5、《关于使用部分闲置募集资金及自有资金进行现金管理的议案》
6、《关于提请股东会授权董事会进行2026年中期分红的议案》
7、《关于公司及全资子公司向银行申请综合授信额度的议案》
8、《关于制定<董事、高级管理人员薪酬管理制度>的议案》
9、《关于购买董事、高级管理人员责任险的议案》
10、逐项审议《关于选举公司第三届董事会非独立董事的议案》
11、逐项审议《关于选举公司第三届董事会独立董事的议案》"
600380,健康元,2025年年度股东大会,2026-06-01,2026-05-21,,2026-06-01,2026-06-01,,2026-04-25,235099,"1、《2025年度董事会工作报告》、《2025年度财务决算报告》、《2025年度利润分配方案》
4、《关于本公司授信融资及为下属子公司提供融资担保的议案》
5、《关于调整使用闲置自有资金进行委托理财额度的议案》
6、《关于公司董事2026年度薪酬(津贴)方案的议案》
7、《关于修订<健康元药业集团股份有限公司董事、高级管理人员薪酬及绩效考核管理制度>的议案》
8、《关于续聘致同会计师事务所(特殊普通合伙)为2026年度年审会计师事务所的议案》
9、《关于修订<公司章程>部分条款的议案》"
600926,杭州银行,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235126,"1、杭州银行股份有限公司2025年度董事会工作报告、杭州银行股份有限公司2025年度财务决算报告及2026年度财务预算方案、杭州银行股份有限公司2025年度利润分配方案
4、关于提请股东会授权董事会决定2026年度中期利润分配方案的议案
5、杭州银行股份有限公司关于部分关联方2026年度日常关联交易预计额度的议案
6、关于聘任杭州银行股份有限公司2026年度会计师事务所的议案
7、关于修订《杭州银行股份有限公司独立董事制度实施办法》的议案
8、关于修订《杭州银行股份有限公司股权管理办法》的议案
9、关于修订《杭州银行股份有限公司关联交易管理办法》的议案
10、关于制定《杭州银行股份有限公司董事、高级管理人员薪酬管理制度》的议案
11、关于制定《杭州银行股份有限公司2026年度董事薪酬方案》的议案
12、关于选举张精科先生为杭州银行股份有限公司第八届董事会董事的议案"
301500,飞南资源,2025年年度股东大会,2026-05-18,2026-05-12,,2026-05-18,2026-05-18,,2026-04-25,235127,"1、关于2025年年度报告及其摘要的议案、关于2025年度董事会工作报告的议案、关于2025年度利润分配方案的议案
4、关于确认2025年度董事薪酬及拟定2026年度薪酬方案的议案
5、关于2026年度向银行等机构申请综合授信额度的议案
6、关于2026年度为子公司提供担保额度的议案
7、关于以结构性存款等资产质押开展授信融资业务的议案
8、关于增加商品期货套期保值业务保证金额度的可行性分析报告的议案
9、关于增加商品期货套期保值业务保证金额度的议案
10、关于回购注销及作废2024年限制性股票激励计划部分限制性股票的议案
11、关于公司吸收合并全资子公司四会晟南的议案
12、关于制定《董事、高级管理人员薪酬及绩效考核管理制度》的议案"
301318,维海德,2025年年度股东大会,2026-05-18,2026-05-12,,2026-05-18,2026-05-18,,2026-04-25,235124,"1、《关于2025年年度报告全文及摘要的议案》、《关于2025年度董事会工作报告的议案》、《关于2025年度利润分配预案的议案》
4、《关于开展金融衍生品交易业务的议案》
5、《关于变更注册资本及修订<公司章程>的议案》
6、《关于制定<董事、高级管理人员薪酬管理制度>的议案》
7、《关于2026年度董事薪酬方案的议案》"
688553,汇宇制药,2025年年度股东大会,2026-05-15,2026-05-12,,2026-05-15,2026-05-15,,2026-04-25,235125,"1、《关于公司<2025年度董事会工作报告>的议案》、《关于<2025年度利润分配及资本公积转增股本方案>的议案》、《关于续聘2026年度审计机构、内部控制审计机构的议案》
4、《关于公司2026年度董事薪酬方案的议案》
5、《关于使用部分闲置自有资金投资金融产品的议案》
6、《关于<公司2026年限制性股票激励计划(草案)>及其摘要的议案》
7、《关于<公司2026年限制性股票激励计划实施考核管理办法>的议案》
8、《关于提请股东会授权董事会办理股权激励相关事宜的议案》
9、《关于公司董事会换届选举暨提名第三届董事会非独立董事候选人的议案》
10、《关于公司董事会换届选举暨提名第三届董事会独立董事候选人的议案》"
603344,星德胜,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235128,"1、关于2025年度董事会工作报告的议案、关于2025年度利润分配方案的议案、关于续聘会计师事务所的议案
4、关于2026年度董事薪酬方案的议案
5、关于修订《董事、高级管理人员薪酬制度》的议案
6、关于预计2026年度担保额度的议案
7、关于调整自有资金现金管理额度和期限的议案
8、关于修订《公司章程》并办理工商登记的议案"
688215,瑞晟智能,2025年年度股东大会,2026-05-19,2026-05-14,,2026-05-19,2026-05-19,,2026-04-25,235129,"1、《关于公司<2025年度董事会工作报告>的议案》、《关于公司<2025年度独立董事述职报告>的议案》、《关于公司2025年度利润分配及资本公积金转增股本预案的议案》
4、《关于修订公司治理制度的议案》
5、《关于变更公司注册资本、修订<公司章程>并办理工商变更登记的议案》
6、《关于公司董事2026年度薪酬方案的议案》
7、《关于公司续聘2026年度审计机构的议案》
8、《关于公司申请综合授信额度及提供担保的议案》
9、《关于提请股东会授权董事会办理以简易程序向特定对象发行股票相关事宜的议案》"
301539,宏鑫科技,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235130,"1、《关于公司及子公司2026年度向银行申请综合授信额度并为子公司提供担保的议案》、《关于<2025年度董事会工作报告>的议案》、《关于<2025年年度报告>及其摘要的议案》
4、《关于<公司2025年度利润分配预案>的议案》
5、《关于续聘2026年度审计机构的议案》
6、《关于公司2026年度董事、高级管理人员薪酬及津贴方案的议案》
7、《关于制定<董事和高级管理人员薪酬管理制度>的议案》
8、《关于开展外汇套期保值业务的议案》"
002286,保龄宝,2025年年度股东大会,2026-05-21,2026-05-13,,2026-05-21,2026-05-21,,2026-04-25,235101,"1、《2025年度董事会工作报告》、《2025年年度报告》及摘要、《2025年度财务报告》
4、《2025年度利润分配预案》
5、《关于公司预计与山东禹城农村商业银行股份有限公司关联交易的议案》
6、《关于续聘和信会计师事务所(特殊普通合伙)为公司2026年度审计机构的议案》
7、《关于向银行继续申请银行融资额度的议案》
8、《关于提请股东会授权董事会办理以简易程序向特定对象发行股票的议案》
9、《关于提请股东会授权董事会制定并执行2026年中期分红方案的议案》
10、《关于公司董事、高级管理人员2025年度薪酬确认及2026年度薪酬方案的议案》
11、《关于制定<薪酬管理制度>的议案》
12、《关于回购注销2025年限制性股票激励计划部分限制性股票的议案》
13、《关于公司注册资本变更的议案》
14、《关于修订<公司章程>并办理工商变更登记的议案》"
301023,奕帆传动,2025年年度股东大会,2026-05-18,2026-05-12,,2026-05-18,2026-05-18,,2026-04-25,235100,"1、《关于<2025年度董事会工作报告>的议案》、《关于公司2025年度利润分配及资本公积转增股本预案的议案》、《关于<公司董事2026年度薪酬方案>的议案》
4、《关于<拟购买董高责任险>的议案》
5、《关于<续聘2026年度会计师事务所>的议案》
6、《关于变更公司注册资本暨修改<公司章程>的议案》"
300542,新晨科技,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235205,"1、关于《新晨科技股份有限公司2025年年度报告》的议案、关于《新晨科技股份有限公司2025年度董事会工作报告》的议案、关于《新晨科技股份有限公司2025年度财务决算报告》的议案
4、关于新晨科技股份有限公司2025年度利润分配预案的议案
5、关于新晨科技股份有限公司2025年度董事薪酬确认及2026年度董事薪酬方案的议案
6、关于修订《董事、高级管理人员薪酬管理制度》的议案
7、关于购买董事及高级管理人员责任保险的议案"
600469,风神股份,2025年年度股东大会,2026-05-15,2026-05-11,,2026-05-15,2026-05-15,,2026-04-25,235206,"1、关于公司2025年度董事会工作报告的议案、关于公司2025年度报告及其摘要的议案、关于公司2025年度财务决算报告及2026年度预算报告的议案
4、关于公司2025年度利润分配预案的议案
5、关于续聘会计师事务所的议案
6、关于公司向银行申请综合授信额度的议案
7、关于公司预估2025年度日常关联交易的议案
8、关于续订公司董监高责任保险的议案
9、关于变更注册资本及修订《公司章程》的议案
10、关于公司2026年度董事、高级管理人员薪酬方案的议案"
301255,通力科技,2025年年度股东大会,2026-05-25,2026-05-20,,2026-05-25,2026-05-25,,2026-04-25,235203,"1、《关于2025年度董事会工作报告的议案》、《关于2025年度财务决算报告的议案》、《关于2025年年度报告全文及摘要的议案》
4、《关于公司2025年度利润分配预案的议案》
5、《关于拟续聘2026年度会计师事务所的议案》
6、《关于确认董事2025年度薪酬及拟定2026年度薪酬方案的议案》
7、《关于公司2026年度向银行申请综合授信额度的议案》
8、《关于提请股东会授权董事会以简易程序向特定对象发行股票的议案》"
301395,仁信新材,2025年年度股东大会,2026-05-20,2026-05-14,,2026-05-20,2026-05-20,,2026-04-25,235204,"1、《关于<2025年年度报告>及其摘要的议案》、《关于公司<2025年度董事会工作报告>的议案》、《关于2025年度利润分配方案的议案》
4、《关于修订<董事、高级管理人员薪酬管理制度>的议案》
5、《关于董事2025年薪酬确认及2026年度薪酬方案的议案》
6、《关于向银行申请综合授信暨为全资子公司提供担保的议案》
7、《关于续聘2026年度审计机构的议案》
8、《关于提请股东会授权董事会办理以简易程序向特定对象发行股票相关事宜的议案》"
