统计时间,国外资产,外汇,货币黄金,其他国外资产,对政府债权,其中:中央政府,对其他存款性公司债权,对其他金融性公司债权,对非货币金融机构债权,对非金融性公司债权,其他资产,总资产,储备货币,发行货币,金融性公司存款,其他存款性公司,其他金融性公司,对金融机构负债,准备金存款,非金融性公司存款,活期存款,债券,国外负债,政府存款,自有资金,其他负债,总负债
2025.1,232849.4,219330.18,4317.53,9201.69,28114.36,28114.36,184628.65,6676.05,,,14306.26,466574.72,388712.59,148040.73,209762.23,209762.23,,,,,,2673.7,4310.16,47737.69,219.75,16970.26,466574.72
2024.12,233256.54,219918.95,4284.69,9052.9,28781.48,28781.48,156430.27,6709.92,,,15335.1,440513.31,368040.14,133302.35,210586.2,210586.2,,,,,,1570.9,3106.89,44997.2,219.75,16465.92,440513.31
2024.11,233579.18,220344.35,4223.42,9011.41,26655.62,26655.62,170560.57,6856.68,,,16055.06,453707.1,367396.09,128819.88,214781.04,214781.04,,,,,,1583.4,2590.73,58613.66,219.75,18473.32,453707.1
2024.10,234018.82,220733.04,4192.6,9093.19,24636.28,24636.28,165551.56,7027.95,,,16122.87,447357.48,361837.26,127121.76,211051.8,211051.8,,,,,,1594.7,1502.35,56889.61,219.75,18080.61,447357.48
2024.9,234347.05,220966.47,4192.6,9187.98,22613.79,22613.79,174252.83,7427.28,,,16409.69,455050.63,379130.07,126973.62,227983.54,227983.54,,,,,,1547.5,1680.53,48070.71,219.75,17527.04,455050.63
2024.8,234685.65,221230.64,4192.6,9262.42,20311.26,20311.26,160380.92,7120.86,,,16398.85,438897.54,358871.1,124124.6,211050.55,211050.55,,,,,,1550.0,4083.19,50701.98,219.75,16647.0,438897.54
2024.7,234996.75,221549.32,4192.6,9254.84,15240.68,15240.68,164405.73,5499.2,,,16326.78,436469.16,364409.65,123570.81,217641.28,217641.28,,,,,,1550.0,4903.19,46810.71,219.75,11845.43,436469.16
2024.6,235325.91,221899.72,4192.6,9233.6,15240.68,15240.68,165509.41,3800.2,,,16670.58,436546.79,371285.63,122507.22,225480.77,225480.77,,,,,,1550.0,4347.01,41319.43,219.75,11123.38,436546.79
2024.5,235608.36,222260.78,4192.6,9154.98,15240.68,15240.68,156440.47,2999.55,,,19248.52,429537.58,357630.07,121754.03,212872.54,212872.54,,,,,,1400.0,4923.15,47450.07,219.75,11380.27,429537.58
2024.4,235682.32,222450.45,4192.6,9039.28,15240.68,15240.68,155232.44,3016.47,,,19253.31,428425.22,362776.04,122294.45,217317.11,217317.11,,,,,,1350.0,4764.78,41964.33,219.75,11450.07,428425.22
2024.3,235897.47,222681.72,4181.74,9034.01,15240.68,15240.68,163526.82,3218.2,,,20977.51,438860.69,370949.95,122842.95,224850.04,224850.04,,,,,,1350.0,3772.71,43559.77,219.75,13111.66,438860.69
2024.2,235356.4,222180.64,4156.2,9019.57,15240.68,15240.68,170210.62,2974.65,,,21911.54,445693.9,372018.11,128502.36,218727.82,218727.82,,,,,,1250.0,4372.95,50021.12,219.75,11987.33,445693.9
2024.1,234437.54,221332.16,4099.83,9005.54,15240.68,15240.68,183102.23,2173.32,,,21472.99,456426.77,377314.15,128527.46,223923.22,223923.22,,,,,,1250.0,4156.62,55664.17,219.75,11956.39,456426.77
2023.12,233548.51,220453.85,4052.88,9041.78,15240.68,15240.68,185561.01,1310.9,,,21283.04,456944.14,389036.93,118660.94,245687.45,245687.45,,,,,,1250.0,3062.34,46291.74,219.75,11044.96,456944.14
