日期,科技投入指数,变化值
2015-08-01,27.5624,0.0
2015-09-01,23.012985,-4.549415
2015-10-01,25.229635,2.216649999999998
2015-11-01,25.94945,0.7198150000000005
2015-12-01,24.258245,-1.691205
2016-01-01,26.911195,2.6529500000000006
2016-02-01,31.73748,4.826285000000002
2016-03-01,30.70715,-1.0303300000000029
2016-04-01,34.91394,4.206789999999998
2016-05-01,35.573965,0.6600250000000045
2016-06-01,34.402,-1.1719650000000001
2016-07-01,36.21519,1.8131899999999987
2016-08-01,35.525825,-0.6893650000000022
2016-09-01,33.28571,-2.240114999999996
2016-10-01,34.93376,1.6480499999999978
2016-11-01,34.850355,-0.08340499999999906
2016-12-01,30.57732,-4.273035
2017-01-01,28.839685,-1.737635000000001
2017-02-01,31.474505,2.6348200000000013
2017-03-01,30.811635,-0.6628700000000016
2017-04-01,30.404375,-0.4072599999999973
2017-05-01,23.5855,-6.818875000000002
2017-06-01,25.085585,1.5000849999999986
2017-07-01,31.59626,6.510675000000003
2017-08-01,30.23204,-1.3642199999999995
2017-09-01,36.26875,6.036709999999996
2017-10-01,30.45327,-5.815479999999997
2017-11-01,29.143685,-1.3095849999999984
2017-12-01,32.34073,3.1970449999999992
2018-01-01,34.36334,2.0226100000000002
2018-02-01,29.673795,-4.6895450000000025
2018-03-01,33.585835,3.9120400000000046
2018-04-01,30.552785,-3.033050000000003
2018-05-01,30.34818,-0.20460500000000081
2018-06-01,27.354525,-2.9936550000000004
2018-07-01,26.55837,-0.7961549999999988
2018-08-01,28.10467,1.5462999999999987
2018-09-01,26.71184,-1.39283
2018-10-01,27.431625,0.7197850000000017
2018-11-01,29.25984,1.8282150000000001
2018-12-01,27.594155,-1.6656849999999999
2019-01-01,27.991965,0.3978099999999998
2019-02-01,30.438575,2.4466099999999997
2019-03-01,30.165065,-0.2735100000000017
2019-04-01,31.08493,0.9198650000000015
2019-05-01,28.33397,-2.750959999999999
2019-06-01,29.114665,0.7806949999999979
2019-07-01,27.2853,-1.8293649999999992
2019-08-01,27.089065,-0.19623499999999794
2019-09-01,26.27968,-0.8093850000000025
2019-10-01,28.1313,1.8516200000000005
2019-11-01,27.88279,-0.24850999999999956
2019-12-01,28.36133,0.47853999999999886
2020-01-01,27.90779,-0.4535400000000003
2020-02-01,28.507215,0.5994250000000001
2020-03-01,29.163155,0.6559400000000011
2020-04-01,31.99081,2.827655
2020-05-01,30.04126,-1.9495499999999986
2020-06-01,27.82354,-2.21772
2020-07-01,27.52253,-0.30101000000000155
2020-08-01,27.54697,0.024440000000002016
2020-09-01,27.078005,-0.46896500000000074
2020-10-01,28.19446,1.1164549999999984
2020-11-01,29.65127,1.4568100000000008
2020-12-01,29.2738,-0.37746999999999886
2021-01-01,29.696345,0.4225449999999995
2021-02-01,30.02719,0.33084500000000006
2021-03-01,28.757665,-1.2695250000000016
2021-04-01,28.54898,-0.20868499999999912
2021-05-01,29.376295,0.8273149999999987
2021-06-01,30.122405,0.7461100000000016
2021-07-01,27.837615,-2.284790000000001
2021-08-01,27.48885,-0.3487650000000002
2021-09-01,27.384085,-0.10476500000000044
2021-10-01,27.67071,0.2866250000000008
2021-11-01,29.04446,1.3737500000000011
2021-12-01,26.347445,-2.6970150000000004
2022-01-01,26.50455,0.15710499999999783
2022-02-01,28.6707,2.166150000000002
2022-03-01,28.4526,-0.21809999999999974
2022-04-01,28.31766,-0.13494000000000028
2022-05-01,28.30412,-0.013539999999998997
2022-06-01,27.87619,-0.4279299999999999
2022-07-01,28.74379,0.8675999999999995
2022-08-01,27.42767,-1.3161200000000015
2022-09-01,27.67477,0.24709999999999965
2022-10-01,29.81129,2.136520000000001
2022-11-01,28.1712,-1.6400900000000007
2022-12-01,27.87636,-0.29484000000000066
2023-01-01,26.42311,-1.453249999999997
2023-02-01,25.43374,-0.989370000000001
2023-03-01,26.358125,0.9243850000000009
2023-04-01,29.33092,2.972794999999998
2023-05-01,29.669665,0.3387449999999994
2023-06-01,28.271975,-1.3976899999999972
2023-07-01,30.17367,1.9016950000000001
2023-08-01,29.02495,-1.1487200000000009
2023-09-01,27.94619,-1.078759999999999
2023-10-01,26.87597,-1.0702200000000026
2023-11-01,29.20495,2.3289800000000014
