债券代码,债券简称,公告日期,转股代码,转股简称,转股价格,自愿转换期起始日,自愿转换期终止日,标的股票,债券名称
111023,利柏转债,2026-01-05,,,,2026-01-09,2031-07-02,605167,2025年江苏利柏特股份有限公司向不特定对象发行可转换公司债券
111023,利柏转债,2025-06-30,,,12.14,2026-01-09,2031-07-02,605167,2025年江苏利柏特股份有限公司向不特定对象发行可转换公司债券
113696,伯25转债,2025-12-29,,,,2026-01-07,2031-06-30,603596,2025年芜湖伯特利汽车安全系统股份有限公司向不特定对象发行可转换公司债券
113696,伯25转债,2025-06-26,,,52.42,2026-01-07,2031-06-30,603596,2025年芜湖伯特利汽车安全系统股份有限公司向不特定对象发行可转换公司债券
118057,甬矽转债,2025-12-27,,,,2026-01-05,2031-06-25,688362,2025年甬矽电子(宁波)股份有限公司向不特定对象发行可转换公司债券
118057,甬矽转债,2025-06-23,,,28.39,2026-01-05,2031-06-25,688362,2025年甬矽电子(宁波)股份有限公司向不特定对象发行可转换公司债券
113695,华辰转债,2025-12-18,,,,2025-12-26,2031-06-19,603097,2025年江苏华辰变压器股份有限公司向不特定对象发行可转换公司债券
113695,华辰转债,2025-06-17,,,23.53,2025-12-26,2031-06-19,603097,2025年江苏华辰变压器股份有限公司向不特定对象发行可转换公司债券
111022,锡振转债,2025-12-18,,,,2025-12-24,2031-06-17,605319,2025年无锡市振华汽车部件股份有限公司向不特定对象发行可转换公司债券
111022,锡振转债,2025-06-15,,,31.98,2025-12-24,2031-06-17,605319,2025年无锡市振华汽车部件股份有限公司向不特定对象发行可转换公司债券
123257,安克转债,2025-12-17,,,,2025-12-22,2031-06-15,300866,2025年安克创新科技股份有限公司向不特定对象发行可转换公司债券
123257,安克转债,2025-06-11,,,111.94,2025-12-22,2031-06-15,300866,2025年安克创新科技股份有限公司向不特定对象发行可转换公司债券
127109,电化转债,2025-12-18,,,,2025-12-22,2031-06-15,002125,2025年湘潭电化科技股份有限公司向不特定对象发行可转换公司债券
127109,电化转债,2025-06-11,,,10.1,2025-12-22,2031-06-15,002125,2025年湘潭电化科技股份有限公司向不特定对象发行可转换公司债券
118056,路维转债,2025-12-11,,,,2025-12-17,2031-06-10,688401,2025年深圳市路维光电股份有限公司向不特定对象发行可转换公司债券
118056,路维转债,2025-06-08,,,32.7,2025-12-17,2031-06-10,688401,2025年深圳市路维光电股份有限公司向不特定对象发行可转换公司债券
123256,恒帅转债,2025-12-02,,,,2025-12-05,2026-05-12,300969,2025年宁波恒帅股份有限公司向不特定对象发行可转换公司债券
123256,恒帅转债,2025-05-26,,,62.55,2025-12-05,2026-05-12,300969,2025年宁波恒帅股份有限公司向不特定对象发行可转换公司债券
118055,伟测转债,2025-10-01,,,,2025-10-15,2026-04-02,688372,2025年上海伟测半导体科技股份有限公司向不特定对象发行可转换公司债券
118055,伟测转债,2025-04-07,,,82.15,2025-10-15,2026-04-02,688372,2025年上海伟测半导体科技股份有限公司向不特定对象发行可转换公司债券
113694,清源转债,2025-09-30,,,,2025-10-14,2031-04-07,603628,2025年清源科技股份有限公司向不特定对象发行可转换公司债券
113694,清源转债,2025-04-02,,,12.93,2025-10-14,2031-04-07,603628,2025年清源科技股份有限公司向不特定对象发行可转换公司债券
118054,安集转债,2025-09-29,,,,2025-10-13,2026-03-26,688019,2025年安集微电子科技(上海)股份有限公司向不特定对象发行可转换公司债券
118054,安集转债,2025-04-01,,,168.11,2025-10-13,2026-03-26,688019,2025年安集微电子科技(上海)股份有限公司向不特定对象发行可转换公司债券
123255,鼎龙转债,2025-09-25,,,,2025-10-09,2031-04-01,300054,2025年湖北鼎龙控股股份有限公司向不特定对象发行可转换公司债券
123255,鼎龙转债,2025-03-30,,,28.68,2025-10-09,2031-04-01,300054,2025年湖北鼎龙控股股份有限公司向不特定对象发行可转换公司债券
127108,太能转债,2025-09-26,,,,2025-10-09,2031-03-27,000591,2025年中节能太阳能股份有限公司向不特定对象发行可转换公司债券
127108,太能转债,2025-03-26,,,5.67,2025-10-09,2031-03-27,000591,2025年中节能太阳能股份有限公司向不特定对象发行可转换公司债券
123254,亿纬转债,2025-09-24,,,,2025-09-29,2026-04-23,300014,2025年惠州亿纬锂能股份有限公司创业板向不特定对象发行可转换公司债券
123254,亿纬转债,2025-03-20,,,51.39,2025-09-29,2026-04-23,300014,2025年惠州亿纬锂能股份有限公司创业板向不特定对象发行可转换公司债券
113693,志邦转债,2025-09-18,,,,2025-09-24,2031-03-17,603801,2025年志邦家居股份有限公司向不特定对象发行可转换公司债券
113693,志邦转债,2025-03-14,,,12.12,2025-09-24,2031-03-17,603801,2025年志邦家居股份有限公司向不特定对象发行可转换公司债券
118053,正帆转债,2025-09-17,,,,2025-09-24,2031-03-17,688596,2025年上海正帆科技股份有限公司向不特定对象发行可转换公司债券
118053,正帆转债,2025-03-14,,,38.85,2025-09-24,2031-03-17,688596,2025年上海正帆科技股份有限公司向不特定对象发行可转换公司债券
118052,浩瀚转债,2025-09-12,,,,2025-09-19,2031-03-12,688292,2025年北京浩瀚深度信息技术股份有限公司向不特定对象发行可转换公司债券
118052,浩瀚转债,2025-03-11,,,24.38,2025-09-19,2031-03-12,688292,2025年北京浩瀚深度信息技术股份有限公司向不特定对象发行可转换公司债券
123253,永贵转债,2025-09-16,,,,2025-09-19,2031-03-12,300351,2025年浙江永贵电器股份有限公司向不特定对象发行可转换公司债券
123253,永贵转债,2025-03-11,,,18.29,2025-09-19,2031-03-12,300351,2025年浙江永贵电器股份有限公司向不特定对象发行可转换公司债券
113070,渝水转债,2025-01-07,,,4.98,2025-07-15,2031-01-08,601158,2025年重庆水务集团股份有限公司向不特定对象发行可转换公司债券
113070,渝水转债,2025-07-09,,,,2025-07-15,2031-01-08,601158,2025年重庆水务集团股份有限公司向不特定对象发行可转换公司债券
123252,银邦转债,2025-01-02,,,12.52,2025-07-14,2031-01-06,300337,2025年银邦金属复合材料股份有限公司向不特定对象发行可转换公司债券
123252,银邦转债,2025-07-09,,,,2025-07-14,2031-01-06,300337,2025年银邦金属复合材料股份有限公司向不特定对象发行可转换公司债券
110098,南药转债,2024-12-23,,,5.29,2025-07-01,2030-12-24,600713,2024年南京医药股份有限公司向不特定对象发行可转换公司债券
110098,南药转债,2025-06-25,,,,2025-07-01,2030-12-24,600713,2024年南京医药股份有限公司向不特定对象发行可转换公司债券
123251,华医转债,2024-12-19,,,22.48,2025-06-27,2030-12-22,301235,2024年武汉华康世纪医疗股份有限公司向不特定对象发行可转换公司债券
123251,华医转债,2025-06-24,,,,2025-06-27,2030-12-22,301235,2024年武汉华康世纪医疗股份有限公司向不特定对象发行可转换公司债券
118051,皓元转债,2024-11-26,,,40.73,2025-06-04,2030-11-27,688131,2024年上海皓元医药股份有限公司向不特定对象发行可转换公司债券
118051,皓元转债,2025-05-29,,,,2025-06-04,2030-11-27,688131,2024年上海皓元医药股份有限公司向不特定对象发行可转换公司债券
127107,领益转债,2024-11-13,,,9.15,2025-05-22,2025-10-14,002600,2024年广东领益智造股份有限公司向不特定对象发行可转换公司债券
127107,领益转债,2025-05-19,,,,2025-05-22,2025-10-14,002600,2024年广东领益智造股份有限公司向不特定对象发行可转换公司债券
123250,嘉益转债,2024-11-05,,,116.05,2025-05-13,2030-11-06,301004,2024年浙江嘉益保温科技股份有限公司向不特定对象发行可转换公司债券
123250,嘉益转债,2025-05-08,,,,2025-05-13,2030-11-06,301004,2024年浙江嘉益保温科技股份有限公司向不特定对象发行可转换公司债券
113691,和邦转债,2024-10-24,,,2.0,2025-05-06,2030-10-27,603077,2024年四川和邦生物科技股份有限公司向不特定对象发行可转换公司债券
113691,和邦转债,2025-04-26,,,,2025-05-06,2030-10-27,603077,2024年四川和邦生物科技股份有限公司向不特定对象发行可转换公司债券
113692,保隆转债,2024-10-29,,,40.11,2025-05-06,2030-10-30,603197,2024年上海保隆汽车科技股份有限公司向不特定对象发行可转换公司债券
113692,保隆转债,2025-04-26,,,,2025-05-06,2030-10-30,603197,2024年上海保隆汽车科技股份有限公司向不特定对象发行可转换公司债券
