date,middlePETTM,averagePETTM,middlePELYR,averagePELYR,quantileInAllHistoryMiddlePeTtm,quantileInRecent10YearsMiddlePeTtm,quantileInAllHistoryAveragePeTtm,quantileInRecent10YearsAveragePeTtm,quantileInAllHistoryMiddlePeLyr,quantileInRecent10YearsMiddlePeLyr,quantileInAllHistoryAveragePeLyr,quantileInRecent10YearsAveragePeLyr,close
2005-01-05,28.79,43.85,31.43,50.09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2005-01-06,29.18,44.46,32.06,51.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2005-01-07,28.73,43.84,32.02,51.0,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.0
2005-01-10,28.84,44.04,31.47,50.54,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.0
2005-01-11,29.09,44.45,32.35,51.31,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.0
2005-01-12,29.28,44.57,31.96,50.96,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0
2005-01-13,29.32,44.56,31.86,50.76,1.0,1.0,0.85714,0.85714,0.42857,0.42857,0.42857,0.42857,0.0
2005-01-14,29.42,44.74,31.81,51.16,1.0,1.0,1.0,1.0,0.375,0.375,0.75,0.75,0.0
2005-01-17,28.93,44.18,31.47,50.91,0.44444,0.44444,0.44444,0.44444,0.33333,0.33333,0.44444,0.44444,0.0
2005-01-18,28.08,43.43,30.42,49.84,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0
2005-01-19,28.48,43.9,30.85,50.23,0.18182,0.18182,0.36364,0.36364,0.18182,0.18182,0.27273,0.27273,0.0
2005-01-20,28.22,43.72,30.69,50.56,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,0.41667,0.41667,0.0
2005-01-21,27.67,43.34,30.93,50.77,0.07692,0.07692,0.07692,0.07692,0.30769,0.30769,0.53846,0.53846,0.0
2005-01-24,28.34,43.73,31.46,50.86,0.28571,0.28571,0.28571,0.28571,0.42857,0.42857,0.57143,0.57143,0.0
2005-01-25,28.9,44.44,31.64,51.41,0.6,0.6,0.66667,0.66667,0.6,0.6,1.0,1.0,0.0
2005-01-26,28.5,44.05,31.73,50.86,0.375,0.375,0.5625,0.5625,0.625,0.625,0.5625,0.5625,0.0
2005-01-27,28.19,43.74,31.47,50.89,0.17647,0.17647,0.29412,0.29412,0.52941,0.52941,0.58824,0.58824,0.0
2005-01-28,27.73,43.21,30.45,50.4,0.11111,0.11111,0.05556,0.05556,0.11111,0.11111,0.22222,0.22222,0.0
2005-01-31,27.36,42.35,29.71,49.37,0.05263,0.05263,0.05263,0.05263,0.05263,0.05263,0.05263,0.05263,0.0
2005-02-01,26.49,40.83,28.86,48.01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0
2005-02-02,26.26,40.37,28.4,47.72,0.04762,0.04762,0.04762,0.04762,0.04762,0.04762,0.04762,0.04762,0.0
2005-02-03,27.69,42.62,30.06,49.42,0.22727,0.22727,0.18182,0.18182,0.18182,0.18182,0.18182,0.18182,0.0
2005-02-04,27.29,41.66,29.37,48.39,0.13043,0.13043,0.13043,0.13043,0.13043,0.13043,0.13043,0.13043,0.0
2005-02-16,27.77,42.22,29.88,49.16,0.33333,0.33333,0.16667,0.16667,0.20833,0.20833,0.16667,0.16667,0.0
2005-02-17,28.11,42.7,30.4,49.78,0.4,0.4,0.28,0.28,0.28,0.28,0.28,0.28,0.0
2005-02-18,28.18,43.05,30.49,49.69,0.42308,0.42308,0.30769,0.30769,0.38462,0.38462,0.26923,0.26923,0.0
2005-02-21,28.0,42.58,30.05,49.29,0.33333,0.33333,0.22222,0.22222,0.22222,0.22222,0.18519,0.18519,0.0
2005-02-22,28.38,43.01,30.5,50.17,0.57143,0.57143,0.32143,0.32143,0.42857,0.42857,0.42857,0.42857,0.0
2005-02-23,29.28,44.36,31.36,50.37,0.93103,0.93103,0.7931,0.7931,0.55172,0.55172,0.48276,0.48276,0.0
2005-02-24,29.55,44.65,31.67,50.75,1.0,1.0,0.96667,0.96667,0.76667,0.76667,0.6,0.6,0.0
2005-02-25,29.66,44.86,31.88,50.77,1.0,1.0,1.0,1.0,0.87097,0.87097,0.67742,0.67742,0.0
2005-02-28,29.55,45.07,32.68,51.09,0.96875,0.96875,1.0,1.0,1.0,1.0,0.875,0.875,0.0
2005-03-01,29.37,45.35,31.75,50.68,0.87879,0.87879,1.0,1.0,0.75758,0.75758,0.54545,0.54545,0.0
2005-03-02,29.21,45.1,31.94,50.73,0.76471,0.76471,0.97059,0.97059,0.85294,0.85294,0.55882,0.55882,0.0
2005-03-03,28.82,44.61,31.66,51.27,0.6,0.6,0.82857,0.82857,0.65714,0.65714,0.91429,0.91429,0.0
2005-03-04,29.34,44.9,31.61,50.53,0.86111,0.86111,0.91667,0.91667,0.61111,0.61111,0.44444,0.44444,0.0
2005-03-07,28.98,44.7,31.64,50.83,0.67568,0.67568,0.83784,0.83784,0.64865,0.64865,0.67568,0.67568,0.0
2005-03-08,29.28,45.54,31.76,50.93,0.81579,0.81579,1.0,1.0,0.76316,0.76316,0.78947,0.78947,0.0
2005-03-09,29.73,45.97,32.39,50.81,1.0,1.0,1.0,1.0,0.97436,0.97436,0.64103,0.64103,0.0
2005-03-10,29.81,46.17,32.55,50.99,1.0,1.0,1.0,1.0,0.975,0.975,0.825,0.825,0.0
2005-03-11,29.33,45.59,31.65,50.53,0.80488,0.80488,0.95122,0.95122,0.60976,0.60976,0.41463,0.41463,0.0
2005-03-14,29.48,45.78,31.71,50.77,0.88095,0.88095,0.95238,0.95238,0.66667,0.66667,0.61905,0.61905,0.0
2005-03-15,29.51,45.64,31.51,49.98,0.88372,0.88372,0.93023,0.93023,0.51163,0.51163,0.25581,0.25581,0.0
2005-03-16,28.97,45.12,31.64,49.78,0.56818,0.56818,0.84091,0.84091,0.59091,0.59091,0.22727,0.22727,0.0
2005-03-17,28.88,44.95,31.0,49.76,0.51111,0.51111,0.77778,0.77778,0.35556,0.35556,0.2,0.2,0.0
2005-03-18,28.6,44.52,31.15,49.97,0.41304,0.41304,0.58696,0.58696,0.36957,0.36957,0.28261,0.28261,0.0
2005-03-21,27.8,44.06,30.2,49.35,0.19149,0.19149,0.46809,0.46809,0.17021,0.17021,0.12766,0.12766,0.0
2005-03-22,27.94,44.09,29.95,49.27,0.20833,0.20833,0.47917,0.47917,0.125,0.125,0.10417,0.10417,0.0
2005-03-23,27.48,43.01,29.67,48.72,0.10204,0.10204,0.20408,0.20408,0.08163,0.08163,0.08163,0.08163,0.0
2005-03-24,27.24,42.96,29.61,48.2,0.06,0.06,0.18,0.18,0.08,0.08,0.06,0.06,0.0
2005-03-25,27.61,43.38,30.2,48.89,0.13725,0.13725,0.29412,0.29412,0.23529,0.23529,0.11765,0.11765,0.0
2005-03-28,27.69,43.25,29.45,48.07,0.19231,0.19231,0.26923,0.26923,0.07692,0.07692,0.05769,0.05769,0.0
2005-03-29,27.75,43.68,28.92,47.73,0.22642,0.22642,0.33962,0.33962,0.0566,0.0566,0.03774,0.03774,0.0
2005-03-30,27.5,43.53,28.76,47.25,0.12963,0.12963,0.33333,0.33333,0.03704,0.03704,0.01852,0.01852,0.0
2005-03-31,26.5,42.54,28.17,46.65,0.05455,0.05455,0.10909,0.10909,0.01818,0.01818,0.01818,0.01818,0.0
2005-04-01,26.91,43.55,28.45,47.11,0.07143,0.07143,0.35714,0.35714,0.05357,0.05357,0.03571,0.03571,0.0
2005-04-04,28.01,44.08,29.34,48.03,0.35088,0.35088,0.54386,0.54386,0.12281,0.12281,0.12281,0.12281,0.0
2005-04-05,27.57,43.78,28.91,47.32,0.17241,0.17241,0.43103,0.43103,0.10345,0.10345,0.06897,0.06897,0.0
2005-04-06,27.24,43.49,29.16,47.55,0.10169,0.10169,0.32203,0.32203,0.13559,0.13559,0.08475,0.08475,0.0
2005-04-07,28.12,44.09,29.34,47.7,0.41667,0.41667,0.58333,0.58333,0.16667,0.16667,0.1,0.1,0.0
2005-04-08,28.43,44.87,29.75,48.1,0.5082,0.5082,0.80328,0.80328,0.2623,0.2623,0.19672,0.19672,1003.45
2005-04-11,29.22,45.37,30.48,49.27,0.75806,0.75806,0.90323,0.90323,0.41935,0.41935,0.30645,0.30645,995.42
2005-04-12,28.88,44.83,30.01,48.37,0.63492,0.63492,0.7619,0.7619,0.30159,0.30159,0.22222,0.22222,978.7
2005-04-13,28.33,44.74,29.34,48.11,0.45313,0.45313,0.75,0.75,0.17188,0.17188,0.20313,0.20313,1000.9
2005-04-14,29.04,46.01,30.41,49.2,0.70769,0.70769,0.98462,0.98462,0.4,0.4,0.30769,0.30769,986.98
2005-04-15,28.72,45.06,30.05,48.62,0.54545,0.54545,0.81818,0.81818,0.33333,0.33333,0.25758,0.25758,974.08
2005-04-18,28.12,44.29,29.34,47.64,0.38806,0.38806,0.55224,0.55224,0.1791,0.1791,0.08955,0.08955,963.77
2005-04-19,28.0,43.73,28.87,46.95,0.32353,0.32353,0.36765,0.36765,0.08824,0.08824,0.02941,0.02941,965.89
2005-04-20,27.78,43.99,28.76,47.0,0.27536,0.27536,0.44928,0.44928,0.07246,0.07246,0.04348,0.04348,950.87
2005-04-21,27.34,43.79,28.33,46.34,0.11429,0.11429,0.4,0.4,0.02857,0.02857,0.01429,0.01429,943.98
2005-04-22,27.15,43.31,27.74,45.82,0.07042,0.07042,0.22535,0.22535,0.01408,0.01408,0.01408,0.01408,939.1
2005-04-25,26.5,42.45,27.75,46.49,0.05556,0.05556,0.08333,0.08333,0.02778,0.02778,0.04167,0.04167,930.07
2005-04-26,26.32,40.94,26.93,45.38,0.0274,0.0274,0.0411,0.0411,0.0137,0.0137,0.0137,0.0137,937.08
2005-04-27,26.93,41.98,27.47,45.63,0.09459,0.09459,0.06757,0.06757,0.02703,0.02703,0.02703,0.02703,926.6
2005-04-28,26.41,41.29,27.18,45.51,0.04,0.04,0.05333,0.05333,0.02667,0.02667,0.02667,0.02667,942.07
2005-04-29,26.59,41.1,27.7,46.02,0.09211,0.09211,0.05263,0.05263,0.05263,0.05263,0.06579,0.06579,932.39
2005-05-09,26.39,40.41,27.46,45.71,0.03896,0.03896,0.02597,0.02597,0.03896,0.03896,0.05195,0.05195,909.17
2005-05-10,25.75,38.27,26.68,44.37,0.01282,0.01282,0.01282,0.01282,0.01282,0.01282,0.01282,0.01282,913.08
2005-05-11,25.77,38.42,26.57,44.03,0.02532,0.02532,0.02532,0.02532,0.01266,0.01266,0.01266,0.01266,901.85
2005-05-12,25.17,38.58,26.49,43.68,0.0125,0.0125,0.0375,0.0375,0.0125,0.0125,0.0125,0.0125,885.82
2005-05-13,25.0,38.52,26.42,44.02,0.01235,0.01235,0.03704,0.03704,0.01235,0.01235,0.02469,0.02469,887.54
2005-05-16,25.2,39.01,26.61,44.63,0.03659,0.03659,0.06098,0.06098,0.04878,0.04878,0.06098,0.06098,875.27
2005-05-17,24.85,38.83,26.11,44.25,0.01205,0.01205,0.06024,0.06024,0.01205,0.01205,0.04819,0.04819,881.46
2005-05-18,25.2,39.28,26.37,44.54,0.05952,0.05952,0.08333,0.08333,0.02381,0.02381,0.07143,0.07143,883.2
2005-05-19,25.31,39.69,26.3,44.76,0.07059,0.07059,0.09412,0.09412,0.02353,0.02353,0.09412,0.09412,884.17
2005-05-20,25.56,39.69,26.47,44.76,0.0814,0.0814,0.10465,0.10465,0.05814,0.05814,0.10465,0.10465,882.76
2005-05-23,25.38,39.34,26.2,44.57,0.08046,0.08046,0.09195,0.09195,0.02299,0.02299,0.08046,0.08046,863.34
2005-05-24,24.57,37.98,25.83,43.05,0.01136,0.01136,0.01136,0.01136,0.01136,0.01136,0.01136,0.01136,868.46
2005-05-25,25.09,38.88,26.09,43.9,0.04494,0.04494,0.07865,0.07865,0.02247,0.02247,0.03371,0.03371,868.45
2005-05-26,24.87,39.07,26.1,44.13,0.03333,0.03333,0.1,0.1,0.03333,0.03333,0.06667,0.06667,857.33
2005-05-27,24.73,38.71,25.76,43.98,0.02198,0.02198,0.06593,0.06593,0.01099,0.01099,0.04396,0.04396,849.51
2005-05-30,24.5,38.52,25.5,43.8,0.01087,0.01087,0.05435,0.05435,0.01087,0.01087,0.03261,0.03261,855.61
2005-05-31,24.9,38.92,25.57,43.84,0.06452,0.06452,0.10753,0.10753,0.02151,0.02151,0.04301,0.04301,855.95
2005-06-01,24.66,38.82,25.53,43.97,0.03191,0.03191,0.08511,0.08511,0.02128,0.02128,0.06383,0.06383,837.53
2005-06-02,24.01,38.0,24.89,43.1,0.01053,0.01053,0.02105,0.02105,0.01053,0.01053,0.02105,0.02105,818.38
2005-06-03,23.71,37.93,24.47,43.0,0.01042,0.01042,0.01042,0.01042,0.01042,0.01042,0.01042,0.01042,818.03
2005-06-06,23.67,37.78,24.44,42.8,0.01031,0.01031,0.01031,0.01031,0.01031,0.01031,0.01031,0.01031,839.0
2005-06-07,23.99,38.02,24.87,43.13,0.03061,0.03061,0.05102,0.05102,0.03061,0.03061,0.05102,0.05102,837.28
2005-06-08,24.08,38.19,24.74,42.88,0.05051,0.05051,0.06061,0.06061,0.0303,0.0303,0.0202,0.0202,905.77
2005-06-09,26.0,40.75,26.58,45.31,0.23,0.23,0.25,0.25,0.21,0.21,0.23,0.23,912.6
