序号,基金代码,基金简称,基金类型,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费
54,000073,摩根成长动力混合A,混合型-灵活,3.0574,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
55,000074,工银信用纯债一年定开债A,债券型-长债,1.876,04-23,暂停申购,暂停赎回,2026-05-22,10.0,100000000000.0,0.06
56,000075,华夏恒生ETF联接现汇,指数型-海外股票,0.2238,04-23,开放申购,开放赎回,,200.0,0.0,0.0
57,000076,华夏恒生ETF联接现钞,指数型-海外股票,0.2238,04-23,开放申购,开放赎回,,200.0,0.0,0.0
58,000077,工银信用纯债一年定开债C,债券型-长债,1.781,04-23,暂停申购,暂停赎回,2026-05-22,10.0,100000000000.0,0.0
59,000078,工银信用纯债三个月定开债A,债券型-长债,1.6799,04-23,暂停申购,暂停赎回,2026-06-08,10.0,100000000000.0,0.06
60,000079,工银信用纯债三个月定开债C,债券型-长债,1.5979,04-23,暂停申购,暂停赎回,2026-06-08,10.0,100000000000.0,0.0
61,000080,天治可转债增强债券A,债券型-混合二级,1.5505,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
62,000081,天治可转债增强债券C,债券型-混合二级,1.4754,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.0
63,000082,嘉实研究阿尔法股票A,股票型,2.385,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
64,000083,汇添富消费行业混合,混合型-偏股,4.714,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
65,000084,博时安盈债券A,债券型-中短债,1.2585,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.03
66,000085,博时安盈债券C,债券型-中短债,1.2272,04-23,暂停申购,开放赎回,,10.0,100000000000.0,0.0
67,000086,南方稳利1年持有期债券A,债券型-长债,1.1814,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.06
68,000089,民生加银高等级信用债C,债券型-中短债,1.1197,04-23,暂停申购,开放赎回,,10.0,100000000000.0,0.0
69,000090,民生加银高等级信用债A,债券型-中短债,1.1354,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.06
70,000103,国泰境外高收益债(QDII),QDII-纯债,0.8003,04-22,限大额,开放赎回,,10.0,1000.0,0.08
71,000104,富国丰泰债券A,债券型-混合一级,1.2135,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.03
72,000105,建信安心回报债券A,债券型-长债,1.0688,04-23,暂停申购,暂停赎回,2026-11-16,10.0,100000000000.0,0.06
73,000106,建信安心回报债券C,债券型-长债,1.0426,04-23,暂停申购,暂停赎回,2026-11-16,10.0,100000000000.0,0.0
74,000107,富国稳健增强债券A/B,债券型-混合二级,1.36,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
75,000109,富国稳健增强债券C,债券型-混合二级,1.308,04-23,暂停申购,开放赎回,,10.0,50000000.0,0.0
76,000110,金鹰元安混合A,混合型-偏债,1.5614,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
77,000111,易方达纯债1年定开债A,债券型-长债,1.023,04-23,暂停申购,暂停赎回,2026-08-03,10.0,100000000000.0,0.06
78,000112,易方达纯债1年定开债C,债券型-长债,1.022,04-23,暂停申购,暂停赎回,2026-08-03,10.0,100000000000.0,0.0
79,000116,嘉实丰益纯债定期债券A,债券型-长债,1.0152,04-23,暂停申购,暂停赎回,2026-11-16,10.0,100000000000.0,0.06
80,000117,广发轮动配置混合,混合型-偏股,2.243,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
81,000118,广发聚鑫债券A,债券型-混合二级,1.5943,04-23,限大额,开放赎回,,10.0,3000000.0,0.08
82,000119,广发聚鑫债券C,债券型-混合二级,1.5854,04-23,限大额,开放赎回,,10.0,1000000.0,0.0
83,000120,中银美丽中国混合A,混合型-偏股,2.5741,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
84,000121,华夏永福混合A,混合型-偏债,2.887,04-23,限大额,开放赎回,,10.0,1000000.0,0.08
85,000122,汇添富实业债债券A,债券型-混合一级,1.6076,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.1
86,000123,汇添富实业债债券C,债券型-混合一级,1.5184,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.0
87,000124,华宝服务优选混合,混合型-偏股,3.669,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
88,000126,招商安润灵活配置混合A,混合型-灵活,2.4683,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
89,000127,农银行业领先混合,混合型-偏股,2.9428,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
90,000128,大成景安短融债券A,债券型-中短债,1.33,04-23,限大额,开放赎回,,10.0,30000000.0,0.0
91,000129,大成景安短融债券B,债券型-中短债,1.3798,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.0
92,000130,大成景兴信用债债券A,债券型-混合一级,1.6839,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
93,000131,大成景兴信用债债券C,债券型-混合一级,1.5997,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.0
94,000134,中信保诚嘉鸿债券A,债券型-长债,1.0141,04-23,暂停申购,开放赎回,,10.0,0.01,0.08
95,000135,中信保诚嘉鸿债券C,债券型-长债,1.0,04-23,暂停申购,开放赎回,,10.0,0.01,0.0
96,000136,民生加银策略精选混合A,混合型-灵活,4.7632,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
97,000137,民生加银岁岁增利债券A,债券型-长债,1.1271,04-23,暂停申购,暂停赎回,2026-12-14,10.0,100000000000.0,0.06
98,000138,民生加银岁岁增利债券C,债券型-长债,1.0891,04-23,暂停申购,暂停赎回,2026-12-14,10.0,100000000000.0,0.0
99,000139,富国国有企业债债券A/B,债券型-长债,1.0051,04-23,限大额,开放赎回,,10.0,50000000.0,0.08
100,000141,富国国有企业债债券C,债券型-长债,1.0051,04-23,限大额,开放赎回,,10.0,50000000.0,0.0
