年份,居民部门,非金融企业部门,政府部门,中央政府,地方政府,实体经济部门,金融部门资产方,金融部门负债方
2017-03,45.1,157.7,34.2,15.4,18.8,237.0,75.5,64.1
2017-06,46.4,156.3,34.7,15.5,19.2,237.4,72.6,62.8
2017-09,47.5,155.1,35.4,15.7,19.7,238.0,69.4,61.9
2017-12,47.8,153.8,35.3,15.9,19.4,236.9,68.1,61.4
2018-03,48.7,154.1,34.6,15.5,19.1,237.4,65.1,60.1
2018-06,49.6,152.1,34.4,15.5,18.9,236.1,62.5,59.8
2018-09,50.7,150.0,35.8,15.8,20.0,236.5,59.1,58.4
2018-12,51.2,147.9,35.6,16.0,19.6,234.7,58.3,58.6
2019-03,52.2,152.0,36.3,15.7,20.6,240.5,58.3,57.2
2019-06,53.3,150.6,37.1,15.9,21.2,241.0,56.6,56.6
2019-09,54.3,149.7,37.9,16.2,21.7,241.9,53.8,57.2
2019-12,55.0,149.0,37.9,16.7,21.2,241.9,54.0,59.0
2020-03,56.9,158.9,40.0,17.0,23.0,255.8,56.8,60.0
2020-06,58.8,162.0,41.9,17.8,24.1,262.7,56.4,59.7
2020-09,60.5,161.5,44.2,19.0,25.2,266.2,54.8,61.3
2020-12,61.1,159.2,45.0,20.2,24.8,265.3,53.2,61.6
2021-03,60.9,158.0,43.7,19.4,24.3,262.6,51.8,61.1
2021-06,60.8,155.6,44.0,19.3,24.7,260.4,50.4,60.5
2021-09,60.8,154.0,44.7,19.4,25.3,259.5,48.2,60.7
2021-12,60.6,150.9,45.8,19.8,26.0,257.3,47.6,61.1
2022-03,60.5,155.0,46.3,19.4,26.9,261.8,48.1,61.3
2022-06,60.7,157.0,48.6,19.8,28.8,266.3,49.0,62.6
2022-09,60.9,157.7,48.8,20.5,28.3,267.4,48.3,62.6
2022-12,60.7,157.7,49.4,21.0,28.4,267.8,49.0,63.2
2023-03,62.0,163.7,50.4,20.9,29.5,276.1,51.7,64.3
2023-06,62.0,164.1,50.8,21.0,29.8,276.9,52.5,65.2
2023-09,62.2,164.9,52.5,22.1,30.4,279.6,50.7,63.8
2023-12,61.9,163.9,54.7,23.2,31.5,280.5,51.1,65.5
2024-03,62.3,169.5,55.3,23.4,31.9,287.1,52.2,67.0
2024-06,61.8,169.7,56.3,24.0,32.3,287.8,50.5,68.6
2024-09,61.6,169.9,58.7,25.1,33.6,290.2,50.9,70.8
2024-12,61.4,168.4,60.8,25.6,35.2,290.6,51.2,70.2
