基金代码,拼音缩写,基金简称,基金类型,拼音全称
000089,MSJYGDJXYZC,民生加银高等级信用债C,债券型-中短债,MINSHENGJIAYINGAODENGJIXINYONGZHAIC
000090,MSJYGDJXYZA,民生加银高等级信用债A,债券型-中短债,MINSHENGJIAYINGAODENGJIXINYONGZHAIA
000103,GTJWGSYZQDII,国泰境外高收益债(QDII),QDII-纯债,GUOTAIJINGWAIGAOSHOUYIZHAIQDII
000104,FGFTZQA,富国丰泰债券A,债券型-混合一级,FUGUOFENGTAIZHAIQUANA
000105,JXAXHBZQA,建信安心回报债券A,债券型-长债,JIANXINANXINHUIBAOZHAIQUANA
000106,JXAXHBZQC,建信安心回报债券C,债券型-长债,JIANXINANXINHUIBAOZHAIQUANC
000107,FGWJZQZQAB,富国稳健增强债券A/B,债券型-混合二级,FUGUOWENJIANZENGQIANGZHAIQUANAB
000108,FGWJZQZQAB,富国稳健增强债券A/B(后端),债券型-混合二级,FUGUOWENJIANZENGQIANGZHAIQUANAB
000109,FGWJZQZQC,富国稳健增强债券C,债券型-混合二级,FUGUOWENJIANZENGQIANGZHAIQUANC
000110,JYYAHHA,金鹰元安混合A,混合型-偏债,JINYINGYUANANHUNHEA
000111,YFDCZ1NDKZA,易方达纯债1年定开债A,债券型-长债,YIFANGDACHUNZHAI1NIANDINGKAIZHAIA
000112,YFDCZ1NDKZC,易方达纯债1年定开债C,债券型-长债,YIFANGDACHUNZHAI1NIANDINGKAIZHAIC
000116,JSFYCZDQZQA,嘉实丰益纯债定期债券A,债券型-长债,JIASHIFENGYICHUNZHAIDINGQIZHAIQUANA
000117,GFLDPZHH,广发轮动配置混合,混合型-偏股,GUANGFALUNDONGPEIZHIHUNHE
000118,GFJXZQA,广发聚鑫债券A,债券型-混合二级,GUANGFAJUXINZHAIQUANA
000119,GFJXZQC,广发聚鑫债券C,债券型-混合二级,GUANGFAJUXINZHAIQUANC
000120,ZYMLZGHHA,中银美丽中国混合A,混合型-偏股,ZHONGYINMEILIZHONGGUOHUNHEA
000121,HXYFHHA,华夏永福混合A,混合型-偏债,HUAXIAYONGFUHUNHEA
000122,HTFSYZZQA,汇添富实业债债券A,债券型-混合一级,HUITIANFUSHIYEZHAIZHAIQUANA
000123,HTFSYZZQC,汇添富实业债债券C,债券型-混合一级,HUITIANFUSHIYEZHAIZHAIQUANC
000124,HBFWYXHH,华宝服务优选混合,混合型-偏股,HUABAOFUWUYOUXUANHUNHE
000126,ZSARLHPZHHA,招商安润灵活配置混合A,混合型-灵活,ZHAOSHANGANRUNLINGHUOPEIZHIHUNHEA
000127,NYHYLXHH,农银行业领先混合,混合型-偏股,NONGYINHANGYELINGXIANHUNHE
000128,DCJADRZQA,大成景安短融债券A,债券型-中短债,DACHENGJINGANDUANRONGZHAIQUANA
000129,DCJADRZQB,大成景安短融债券B,债券型-中短债,DACHENGJINGANDUANRONGZHAIQUANB
000130,DCJXXYZZQA,大成景兴信用债债券A,债券型-混合一级,DACHENGJINGXINGXINYONGZHAIZHAIQUANA
000131,DCJXXYZZQC,大成景兴信用债债券C,债券型-混合一级,DACHENGJINGXINGXINYONGZHAIZHAIQUANC
000134,ZXBCJHZQA,中信保诚嘉鸿债券A,债券型-长债,ZHONGXINBAOCHENGJIAHONGZHAIQUANA
000135,ZXBCJHZQC,中信保诚嘉鸿债券C,债券型-长债,ZHONGXINBAOCHENGJIAHONGZHAIQUANC
000136,MSJYCLJXHHA,民生加银策略精选混合A,混合型-灵活,MINSHENGJIAYINCELUEJINGXUANHUNHEA
000137,MSJYSSZLZQA,民生加银岁岁增利债券A,债券型-长债,MINSHENGJIAYINSUISUIZENGLIZHAIQUANA
