日期,新经济入职工资溢价水平,变化值
2015-08-01,106.8585,0.0
2015-09-01,109.1961,2.337599999999995
2015-10-01,108.0083,-1.1877999999999957
2015-11-01,106.9946,-1.0137
2015-12-01,104.2431,-2.751500000000007
2016-01-01,107.7628,3.5197000000000003
2016-02-01,107.5502,-0.2125999999999948
2016-03-01,117.2452,9.694999999999993
2016-04-01,114.2489,-2.996299999999991
2016-05-01,112.917,-1.3319000000000045
2016-06-01,111.0268,-1.8902000000000072
2016-07-01,110.2787,-0.7480999999999938
2016-08-01,110.1835,-0.0952000000000055
2016-09-01,109.4304,-0.7530999999999892
2016-10-01,109.6456,0.21519999999999584
2016-11-01,109.7,0.054400000000001114
2016-12-01,108.2,-1.5
2017-01-01,111.32277296,3.122772959999992
2017-02-01,107.96537767,-3.3573952899999995
2017-03-01,113.73467278,5.769295110000002
2017-04-01,105.15627865,-8.578394129999992
2017-05-01,107.01628963,1.8600109799999984
2017-06-01,107.15423992,0.13795028999999204
2017-07-01,107.64816808,0.49392816000001005
2017-08-01,106.02662986,-1.621538220000005
2017-09-01,109.97,3.943370139999999
2017-10-01,104.38,-5.590000000000003
2017-11-01,104.76971227,0.38971227000000397
2017-12-01,105.12133264,0.35162037000000623
2018-01-01,104.84212454,-0.2792081000000053
2018-02-01,104.44,-0.40212454000000264
2018-03-01,104.16715431,-0.2728456899999969
2018-04-01,103.85260978,-0.31454453000000626
2018-05-01,104.01814007,0.16553029000000663
2018-06-01,104.31427371,0.29613363999999365
2018-07-01,103.59656221,-0.717711499999993
2018-08-01,103.10058897,-0.4959732399999979
2018-09-01,103.7540274,0.6534384299999942
2018-10-01,103.24133399,-0.5126934099999971
2018-11-01,103.06158475,-0.1797492400000067
2018-12-01,102.8053546,-0.2562301499999933
2019-01-01,102.55632637,-0.2490282300000075
2019-02-01,102.78122714,0.22490077000000497
2019-03-01,102.77395476,-0.007272380000003409
2019-04-01,103.23331995,0.45936518999999976
2019-05-01,104.96428022,1.7309602700000113
2019-06-01,105.25581153,0.2915313099999963
2019-07-01,105.84485014,0.5890386100000029
2019-08-01,105.29696941,-0.5478807300000028
2019-09-01,106.08553903,0.7885696200000041
2019-10-01,105.25126605,-0.8342729800000086
2019-11-01,105.1799,-0.07136604999999463
2019-12-01,105.5945,0.414599999999993
2020-01-01,105.96254461,0.36804460999999833
2020-02-01,106.99074491,1.0282003000000088
2020-03-01,106.08456574,-0.9061791700000015
2020-04-01,105.71596091,-0.36860482999999533
2020-05-01,105.50528038,-0.21068053000000475
2020-06-01,106.72062941,1.2153490299999987
2020-07-01,106.6777,-0.04292940999999928
2020-08-01,106.60763407,-0.07006592999999839
2020-09-01,107.69057853,1.0829444599999931
2020-10-01,108.02072528,0.33014674999999727
2020-11-01,105.47210793,-2.5486173499999865
2020-12-01,106.64087172,1.1687637899999999
2021-01-01,104.49717183,-2.1436998900000077
2021-02-01,104.54954906,0.052377230000004715
2021-03-01,103.89647596,-0.6530731000000003
2021-04-01,102.93783653,-0.9586394300000052
2021-05-01,100.86785245,-2.0699840799999976
2021-06-01,102.92748603,2.0596335799999963
2021-07-01,103.1462749,0.21878886999999736
2021-08-01,102.77941258,-0.36686231999999563
2021-09-01,102.57655485,-0.20285773000000518
2021-10-01,102.68084245,0.10428760000000636
2021-11-01,103.91477069,1.2339282399999973
2021-12-01,102.05620195,-1.8585687399999955
2022-01-01,104.18532418,2.129122229999993
2022-02-01,104.56281943,0.3774952500000097
2022-03-01,104.32623883,-0.23658060000001058
2022-04-01,102.79630936,-1.529929469999999
2022-05-01,104.5851533,1.7888439400000067
2022-06-01,103.30721683,-1.2779364700000002
2022-07-01,102.09770893,-1.2095079000000055
2022-08-01,103.16610787,1.0683989400000087
2022-09-01,103.65652576,0.49041788999998914
2022-10-01,103.7276903,0.07116454000001227
2022-11-01,105.28016988,1.5524795799999964
2022-12-01,105.36477614,0.08460626000000104
2023-01-01,103.29008678,-2.074689360000008
2023-02-01,103.19698422,-0.09310255999999129
2023-03-01,104.3900771,1.1930928799999947
2023-04-01,104.64409783,0.2540207300000077
2023-05-01,104.57178061,-0.07231722000000218
2023-06-01,105.05156813,0.47978752000000213
2023-07-01,104.00318986,-1.0483782700000006
2023-08-01,103.50102883,-0.5021610300000106
2023-09-01,103.03955532,-0.4614735099999905
2023-10-01,103.16418394,0.12462861999999575
2023-11-01,102.78106353,-0.38312041000000363
