日期,利润空间,泰国糖,泰国MA5,巴西MA5,利润MA5,巴西MA10,巴西糖,柳州现货价,广州现货价,泰国MA10,利润MA30,利润MA10
2011-03-10,7665.99,7242.84,7230.0,7290,-194.415,-501.799,-378.3905,-744.809833333333,8005.024,7767.177,7564.574,7536.604
2011-03-11,7699.9,7276.7,7160.0,7230,-293.299999999999,-443.832,-397.0475,-699.73,7931.866,7816.255,7495.798,7534.84
2011-03-14,7459.57,7036.64,7080.0,7180,-118.105,-419.38,-402.866,-650.214833333333,7888.25,7847.008,7456.51,7514.724
2011-03-15,6792.43,6589.58,7080.0,7140,418.995,-354.16,-385.4295,-600.307333333333,7792.874,7838.49,7365.446,7455.369
2011-03-16,6835.8,6632.97,6990.0,7100,310.615,-147.333,-321.084,-535.975166666666,7531.854,7767.558,7152.812,7355.61
2011-03-17,7012.41,6831.52,7110.0,7150,208.035,24.7580000000002,-238.5205,-476.619833333333,7290.738,7647.881,6955.746,7260.16
2011-03-18,7221.41,7040.65,7160.0,7220,58.9700000000003,105.248,-169.292,-410.915166666667,7160.022,7545.944,6873.482,7184.64
2011-03-21,7162.81,6982.28,7170.0,7220,122.455,175.702,-121.839,-374.078333333333,7064.324,7476.287,6826.272,7141.391
2011-03-22,7075.69,6906.3,7160.0,7220,199.005,223.814,-65.1729999999999,-331.043,7004.972,7398.923,6815.4,7090.423
2011-03-23,6951.8,6782.31,7230.0,7220,357.945,179.816,16.2415000000001,-284.995,7061.624,7296.739,6878.744,7015.778
2011-03-24,7145.53,6975.97,7240.0,7290,204.25,189.282,107.02,-253.3715,7084.824,7187.781,6908.612,6932.179
2011-03-25,7230.58,7061.16,7270.0,7310,144.13,188.525,146.8865,-224.256333333333,7111.448,7135.735,6937.502,6905.492
