日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,上海,101.8,101.1,101.0,101.7,100.5,100.6
2011-01-01,北京,109.1,101.0,103.0,102.6,100.3,101.2
2011-02-01,北京,108.4,100.5,103.5,102.9,100.4,101.5
2011-02-01,上海,102.8,101.1,102.1,102.0,100.4,101.0
2011-03-01,北京,106.2,100.0,103.5,101.9,99.9,101.4
2011-03-01,上海,102.0,100.2,102.3,100.5,100.4,101.4
2011-04-01,北京,103.4,100.1,103.6,99.3,100.1,101.5
2011-04-01,上海,101.5,100.3,102.7,100.2,100.6,102.0
2011-05-01,北京,102.6,100.2,103.8,100.6,99.8,101.4
2011-05-01,上海,101.6,100.2,102.9,100.5,100.2,102.3
2011-06-01,上海,102.6,100.1,103.0,102.4,100.2,102.5
2011-06-01,北京,102.7,100.1,103.9,101.4,99.9,101.3
2011-07-01,上海,102.9,100.0,103.0,103.8,100.3,102.8
2011-07-01,北京,102.4,100.0,103.9,101.8,100.1,101.3
2011-08-01,上海,103.2,100.0,103.0,103.7,100.1,102.9
2011-08-01,北京,102.4,100.0,103.9,101.9,100.0,101.3
2011-09-01,上海,103.7,100.0,103.1,103.4,100.1,103.0
2011-09-01,北京,102.3,100.0,103.9,101.2,99.6,101.0
2011-10-01,上海,103.4,99.7,102.8,103.3,99.8,102.8
2011-10-01,北京,102.2,99.9,103.8,100.4,99.5,100.5
2011-11-01,上海,102.8,99.6,102.4,102.6,99.5,102.3
2011-11-01,北京,101.6,99.6,103.4,99.2,99.3,99.7
2011-12-01,北京,101.3,99.8,103.3,98.0,99.2,98.9
2011-12-01,上海,102.0,99.6,102.0,101.7,99.6,101.9
2012-01-01,北京,100.1,99.9,103.2,96.9,99.1,98.1
2012-01-01,上海,100.8,99.8,101.8,100.6,99.3,101.2
2012-02-01,上海,99.4,99.8,101.6,99.9,99.7,100.9
2012-02-01,北京,99.5,99.8,103.0,96.3,99.8,97.8
2012-03-01,上海,98.9,99.7,101.3,99.0,99.5,100.4
2012-03-01,北京,99.0,99.5,102.4,96.6,100.2,98.0
