时间,前值,现值,发布日期
2008年01月,3.8,3.2,2008-02-21
2008年02月,3.2,6.3,2008-03-23
2008年03月,6.3,4.2,2008-04-21
2008年04月,4.2,5.4,2008-05-22
2008年05月,5.4,5.7,2008-06-21
2008年06月,5.7,6.1,2008-07-22
2008年07月,6.1,6.3,2008-08-21
2008年08月,6.3,4.6,2008-09-21
2008年09月,4.6,3.0,2008-10-22
2008年10月,3.0,1.8,2008-11-21
2008年11月,1.8,3.1,2008-12-22
2008年12月,3.1,2.1,2009-01-21
2009年01月,2.1,3.1,2009-02-21
2009年02月,3.1,0.8,2009-03-24
2009年03月,0.8,1.2,2009-04-21
2009年04月,1.2,0.6,2009-05-22
2009年05月,0.6,0.0,2009-06-21
2009年06月,0.0,-0.9,2009-07-22
2009年07月,-0.9,-1.5,2009-08-21
2009年08月,-1.5,-1.6,2009-09-21
2009年09月,-1.6,0.5,2009-10-22
2009年10月,0.5,2.2,2009-11-21
2009年11月,2.2,0.5,2009-12-22
2009年12月,0.5,1.3,2010-01-21
2010年01月,1.3,1.0,2010-02-21
2010年02月,1.0,2.8,2010-03-24
2010年03月,2.8,2.0,2010-04-21
2010年04月,2.0,2.4,2010-05-22
2010年05月,2.4,2.5,2010-06-21
2010年06月,2.5,2.8,2010-07-22
2010年07月,2.8,1.3,2010-08-21
2010年08月,1.3,3.0,2010-09-21
2010年09月,3.0,2.6,2010-10-22
2010年10月,2.6,2.5,2010-11-21
2010年11月,2.5,2.8,2010-12-22
2010年12月,2.8,2.9,2011-01-21
2011年01月,2.9,3.4,2011-02-21
2011年02月,3.4,3.6,2011-03-24
2011年03月,3.6,4.4,2011-04-21
2011年04月,4.4,4.6,2011-05-22
2011年05月,4.6,5.2,2011-06-21
2011年06月,5.2,5.6,2011-07-22
2011年07月,5.6,7.9,2011-08-21
2011年08月,7.9,5.7,2011-09-21
2011年09月,5.7,5.8,2011-10-22
2011年10月,5.8,5.8,2011-11-21
2011年11月,5.8,5.7,2011-12-22
2011年12月,5.7,5.7,2012-01-21
2012年01月,5.7,6.1,2012-02-21
2012年02月,6.1,4.7,2012-03-23
2012年03月,4.7,4.9,2012-04-21
2012年04月,4.9,4.7,2012-05-22
2012年05月,4.7,4.3,2012-06-21
2012年06月,4.3,3.7,2012-07-22
2012年07月,3.7,1.6,2012-08-21
2012年08月,1.6,3.7,2012-09-21
2012年09月,3.7,3.8,2012-10-22
2012年10月,3.8,3.8,2012-11-21
2012年11月,3.8,3.7,2012-12-22
2012年12月,3.7,3.7,2013-01-21
2013年01月,3.7,3.0,2013-02-21
2013年02月,3.0,4.4,2013-03-24
2013年03月,4.4,3.6,2013-04-21
2013年04月,3.6,4.0,2013-05-22
2013年05月,4.0,3.9,2013-06-21
2013年06月,3.9,4.1,2013-07-22
2013年07月,4.1,6.9,2013-08-21
2013年08月,6.9,4.5,2013-09-21
2013年09月,4.5,4.6,2013-10-22
2013年10月,4.6,4.3,2013-11-21
2013年11月,4.3,4.3,2013-12-22
2013年12月,4.3,4.3,2014-01-21
2014年01月,4.3,4.6,2014-02-21
2014年02月,4.6,3.9,2014-03-24
2014年03月,3.9,3.9,2014-04-21
2014年04月,3.9,3.7,2014-05-22
2014年05月,3.7,3.7,2014-06-21
2014年06月,3.7,3.6,2014-07-22
2014年07月,3.6,4.0,2014-08-21
2014年08月,4.0,3.9,2014-09-21
2014年09月,3.9,6.6,2014-10-22
2014年10月,6.6,5.2,2014-11-21
2014年11月,5.2,5.1,2014-12-22
2014年12月,5.1,4.9,2015-01-21
2015年01月,4.9,4.1,2015-02-21
2015年02月,4.1,4.6,2015-03-24
2015年03月,4.6,4.5,2015-04-21
2015年04月,4.5,2.8,2015-05-22
2015年05月,2.8,3.0,2015-06-22
2015年06月,3.0,3.1,2015-07-21
2015年07月,3.1,2.5,2015-08-20
2015年08月,2.5,2.4,2015-09-21
2015年09月,2.4,2.0,2015-10-22
2015年10月,2.0,2.3,2015-11-23
2015年11月,2.3,2.3,2015-12-21
2015年12月,2.3,2.4,2016-01-21
2016年01月,2.4,2.5,2016-02-23
2016年02月,2.5,3.0,2016-03-21
2016年03月,3.0,2.9,2016-04-21
2016年04月,2.9,2.7,2016-05-23
