日期,合约品种,合约代码,手续费公布时间,价格公布时间,现价,涨停板,跌停板,保证金/买开,保证金/卖开,保证金/每手,开仓,平今,平昨,每手跳数,每跳毛利,每跳净利,交易所
2026-02-13,白糖605,SR605,2026-02-12 23:40:43,2026-02-13 15:24:38,5257.0,5625.0,4889.0,8%,8%,4205.6元,3元,0元,3元,10,,7.0,郑州商品交易所
2026-02-13,甲醇605,MA605,2026-02-12 23:40:43,2026-02-13 15:24:38,2243.0,2445.0,2041.0,10%,10%,2243元,1/万分之(2.2元),1/万分之(2.2元),1/万分之(2.2元),10,,5.5,郑州商品交易所
2026-02-13,生猪2605,lh2605,2026-02-12 23:40:43,2026-02-13 15:24:38,11525.0,12445.0,10605.0,10%,10%,18440元,2/万分之(36.9元),2/万分之(36.9元),1/万分之(18.4元),80,,6.2,大连商品交易所
2026-02-13,瓶片PR605,PR605,2026-02-12 23:40:43,2026-02-13 15:24:38,6224.0,6786.0,5662.0,10%,10%,9336元,0.5/万分之(4.7元),0/万分之(0元),0.5/万分之(4.7元),30,,25.3,郑州商品交易所
2026-02-13,玻璃605,FG605,2026-02-12 23:40:43,2026-02-13 15:24:38,1067.0,1174.0,960.0,12%,12%,2560.8元,6元,6元,6元,20,,8.0,郑州商品交易所
2026-02-13,玉米淀粉2605,cs2605,2026-02-12 23:40:43,2026-02-13 15:24:38,2644.0,2829.0,2459.0,8%,8%,2115.2元,1.5元,1.5元,1.5元,10,,7.0,大连商品交易所
2026-02-13,玉米2605,c2605,2026-02-12 23:40:43,2026-02-13 15:24:38,2319.0,2504.0,2134.0,9%,9%,2087.1元,1.2元,1.2元,1.2元,10,,7.6,大连商品交易所
2026-02-13,燃油2605,fu2605,2026-02-12 23:40:43,2026-02-13 15:24:38,2916.0,3265.0,2566.0,14%,14%,4082.4元,0.5/万分之(1.5元),0/万分之(0元),0.5/万分之(1.5元),10,,8.5,上海期货交易所
2026-02-13,焦煤2605,jm2605,2026-02-12 23:40:43,2026-02-13 15:24:38,1124.5,1236.5,1012.5,14%,14%,9445.8元,1/万分之(6.7元),1/万分之(6.7元),1/万分之(6.7元),30,,16.5,大连商品交易所
2026-02-13,焦炭2605,j2605,2026-02-12 23:40:43,2026-02-13 15:24:38,1664.5,1830.5,1498.5,20%,20%,33290元,1.4/万分之(23.3元),1.4/万分之(23.3元),1/万分之(16.6元),50,,3.4,大连商品交易所
