symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh600000,浦发银行,9.450,-0.090,-0.943,9.440,9.450,9.540,9.530,9.620,9.430,84859017,806720096,600000,15:00:03
sh600004,白云机场,8.790,-0.040,-0.453,8.790,8.800,8.830,8.830,8.840,8.760,8126551,71453035,600004,15:00:01
sh600006,东风股份,6.400,0.110,1.749,6.390,6.400,6.290,6.300,6.470,6.250,20288988,129469048,600006,15:00:03
sh600007,中国国贸,21.530,-0.200,-0.920,21.520,21.530,21.730,21.900,21.900,21.470,1831300,39549415,600007,15:00:03
sh600008,首创环保,3.050,-0.010,-0.327,3.050,3.060,3.060,3.050,3.060,3.030,67029602,204056675,600008,15:00:01
sh600009,上海机场,27.040,-0.180,-0.661,27.040,27.050,27.220,27.220,27.220,27.010,8249073,223263620,600009,15:00:01
sh600010,包钢股份,2.740,-0.030,-1.083,2.740,2.750,2.770,2.760,2.760,2.700,667440728,1821022137,600010,15:00:01
sh600011,华能国际,6.980,-0.010,-0.143,6.980,6.990,6.990,7.000,7.010,6.910,120622322,841285150,600011,15:00:03
sh600012,皖通高速,16.180,0.000,0.000,16.160,16.180,16.180,16.100,16.270,16.050,3942585,63678376,600012,15:00:03
sh600015,华夏银行,7.150,-0.030,-0.418,7.150,7.160,7.180,7.190,7.200,7.110,44346473,316798772,600015,15:00:03
sh600016,民生银行,3.750,0.010,0.267,3.740,3.750,3.740,3.730,3.750,3.720,170512867,637650189,600016,15:00:03
sh600017,日照港,2.990,-0.010,-0.333,2.990,3.000,3.000,3.020,3.020,2.970,30730469,92054302,600017,15:00:03
sh600018,上港集团,4.900,-0.020,-0.407,4.900,4.910,4.920,4.910,4.920,4.880,26662984,130665433,600018,15:00:01
sh600019,宝钢股份,6.350,-0.030,-0.470,6.350,6.360,6.380,6.390,6.390,6.310,58835890,373815250,600019,15:00:03
sh600020,中原高速,3.750,-0.060,-1.575,3.750,3.760,3.810,3.780,3.790,3.730,17958605,67480815,600020,15:00:03
sh600021,上海电力,17.540,-0.340,-1.902,17.530,17.540,17.880,17.750,17.770,17.450,34296494,602719021,600021,15:00:01
sh600022,山东钢铁,1.450,-0.020,-1.361,1.440,1.450,1.470,1.460,1.470,1.440,104725750,151823435,600022,15:00:01
sh600023,浙能电力,5.800,0.000,0.000,5.790,5.800,5.800,5.790,5.870,5.750,63640205,370023937,600023,15:00:03
sh600025,华能水电,9.660,-0.110,-1.126,9.660,9.670,9.770,9.780,9.830,9.650,24792000,240902281,600025,15:00:03
sh600026,中远海能,21.260,-0.190,-0.886,21.260,21.270,21.450,21.350,21.570,21.070,46727023,994991660,600026,15:00:01
sh600027,华电国际,4.880,-0.010,-0.204,4.880,4.890,4.890,4.900,4.910,4.840,108778404,531066080,600027,15:00:03
sh600028,中国石化,5.390,-0.060,-1.101,5.390,5.400,5.450,5.430,5.440,5.350,235104306,1267317019,600028,15:00:01
sh600029,南方航空,5.560,-0.060,-1.068,5.560,5.570,5.620,5.590,5.610,5.540,87222629,485668379,600029,15:00:03
sh600030,中信证券,26.230,-0.250,-0.944,26.230,26.240,26.480,26.370,26.380,26.050,104235631,2725660518,600030,15:00:00
sh600031,三一重工,19.520,-0.080,-0.408,19.520,19.530,19.600,19.500,19.660,19.310,45886770,894893478,600031,15:00:00
sh600032,浙江新能,10.850,-1.190,-9.884,10.840,10.850,12.040,11.570,11.670,10.850,111400859,1251097818,600032,15:00:01
sh600033,福建高速,3.610,-0.030,-0.824,3.610,3.620,3.640,3.640,3.650,3.590,21009300,75919865,600033,15:00:03
sh600035,楚天高速,3.780,-0.020,-0.526,3.780,3.790,3.800,3.800,3.810,3.780,7659032,29038004,600035,15:00:03
sh600036,招商银行,39.380,-0.430,-1.080,39.380,39.390,39.810,39.740,39.800,39.360,62941438,2485978699,600036,15:00:00
sh600037,歌华有线,7.490,-0.100,-1.318,7.480,7.490,7.590,7.570,7.570,7.390,13139437,98173507,600037,15:00:03
sh600038,中直股份,33.250,-0.460,-1.365,33.240,33.250,33.710,33.700,33.720,33.200,4991700,166475945,600038,15:00:03
sh600039,四川路桥,10.000,-0.040,-0.398,10.000,10.010,10.040,9.980,10.130,9.960,18668460,187804990,600039,15:00:00
