index,value
1,新综合指数
2,高等级科技创新债券综合指数
3,长江养老年金基金债券指数
4,中信证券挂钩DR浮动利率政策性银行债活跃券指数
5,股份制商业银行同业存单指数
6,金融高质量发展主题信用债指数
7,交易所国债指数
8,进出口行债券总指数
9,市场隐含评级AA信用债指数
10,房地产行业信用债指数
11,重庆市地方政府债指数
12,甘肃省地方政府债指数
13,公司信用类科技创新债券指数
14,长三角绿色债券指数
15,企业债AA-指数
16,中国高等级债券指数
17,中高等级公司信用类债券指数
18,系统重要性银行债券指数
19,红利现金流高等级股债金波动率控制1.5%指数
20,中高等级粤港澳大湾区绿色债券指数
21,投资级公司信用债综合指数
22,中高等级绿色金融债券指数
23,高等级科技创新债券指数
24,北京农商银行中高信用等级农村商业银行金融债券指数
25,货币市场基金可投资债券指数
26,高信用等级债券指数
27,非银金融行业信用债指数
28,商业银行无固定期限资本债券市场隐含评级AA指数
29,京津冀公司信用类债券指数
30,京津冀债券综合指数
31,工行关键期限国债指数
32,广东省地方政府债指数
33,厦门市地方政府债指数
34,商业银行无固定期限资本债券AAA指数
35,粤港澳大湾区绿色债券综合指数
36,中高等级科技创新绿色普惠主题信用债指数
37,红利自由现金流低波股债恒定比例10/90指数
38,高信用等级企业债指数
39,农行乡村振兴债券指数
40,城市商业银行及农村商业银行同业存单AAA指数
41,股债恒定组合10/90指数
42,国信证券深圳市国有企业信用债精选指数
43,商业银行无固定期限资本债券指数
44,银行间碳中和债券指数
45,中高等级信用债综合指数
46,贵阳银行西部高质量发展信用债精选指数
47,投资优选国际信用评级投资级活跃信用债指数
48,红利现金流高等级股债金波动率控制1%指数
49,东方证券科技创新信用债精选指数
50,进出口行新发关键期限债券指数
51,商业银行二级资本债券AAA指数
52,粤港澳大湾区信用债指数
53,投资优选信用债指数
54,科技创新绿色普惠主题信用债指数
55,中国高等级债券指数(美元)
56,信用债总指数
57,高等级科技创新及绿色债券指数
58,中邮理财高等级绿色债券精选指数
59,平安人寿ESG整合策略信用债指数
60,战略性新兴产业信用债指数
61,商业银行债券AAA指数
62,AAA评级债券综合指数
63,高等级黄河流域绿色债券指数
64,高等级公司信用类债券综合指数
65,中信证券高等级同业存单指数
66,浦银理财新质生产力发展债券指数
67,银行间国债指数
68,交易所高等级科技创新债券指数
69,银行间资产支持证券指数
70,中国气候相关债券指数
71,招商银行优选信用债指数
72,福建省地方政府债指数
73,市场隐含评级AA+及以上信用债指数
74,青海省地方政府债指数
75,红利自由现金流低波股债恒定比例25/75指数
76,投资优选信用债分散指数
77,高信用等级城市商业银行及农村商业银行债券指数
78,金融机构二级资本债券总指数
79,新中期票据总指数
80,高收益中期票据指数
81,商业银行二级资本债券指数
82,高信用等级商业银行无固定期限及二级资本债券指数
83,银行间科技创新债券指数
84,金融行业信用债指数
85,高等级科技创新债券行业精选指数
86,固定利率债券指数
87,中信证券挂钩LPR浮动利率政策性银行债活跃券指数
88,广西壮族自治区公司信用类债券指数
89,长三角债券综合指数
90,个人住房抵押贷款资产支持证券指数
91,青岛市地方政府债指数
92,煤炭行业信用债指数
93,安徽省公司信用类债券指数
94,企业债AA+指数
95,挂钩DR浮动利率政策性银行债指数
96,红利自由现金流低波股债恒定比例20/80指数
97,金融机构科技创新债券指数
98,中豫信增河南省信用债指数
99,红利现金流中高等级股债金波动率控制1%指数
100,电力行业优质转型企业信用债指数
