报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,资产,现金及存放中央银行款项,存放同业款项,贵金属,拆出资金,交易性金融资产,衍生金融资产,买入返售金融资产,应收利息,发放贷款及垫款,可供出售金融资产,持有至到期投资,应收款项类投资,长期股权投资,投资性房地产,固定资产,无形资产,商誉,递延所得税资产,其他资产,资产合计,负债,向中央银行借款,同业及其他金融机构存放款项,拆入资金,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,卖出回购金融资产款,吸收存款,应付职工薪酬,应交税费,应付利息,预计负债,应付债券,递延所得税负债,其他负债,负债合计,所有者权益（或股东权益,实收资本（或股本）,资本公积,其他综合收益,其他权益工具,其中：优先股,盈余公积,一般风险准备,未分配利润,外币报表折算差额,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益总计
2022-03-31,,4061.75亿,5.12万亿,4.71万亿,4061.75亿,,,3545.41亿,712.79亿,142.76亿,1313.40亿,3992.45亿,308.42亿,278.71亿,False,3.07万亿,False,False,False,False,5.16亿,115.66亿,56.44亿,75.68亿,380.41亿,409.43亿,5.12万亿,,2078.91亿,3453.24亿,358.52亿,736.30亿,307.06亿,False,3.18万亿,147.30亿,129.08亿,False,41.88亿,7702.19亿,False,295.81亿,4.71万亿,,194.06亿,808.16亿,16.91亿,699.44亿,199.53亿,107.81亿,587.33亿,1648.04亿,False,4061.75亿,False,4061.75亿,5.12万亿
2021-12-31,,3954.48亿,4.92万亿,4.53万亿,3954.48亿,,,3120.33亿,782.15亿,178.20亿,944.73亿,3897.03亿,302.38亿,63.88亿,False,2.98万亿,False,False,False,False,5.58亿,119.74亿,58.01亿,75.68亿,397.35亿,421.64亿,4.92万亿,,1481.62亿,3451.31亿,323.94亿,434.21亿,310.92亿,477.03亿,2.99万亿,180.95亿,116.85亿,False,39.44亿,8239.34亿,False,228.85亿,4.53万亿,,194.06亿,808.16亿,17.85亿,699.44亿,199.53亿,107.81亿,583.39亿,1543.77亿,False,3954.48亿,False,3954.48亿,4.92万亿
2021-09-30,,3888.58亿,4.85万亿,4.46万亿,3888.58亿,,,3302.92亿,804.29亿,173.98亿,1178.50亿,3725.80亿,288.25亿,150.77亿,False,2.90万亿,False,False,False,False,5.67亿,113.59亿,58.78亿,75.68亿,395.72亿,450.02亿,4.85万亿,,1735.40亿,3467.44亿,408.72亿,431.56亿,311.41亿,250.90亿,2.95万亿,183.09亿,117.09亿,False,30.61亿,7878.45亿,False,235.88亿,4.46万亿,,194.06亿,808.16亿,15.76亿,699.44亿,199.53亿,107.81亿,523.34亿,1540.01亿,False,3888.58亿,False,3888.58亿,4.85万亿
2021-06-30,,3771.93亿,4.72万亿,4.35万亿,3771.93亿,,,3293.76亿,757.89亿,224.78亿,1060.05亿,3211.64亿,296.27亿,765.59亿,False,2.80万亿,False,False,False,False,6.11亿,114.73亿,60.91亿,75.68亿,391.61亿,397.36亿,4.72万亿,,1229.61亿,3799.96亿,332.74亿,471.62亿,327.15亿,False,2.89万亿,161.67亿,94.49亿,False,29.61亿,7774.67亿,False,243.92亿,4.35万亿,,194.06亿,808.16亿,14.63亿,699.44亿,199.53亿,107.81亿,515.44亿,1432.39亿,False,3771.93亿,False,3771.93亿,4.72万亿
2021-03-31,,3726.17亿,4.57万亿,4.20万亿,3726.17亿,,,3129.03亿,938.02亿,246.58亿,783.86亿,2901.15亿,329.10亿,800.24亿,False,2.71万亿,False,False,False,False,5.22亿,118.28亿,63.28亿,75.68亿,372.07亿,298.72亿,4.57万亿,,1242.45亿,4784.67亿,242.39亿,509.90亿,355.14亿,174.84亿,2.76万亿,142.31亿,127.50亿,False,13.09亿,6487.38亿,100.00万,207.76亿,4.20万亿,,194.06亿,808.16亿,8.45亿,699.44亿,199.53亿,107.81亿,515.38亿,1392.87亿,False,3726.17亿,False,3726.17亿,4.57万亿
2020-12-31,,3641.31亿,4.47万亿,4.10万亿,3641.31亿,,,2839.82亿,1061.74亿,313.40亿,709.96亿,3112.70亿,366.07亿,953.14亿,False,2.61万亿,False,False,False,False,5.73亿,108.93亿,38.52亿,75.68亿,390.34亿,205.80亿,4.47万亿,,1245.87亿,4695.51亿,410.34亿,315.05亿,414.85亿,352.86亿,2.70万亿,169.59亿,114.44亿,False,9.58亿,6118.65亿,200.00万,164.26亿,4.10万亿,,194.06亿,808.16亿,4.62亿,699.44亿,199.53亿,107.81亿,515.36亿,1311.86亿,False,3641.31亿,False,3641.31亿,4.47万亿
2020-09-30,,3587.71亿,4.35万亿,3.99万亿,3587.71亿,,,2988.80亿,856.91亿,366.11亿,981.37亿,2829.51亿,308.20亿,633.38亿,False,2.52万亿,False,False,False,False,5.80亿,102.80亿,39.03亿,75.68亿,378.15亿,233.71亿,4.35万亿,,1220.74亿,4239.92亿,554.00亿,534.40亿,352.86亿,946.76亿,2.57万亿,158.97亿,102.62亿,False,10.11亿,5712.03亿,False,240.58亿,3.99万亿,,194.06亿,808.16亿,8.12亿,699.44亿,199.53亿,107.81亿,463.48亿,1306.64亿,False,3587.71亿,False,3587.71亿,4.35万亿
2020-06-30,,3513.97亿,4.18万亿,3.83万亿,3513.97亿,,,2524.26亿,748.16亿,332.38亿,833.08亿,2653.72亿,347.63亿,557.73亿,False,2.43万亿,False,False,False,False,4.84亿,104.25亿,39.04亿,75.68亿,372.26亿,297.69亿,4.18万亿,,1198.52亿,3927.27亿,345.87亿,733.22亿,390.72亿,611.24亿,2.51万亿,139.04亿,93.09亿,False,17.75亿,5422.09亿,False,223.29亿,3.83万亿,,194.06亿,808.16亿,21.58亿,699.44亿,199.53亿,107.81亿,463.48亿,1219.44亿,False,3513.97亿,False,3513.97亿,4.18万亿
2020-03-31,,3523.55亿,4.13万亿,3.78万亿,3523.55亿,,,2837.06亿,793.03亿,477.19亿,487.01亿,2630.07亿,404.39亿,544.72亿,False,2.37万亿,False,False,False,False,4.17亿,106.08亿,41.32亿,75.68亿,348.79亿,219.21亿,4.13万亿,,1226.50亿,3780.33亿,230.46亿,697.94亿,445.85亿,251.60亿,2.59万亿,125.12亿,157.39亿,False,17.15亿,4717.61亿,False,173.43亿,3.78万亿,,194.06亿,808.16亿,40.16亿,699.44亿,199.53亿,107.81亿,463.48亿,1210.44亿,False,3523.55亿,False,3523.55亿,4.13万亿
2019-12-31,,3129.83亿,3.94万亿,3.63万亿,3129.83亿,,,2522.30亿,856.84亿,511.91亿,793.69亿,2066.82亿,185.00亿,622.16亿,False,2.26万亿,False,False,False,False,2.47亿,110.92亿,43.61亿,75.68亿,347.25亿,179.41亿,3.94万亿,,1133.31亿,3686.91亿,260.71亿,296.91亿,214.04亿,400.99亿,2.46万亿,142.18亿,120.31亿,False,17.34亿,5137.62亿,False,176.87亿,3.63万亿,,194.06亿,808.16亿,23.14亿,399.48亿,199.53亿,107.81亿,463.48亿,1133.70亿,False,3129.83亿,False,3129.83亿,3.94万亿
2019-09-30,,2880.73亿,3.71万亿,3.42万亿,2880.73亿,,,2394.71亿,1075.28亿,497.96亿,855.84亿,1790.84亿,237.13亿,281.98亿,False,2.09万亿,False,False,False,False,2.11亿,105.87亿,45.73亿,75.68亿,329.81亿,200.52亿,3.71万亿,,1159.60亿,4325.56亿,256.50亿,401.17亿,280.70亿,531.47亿,2.31万亿,141.27亿,112.65亿,False,16.99亿,3604.49亿,False,154.07亿,3.42万亿,,194.06亿,808.16亿,19.74亿,199.53亿,199.53亿,107.81亿,398.50亿,1152.93亿,False,2880.73亿,False,2880.73亿,3.71万亿
2019-06-30,,2566.03亿,3.59万亿,3.33万亿,2566.03亿,,,2697.94亿,975.80亿,656.24亿,828.84亿,1546.02亿,179.16亿,156.42亿,False,2.02万亿,False,False,False,False,1.97亿,105.78亿,47.69亿,75.68亿,317.32亿,237.15亿,3.59万亿,,1371.01亿,2771.59亿,165.35亿,160.05亿,230.39亿,309.97亿,2.37万亿,117.65亿,87.45亿,False,14.56亿,4174.12亿,False,193.11亿,3.33万亿,,171.70亿,564.65亿,15.83亿,236.78亿,199.53亿,107.81亿,398.50亿,1070.76亿,False,2566.03亿,False,2566.03亿,3.59万亿
2019-03-31,,2509.38亿,3.53万亿,3.28万亿,2509.38亿,,,2468.56亿,699.11亿,541.73亿,1002.31亿,1639.45亿,198.50亿,443.35亿,False,2.00万亿,False,False,False,False,1.98亿,106.23亿,45.75亿,75.68亿,308.60亿,232.84亿,3.53万亿,,1423.94亿,3045.01亿,216.69亿,157.21亿,184.08亿,215.02亿,2.31万亿,98.48亿,110.53亿,False,12.71亿,4017.58亿,False,146.35亿,3.28万亿,,171.70亿,564.65亿,13.85亿,236.78亿,199.53亿,107.81亿,398.50亿,1016.09亿,False,2509.38亿,False,2509.38亿,3.53万亿
2018-12-31,,2400.42亿,3.42万亿,3.18万亿,2400.42亿,,,2785.28亿,850.98亿,568.35亿,729.34亿,1487.68亿,214.60亿,369.85亿,False,1.95万亿,False,False,False,False,1.94亿,108.99亿,47.71亿,75.68亿,294.68亿,137.78亿,3.42万亿,,1497.56亿,3927.38亿,246.06亿,85.75亿,216.05亿,79.88亿,2.15万亿,122.38亿,93.66亿,False,8.60亿,3818.84亿,False,197.92亿,3.18万亿,,171.70亿,564.65亿,7.86亿,199.53亿,199.53亿,107.81亿,398.50亿,950.37亿,False,2400.42亿,False,2400.42亿,3.42万亿
2018-09-30,,2352.31亿,3.35万亿,3.12万亿,2352.31亿,,,2876.48亿,953.14亿,720.22亿,880.96亿,1034.60亿,256.50亿,327.64亿,183.12亿,1.87万亿,False,False,False,False,1.94亿,93.74亿,47.22亿,75.68亿,288.79亿,156.31亿,3.35万亿,,1498.74亿,4022.95亿,178.32亿,95.99亿,207.29亿,20.00亿,2.13万亿,105.47亿,75.95亿,276.66亿,2400.00万,3214.52亿,False,125.71亿,3.12万亿,,171.70亿,564.65亿,3.37亿,199.53亿,199.53亿,107.81亿,385.52亿,919.73亿,False,2352.31亿,False,2352.31亿,3.35万亿
2018-06-30,,2281.41亿,3.37万亿,3.14万亿,2281.41亿,,,3074.00亿,997.52亿,691.94亿,819.97亿,1048.93亿,215.74亿,737.04亿,184.21亿,1.79万亿,False,False,False,False,2.00亿,85.30亿,44.94亿,75.68亿,270.09亿,184.11亿,3.37万亿,,1428.91亿,4345.58亿,208.35亿,86.14亿,191.61亿,121.48亿,2.08万亿,95.71亿,50.19亿,290.01亿,2400.00万,3615.39亿,False,166.19亿,3.14万亿,,171.70亿,564.65亿,3.31亿,199.53亿,199.53亿,107.81亿,385.52亿,848.89亿,False,2281.41亿,False,2281.41亿,3.37万亿
2018-03-31,,2233.91亿,3.34万亿,3.12万亿,2233.91亿,,,2819.49亿,1061.00亿,747.93亿,776.44亿,768.45亿,193.95亿,922.97亿,196.63亿,1.72万亿,False,False,False,False,2.03亿,78.73亿,45.90亿,75.68亿,268.20亿,238.00亿,3.34万亿,,1449.15亿,4563.52亿,174.79亿,114.13亿,224.24亿,46.99亿,2.03万亿,84.61亿,137.64亿,293.89亿,2500.00万,3579.68亿,False,137.98亿,3.12万亿,,171.70亿,564.65亿,2500.00万,199.53亿,199.53亿,107.81亿,385.52亿,804.45亿,False,2233.91亿,False,2233.91亿,3.34万亿
2017-12-31,,2220.54亿,3.25万亿,3.03万亿,2220.54亿,,,3102.12亿,1302.08亿,875.01亿,590.15亿,395.75亿,160.80亿,419.34亿,203.54亿,1.66万亿,367.44亿,3583.60亿,3723.23亿,False,2.09亿,80.36亿,47.01亿,75.68亿,249.89亿,173.59亿,3.25万亿,,1306.52亿,4309.04亿,280.24亿,90.47亿,177.12亿,63.59亿,2.00万亿,107.13亿,118.91亿,260.63亿,2500.00万,3424.92亿,False,121.18亿,3.03万亿,,171.70亿,564.65亿,-5.28亿,199.53亿,199.53亿,107.81亿,385.52亿,796.61亿,False,2220.54亿,False,2220.54亿,3.25万亿
2017-09-30,,2181.11亿,3.14万亿,2.92万亿,2181.11亿,,,2797.06亿,1670.90亿,895.34亿,798.92亿,413.27亿,62.75亿,191.36亿,187.24亿,1.60万亿,351.13亿,3291.81亿,3856.80亿,False,2.12亿,78.83亿,45.80亿,75.68亿,223.20亿,149.30亿,3.14万亿,,1156.07亿,4070.88亿,447.56亿,105.91亿,67.32亿,196.46亿,1.91万亿,85.74亿,96.85亿,224.66亿,6000.00万,3383.06亿,False,241.18亿,2.92万亿,,171.70亿,564.65亿,-4.35亿,199.53亿,199.53亿,107.81亿,344.68亿,797.09亿,False,2181.11亿,False,2181.11亿,3.14万亿
2017-06-30,,2114.54亿,3.09万亿,2.88万亿,2114.54亿,,,2899.77亿,1723.23亿,946.44亿,645.18亿,490.83亿,58.82亿,14.98亿,184.49亿,1.55万亿,102.93亿,3028.22亿,4644.52亿,False,2.13亿,79.61亿,46.36亿,75.68亿,205.60亿,137.72亿,3.09万亿,,846.84亿,3864.78亿,264.55亿,141.11亿,57.10亿,490.62亿,1.91万亿,71.96亿,77.71亿,216.73亿,6000.00万,3506.50亿,False,145.05亿,2.88万亿,,171.70亿,564.65亿,-4.93亿,199.53亿,199.53亿,107.81亿,344.68亿,731.10亿,False,2114.54亿,False,2114.54亿,3.09万亿
2017-03-31,,2077.39亿,3.01万亿,2.80万亿,2077.39亿,,,2695.41亿,1730.66亿,1081.37亿,690.09亿,440.44亿,41.88亿,8.10亿,170.71亿,1.50万亿,12.38亿,2914.33亿,4652.80亿,False,2.21亿,81.19亿,47.34亿,75.68亿,189.35亿,133.91亿,3.01万亿,,250.74亿,4005.76亿,595.13亿,96.63亿,69.64亿,123.32亿,1.91万亿,69.07亿,151.99亿,213.27亿,6000.00万,3170.79亿,False,116.80亿,2.80万亿,,171.70亿,564.65亿,-5.81亿,199.53亿,199.53亿,107.81亿,344.68亿,694.83亿,False,2077.39亿,False,2077.39亿,3.01万亿
2016-12-31,,2021.71亿,2.95万亿,2.75万亿,2021.71亿,,,3112.58亿,1668.82亿,937.87亿,974.50亿,571.79亿,87.30亿,88.76亿,157.70亿,1.44万亿,11.79亿,2868.02亿,4142.78亿,False,2.21亿,83.16亿,47.71亿,75.68亿,178.31亿,110.99亿,2.95万亿,,191.37亿,3923.51亿,525.86亿,219.13亿,83.49亿,189.41亿,1.92万亿,92.89亿,127.54亿,215.32亿,9000.00万,2634.64亿,False,90.22亿,2.75万亿,,171.70亿,564.65亿,-8.09亿,199.53亿,199.53亿,107.81亿,344.68亿,641.43亿,False,2021.71亿,False,2021.71亿,2.95万亿
2016-09-30,,1982.28亿,2.79万亿,2.59万亿,1982.28亿,,,3039.36亿,1230.78亿,1014.82亿,501.72亿,159.84亿,58.32亿,376.55亿,134.71亿,1.39万亿,15.02亿,2828.62亿,4082.73亿,5.42亿,2.11亿,74.07亿,46.31亿,75.68亿,133.61亿,137.13亿,2.79万亿,,106.49亿,2467.54亿,129.28亿,205.85亿,112.38亿,False,1.91万亿,106.48亿,92.41亿,211.51亿,2400.00万,3254.19亿,False,114.95亿,2.59万亿,,171.70亿,564.65亿,-8.72亿,199.53亿,199.53亿,85.21亿,275.28亿,694.63亿,False,1982.28亿,False,1982.28亿,2.79万亿
2016-06-30,,1917.00亿,2.80万亿,2.61万亿,1917.00亿,,,2781.78亿,1581.30亿,921.73亿,670.70亿,411.48亿,116.03亿,521.62亿,141.16亿,1.32万亿,12.80亿,2845.98亿,4262.92亿,5.42亿,2.28亿,53.10亿,47.41亿,75.68亿,117.32亿,140.55亿,2.80万亿,,411.07亿,2588.28亿,96.93亿,227.39亿,195.49亿,3.00亿,1.90万亿,99.01亿,64.91亿,207.15亿,2500.00万,3076.03亿,False,139.81亿,2.61万亿,,171.70亿,564.65亿,-9.73亿,199.53亿,199.53亿,85.21亿,275.28亿,630.36亿,False,1917.00亿,False,1917.00亿,2.80万亿
2016-03-31,,1875.69亿,2.68万亿,2.49万亿,1875.69亿,,,2961.44亿,1808.71亿,693.49亿,872.12亿,370.60亿,76.76亿,340.45亿,144.10亿,1.23万亿,27.46亿,2892.76亿,3845.68亿,5.21亿,2.29亿,46.50亿,48.38亿,75.68亿,97.32亿,134.72亿,2.68万亿,,27.83亿,2993.34亿,91.18亿,161.70亿,101.97亿,43.98亿,1.85万亿,83.74亿,87.52亿,227.06亿,2500.00万,2473.60亿,False,98.13亿,2.49万亿,,143.09亿,593.26亿,-10.87亿,199.53亿,199.53亿,85.21亿,275.28亿,590.19亿,False,1875.69亿,False,1875.69亿,2.68万亿
2015-12-31,,1615.00亿,2.51万亿,2.35万亿,1615.00亿,,,2917.15亿,1090.46亿,637.44亿,766.36亿,197.57亿,81.44亿,1172.91亿,135.40亿,1.19万亿,12.45亿,2661.66亿,3076.35亿,5.21亿,2.12亿,47.88亿,49.61亿,75.68亿,87.28亿,119.56亿,2.51万亿,,30.51亿,3111.06亿,121.43亿,85.06亿,40.37亿,110.00亿,1.73万亿,103.51亿,65.71亿,232.53亿,2600.00万,2129.63亿,False,86.77亿,2.35万亿,,143.09亿,593.26亿,-11.17亿,False,False,85.21亿,275.28亿,529.33亿,False,1615.00亿,False,1615.00亿,2.51万亿
2015-09-30,,1571.36亿,2.60万亿,2.44万亿,1571.36亿,,,2972.23亿,1079.63亿,626.57亿,1041.89亿,175.97亿,54.71亿,2542.85亿,119.44亿,1.18万亿,7.66亿,2600.22亿,2482.90亿,5.62亿,1.45亿,44.06亿,49.72亿,75.68亿,93.67亿,122.87亿,2.60万亿,,36.00亿,4357.45亿,168.46亿,73.86亿,28.44亿,False,1.72万亿,105.20亿,73.93亿,257.08亿,2500.00万,1923.25亿,False,134.17亿,2.44万亿,,143.09亿,593.26亿,-13.55亿,False,False,63.34亿,191.15亿,594.07亿,False,1571.36亿,False,1571.36亿,2.60万亿
2015-06-30,,1508.80亿,2.57万亿,2.42万亿,1508.80亿,,,2986.18亿,631.44亿,569.14亿,692.67亿,372.46亿,50.90亿,3068.69亿,112.64亿,1.16万亿,15.86亿,2461.37亿,2705.29亿,5.62亿,1.07亿,36.90亿,50.64亿,75.68亿,93.08亿,111.26亿,2.57万亿,,29.21亿,5750.47亿,179.31亿,56.27亿,32.52亿,False,1.66万亿,88.96亿,72.93亿,240.01亿,2500.00万,1082.54亿,False,102.91亿,2.42万亿,,143.09亿,593.26亿,-14.57亿,False,False,63.34亿,191.15亿,532.53亿,False,1508.80亿,False,1508.80亿,2.57万亿
2015-03-31,,1367.04亿,2.30万亿,2.17万亿,1367.04亿,,,2667.05亿,675.68亿,546.39亿,463.60亿,407.90亿,57.58亿,1830.48亿,116.33亿,1.10万亿,19.54亿,2310.94亿,2482.91亿,4.86亿,1.09亿,36.97亿,51.57亿,75.68亿,74.84亿,125.08亿,2.30万亿,,40.86亿,4175.79亿,137.33亿,48.89亿,35.37亿,184.26亿,1.58万亿,65.84亿,72.12亿,242.41亿,2500.00万,779.21亿,False,99.53亿,2.17万亿,,114.25亿,522.70亿,-17.25亿,False,False,63.34亿,191.15亿,492.85亿,False,1367.04亿,False,1367.04亿,2.30万亿
2014-12-31,,1309.49亿,2.19万亿,2.06万亿,1309.49亿,,,3062.98亿,669.69亿,452.54亿,458.41亿,258.11亿,43.00亿,1786.36亿,119.37亿,1.00万亿,14.93亿,2078.74亿,2462.58亿,4.86亿,1.10亿,38.12亿,52.93亿,75.68亿,68.34亿,81.23亿,2.19万亿,,27.54亿,3854.51亿,135.51亿,42.59亿,26.62亿,225.68亿,1.53万亿,79.61亿,57.94亿,252.29亿,2500.00万,417.50亿,False,84.40亿,2.06万亿,,114.25亿,522.70亿,-18.51亿,False,False,63.34亿,191.15亿,436.56亿,False,1309.49亿,False,1309.49亿,2.19万亿
2014-09-30,,1267.36亿,2.14万亿,2.02万亿,1267.36亿,,,2773.25亿,1000.35亿,414.73亿,485.67亿,148.08亿,49.04亿,2039.75亿,111.35亿,9741.60亿,24.76亿,2001.89亿,2225.37亿,4.72亿,1.01亿,35.40亿,52.63亿,75.68亿,61.54亿,91.78亿,2.14万亿,,13.57亿,3693.64亿,164.07亿,45.12亿,31.20亿,186.54亿,1.51万亿,69.83亿,55.24亿,247.73亿,3000.00万,454.81亿,False,113.02亿,2.02万亿,,114.25亿,522.70亿,-19.56亿,False,False,43.54亿,165.09亿,441.34亿,False,1267.36亿,False,1267.36亿,2.14万亿
2014-06-30,,1209.40亿,2.14万亿,2.02万亿,1209.40亿,,,2596.04亿,956.90亿,408.98亿,445.82亿,252.17亿,27.40亿,2906.88亿,106.41亿,9210.48亿,12.87亿,1988.48亿,2058.82亿,5.83亿,1.03亿,34.92亿,52.96亿,75.68亿,47.86亿,66.72亿,2.14万亿,,12.99亿,3923.13亿,187.65亿,49.50亿,32.63亿,203.85亿,1.51万亿,57.15亿,37.65亿,212.19亿,4500.00万,216.05亿,False,110.36亿,2.02万亿,,114.25亿,501.40亿,False,False,False,43.54亿,165.09亿,385.12亿,False,1209.40亿,False,1209.40亿,2.14万亿
2014-03-31,,1173.00亿,2.10万亿,1.98万亿,1173.00亿,,,2581.10亿,858.21亿,342.58亿,472.92亿,251.65亿,36.75亿,3471.14亿,101.38亿,8740.14亿,7.17亿,1949.55亿,1817.99亿,5.96亿,1.14亿,35.80亿,53.32亿,75.68亿,39.12亿,62.71亿,2.10万亿,,17.99亿,5007.63亿,192.92亿,42.27亿,34.68亿,110.93亿,1.38万亿,44.82亿,44.09亿,193.35亿,5600.00万,171.08亿,False,89.12亿,1.98万亿,,95.21亿,518.99亿,False,False,False,43.54亿,165.09亿,350.17亿,False,1173.00亿,False,1173.00亿,2.10万亿
2013-12-31,,1120.81亿,1.89万亿,1.78万亿,1120.81亿,,,2299.24亿,719.14亿,212.86亿,272.41亿,104.21亿,33.97亿,2716.92亿,100.43亿,8321.27亿,4.67亿,1956.67亿,1846.56亿,5.96亿,1.16亿,36.94亿,54.63亿,75.68亿,44.06亿,40.05亿,1.89万亿,,22.64亿,4507.89亿,226.33亿,36.92亿,29.14亿,360.49亿,1.22万亿,60.13亿,42.05亿,166.05亿,5600.00万,81.02亿,False,71.87亿,1.78万亿,,95.21亿,517.34亿,False,False,False,43.54亿,165.09亿,299.63亿,False,1120.81亿,False,1120.81亿,1.89万亿
2013-09-30,,949.13亿,1.86万亿,1.76万亿,949.13亿,,,2568.45亿,608.49亿,83.96亿,228.33亿,143.71亿,13.58亿,2471.54亿,97.98亿,8176.97亿,581.75亿,1400.20亿,1894.31亿,5.08亿,1.84亿,33.12亿,55.10亿,75.68亿,32.88亿,35.81亿,1.86万亿,,24.73亿,3964.22亿,203.46亿,36.00亿,16.68亿,422.98亿,1.25万亿,52.33亿,36.20亿,159.50亿,6600.00万,95.97亿,False,57.04亿,1.76万亿,,81.97亿,394.26亿,False,False,False,28.30亿,136.33亿,308.27亿,False,949.13亿,False,949.13亿,1.86万亿
2013-06-30,,915.42亿,1.83万亿,1.74万亿,915.42亿,,,2361.66亿,599.10亿,32.19亿,360.31亿,216.54亿,10.60亿,3039.84亿,91.65亿,7724.67亿,917.42亿,1003.81亿,1593.89亿,5.22亿,1.87亿,33.41亿,56.24亿,75.68亿,25.11亿,72.21亿,1.83万亿,,12.62亿,3972.21亿,233.98亿,30.56亿,13.18亿,959.82亿,1.18万亿,43.00亿,28.46亿,141.42亿,1.28亿,95.92亿,False,57.58亿,1.74万亿,,81.97亿,402.20亿,False,False,False,28.30亿,136.33亿,266.62亿,False,915.42亿,False,915.42亿,1.83万亿
2013-03-31,,887.59亿,1.81万亿,1.72万亿,887.59亿,,,2129.52亿,750.75亿,49.86亿,516.58亿,76.53亿,9.13亿,3459.83亿,94.50亿,7413.45亿,819.33亿,1027.71亿,1423.81亿,5.22亿,1.93亿,34.17亿,57.49亿,75.68亿,29.47亿,63.58亿,1.81万亿,,14.01亿,5243.15亿,218.61亿,41.80亿,9.88亿,646.91亿,1.06万亿,34.45亿,20.09亿,134.74亿,1.28亿,95.87亿,12.61亿,85.91亿,1.72万亿,,51.23亿,405.07亿,False,False,False,28.30亿,136.33亿,266.66亿,False,887.59亿,False,887.59亿,1.81万亿
2012-12-31,,847.99亿,1.61万亿,1.52万亿,847.99亿,,,2193.47亿,942.95亿,24.30亿,654.26亿,42.37亿,9.67亿,1864.73亿,87.57亿,7082.62亿,898.96亿,1031.24亿,908.38亿,5.22亿,1.96亿,35.36亿,58.78亿,75.68亿,34.50亿,29.69亿,1.61万亿,,161.68亿,3542.23亿,390.68亿,17.22亿,9.52亿,461.48亿,1.02万亿,48.63亿,22.99亿,115.26亿,1.28亿,160.79亿,12.72亿,31.31亿,1.52万亿,,51.23亿,401.35亿,False,False,False,28.30亿,136.33亿,230.77亿,False,847.99亿,False,847.99亿,1.61万亿
2012-09-30,,817.26亿,1.48万亿,1.40万亿,817.26亿,,,1824.74亿,703.60亿,False,174.02亿,69.25亿,6.91亿,1336.54亿,81.65亿,6932.38亿,807.34亿,1059.31亿,539.40亿,5.36亿,2.50亿,31.82亿,56.89亿,75.68亿,33.28亿,50.59亿,1.48万亿,,258.17亿,3197.47亿,101.80亿,10.66亿,7.16亿,339.45亿,9353.97亿,41.43亿,21.81亿,113.70亿,8659.70万,160.72亿,12.74亿,40.41亿,1.40万亿,,51.23亿,402.27亿,False,False,False,28.30亿,117.99亿,217.46亿,False,817.26亿,False,817.26亿,1.48万亿
2012-06-30,,798.23亿,1.49万亿,1.41万亿,798.23亿,,,1804.14亿,1069.87亿,3.99亿,263.20亿,50.61亿,8.03亿,1171.95亿,85.52亿,6710.76亿,802.30亿,1082.24亿,371.04亿,5.36亿,2.54亿,32.47亿,57.85亿,75.68亿,29.64亿,47.94亿,1.49万亿,,262.40亿,3237.26亿,71.97亿,3.99亿,7.32亿,366.74亿,9495.78亿,36.10亿,17.66亿,104.40亿,8659.70万,160.68亿,14.54亿,65.20亿,1.41万亿,,51.23亿,412.88亿,False,False,False,28.30亿,117.99亿,187.82亿,False,798.23亿,False,798.23亿,1.49万亿
2012-03-31,,789.57亿,1.37万亿,1.29万亿,768.15亿,,,1718.99亿,858.88亿,False,184.52亿,33.14亿,5.08亿,395.72亿,84.02亿,6401.07亿,799.17亿,1095.85亿,False,5.39亿,2.57亿,34.26亿,58.85亿,75.68亿,28.51亿,45.71亿,1.37万亿,,12.57亿,2492.81亿,139.79亿,1.89亿,4.34亿,220.17亿,9148.10亿,29.91亿,27.70亿,108.95亿,1.12亿,160.61亿,13.73亿,43.02亿,1.29万亿,,51.23亿,416.13亿,False,False,False,28.30亿,79.55亿,192.93亿,False,768.15亿,21.42亿,789.57亿,1.37万亿
2011-12-31,,753.81亿,1.26万亿,1.18万亿,733.11亿,,,1606.35亿,398.84亿,False,84.47亿,26.08亿,8.11亿,343.04亿,72.74亿,6100.75亿,783.84亿,1076.83亿,137.32亿,5.39亿,2.63亿,35.24亿,59.90亿,75.68亿,28.90亿,29.77亿,1.26万亿,,11.31亿,1554.10亿,252.79亿,False,7.32亿,391.97亿,8508.45亿,36.00亿,25.36亿,99.14亿,1.12亿,160.54亿,13.51亿,60.73亿,1.18万亿,,51.23亿,415.38亿,False,False,False,28.30亿,79.55亿,158.64亿,False,733.11亿,20.70亿,753.81亿,1.26万亿
2011-09-30,,716.86亿,1.21万亿,1.14万亿,697.08亿,,,1369.94亿,270.71亿,False,80.35亿,165.45亿,6.22亿,719.41亿,55.54亿,5987.17亿,783.93亿,1088.36亿,False,4.17亿,2.61亿,34.07亿,60.22亿,75.68亿,29.28亿,25.48亿,1.21万亿,,10.12亿,1631.96亿,98.74亿,False,5.41亿,461.52亿,8322.41亿,27.02亿,21.46亿,87.27亿,1.05亿,160.47亿,14.11亿,44.09亿,1.14万亿,,51.23亿,405.26亿,False,False,False,19.12亿,59.78亿,161.68亿,False,697.08亿,19.78亿,716.86亿,1.21万亿
