报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,资产,现金及存放中央银行款项,存放同业款项,贵金属,拆出资金,交易性金融资产,衍生金融资产,买入返售金融资产,应收利息,发放贷款及垫款,可供出售金融资产,持有至到期投资,应收款项类投资,长期股权投资,投资性房地产,固定资产,无形资产,商誉,递延所得税资产,其他资产,资产合计,负债,向中央银行借款,同业及其他金融机构存放款项,拆入资金,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,卖出回购金融资产款,吸收存款,应付职工薪酬,应交税费,应付利息,预计负债,应付债券,递延所得税负债,其他负债,负债合计,所有者权益（或股东权益,实收资本（或股本）,资本公积,其他综合收益,其他权益工具,其中：优先股,盈余公积,一般风险准备,未分配利润,外币报表折算差额,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益总计
2003-09-30,,39.82亿,1933.96亿,1894.14亿,39.82亿,,,156.92亿,88.28亿,False,23.08亿,19.56亿,False,26.16亿,False,False,False,False,False,1.11亿,False,False,7567.55万,False,False,False,1933.96亿,,46.43亿,False,266.60亿,False,False,60.78亿,False,8649.12万,1.34亿,False,False,False,False,False,1894.14亿,,19.46亿,15.72亿,False,False,False,1.25亿,8644.50万,2.53亿,False,39.82亿,False,39.82亿,1933.96亿
2003-06-30,,43.30亿,1754.55亿,1711.25亿,43.30亿,,,96.26亿,120.86亿,False,25.39亿,22.07亿,False,43.82亿,False,False,False,False,False,1.13亿,False,23.33亿,6448.26万,False,False,False,1754.55亿,,False,False,345.70亿,False,False,16.00亿,False,6362.01万,1.15亿,False,False,False,False,False,1711.25亿,,19.46亿,15.72亿,False,False,False,1.25亿,8644.50万,6.01亿,1500.00,43.30亿,False,43.30亿,1754.55亿
2003-03-31,,39.21亿,1624.67亿,1585.46亿,39.21亿,,,99.22亿,25.38亿,False,44.13亿,8.64亿,False,61.88亿,False,False,False,False,False,1.86亿,False,False,6545.07万,False,False,False,1624.67亿,,False,False,286.31亿,False,False,23.41亿,False,1.19亿,1.51亿,False,False,False,False,False,1585.46亿,,19.46亿,15.72亿,False,False,False,1.25亿,8644.50万,1.92亿,-10.15万,39.21亿,False,39.21亿,1624.67亿
2002-12-31,,37.68亿,1661.66亿,1623.98亿,37.68亿,,,163.31亿,103.19亿,False,49.30亿,17.29亿,False,2.05亿,False,False,False,False,False,1.53亿,False,23.81亿,5233.17万,False,False,False,1661.66亿,,1.26亿,False,300.48亿,False,False,41.50亿,False,1.89亿,2.32亿,False,False,False,False,False,1623.98亿,,19.46亿,15.72亿,False,False,False,1.25亿,8644.50万,3883.61万,1000.00,37.68亿,False,37.68亿,1661.66亿
2002-09-30,,40.58亿,1600.22亿,1559.64亿,40.58亿,,,118.12亿,140.54亿,False,11.74亿,9.64亿,False,11.68亿,False,False,False,False,False,1.21亿,False,False,4205.76万,False,False,False,1600.22亿,,3000.00万,False,248.35亿,False,False,69.60亿,False,3.59亿,2.44亿,False,False,False,False,False,1559.64亿,,19.46亿,15.72亿,False,False,False,6035.41万,False,4.80亿,False,40.58亿,False,40.58亿,1600.22亿
2002-06-30,,39.42亿,1346.89亿,1307.47亿,39.42亿,,,79.74亿,33.88亿,False,61.39亿,1.05亿,False,50.70亿,False,False,False,False,False,9015.20万,False,20.76亿,3966.84万,False,False,False,1346.89亿,,1.50亿,False,233.99亿,False,False,False,False,2.48亿,2.12亿,False,False,False,False,False,1307.47亿,,19.46亿,15.72亿,False,False,False,6035.41万,False,3.64亿,4.59万,39.42亿,False,39.42亿,1346.89亿
2002-03-31,,38.12亿,1106.89亿,1068.77亿,38.12亿,,,65.43亿,11.59亿,False,66.10亿,3.47亿,False,18.89亿,False,False,False,False,False,1.05亿,False,False,4329.32万,False,False,False,1106.89亿,,6.02亿,False,114.61亿,False,False,22.80亿,False,1.42亿,2.12亿,False,False,False,False,False,1068.77亿,,19.46亿,15.72亿,False,False,False,6035.41万,False,2.34亿,False,38.12亿,False,38.12亿,1106.89亿
2001-12-31,,36.28亿,1201.27亿,1164.99亿,36.28亿,,,209.97亿,40.85亿,False,43.51亿,7908.80万,False,63.87亿,False,False,False,False,False,1.05亿,False,17.63亿,3566.30万,False,False,False,1201.27亿,,11.09亿,False,154.97亿,False,False,False,False,2.20亿,2.02亿,False,False,False,False,False,1164.99亿,,19.46亿,15.72亿,False,False,False,6035.41万,False,4976.32万,False,36.28亿,False,36.28亿,1201.27亿
2001-06-30,,49.62亿,851.81亿,802.20亿,49.62亿,,,117.00亿,40.24亿,False,64.10亿,5930.40万,False,28.23亿,False,False,False,False,False,1.09亿,False,17.26亿,2430.27万,False,False,False,851.81亿,,False,False,32.14万,False,False,False,False,9757.16万,4962.53万,False,False,False,False,False,802.20亿,,19.46亿,27.93亿,False,False,False,False,False,2.23亿,False,49.62亿,False,49.62亿,851.81亿
2000-12-31,,47.39亿,672.27亿,624.89亿,47.39亿,,,104.46亿,36.53亿,False,44.72亿,2967.79万,False,14.32亿,False,False,False,False,False,1.09亿,False,False,198.25万,False,False,False,672.27亿,,21.06亿,False,2.47亿,False,False,8.80亿,False,1.38亿,5829.81万,False,False,False,False,False,624.89亿,,19.46亿,27.93亿,False,False,False,False,False,False,False,47.39亿,False,47.39亿,672.27亿
2000-06-30,,30.79亿,497.32亿,466.54亿,30.79亿,,,68.52亿,8.94亿,False,19.85亿,2967.02万,False,6302.21万,False,False,False,False,False,2.56亿,False,False,False,False,False,False,497.32亿,,4.47亿,False,2.42亿,False,False,False,False,1.08亿,5526.31万,False,False,False,False,False,466.54亿,,15.52亿,2.91亿,False,False,False,8.94亿,False,3.41亿,False,30.79亿,False,30.79亿,497.32亿
