基金代码,基金简称,基金类别,投资类别,上市日期,基金份额,基金管理人,基金发起人,基金托管人,净值
159168,有色ETF富国,ETF,股票基金,2026-02-12,225455060,富国基金管理有限公司,,,0.9713
159169,恒生生物科技ETF广发,ETF,股票基金,2026-03-04,195874485,广发基金管理有限公司,,,1.0385
159170,港股通互联网ETF永赢,ETF,股票基金,2026-03-19,282638357,永赢基金管理有限公司,,,0.9749
159171,工业有色ETF博时,ETF,股票基金,2026-03-05,255532934,博时基金管理有限公司,,,0.895
159172,养殖ETF汇添富,ETF,股票基金,2026-03-20,392829293,汇添富基金管理股份有限公司,,,0.9475
159173,农牧ETF南方,ETF,股票基金,2026-04-02,58455388,南方基金管理股份有限公司,,,1.0112
159175,电池ETF易方达,ETF,股票基金,2026-03-05,240270382,易方达基金管理有限公司,,,1.1124
159176,家电ETF华宝,ETF,股票基金,2026-04-03,63303341,华宝基金管理有限公司,,,1.0233
159177,工程机械ETF鹏华,ETF,股票基金,2026-04-02,93619279,鹏华基金管理有限公司,,,1.044
159179,港股通互联网ETF工银,ETF,股票基金,2026-04-03,120903568,工银瑞信基金管理有限公司,,,1.0326
159180,软件ETF银华,ETF,股票基金,2026-04-03,57155926,银华基金管理股份有限公司,,,1.0763
159181,石油ETF易方达,ETF,股票基金,2026-03-19,197405335,易方达基金管理有限公司,,,0.9482
159183,新能源车ETF招商,ETF,股票基金,2026-03-24,113387793,招商基金管理有限公司,,,1.0842
159186,港股通汽车ETF鹏华,ETF,股票基金,2026-04-20,271869245,鹏华基金管理有限公司,,,1.0128
159187,创业板新能源ETF景顺,ETF,股票基金,2026-04-01,106176266,景顺长城基金管理有限公司,,,1.0338
159188,红利100ETF景顺,ETF,股票基金,2026-04-10,111601882,景顺长城基金管理有限公司,,,1.0158
159189,石油ETF华夏,ETF,股票基金,2026-03-19,176083187,华夏基金管理有限公司,,,0.9442
159190,创业板新能源ETF天弘,ETF,股票基金,2026-03-30,108069299,天弘基金管理有限公司,,,1.0277
159191,港股通科技ETF易方达,ETF,股票基金,2026-03-26,101104851,易方达基金管理有限公司,,,1.0375
159195,石油ETF华安,ETF,股票基金,2026-04-02,123490164,华安基金管理有限公司,,,0.9757
159196,港股通信息技术ETF易方达,ETF,股票基金,2026-04-02,94530324,易方达基金管理有限公司,,,1.1179
159197,石油ETF招商,ETF,股票基金,2026-04-02,70388290,招商基金管理有限公司,,,0.9769
159198,港股通信息技术ETF富国,ETF,股票基金,2026-04-03,96344347,富国基金管理有限公司,,,1.1234
159199,石油ETF平安,ETF,股票基金,2026-04-09,143154938,平安基金管理有限公司,,,0.9708
159200,科创债ETF富国,ETF,债券基金,2025-07-17,138912633,富国基金管理有限公司,,,101.1912
159201,自由现金流ETF华夏,ETF,股票基金,2025-02-27,15531275939,华夏基金管理有限公司,,,1.3129
159202,恒生互联网ETF万家,ETF,其它基金,2025-04-16,1293401900,万家基金管理有限公司,,,0.9583
159203,大盘成长ETF博时,ETF,股票基金,2025-06-30,4791913,博时基金管理有限公司,,,1.404
159205,创业板ETF东财,ETF,股票基金,2025-06-12,301056064,东财基金管理有限公司,,,1.7923
159206,卫星ETF永赢,ETF,股票基金,2025-03-14,11930953365,永赢基金管理有限公司,,,1.8058
159207,高股息ETF广发,ETF,股票基金,2025-04-09,713983345,广发基金管理有限公司,,,1.1639
159208,航空航天ETF万家,ETF,股票基金,2025-05-12,248462783,万家基金管理有限公司,,,1.3631
159209,红利质量ETF招商,ETF,股票基金,2025-03-25,2022635053,招商基金管理有限公司,,,1.2264
159210,港股通汽车ETF汇添富,ETF,股票基金,2025-06-04,83349802,汇添富基金管理股份有限公司,,,1.0992
159211,深证100ETF富国,ETF,股票基金,2025-04-14,19683294,富国基金管理有限公司,,,1.4951
