日期,纽约原油-多头仓位,纽约原油-空头仓位,纽约原油-净仓位,原糖-多头仓位,原糖-空头仓位,原糖-净仓位,大豆-多头仓位,大豆-空头仓位,大豆-净仓位,豆油-多头仓位,豆油-空头仓位,豆油-净仓位,豆粕-多头仓位,豆粕-空头仓位,豆粕-净仓位,白银-多头仓位,白银-空头仓位,白银-净仓位,铂金-多头仓位,铂金-空头仓位,铂金-净仓位,钯金-多头仓位,钯金-空头仓位,钯金-净仓位,纽约天然气-多头仓位,纽约天然气-空头仓位,纽约天然气-净仓位,黄金-多头仓位,黄金-空头仓位,黄金-净仓位,棉花-多头仓位,棉花-空头仓位,棉花-净仓位,玉米-多头仓位,玉米-空头仓位,玉米-净仓位
1986-01-15,0.0,0.0,0.0,0.0,0.0,0.0,47835.0,11560.0,36275.0,1769.0,3291.0,-1522.0,7292.0,689.0,6603.0,11687.0,7480.0,4207.0,3990.0,1335.0,2655.0,1569.0,117.0,1452.0,0.0,0.0,0.0,18589.0,7706.0,10883.0,0.0,0.0,0.0,45615.0,16565.0,29050.0
1986-01-31,0.0,0.0,0.0,0.0,0.0,0.0,42610.0,15880.0,26730.0,1004.0,3369.0,-2365.0,5385.0,371.0,5014.0,10702.0,5664.0,5038.0,5434.0,1177.0,4257.0,1664.0,103.0,1561.0,0.0,0.0,0.0,15364.0,9303.0,6061.0,0.0,0.0,0.0,32135.0,34145.0,-2010.0
1986-02-14,0.0,0.0,0.0,0.0,0.0,0.0,24555.0,16840.0,7715.0,609.0,5285.0,-4676.0,4686.0,1621.0,3065.0,9113.0,7091.0,2022.0,4890.0,1380.0,3510.0,1182.0,201.0,981.0,0.0,0.0,0.0,5457.0,12229.0,-6772.0,0.0,0.0,0.0,14030.0,50275.0,-36245.0
1986-02-28,0.0,0.0,0.0,0.0,0.0,0.0,22805.0,26390.0,-3585.0,449.0,5268.0,-4819.0,6307.0,1884.0,4423.0,10355.0,10555.0,-200.0,5176.0,1276.0,3900.0,1600.0,88.0,1512.0,0.0,0.0,0.0,7991.0,12222.0,-4231.0,0.0,0.0,0.0,17735.0,59835.0,-42100.0
1986-03-14,0.0,0.0,0.0,0.0,0.0,0.0,43290.0,14190.0,29100.0,542.0,5401.0,-4859.0,6680.0,640.0,6040.0,8740.0,7771.0,969.0,6452.0,1716.0,4736.0,1909.0,471.0,1438.0,0.0,0.0,0.0,12637.0,11015.0,1622.0,0.0,0.0,0.0,18725.0,58090.0,-39365.0
1986-03-31,0.0,0.0,0.0,0.0,0.0,0.0,53950.0,19575.0,34375.0,4358.0,3643.0,715.0,6297.0,1685.0,4612.0,8990.0,10443.0,-1453.0,4856.0,1517.0,3339.0,1517.0,255.0,1262.0,0.0,0.0,0.0,9817.0,11406.0,-1589.0,0.0,0.0,0.0,22015.0,50105.0,-28090.0
1986-04-15,0.0,0.0,0.0,0.0,0.0,0.0,22000.0,44425.0,-22425.0,1359.0,5266.0,-3907.0,2822.0,3463.0,-641.0,12005.0,8955.0,3050.0,5451.0,1638.0,3813.0,1154.0,323.0,831.0,0.0,0.0,0.0,6805.0,20416.0,-13611.0,0.0,0.0,0.0,11840.0,62930.0,-51090.0
1986-04-30,0.0,0.0,0.0,0.0,0.0,0.0,40315.0,13770.0,26545.0,2339.0,3390.0,-1051.0,2133.0,2074.0,59.0,7526.0,7486.0,40.0,3271.0,1201.0,2070.0,1338.0,345.0,993.0,0.0,0.0,0.0,8159.0,10519.0,-2360.0,0.0,0.0,0.0,31075.0,36610.0,-5535.0
1986-05-15,0.0,0.0,0.0,0.0,0.0,0.0,43975.0,17950.0,26025.0,2492.0,2900.0,-408.0,2595.0,2518.0,77.0,7598.0,8493.0,-895.0,3314.0,745.0,2569.0,1239.0,406.0,833.0,0.0,0.0,0.0,4649.0,10375.0,-5726.0,0.0,0.0,0.0,60375.0,12690.0,47685.0
1986-05-30,0.0,0.0,0.0,0.0,0.0,0.0,31220.0,15240.0,15980.0,2675.0,3785.0,-1110.0,1052.0,4161.0,-3109.0,10377.0,7920.0,2457.0,3224.0,552.0,2672.0,1225.0,262.0,963.0,0.0,0.0,0.0,4982.0,13683.0,-8701.0,0.0,0.0,0.0,47410.0,22700.0,24710.0
