债券代码,债券简称,申购日期,申购代码,原股东配售码,每股获配额,计划发行量,实际发行量,中签公布日,中签号,上市日期,正股代码,正股简称,转股价格,到期时间,中签率
118065,艾为转债,2026-01-22,718798,726798,8.155,19.0132,19.0132,2026-01-26,"54552、79552、29552、04552；
545563、670563、795563、920563、420563、295563、170563、045563、883256；
6611904、7861904、9111904、5361904、4111904、2861904、1611904、0361904；
76114102、26114102；
189996939、689996939；
0561360679",2026-02-26,688798,艾为电子,79.83,2032-01-22,0.00498221
110100,龙建转债,2026-01-22,733853,704853,0.986,10.0,10.0,2026-01-26,"18317；
303737、428737、553737、678737、803737、928737、178737、053737、042013；
0509151、2509151、4509151、6509151、8509151、4135730；
87192099、99692099、74692099、62192099、49692099、37192099、24692099、12192099、04060464；
776940405、526940405、276940405、026940405；
4170302482、8891578518、3164082051、5278308477、5258056686",2026-02-12,600853,龙建股份,4.63,2032-01-22,0.00196948
123265,耐普转02,2026-01-16,370818,380818,2.6663,4.5,4.5,2026-01-20,"242252、042252、442252、642252、842252、779718；
96759854、16759854、36759854、56759854、76759854、87417620、12417620、37417620、62417620；
898820823、398820823；
8006062886、7058658048、6270064016、4665659948、5532951562、9339192056",2026-01-30,300818,耐普矿机,38.44,2032-01-16,0.00060926
127112,尚太转债,2026-01-16,071301,081301,6.677,17.34,17.34,2026-01-20,"53825、13825、33825、73825、93825；
231776；
4047415、0047415、2047415、6047415、8047415、2758520；
23234407、03234407、43234407、63234407、83234407、68060430、18060430；
737218573、112218573、237218573、362218573、487218573、612218573、862218573、987218573；
8594358902、2018728119、9326557692、3759962172、6774987968、7541014554、0088302175、4322645611",2026-02-05,001301,尚太科技,84.71,2032-01-16,0.00516789
118064,联瑞转债,2026-01-08,718300,726300,2.878,6.95,6.95,2026-01-12,"273742、398742、523742、648742、773742、898742、148742、023742；
9561144、7561144、5561144、3561144、1561144、8610109、3610109；
745975559、945975559、545975559、345975559、145975559、907858448；
7228691389、4376948339、6252407634、0574979004、0774449237、8383367632",2026-01-28,688300,联瑞新材,63.55,2032-01-08,0.00087066
123264,双乐转债,2025-12-26,371036,381036,8.0,8.0,8.0,2025-12-30,"68762；
2613560、7613560、1272210；
73896185、13896185、33896185、53896185、93896185、62560234；
0321898915、6703324003、5577310797、1683721356、4533831579、7577099231、8592016951",2026-01-16,301036,双乐股份,36.7,2031-12-26,0.00103608
118063,金05转债,2025-12-25,718676,726676,3.663,16.715,16.715,2025-12-29,"92004、42004、80054；
407137、607137、807137、207137、007137、178819、678819；
3326279、4576279、5826279、7076279、8326279、9576279、2076279、0826279；
28254261、48254261、68254261、88254261、08254261、00274105；
939863168、439863168、120720760；
6622941002、5152895885",2026-01-14,688676,金盘科技,89.28,2031-12-25,0.00378630
123263,鼎捷转债,2025-12-15,370378,380378,3.0656,8.276642,8.276642,2025-12-17,"09581、29581、49581、69581、89581；
955627、080627、205627、330627、455627、580627、705627、830627；
4984181、9984181；
61007531、11007531、23507531、36007531、48507531、73507531、86007531、98507531；
587265818、087265818、726356964；
5221403947",2025-12-31,300378,鼎捷数智,43.54,2031-12-15,0.00582831
118062,天准转债,2025-12-12,718003,726003,4.515,8.72,8.72,2025-12-16,"27847；
038965、538965、205256；
5744163；
54859648、74859648、94859648、34859648、14859648、10108309、60108309；
233084073、733084073；
0364585991、8372877418、6399541808、1745791548、6312279880、3279229956、8614420470、1559719542",2025-12-31,688003,天准科技,55.73,2031-12-12,0.00131731
123262,神宇转债,2025-12-11,370563,380563,2.8324,5.0,5.0,2025-12-15,"47332、97332；
120415、370415、620415、870415；
1067272；
74844277、14844277、34844277、54844277、94844277、35756397、85756397；
432269829、032269829、232269829、632269829、832269829、511788796、011788796、261788796、761788796；
2098960951、7846515229、6111087601、0820494924、5325928148",2025-12-30,300563,神宇股份,38.82,2031-12-11,0.00241798
