债券代码,债券简称,申购日期,申购代码,原股东配售码,每股获配额,计划发行量,实际发行量,中签公布日,中签号,上市日期,正股代码,正股简称,转股价格,到期时间,中签率
110096,豫光转债,2024-08-12,733531,704531,0.651,7.1,7.1,2024-08-14,"45902、70902、95902、20902；
7592607、8842607、6342607、5092607、3842607、2592607、1342607、0092607；
78692088、91192088、66192088、53692088、41192088、28692088、16192088、03692088；
384574990、584574990、784574990、984574990、184574990；
4725059984",2024-09-03,600531,豫光金铅,5.95,2030-08-12,0.00408851
118049,汇成转债,2024-08-07,718403,726403,1.395,11.487,11.487,2024-08-09,"99212、79212、59212、39212、19212、25929；
5677530、7677530、9677530、3677530、1677530、2599551；
406159951",2024-09-02,688403,汇成股份,7.61,2030-08-07,0.00606009
123244,松原转债,2024-08-01,370893,380893,1.8126,4.1,4.1,2024-08-05,"320904、120904、520904、720904、920904、871580；
5207405；
27093076、07093076、47093076、67093076、87093076、88755248；
854883235、354883235；
0857012458、4894794072、6826796913、3020436187、2413928700、1321783705",2024-08-22,300893,松原安全,20.32,2030-08-01,0.00061627
111021,奥锐转债,2024-07-26,713116,715116,1.999,8.1212,8.1212,2024-07-30,"95449；
323056、523056、723056、923056、123056；
9074718、6574718、4074718、1574718；
03996797、23996797、43996797、63996797、83996797、56358357；
663732803、788732803、913732803、538732803、413732803、288732803、163732803、038732803、667648575；
5293621963",2024-08-15,605116,奥锐特,24.94,2030-07-26,0.00154693
111020,合顺转债,2024-07-22,713166,715166,1.071,3.38,3.38,2024-07-24,"575666、700666、825666、950666、450666、325666、200666、075666；
8884651、6884651、4884651、2884651、0884651；
02541444、52541444；
624848402、824848402、424848402、224848402、024848402、289025826、789025826；
0994787306、2512615266、5922927221、2810069209",2024-08-15,605166,聚合顺,10.59,2030-07-22,0.00085277
113687,振华转债,2024-07-12,754067,753067,0.801,4.0621,4.0621,2024-07-16,"79606；
235228、735228、374856；
8073405、3073405、0534817；
1690939697、4959785058、6867715496、2967229475、1474727126",2024-08-02,603067,振华股份,8.2,2030-07-12,0.00133007
123243,严牌转债,2024-07-10,371081,381081,2.2845,4.678889,4.678889,2024-07-12,"32709；
6658624、0408624、1658624、2908624、4158624、5408624、7908624、9158624；
46173984、06173984、26173984、66173984、86173984、78602632；
902505755、027505755、152505755、277505755、402505755、527505755、652505755、777505755；
5771490134、1450634106、6872021085",2024-07-26,301081,严牌股份,7.27,2030-07-10,0.00108685
123242,赛龙转债,2024-07-08,371131,381131,5.2323,2.5,2.5,2024-07-10,"193941、068941、318941、443941、568941、693941、818941、943941；
9068211、1568211、4068211、6568211；
649889003、149889003；
5215985120、0385081592",2024-07-29,301131,聚赛龙,36.2,2030-07-08,0.00084023
123241,欧通转债,2024-07-05,370870,380870,6.4747,6.445265,6.445265,2024-07-09,"14250、64250；
798525、198525、398525、598525、998525、204000；
0305716；
38769199、13769199、63769199、88769199；
297806599、097806599、497806599、697806599、897806599；
0314197629、2103154812、5562223959",2024-07-26,300870,欧陆通,43.43,2030-07-05,0.00261454
118048,利扬转债,2024-07-02,718135,726135,2.595,5.2,5.2,2024-07-04,"38038、63038、88038、13038；
049738、299738、549738、799738；
6124814、8124814、4124814、2124814、0124814、1719490；
14914886；
550986343、675986343、800986343、925986343、425986343、300986343、175986343、050986343；
4685314183、2162656676",2024-07-19,688135,利扬芯片,16.12,2030-07-02,0.00446186
113686,泰瑞转债,2024-07-02,754289,753289,1.147,3.378,3.378,2024-07-04,"924215、724215、524215、324215、124215；
4367381、5617381、6867381、8117381、9367381、3117381、1867381、0617381；
25678729、50678729、75678729、00678729；
528285424、728285424、928285424、328285424、128285424；
2852451928、4828154958、5911581321、6779299001、0083404960",2024-07-24,603289,泰瑞机器,8.15,2030-07-02,0.00058458
113685,升24转债,2024-06-14,754305,753305,3.0,28.0,28.0,2024-06-18,"3185、8185、5592；
24401、74401；
892672、767672、642672、517672、392672、267672、142672、017672、744757；
6748788、1748788；
36101530；
964174224、764174224、564174224、364174224、164174224、880330919、380330919；
3532550723、1400801871、5410860735、4756764259",2024-07-10,603305,旭升集团,12.51,2030-06-14,0.03292173
111019,宏柏转债,2024-04-17,713366,715366,1.567,9.6,9.6,2024-04-19,"67113、92113、42113、17113；
417958；
4526451、5776451、7026451、8276451、9526451、3276451、2026451、0776451、6788871；
90867083、78367083、65867083、53367083、40867083、28367083、15867083、03367083；
495433907、620433907、745433907、870433907、995433907、370433907、245433907、120433907；
3867810600、1966748219、6135252503、0188113959、1432274297、6912615232",2024-05-14,605366,宏柏新材,5.46,2030-04-17,0.00419888
113684,湘泵转债,2024-04-01,754319,753319,2.775,5.7739,5.7739,2024-04-03,"65873；
997083、797083、597083、397083、197083；
3318679、4568679、5818679、7068679、8318679、9568679、2068679、0818679、2089317；
05401847、17901847、30401847、42901847、55401847、67901847、80401847、92901847；
406446321、656446321、906446321、156446321；
4661609380、3570901581、8224826429",2024-04-29,603319,美湖股份,16.59,2030-04-01,0.00159843
113683,伟24转债,2024-03-28,754568,753568,0.168,2.85,2.85,2024-04-01,"518577、018577、269171；
4497014、9497014、9409941；
87314970、37314970；
975088321、725088321、475088321、225088321；
7819021808、5911448237、4844184976",2024-04-22,603568,伟明环保,17.55,2030-03-28,0.00033243
113682,益丰转债,2024-03-04,754939,753939,1.778,17.97432,17.97432,2024-03-06,"2575；
408299、608299、808299、208299、008299；
0104354、1354354、2604354、3854354、5104354、6354354、7604354、8854354、9297538；
38416598、58416598、78416598、98416598、18416598、93525202；
414480957、614480957、814480957、214480957、014480957、176914398；
8014675970、2703962515、1057677265、8363067190、4510283423、7967130327、0914396744",2024-03-27,603939,益丰药房,31.84,2030-03-04,0.01059669
127105,龙星转债,2024-02-01,072442,082442,1.5377,7.547539,7.547539,2024-02-05,"96980、16980、36980、56980、76980；
412645、162645、662645、912645；
8706763、0706763、2706763、4706763、6706763、1182191、3682191、6182191、8682191；
91879190；
067747310、317747310、567747310、817747310；
1609176405、7219931760、4185057874、0198105378、5072318468、2787399876",2024-03-06,002442,龙星科技,5.8,2030-02-01,0.00549147
123240,楚天转债,2024-01-31,370358,380358,1.694,10.0,10.0,2024-02-02,"94970、19970、44970、69970；
572114、072114、200965；
07833779、27833779、47833779、67833779、87833779、92820645；
462412040、087412040、212412040、337412040、587412040、712412040、837412040、962412040；
6522430615",2024-02-29,300358,楚天科技,8.0,2030-01-31,0.00430682
127104,姚记转债,2024-01-25,072605,082605,1.415,5.831273,5.831273,2024-01-29,"10697；
576275、076275、201275、326275、451275、701275、826275、951275；
3103699、1103699、5103699、7103699、9103699、1904360；
37574324、17574324、57574324、77574324、97574324、34022433；
1964694840、3664224700、6149414921、4845696960、0471301300",2024-02-26,002605,姚记科技,20.06,2030-01-25,0.00186607
123239,锋工转债,2024-01-19,370488,380488,3.7421,6.2,6.2,2024-01-23,"964191、164191、364191、564191、764191、851888、351888；
8438104、3438104、7444741；
22618060、47618060、72618060、97618060；
476696147、976696147、530874330；
2067980913",2024-02-22,300488,恒锋工具,24.19,2030-01-19,0.00073429
123238,卡倍转02,2024-01-11,370863,380863,5.9518,5.29,5.29,2024-01-15,"532264、032264、157264、282264、407264、657264、782264、907264；
2018337；
17976097、37976097、57976097、77976097、97976097、50149117；
054910357、254910357、454910357、654910357、854910357；
0531246767、7308157546、6607799116、3859161039、1416775986、2994366608、8052269221、5420688132",2024-02-01,300863,卡倍亿,29.25,2030-01-11,0.00081660
123237,佳禾转债,2024-01-04,370793,380793,2.967,10.04,10.04,2024-01-08,"71389、21389、46389、96389；
246337、746337；
3665643、8665643、4611736；
80053821；
581354338、081354338；
6204107432、0920857879、2918325662、1032829625、4525379141",2024-01-24,300793,佳禾智能,13.46,2030-01-04,0.00423126
127103,东南转债,2024-01-03,072135,082135,1.7411,20.0,20.0,2024-01-05,"05203、25203、45203、65203、85203、11317；
022753、522753、791944；
5730590、1730590、3730590、7730590、9730590、0613086、5613086；
47253246、07253246、27253246、67253246、87253246、19430220；
636328570、136328570",2024-01-24,002135,东南网架,5.6,2030-01-03,0.00637623
113681,镇洋转债,2023-12-29,754213,753213,1.517,6.6,6.6,2024-01-03,"729104、854104、979104、604104、479104、354104、229104、104104、961257；
8405867、9655867、7155867、5905867、4655867、3405867、2155867、0905867；
31608499、51608499、71608499、91608499、11608499、51919099、01919099；
493179283、993179283；
2271597342、0153879908、7792512356、5697750129、6338150746",2024-01-17,603213,镇洋发展,11.2,2029-12-29,0.00098724
127102,浙建转债,2023-12-25,072761,082761,0.9247,10.0,10.0,2023-12-27,"09545、29545、49545、69545、89545；
337469；
9556531、4556531、8793876；
42394534、02394534、22394534、62394534、82394534、68082782、18082782、43082782、93082782；
772188335、022188335、147188335、272188335、397188335、522188335、647188335、897188335；
2876876765、5734034160、4340859799、6798110799、8208065694、7325141146",2024-01-16,002761,浙江建投,10.22,2029-12-25,0.00513989
111018,华康转债,2023-12-25,713077,715077,5.554,13.03023,13.03023,2023-12-27,"26382、76382；
771557、971557、571557、371557、171557、538718、038718；
3247730、4497730、5747730、6997730、8247730、9497730、1997730、0747730；
32940251、82940251、64716841；
024579731、524579731、350692323",2024-01-15,605077,华康股份,16.26,2029-12-25,0.00278331
