日期,美国国内原油总量-产量,美国国内原油总量-变化,美国本土48州原油产量-产量,美国本土48州原油产量-变化,美国阿拉斯加州原油产量-产量,美国阿拉斯加州原油产量-变化
1984-09-28,875.9,0.0,0.0,0.0,0.0,0.0
1984-10-05,884.7,8.8,0.0,0.0,0.0,0.0
1984-10-12,884.7,0.0,0.0,0.0,0.0,0.0
1984-10-19,884.7,0.0,0.0,0.0,0.0,0.0
1984-10-26,884.7,0.0,0.0,0.0,0.0,0.0
1984-11-02,884.6,-0.1,0.0,0.0,0.0,0.0
1984-11-09,884.6,0.0,0.0,0.0,0.0,0.0
1984-11-16,884.6,0.0,0.0,0.0,0.0,0.0
1984-11-23,884.6,0.0,0.0,0.0,0.0,0.0
1984-11-30,884.6,0.0,0.0,0.0,0.0,0.0
1984-12-07,879.7,-4.9,0.0,0.0,0.0,0.0
1984-12-14,879.7,0.0,0.0,0.0,0.0,0.0
1984-12-21,879.7,0.0,0.0,0.0,0.0,0.0
