交易日,评分
2026-03-13,64.27489497
2026-03-16,60.60563949
2026-03-17,66.16905403
2026-03-18,61.00369162
2026-03-19,59.87469563
2026-03-20,64.27279993
2026-03-23,63.52532349
2026-03-24,70.93378067
2026-03-25,68.11122814
2026-03-26,64.78237744
2026-03-27,66.04393928
2026-03-30,67.05341339
2026-03-31,67.4615699
2026-04-01,67.06773064
2026-04-02,69.37167332
2026-04-03,65.42613141
2026-04-07,64.44023008
2026-04-08,71.21541796
2026-04-09,64.32977124
2026-04-10,67.74298125
2026-04-13,69.30779887
2026-04-14,71.65932805
2026-04-15,71.3704403
2026-04-16,67.52328282
2026-04-17,65.51352229
2026-04-20,72.60306475
2026-04-21,67.84874616
2026-04-22,66.09261483
2026-04-23,66.03601907
2026-04-24,68.61654205
