日期,融合指数,变化值
2016-01-01,100.0,0.0
2016-02-01,83.26,-16.739999999999995
2016-03-01,86.49,3.2299999999999898
2016-04-01,80.9,-5.589999999999989
2016-05-01,84.22,3.319999999999993
2016-06-01,114.44,30.22
2016-07-01,117.02,2.5799999999999983
2016-08-01,113.69,-3.3299999999999983
2016-09-01,103.58,-10.11
2016-10-01,118.88,15.299999999999997
2016-11-01,80.36,-38.519999999999996
2016-12-01,82.31,1.9500000000000028
2017-01-01,79.86,-2.450000000000003
2017-02-01,98.44,18.58
2017-03-01,79.85,-18.590000000000003
2017-04-01,110.01,30.16000000000001
2017-05-01,104.25,-5.760000000000005
2017-06-01,113.7,9.450000000000003
2017-07-01,127.46,13.759999999999991
2017-08-01,139.84,12.38000000000001
2017-09-01,96.03,-43.81
2017-10-01,116.16,20.129999999999995
2017-11-01,114.25,-1.9099999999999966
2017-12-01,135.48,21.22999999999999
2018-01-01,98.05,-37.42999999999999
2018-02-01,129.32,31.269999999999996
2018-03-01,107.62,-21.69999999999999
2018-04-01,120.31,12.689999999999998
2018-05-01,96.83,-23.480000000000004
2018-06-01,105.62,8.790000000000006
2018-07-01,125.33,19.709999999999994
2018-08-01,99.16,-26.17
2018-09-01,117.29,18.13000000000001
2018-10-01,112.72,-4.570000000000007
2018-11-01,99.01,-13.709999999999994
2018-12-01,112.42,13.409999999999997
2019-01-01,169.5,57.08
2019-02-01,145.79,-23.710000000000008
2019-03-01,199.08,53.29000000000002
2019-04-01,191.53,-7.550000000000011
2019-05-01,194.3,2.7700000000000102
2019-06-01,228.65,34.349999999999994
2019-07-01,172.04,-56.610000000000014
2019-08-01,255.14,83.1
2019-09-01,263.5,8.360000000000014
2019-10-01,201.73,-61.77000000000001
2019-11-01,200.03,-1.6999999999999886
2019-12-01,223.72,23.689999999999998
2020-01-01,151.29,-72.43
2020-02-01,99.21,-52.08
2020-03-01,136.68,37.47000000000001
2020-04-01,211.52,74.84
2020-05-01,246.76,35.23999999999998
2020-06-01,225.53,-21.22999999999999
2020-07-01,257.47,31.940000000000026
2020-08-01,228.51,-28.960000000000036
2020-09-01,255.78,27.27000000000001
2020-10-01,230.0,-25.78
2020-11-01,237.0,7.0
2020-12-01,238.24,1.240000000000009
2021-01-01,264.08,25.839999999999975
2021-02-01,183.65,-80.42999999999998
2021-03-01,222.1,38.44999999999999
2021-04-01,253.08,30.980000000000018
2021-05-01,257.09,4.0099999999999625
2021-06-01,279.72,22.630000000000052
2021-07-01,261.41,-18.310000000000002
2021-08-01,254.47,-6.940000000000026
2021-09-01,244.25,-10.219999999999999
2021-10-01,246.41,2.1599999999999966
2021-11-01,222.03,-24.379999999999995
2021-12-01,253.82,31.789999999999992
2022-01-01,261.05,7.230000000000018
2022-02-01,168.84,-92.21000000000001
2022-03-01,198.21,29.370000000000005
2022-04-01,276.62,78.41
2022-05-01,213.6,-63.02000000000001
2022-06-01,229.15,15.550000000000011
2022-07-01,244.76,15.609999999999985
2022-08-01,217.0,-27.75999999999999
2022-09-01,277.05,60.05000000000001
2022-10-01,206.72,-70.33000000000001
2022-11-01,456.37,249.65
2022-12-01,255.01,-201.36
2023-01-01,232.18,-22.829999999999984
2023-02-01,229.19,-2.990000000000009
2023-03-01,252.84,23.650000000000006
2023-04-01,294.16,41.32000000000002
2023-05-01,250.1,-44.06000000000003
2023-06-01,310.81,60.71000000000001
2023-07-01,281.86,-28.94999999999999
2023-08-01,251.52,-30.340000000000003
2023-09-01,278.05,26.53
2023-10-01,316.9,38.849999999999966
2023-11-01,238.9,-77.99999999999997
2023-12-01,352.04,113.14000000000001
2024-01-01,257.29,-94.75
2024-02-01,215.87,-41.420000000000016
2024-03-01,197.32,-18.55000000000001
2024-04-01,250.28,52.96000000000001
