序号,省份,城市,AQI,空气质量,PM2.5浓度,首要污染物
40,四川,自贡,112.0,轻度污染,53 ug/m3,O3
41,山东,潍坊,111.0,轻度污染,49 ug/m3,O3
42,河南,新乡,111.0,轻度污染,30 ug/m3,O3
43,河南,安阳,111.0,轻度污染,36 ug/m3,O3
44,四川,南充,111.0,轻度污染,77 ug/m3,O3
45,河北,邯郸,111.0,轻度污染,41 ug/m3,O3
46,山西,忻州,110.0,轻度污染,32 ug/m3,O3
47,山西,太原,109.0,轻度污染,60 ug/m3,O3
48,山东,临沂,109.0,轻度污染,44 ug/m3,O3
49,重庆,重庆,108.0,轻度污染,46 ug/m3,O3
50,四川,乐山,107.0,轻度污染,51 ug/m3,O3
51,河北,张家口,105.0,轻度污染,27 ug/m3,O3
52,山东,济南,104.0,轻度污染,35 ug/m3,O3
53,山东,德州,104.0,轻度污染,42 ug/m3,O3
54,河南,鹤壁,102.0,轻度污染,41 ug/m3,O3
55,山东,聊城,102.0,轻度污染,42 ug/m3,O3
56,山东,青岛,101.0,轻度污染,43 ug/m3,O3
57,山东,日照,100.0,良,60 ug/m3,O3
58,山东,枣庄,100.0,良,45 ug/m3,O3
59,安徽,亳州,100.0,良,40 ug/m3,O3
60,陕西,咸阳,99.0,良,34 ug/m3,O3
61,陕西,西安,99.0,良,34 ug/m3,O3
62,陕西,宝鸡,97.0,良,29 ug/m3,O3
63,安徽,宿州,97.0,良,30 ug/m3,O3
64,山东,泰安,96.0,良,45 ug/m3,O3
65,河南,商丘,96.0,良,45 ug/m3,O3
66,四川,达州,96.0,良,70 ug/m3,O3
67,山西,吕梁,95.0,良,24 ug/m3,O3
68,四川,雅安,95.0,良,23 ug/m3,O3
69,河南,郑州,95.0,良,34 ug/m3,O3
70,山东,济宁,95.0,良,41 ug/m3,O3
71,江苏,连云港,95.0,良,41 ug/m3,O3
72,河南,南阳,95.0,良,40 ug/m3,O3
73,安徽,阜阳,92.0,良,26 ug/m3,O3
74,陕西,渭南,92.0,良,38 ug/m3,NO2
75,江西,南昌,92.0,良,46 ug/m3,O3
76,河南,周口,91.0,良,42 ug/m3,O3
77,江苏,宿迁,90.0,良,37 ug/m3,O3
78,河南,许昌,90.0,良,44 ug/m3,O3
79,四川,泸州,89.0,良,40 ug/m3,O3
80,河南,平顶山,89.0,良,36 ug/m3,O3
81,江苏,徐州,89.0,良,40 ug/m3,O3
82,河南,驻马店,89.0,良,38 ug/m3,O3
83,湖北,武汉,89.0,良,51 ug/m3,O3
84,河南,开封,89.0,良,32 ug/m3,O3
85,河南,信阳,88.0,良,40 ug/m3,O3
86,安徽,淮南,86.0,良,32 ug/m3,O3
87,山东,菏泽,86.0,良,39 ug/m3,O3
88,河南,漯河,85.0,良,36 ug/m3,O3
89,山西,朔州,85.0,良,31 ug/m3,O3
90,湖北,孝感,85.0,良,46 ug/m3,O3
91,河南,濮阳,83.0,良,32 ug/m3,O3
92,浙江,杭州,82.0,良,51 ug/m3,NO2
93,内蒙古,呼和浩特,82.0,良,33 ug/m3,O3
94,湖北,随州,80.0,良,43 ug/m3,O3
95,江苏,淮安,80.0,良,45 ug/m3,O3
96,四川,遂宁,80.0,良,56 ug/m3,O3
97,湖北,襄阳,80.0,良,59 ug/m3,PM2.5
98,宁夏,银川,80.0,良,28 ug/m3,O3
99,浙江,湖州,80.0,良,43 ug/m3,NO2
100,湖北,宜昌,79.0,良,29 ug/m3,O3
