symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh113052,兴业转债,120.802,-0.199,-0.164,120.801,120.804,121.001,121.097,121.399,120.719,2275150,275450809,113052,13:31:33
sh113053,隆22转债,134.507,0.073,0.054,134.508,134.531,134.434,134.434,135.151,134.053,593760,79953225,113053,13:31:34
sh113054,绿动转债,130.072,0.391,0.302,130.062,130.097,129.681,129.573,130.529,129.138,362030,47072976,113054,13:31:33
sh113056,重银转债,129.099,0.741,0.577,129.099,129.126,128.358,128.419,129.200,128.000,1328960,171134696,113056,13:31:34
sh113058,友发转债,151.619,-0.442,-0.291,151.590,151.670,152.061,152.289,153.464,150.989,320600,48822260,113058,13:31:34
sh113059,福莱转债,126.277,0.170,0.135,126.230,126.277,126.107,126.100,127.103,125.601,138900,17566891,113059,13:31:22
sh113062,常银转债,131.477,0.529,0.404,131.477,131.479,130.948,130.982,131.600,130.885,481790,63294225,113062,13:31:33
sh113066,平煤转债,146.249,-3.191,-2.135,146.249,146.292,149.440,149.900,149.900,146.249,235200,34676771,113066,13:31:33
sh113067,燃23转债,134.993,0.705,0.525,134.996,135.023,134.288,134.354,135.300,134.001,292400,39418225,113067,13:31:35
sh113070,渝水转债,129.746,-0.243,-0.187,129.747,129.799,129.989,129.827,130.566,129.542,331680,43095470,113070,13:31:32
sh113575,东时转债,81.438,0.000,0.000,0.000,0.000,81.438,0.000,0.000,0.000,0,0,113575,13:31:24
sh113579,健友转债,108.964,0.000,0.000,0.000,0.000,108.964,0.000,0.000,0.000,0,0,113579,13:31:34
sh113584,家悦转债,110.159,-0.261,-0.236,110.157,110.159,110.420,110.488,110.825,110.097,339430,37440419,113584,13:31:34
sh113588,润达转债,134.362,8.957,7.142,134.298,134.408,125.405,125.130,135.900,125.086,6774820,898334332,113588,13:31:34
sh113589,天创转债,211.799,16.975,8.713,211.799,211.851,194.824,195.876,218.560,193.004,7280560,1529224135,113589,13:31:33
sh113597,佳力转债,155.170,14.347,10.188,155.170,155.216,140.823,140.135,161.894,140.119,10748960,1682015958,113597,13:31:34
sh113605,大参转债,124.881,0.111,0.089,124.884,124.910,124.770,124.600,125.600,124.023,243970,30498170,113605,13:31:33
sh113610,灵康转债,125.420,0.520,0.416,125.420,125.489,124.900,124.700,126.180,124.133,83060,10401284,113610,13:31:34
sh113615,金诚转债,690.801,-3.543,-0.510,690.382,690.799,694.344,697.816,711.537,689.485,404200,282789355,113615,13:31:34
sh113616,韦尔转债,116.707,-0.109,-0.093,116.714,116.749,116.816,117.040,117.475,116.624,208500,24413333,113616,13:31:35
sh113618,美诺转债,243.886,-6.987,-2.785,243.818,243.888,250.873,251.435,256.500,242.020,7429620,1847355658,113618,13:31:34
sh113624,正川转债,138.550,0.496,0.359,138.531,138.582,138.054,138.273,139.200,138.000,198180,27478618,113624,13:31:34
sh113625,江山转债,127.962,0.752,0.591,127.960,127.988,127.210,126.926,128.200,126.785,86980,11114604,113625,13:31:35
sh113627,太平转债,125.214,0.848,0.682,125.214,125.246,124.366,124.450,126.026,124.449,227020,28471199,113627,13:31:26
sh113631,皖天转债,140.890,-0.971,-0.684,140.894,140.932,141.861,142.074,142.650,140.882,194250,27569688,113631,13:31:31
sh113632,鹤21转债,138.034,0.197,0.143,138.009,138.035,137.837,137.856,138.990,137.400,450110,62190083,113632,13:31:31
sh113633,科沃转债,123.387,0.814,0.664,123.345,123.398,122.573,122.758,124.000,122.501,278790,34359622,113633,13:31:30
sh113634,珀莱转债,129.650,-0.329,-0.253,129.650,129.677,129.979,129.727,130.522,129.518,110520,14367612,113634,13:31:31
sh113636,甬金转债,128.109,0.380,0.298,128.107,128.109,127.729,127.636,128.430,127.391,142390,18243158,113636,13:31:27
sh113638,台21转债,130.579,0.150,0.115,130.524,130.581,130.429,130.435,133.000,130.126,133810,17486574,113638,13:31:30
sh113640,苏利转债,136.649,-2.330,-1.677,136.636,136.680,138.979,139.000,140.000,136.129,1876980,257595505,113640,13:31:32
sh113643,风语转债,136.679,0.681,0.501,136.640,136.679,135.998,136.265,137.100,135.620,159810,21823879,113643,13:31:29
sh113644,艾迪转债,147.593,2.293,1.578,147.591,147.653,145.300,145.710,148.565,144.935,628650,92529080,113644,13:31:32
sh113646,永吉转债,183.875,2.073,1.140,183.896,183.994,181.802,182.700,187.500,181.489,580910,107566072,113646,13:31:32
sh113647,禾丰转债,126.814,-0.107,-0.084,126.777,126.814,126.921,126.921,127.479,126.290,188580,23943544,113647,13:31:31
sh113648,巨星转债,128.756,-0.312,-0.242,128.721,128.748,129.068,129.118,129.600,128.357,180940,23336250,113648,13:31:29
sh113649,丰山转债,145.392,-0.793,-0.542,145.361,145.394,146.185,146.289,146.625,145.251,183320,26746153,113649,13:31:32
sh113650,博22转债,130.271,0.817,0.631,130.232,130.271,129.454,129.660,130.798,129.217,108640,14142433,113650,13:31:32
sh113652,伟22转债,132.150,-3.290,-2.429,132.129,132.163,135.440,135.035,135.134,132.000,983170,130894413,113652,13:31:32
sh113653,永22转债,109.835,0.000,0.000,0.000,0.000,109.835,0.000,0.000,0.000,0,0,113653,13:31:04
sh113654,永02转债,128.011,0.521,0.409,127.969,128.014,127.490,127.500,129.288,127.058,675900,86635796,113654,13:31:30
sh113655,欧22转债,136.124,-0.341,-0.250,136.099,136.152,136.465,136.465,137.522,136.003,277780,37999556,113655,13:31:30
sh113656,嘉诚转债,129.874,-0.144,-0.111,129.830,129.890,130.018,130.018,130.484,129.666,189160,24593530,113656,13:31:30
