序号,基金代码,基金名称,当前-单位净值,当前-累计净值,前一日-单位净值,前一日-累计净值,增长值,增长率,赎回状态,申购状态,最新-交易日,最新-单位净值,最新-累计净值,基金类型,查询日期
34,017523,南方北证50成份指数发起A,1.2968,1.2968,1.2407,1.2407,0.0561,4.52,开放,限制大额,2026-04-17,1.2968,1.2968,股票型,2026-04-17
35,017524,南方北证50成份指数发起C,1.284,1.284,1.2285,1.2285,0.0555,4.52,开放,限制大额,2026-04-17,1.284,1.284,股票型,2026-04-17
36,021115,南方北证50成份指数发起I,1.2966,1.2966,1.2405,1.2405,0.0561,4.52,开放,限制大额,2026-04-17,1.2966,1.2966,股票型,2026-04-17
37,021172,华安北证50成份指数发起式A,1.9124,1.9124,1.8297,1.8297,0.0827,4.52,开放,限制大额,2026-04-17,1.9124,1.9124,股票型,2026-04-17
38,021298,中欧北证50成份指数发起A,1.9229,1.9229,1.8397,1.8397,0.0832,4.52,开放,开放,2026-04-17,1.9229,1.9229,股票型,2026-04-17
39,021299,中欧北证50成份指数发起C,1.9136,1.9136,1.8308,1.8308,0.0828,4.52,开放,开放,2026-04-17,1.9136,1.9136,股票型,2026-04-17
40,024832,广发北证50成份指数F,1.6663,1.6663,1.5943,1.5943,0.072,4.52,开放,限制大额,2026-04-17,1.6663,1.6663,股票型,2026-04-17
41,026119,东财北证50指数增强发起式A,0.9255,0.9255,0.8855,0.8855,0.04,4.52,开放,开放,2026-04-17,0.9255,0.9255,股票型,2026-04-17
42,026120,东财北证50指数增强发起式C,0.9248,0.9248,0.8848,0.8848,0.04,4.52,开放,开放,2026-04-17,0.9248,0.9248,股票型,2026-04-17
43,017515,易方达北证50成份指数A,1.428,1.428,1.3664,1.3664,0.0616,4.51,开放,开放,2026-04-17,1.428,1.428,股票型,2026-04-17
44,017516,易方达北证50成份指数C,1.414,1.414,1.353,1.353,0.061,4.51,开放,开放,2026-04-17,1.414,1.414,股票型,2026-04-17
45,017520,汇添富北证50成份指数C,1.3689,1.3689,1.3098,1.3098,0.0591,4.51,开放,开放,2026-04-17,1.3689,1.3689,股票型,2026-04-17
46,017521,富国北证50成份指数A,1.3269,1.3269,1.2696,1.2696,0.0573,4.51,开放,开放,2026-04-17,1.3269,1.3269,股票型,2026-04-17
47,017522,富国北证50成份指数C,1.318,1.318,1.2611,1.2611,0.0569,4.51,开放,开放,2026-04-17,1.318,1.318,股票型,2026-04-17
48,017527,嘉实北证50成份指数A,1.3516,1.3516,1.2933,1.2933,0.0583,4.51,开放,开放,2026-04-17,1.3516,1.3516,股票型,2026-04-17
49,017528,嘉实北证50成份指数C,1.3404,1.3404,1.2825,1.2825,0.0579,4.51,开放,开放,2026-04-17,1.3404,1.3404,股票型,2026-04-17
50,018112,工银北证50成份指数A,1.546,1.546,1.4793,1.4793,0.0667,4.51,开放,开放,2026-04-17,1.546,1.546,股票型,2026-04-17
51,020691,博时中证全指通信设备指数发起式A,3.216,3.216,3.0772,3.0772,0.1388,4.51,开放,开放,2026-04-17,3.216,3.216,股票型,2026-04-17
52,020692,博时中证全指通信设备指数发起式C,3.2042,3.2042,3.0659,3.0659,0.1383,4.51,开放,开放,2026-04-17,3.2042,3.2042,股票型,2026-04-17
53,020899,天弘中证全指通信设备指数发起A,3.345,3.345,3.2006,3.2006,0.1444,4.51,开放,开放,2026-04-17,3.345,3.345,股票型,2026-04-17
