报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2015-12-31,2016-03-10,2.0,,2.0,1.53,"10转2.00派1.53元(含税,扣税后1.377元)",0.014655172414,1.56,11.29,4.146061919072,3.699280173317,10.41813958186,14308676139,2016-03-10,2016-06-15,2016-06-16,实施分配,2016-06-08
2016-12-31,2017-03-17,,,,1.58,"10派1.58元(含税,扣税后1.422元)",0.014402917046,1.32,10.61,3.288584740827,3.735760046593,3.356963183169,17170411366,2017-03-17,2017-07-20,2017-07-21,实施分配,2017-07-17
2017-12-31,2018-03-15,,,,1.36,"10派1.36元(含税,扣税后1.224元)",0.015489749431,1.3,11.77,3.288584740827,4.639545719278,2.610734988274,17170411366,2018-03-15,2018-07-11,2018-07-12,实施分配,2018-07-06
2018-12-31,2019-03-07,,,,1.45,"10派1.45元(含税,扣税后1.305元)",0.010796723753,1.39,12.82,3.288584740827,5.535061153174,7.024882487386,17170411366,2019-03-07,2019-06-25,2019-06-26,实施分配,2019-06-20
2019-12-31,2020-02-14,,,,2.18,"10派2.18元(含税,扣税后1.962元)",0.016769230769,1.54,14.07,4.16448521076,5.842007626507,13.607059392377,19405918198,2020-02-14,2020-05-27,2020-05-28,实施分配,2020-05-22
2020-12-31,2021-02-02,,,,1.8,"10派1.80元(含税,扣税后1.62元)",0.007802340702,1.4,15.16,4.16448521076,6.760074203854,2.59975172903,19405918198,2021-02-02,2021-05-13,2021-05-14,实施分配,2021-05-07
2021-12-31,2022-03-10,,,,2.28,"10派2.28元(含税,扣税后2.052元)",0.017524980784,1.73,16.77,4.16448521076,7.955116974132,25.608407079646,19405918198,2022-03-10,2022-07-21,2022-07-22,实施分配,2022-07-15
2022-12-31,2023-03-09,,,,2.85,"10派2.85元(含税,扣税后2.565元)",0.024214103653,2.2,18.8,4.16448521076,9.600381325363,25.264200792602,19405918198,2023-03-09,2023-06-13,2023-06-14,实施分配,2023-06-07
2023-12-31,2024-03-15,,,,7.19,"10派7.19元(含税,扣税后6.471元)",0.066574074074,2.25,20.74,4.161651035762,11.40137071009,2.063010809386,19405918198,2024-03-15,2024-06-13,2024-06-14,实施分配,2024-06-06
2024-06-30,2024-08-16,,,,2.46,"10派2.46元(含税,扣税后2.214元)",0.021061643836,1.23,21.23,4.161651035762,11.902813562816,1.937999763659,19405918198,2024-08-16,2024-10-09,2024-10-10,实施分配,2024-09-26
2024-12-31,2025-03-15,,,,3.62,"10派3.62元(含税,扣税后3.258元)",0.030548523207,2.15,21.89,4.159177573946,12.553076368134,-4.191152728447,19405918198,2025-03-15,2025-06-11,2025-06-12,实施分配,2025-06-05
2025-06-30,2025-08-23,,,,2.36,"10派2.36元(含税,扣税后2.124元)",0.020397579948,1.18,22.68,4.158610738947,13.357054519221,-3.898914177518,19405918198,2025-08-23,2025-10-14,2025-10-15,实施分配,2025-09-30
2025-12-31,2026-03-21,,,,3.6,10派3.60元(含税),0.032727272727,2.07,23.25,4.155518911677,13.953828712769,-4.212725802103,19405918198,2026-03-21,,,董事会决议通过,2026-03-21
