数据日期,发行总股本-上海,发行总股本-深圳,市价总值-上海,市价总值-深圳,成交金额-上海,成交金额-深圳,成交量-上海,成交量-深圳,A股最高综合股价指数-上海,A股最高综合股价指数-深圳,A股最低综合股价指数-上海,A股最低综合股价指数-深圳
2021年06月份,43990.0,23602.0153,491818.0,371916.9179,93283.0,115825.60419085,6699.76,8308.9019,3629.2896,2582.4987,3503.1833,2469.9677
2021年05月份,43341.0,23355.2474,486277.0,364242.5036,72194.0,86860.67943162,5816.8,6622.1372,3626.3584,2532.0512,3384.6966,2359.2082
2021年04月份,43010.0,23226.0915,457628.0,345643.8973,68925.0,89685.04878089,5705.67,7147.4884,3497.1208,2430.6103,3373.0939,2311.46
2021年03月份,42920.0,23105.4973,453444.0,330286.4132,84279.0,101680.50339174,7456.77,8248.1442,3577.6218,2472.8818,3328.3119,2279.0778
2021年02月份,42851.0,23034.2934,461069.0,339721.8537,65364.0,79354.71115,4856.11,5319.2136,3731.687,2628.7762,3465.7706,2428.3787
2021年01月份,42674.0,22977.9013,457015.0,344614.4823,96861.0,121852.82576706,6653.58,7980.9305,3637.1002,2602.3036,3446.5471,2485.3744
2020年12月份,42601.0,22855.4168,455322.0,341916.5785,84058.0,104352.14984776,6481.91,7855.3305,3474.9182,2438.1708,3325.172,2352.6663
2020年11月份,42306.0,22703.8615,441857.0,327665.5123,72843.0,102925.63373286,5698.09,7381.025,3456.7365,2450.1136,3209.9094,2332.4267
2020年10月份,42214.0,22641.6861,416867.0,318941.6294,42839.0,76863.26011432,3046.16,5379.051,3371.0862,2415.2987,3219.4216,2323.0223
2020年09月份,42096.0,22501.8751,413729.0,307958.4034,62290.0,107582.143,4923.09,8814.7793,3425.6294,2439.7413,3202.3435,2252.6125
2020年08月份,41887.0,22409.0238,433279.0,326196.5557,96430.0,126536.63381893,7371.22,9723.6492,3456.7206,2437.7726,3263.2653,2334.3468
2020年07月份,41777.73,22354.7712,420925.54,317248.9982,132681.4,169281.80819978,10262.38,12984.6817,3458.7914,2442.2622,2984.9841,2086.4166
2020年06月份,41597.38,22254.6481,372015.47,276758.9251,57495.76,87734.13903686,4716.56,7253.6103,2990.8253,2070.6074,2871.9641,1930.5003
2020年05月份,41210.11,22025.4113,349401.77,250708.1368,44986.66,67499.86375305,3716.76,5713.8105,2914.2838,1910.1049,2802.4653,1837.9577
2020年04月份,41077.97,21852.0514,347423.31,246570.4323,50717.22,81120.68434892,4716.42,7471.69017555,2865.59,1861.2297,2719.9043,1765.9462
2020年03月份,40914.78,21710.1162,330896.73,231956.9144,75158.4,115844.70271173,7001.6,10325.8805,3074.2571,2022.552,2646.8048,1747.2802
2020年02月份,40826.19,21624.5829,346830.35,249809.7947,75660.59,121061.99431855,6546.93,10230.8908,3058.898,2035.921,2685.2693,1701.488
2020年01月份,40761.49,21585.627,354226.4,242953.161,44701.07,67588.64295176,3879.77,5956.5707,3127.1692,1914.304,2955.346,1839.352
2019年12月份,40199.42,21520.5002,355519.7,237414.8651,44382.54,68632.03720491,4148.99,6381.2199,3051.677,1802.289,2857.3204,1676.884
2019年11月份,39441.0,21367.7922,329076.0,217810.567,33732.0,51572.16458909,3060.53,4570.6576,3008.3144,1742.911,2858.5808,1673.048
2019年10月份,39192.61,21372.2239,332673.18,220020.8811,29840.92,46853.99,2644.48,4290.9877,3026.3834,1743.007,2891.5394,1683.05
2019年09月份,39069.16,21363.2733,329091.66,216744.4483,45727.62,67820.7564,3964.56,6123.3678,3042.9284,1770.886,2883.6823,1690.958
2019年08月份,38990.08,21296.9964,325976.92,213732.6817,42763.71,55881.8224,3709.7,5271.6972,2927.3421,1678.511,2733.9242,1564.993
2019年07月份,38945.07,20854.3524,330361.41,210141.9049,40036.17,51547.0368,3731.16,5058.0764,3048.4839,1696.087,2879.69,1616.617
2019年06月份,38641.95,20680.1967,327971.84,208324.6582,38597.25,48876.6546,3988.32,4982.227,3012.826,1656.173,2822.1853,1557.51
2019年05月份,38329.03,20464.7857,318321.46,204644.4653,43268.03,55042.8121,4476.02,5685.6534,2986.5399,1659.986,2833.0363,1582.484
2019年04月份,38161.31,20268.1324,336590.16,218667.9404,75714.26,93136.4756,7495.31,9092.3677,3288.4531,1881.65,3050.0261,1721.302
2019年03月份,38103.65,20205.8286,337193.46,225662.4501,83135.45,103131.79,8705.26,10816.8674,3129.9395,1788.906,2930.8345,1636.364
2019年02月份,38032.31,20114.8782,320193.59,204668.5423,38548.28,50375.1008,4475.18,5952.2766,2997.4882,1653.92,2590.5543,1369.651
2019年01月份,37985.99,20042.3424,281023.82,167861.9181,28097.34,37444.1444,3392.64,4606.742,2630.3183,1396.312,2440.9066,1325.132
2018年12月份,37708.96,19872.0697,269515.02,165409.0173,22545.02,30707.9519,2590.09,3622.7018,2666.0784,1451.891,2462.8448,1333.784
2018年11月份,37683.3,19919.2812,279653.98,173969.0676,33633.71,44471.7152,4071.93,5449.1477,2703.5116,1483.01,2555.3223,1386.43
2018年10月份,37287.03,19885.0261,278622.02,167911.8113,24541.93,27834.4207,2749.58,3308.5149,2771.9384,1480.682,2449.197,1315.07
2018年09月份,37209.76,19806.4865,301557.14,185058.5786,21617.37,28127.4739,2159.15,3092.3895,2827.3413,1535.373,2644.2961,1458.093
2018年08月份,37136.15,19674.6154,290651.26,185050.9407,28823.93,36971.134,2830.92,3706.1621,2897.3997,1657.111,2653.1119,1517.041
2018年07月份,37022.09,19628.7319,305437.18,200770.9569,32667.67,45119.7262,3058.18,4055.5509,2915.2974,1708.982,2691.0208,1627.055
2018年06月份,36459.6,19454.8358,299581.98,204635.4358,31183.36,38637.0653,2638.33,3150.80233,3128.7154,1867.64,2782.3811,1657.675
2018年05月份,35996.48,19153.6303,320700.9,223519.2273,38289.9,51597.0918,2997.02,3791.5187,3219.7398,1940.353,3041.0002,1845.479
2018年04月份,35786.84,18799.4033,317966.5,224566.1194,33860.86,48527.08833,2712.3,3479.2658,3220.8453,1955.188,3041.625,1866.435
2018年03月份,35688.7,18681.5434,325666.71,233851.8805,44142.91,59156.47,3717.21,4409.7234,3333.8754,1998.153,3091.4575,1872.213
2018年02月份,35570.76,18630.0068,334105.65,227540.3588,32741.52,31651.2467,2897.39,2546.4442,3495.0933,1964.779,3062.7426,1779.556
2018年01月份,35454.9,18531.8085,351041.77,234531.3323,57916.83,56973.003,4812.53,4190.3787,3587.0323,2056.198,3314.0307,1985.509
