序号,机构类型,机构名称,公示网址
58,公募基金管理公司,华富基金管理有限公司,http://www.hffund.com/agate/jweb/#/antimoneylaundering?typename=%E4%BA%BA%E5%91%98%E8%B5%84%E8%B4%A8
59,公募基金管理公司,华润元大基金管理有限公司,http://www.cryuantafund.com/upload/20240126/202401261706247065485.pdf
60,公募基金管理公司,华商基金管理有限公司,http://www.hsfund.com/osoa/views/about/rygs/detail.html?article_id=160166
61,公募基金管理公司,华泰柏瑞基金管理有限公司,http://www.huatai-pb.com/aboutus/chongye/index.html
62,公募基金管理公司,华泰保兴基金管理有限公司,https://www.ehuataifund.com/upload/pdf/1757406895946-20250909jjjyjgzqjyxgryxxgsb_htbxjj%20f.pdf
63,公募基金管理公司,华西基金管理有限责任公司,https://www.hxfund.com.cn/#/newsdetail?id=578419&articletype=81589
64,公募基金管理公司,华夏基金管理有限公司,http://www.chinaamc.com/guanyu/gonggao/index.shtml
65,公募基金管理公司,华银基金管理有限公司,https://www.bxrfund.com/#/list?menuid=10129&secondtype=c%7C204182
66,公募基金管理公司,汇安基金管理有限责任公司,http://www.huianfund.cn/front/common_100384.jhtml
67,公募基金管理公司,汇百川基金管理有限公司,www.rivesfund.com
68,公募基金管理公司,汇丰晋信基金管理有限公司,https://www.hsbcjt.cn/
69,公募基金管理公司,汇泉基金管理有限公司,http://www.springsfund.com/aboutus/renyuangongshi/zhaiquanjiaoyi/index.html
70,公募基金管理公司,汇添富基金管理股份有限公司,http://www.99fund.com/main/gywm/include/zqjyxgry.shtml
71,公募基金管理公司,惠升基金管理有限责任公司,http://www.risingamc.com/contents/2019/8/9-e981bb18d28e49268690040a140cea35.html
72,公募基金管理公司,嘉合基金管理有限公司,https://www.haoamc.com/upload/file/202603/06/T9fr454RW97vWfbH.pdf
73,公募基金管理公司,嘉实基金管理有限公司,http://www.jsfund.cn/AboutHarvest/zqry.shtml
74,公募基金管理公司,建信基金管理有限责任公司,https://www.ccbfund.cn/#/xxzx-detail?cntId=283574&id=867
75,公募基金管理公司,江信基金管理有限公司,http://www.jxfund.cn/html/report/23080162-1.htm
76,公募基金管理公司,交银施罗德基金管理有限公司,http://www.fund001.com/news/2018/12/07/36780/1.shtml
77,公募基金管理公司,金信基金管理有限公司,http://www.jxfunds.com.cn/front/common_100362.jhtml
78,公募基金管理公司,金鹰基金管理有限公司,http://www.gefund.com.cn/main/gyjy/jytd/zqjyry/index.html
79,公募基金管理公司,金元顺安基金管理有限公司,https://www.jysa99.com/aboutus/6/2/index.html
80,公募基金管理公司,景顺长城基金管理有限公司,http://www.igwfmc.com/main/about/about-8.html
81,公募基金管理公司,九泰基金管理有限公司,http://www.jtamc.com/aboutus/saler/index.html
82,公募基金管理公司,凯石基金管理有限公司,https://www.vstonefund.com/contents/2018/12/28-0f93d212aabd4e37b0cba06b043c6629.html
83,公募基金管理公司,联博基金管理有限公司,https://www.alliancebernstein.com.cn/middle-platform-gateway/system-file-biz/resources/file/1930460183432073217.pdf
84,公募基金管理公司,路博迈基金管理（中国）有限公司,https://www.nbchina.com/about
85,公募基金管理公司,民生加银基金管理有限公司,http://www.msjyfund.com.cn/osoa/views/aboutUs/bondSale.html
86,公募基金管理公司,明亚基金管理有限责任公司,https://www.mingyafunds.com/front/common_100184.jhtml#B4
87,公募基金管理公司,摩根基金管理（中国）有限公司,https://www.cifm.com/aboutus/stars/
88,公募基金管理公司,摩根士丹利基金管理（中国）有限公司,https://www.morganstanleyfunds.com.cn/About/Views/BondsMembers/
89,公募基金管理公司,南方基金管理股份有限公司,http://www.nffund.com/main/kstdfw/zqjyryxx/index.shtml
90,公募基金管理公司,南华基金管理有限公司,http://www.nanhuafunds.com/aboutus/renyuangongshi/index.html
91,公募基金管理公司,农银汇理基金管理有限公司,https://www.abc-ca.com/gywm/zqtzjy.shtml?id=zqtzjy
92,公募基金管理公司,诺安基金管理有限公司,https://trade.lionfund.com.cn/pc/html/lionfundRYZZ.html
93,公募基金管理公司,诺德基金管理有限公司,http://www.nuodefund.com/main/company/qualificationinfo/index.shtml
94,公募基金管理公司,鹏安基金管理有限公司,http://www.penganfunds.com
95,公募基金管理公司,鹏华基金管理有限公司,https://www.phfund.com.cn/web/intoph/message
96,公募基金管理公司,鹏扬基金管理有限公司,https://www.pyamc.com/upload/user/1/2026-4-14/195401240606.pdf
97,公募基金管理公司,平安基金管理有限公司,http://fund.pingan.com/main/aboutUs/trade.shtml
98,公募基金管理公司,浦银安盛基金管理有限公司,http://www.py-axa.com/web/service/b_exchangelist.html
99,公募基金管理公司,前海开源基金管理有限公司,http://www.qhkyfund.com/osoa/qhkyfund/aboutUs/personPublic/personArt/index.html
100,公募基金管理公司,泉果基金管理有限公司,https://www.qgfund.com/article?articleId=1759421170750943232
