基金代码,公告标题,基金名称,公告日期,报告ID
000001,华夏成长：分红预案暨恢复办理前端申购、转换转入及定期定额业务的公告,华夏成长混合,2007-01-11,AN201202270004188634
000001,华夏成长：收益分配结果公告,华夏成长混合,2007-01-12,AN201202270004188696
000001,华夏成长：第十四次分红公告,华夏成长混合,2008-01-21,AN201202280004340626
000001,华夏成长：第十五次分红公告,华夏成长混合,2009-12-23,AN201202280004349731
000001,华夏成长：第十六次分红公告,华夏成长混合,2010-09-03,AN201203010004668233
000001,华夏基金：关于调整基金分红方式变更规则的公告,华夏成长混合,2011-04-25,AN201203020004814462
000001,华夏成长证券投资基金第十七次分红公告,华夏成长混合,2014-11-14,AN201411140007631861
000001,华夏成长证券投资基金第十八次分红公告,华夏成长混合,2015-11-16,AN201511160011417234
000001,华夏成长证券投资基金第十九次分红公告,华夏成长混合,2016-12-20,AN201612200201481224
000001,华夏成长证券投资基金第二十次分红公告,华夏成长混合,2017-12-04,AN201712041061520183
000001,华夏成长证券投资基金第二十一次分红公告,华夏成长混合,2019-11-04,AN201911041370282062
000001,华夏成长证券投资基金第二十二次分红公告,华夏成长混合,2020-12-15,AN202012151440056896
000001,华夏成长证券投资基金第二十三次分红公告,华夏成长混合,2021-12-15,AN202112151534669937
000001,华夏成长证券投资基金第二十四次分红公告,华夏成长混合,2023-01-10,AN202301101581832718
000001,华夏成长证券投资基金第二十五次分红公告,华夏成长混合,2025-09-18,AN202509181745804126
