日期,资本投入指数,变化值
2015-08-01,31.994724,0.0
2015-09-01,34.09821,2.103486
2015-10-01,22.844344,-11.253866000000002
2015-11-01,35.136466,12.292121999999999
2015-12-01,28.143112,-6.993354
2016-01-01,29.034992,0.8918800000000005
2016-02-01,33.088856,4.053864000000001
2016-03-01,33.923184,0.8343279999999993
2016-04-01,27.398036,-6.525147999999998
2016-05-01,28.591332,1.1932960000000001
2016-06-01,30.835094,2.2437620000000003
2016-07-01,28.498874,-2.336220000000001
2016-08-01,26.794054,-1.7048200000000016
2016-09-01,29.88653,3.0924760000000013
2016-10-01,29.072908,-0.8136219999999987
2016-11-01,32.103326,3.030418000000001
2016-12-01,36.998672,4.895345999999996
2017-01-01,32.248122,-4.750549999999997
2017-02-01,29.08981,-3.1583120000000022
2017-03-01,38.514132,9.424321999999997
2017-04-01,34.78647,-3.727661999999995
2017-05-01,29.522864,-5.263606000000003
2017-06-01,30.740094,1.2172300000000007
2017-07-01,32.717138,1.9770439999999994
2017-08-01,38.876524,6.159386000000005
2017-09-01,24.63258,-14.243944000000003
2017-10-01,27.396488,2.7639080000000007
2017-11-01,31.441662,4.045173999999999
2017-12-01,32.636322,1.194659999999999
2018-01-01,31.495988,-1.1403339999999993
2018-02-01,31.665284,0.16929599999999922
2018-03-01,33.053112,1.387827999999999
2018-04-01,31.28278,-1.7703319999999998
2018-05-01,30.964268,-0.31851199999999835
2018-06-01,32.02955,1.0652819999999998
2018-07-01,36.823652,4.794102000000002
2018-08-01,31.931436,-4.892216000000001
2018-09-01,39.12119,7.189753999999997
2018-10-01,34.593712,-4.527478000000002
2018-11-01,37.133568,2.5398560000000003
2018-12-01,32.046622,-5.0869459999999975
2019-01-01,31.44701,-0.5996120000000005
2019-02-01,26.082668,-5.364341999999997
2019-03-01,28.522776,2.4401079999999986
2019-04-01,28.71058,0.18780399999999986
2019-05-01,29.127618,0.417037999999998
2019-06-01,34.186132,5.058514000000002
2019-07-01,31.96982,-2.216312000000002
2019-08-01,34.45781,2.4879900000000035
2019-09-01,33.13506,-1.3227499999999992
2019-10-01,35.404126,2.269065999999995
2019-11-01,35.37812,-0.02600599999999531
2019-12-01,33.0303,-2.347820000000006
2020-01-01,33.917316,0.8870160000000027
2020-02-01,36.359604,2.442287999999998
2020-03-01,39.226096,2.866492000000001
2020-04-01,38.899492,-0.3266039999999961
2020-05-01,37.933026,-0.966466000000004
2020-06-01,42.512288,4.579262
2020-07-01,41.21091,-1.3013779999999997
2020-08-01,38.527192,-2.683717999999999
2020-09-01,35.220708,-3.3064839999999975
2020-10-01,36.877988,1.65728
2020-11-01,37.117742,0.2397539999999978
2020-12-01,31.4151,-5.702642000000001
2021-01-01,28.811578,-2.603521999999998
2021-02-01,31.077926,2.2663480000000007
2021-03-01,34.751308,3.673382
2021-04-01,29.481127,-5.270181000000001
2021-05-01,40.699768,11.218640999999998
2021-06-01,34.026666,-6.673102
2021-07-01,35.211708,1.1850420000000028
2021-08-01,34.255716,-0.955992000000002
2021-09-01,37.308966,3.0532499999999985
2021-10-01,37.30679,-0.0021759999999986235
2021-11-01,35.004714,-2.3020759999999996
2021-12-01,34.531942,-0.4727719999999991
2022-01-01,39.438158,4.906216000000001
2022-02-01,38.452124,-0.9860340000000036
2022-03-01,39.757002,1.3048780000000022
2022-04-01,35.933952,-3.823050000000002
2022-05-01,33.70844,-2.225511999999995
2022-06-01,35.543298,1.834857999999997
2022-07-01,40.383856,4.8405580000000015
2022-08-01,40.241418,-0.1424379999999985
2022-09-01,37.206456,-3.034962
2022-10-01,32.811944,-4.394512000000006
2022-11-01,34.63846,1.8265160000000051
2022-12-01,37.18097,2.54251
2023-01-01,35.737894,-1.443076000000005
2023-02-01,40.767102,5.029208000000004
2023-03-01,36.143058,-4.624043999999998
2023-04-01,37.612262,1.4692039999999977
2023-05-01,40.699782,3.087519999999998
2023-06-01,36.436764,-4.263018000000002
2023-07-01,36.230034,-0.2067299999999932
2023-08-01,40.02037,3.7903359999999964
2023-09-01,45.104566,5.084195999999999
2023-10-01,43.450324,-1.6542419999999964
2023-11-01,40.972026,-2.4782980000000023
