日期,大宗商品指数,变化值
2009-01-09,100.0,0.0
2009-01-12,101.643733568446,1.643733568445995
2009-01-13,98.9929444228466,-2.6079218585712143
2009-01-14,100.396207744323,1.41753872425733
2009-01-15,100.151054550291,-0.24418571133316735
2009-01-16,101.155938348748,1.0033681651873148
2009-01-19,101.525549380391,0.36538737880985545
2009-01-20,100.776923478631,-0.7373768537366671
2009-01-21,100.345529788245,-0.42806793013231476
2009-01-22,99.8146771178251,-0.5290247323823395
2009-01-23,99.7164141861945,-0.09844537343401605
2009-02-02,100.424809139427,0.7104095740042916
2009-02-03,101.58298934527,1.1532809629092855
2009-02-04,103.305598927913,1.695765790853065
2009-02-05,103.240850628868,-0.06267646644222508
2009-02-06,104.338980213399,1.0636580169981062
2009-02-09,106.492328449002,2.063800346906665
2009-02-10,106.374655399637,-0.11049908578282977
2009-02-11,105.166139141628,-1.1360941696767526
2009-02-12,104.851919784898,-0.29878377136849266
2009-02-13,105.68305065001,0.7926710992197881
2009-02-16,104.701811344385,-0.9284736763273053
2009-02-17,104.510334981829,-0.18287779370521018
2009-02-18,102.038745184411,-2.3649238114562885
2009-02-19,101.35412180024,-0.6709445347781463
2009-02-20,101.702777037329,0.3439970974009067
2009-02-23,102.204524563171,0.4933469276437209
2009-02-24,101.751149899318,-0.4435954922649125
2009-02-25,103.011668009281,1.2388244370803425
2009-02-26,103.242737509807,0.22431391025061923
2009-02-27,102.220850807003,-0.989790398290173
2009-03-02,101.939002579008,-0.27572479173269604
2009-03-03,101.787753743057,-0.14837190096477845
2009-03-04,102.675899270481,0.8725465439250664
2009-03-05,103.532767539521,0.8345369021631289
2009-03-06,102.903732402481,-0.6075710637213362
2009-03-09,103.101698373042,0.192379776650577
2009-03-10,103.029723108841,-0.06980996951241313
2009-03-11,103.360966160408,0.32150241849827527
2009-03-12,102.793558494043,-0.5489573941137782
2009-03-13,103.659839178295,0.8427382969743247
2009-03-16,104.538525152342,0.8476628760108932
2009-03-17,105.683970115237,1.0957156332804232
2009-03-18,105.993113678483,0.29251698522387876
2009-03-19,106.874402196255,0.8314582779833093
2009-03-20,108.540606386313,1.5590301847942238
2009-03-23,111.206774130098,2.456378154269461
2009-03-24,110.793423463686,-0.37169558207707026
2009-03-25,110.070397774928,-0.6525889950453431
2009-03-26,110.713224281823,0.5840139764094042
2009-03-27,111.041251896593,0.29628584742053216
2009-03-30,110.041099273733,-0.9007036626274627
2009-03-31,110.150756172227,0.09965085701409788
2009-04-01,111.26737320793,1.0137170860244542
2009-04-02,111.66284368091,0.3554235725875923
2009-04-03,112.706305171164,0.9344751180041769
2009-04-07,114.392667274563,1.4962446873206954
2009-04-08,113.989637891043,-0.35232099497483493
2009-04-09,115.129634296641,1.000087750684552
2009-04-10,116.778269164566,1.4319813295655517
2009-04-13,118.022157841755,1.0651713594385404
2009-04-14,116.901844958089,-0.9492394514326087
2009-04-15,117.406880940236,0.43201711857332553
2009-04-16,119.114357283826,1.4543239117809157
2009-04-17,118.800546812352,-0.2634531039161393
2009-04-20,118.149812322721,-0.5477537832034063
2009-04-21,115.187361873216,-2.507367884269842
2009-04-22,115.867641564025,0.5905853556727598
2009-04-23,115.132071371081,-0.6348365971853807
2009-04-24,114.571419799183,-0.4869638539646888
2009-04-27,113.162922645046,-1.2293616999822266
2009-04-28,113.46500779305,0.26694710682893036
2009-04-29,113.423163385788,-0.03687868892436444
2009-04-30,115.304402992516,1.658602661547458
2009-05-04,118.351138445188,2.6423409458784923
2009-05-05,117.637617940135,-0.6028843612547509
2009-05-06,118.207555708006,0.484485981483435
2009-05-07,119.097674532481,0.7530134762905937
2009-05-08,118.622642078376,-0.3988595545376808
2009-05-11,117.347233523793,-1.0751813753569281
2009-05-12,117.232252383647,-0.09798368201214276
2009-05-13,118.087040038894,0.7291403499181126
2009-05-14,116.561225905334,-1.2921097294482538
2009-05-15,117.472846105883,0.7820955840747367
2009-05-18,115.811605650777,-1.4141484693481028
2009-05-19,116.988485694857,1.0162021651170432
2009-05-20,117.383434707064,0.33759648213341714
2009-05-21,116.995493728392,-0.33049039640058003
2009-05-22,116.835601524154,-0.13666526730439643
2009-05-25,117.103930270519,0.22966351254632555
2009-05-26,117.043063265547,-0.051976910451586665
2009-05-27,117.00409739696,-0.03329190769605307
2009-06-01,119.528087289466,2.15718077286033
2009-06-02,120.760053447403,1.0306917695030897
2009-06-03,120.808858870328,0.0404152048063285
2009-06-04,119.853142270785,-0.7910981102543384
2009-06-05,122.155626864382,1.9210882167736427
2009-06-08,121.642719604663,-0.4198801748923391
2009-06-09,121.094852043906,-0.4503907529670165
2009-06-10,121.880394893457,0.6487004495171885
