商品,日期,今值,预测值,前值
中国CPI年率报告,1986-02-01,7.1,,
中国CPI年率报告,1986-03-01,7.1,,7.1
中国CPI年率报告,1986-04-01,7.1,,7.1
中国CPI年率报告,1986-05-01,7.1,,7.1
中国CPI年率报告,1986-06-01,7.1,,7.1
中国CPI年率报告,1986-07-01,7.1,,7.1
中国CPI年率报告,1986-08-01,7.1,,7.1
中国CPI年率报告,1986-09-01,7.1,,7.1
中国CPI年率报告,1986-10-01,7.1,,7.1
中国CPI年率报告,1986-11-01,7.1,,7.1
中国CPI年率报告,1986-12-01,7.1,,7.1
中国CPI年率报告,1987-01-01,7.1,,7.1
中国CPI年率报告,1987-02-01,5.1,,7.1
中国CPI年率报告,1987-03-01,5.4,,5.1
中国CPI年率报告,1987-04-01,5.8,,5.4
中国CPI年率报告,1987-05-01,6.7,,5.8
中国CPI年率报告,1987-06-01,7.6,,6.7
中国CPI年率报告,1987-07-01,7.8,,7.6
中国CPI年率报告,1987-08-01,7.8,,7.8
中国CPI年率报告,1987-09-01,8.2,,7.8
中国CPI年率报告,1987-10-01,7.7,,8.2
中国CPI年率报告,1987-11-01,7.5,,7.7
中国CPI年率报告,1987-12-01,8.3,,7.5
中国CPI年率报告,1988-01-01,8.9,,8.3
中国CPI年率报告,1988-02-01,9.3,,8.9
中国CPI年率报告,1988-03-01,10.4,,9.3
中国CPI年率报告,1988-04-01,11.3,,10.4
中国CPI年率报告,1988-05-01,12.2,,11.3
中国CPI年率报告,1988-06-01,14.2,,12.2
中国CPI年率报告,1988-07-01,16.3,,14.2
中国CPI年率报告,1988-08-01,19.2,,16.3
中国CPI年率报告,1988-09-01,23.6,,19.2
中国CPI年率报告,1988-10-01,26.4,,23.6
中国CPI年率报告,1988-11-01,27.1,,26.4
中国CPI年率报告,1988-12-01,26.8,,27.1
中国CPI年率报告,1989-01-01,27.9,,26.8
中国CPI年率报告,1989-02-01,27.4,,27.9
中国CPI年率报告,1989-03-01,28.4,,27.4
中国CPI年率报告,1989-04-01,27.1,,28.4
中国CPI年率报告,1989-05-01,26.6,,27.1
中国CPI年率报告,1989-06-01,24.9,,26.6
中国CPI年率报告,1989-07-01,22.8,,24.9
中国CPI年率报告,1989-08-01,19.4,,22.8
中国CPI年率报告,1989-09-01,15.3,,19.4
中国CPI年率报告,1989-10-01,11.5,,15.3
中国CPI年率报告,1989-11-01,8.6,,11.5
中国CPI年率报告,1989-12-01,7.4,,8.6
中国CPI年率报告,1990-01-01,6.6,,7.4
中国CPI年率报告,1990-02-01,4.3,,6.6
中国CPI年率报告,1990-03-01,4.4,,4.3
中国CPI年率报告,1990-04-01,3.4,,4.4
中国CPI年率报告,1990-05-01,3.2,,3.4
中国CPI年率报告,1990-06-01,2.7,,3.2
中国CPI年率报告,1990-07-01,1.1,,2.7
中国CPI年率报告,1990-08-01,1.1,,1.1
中国CPI年率报告,1990-09-01,2.5,,1.1
中国CPI年率报告,1990-10-01,2.9,,2.5
中国CPI年率报告,1990-11-01,3.1,,2.9
中国CPI年率报告,1990-12-01,3.7,,3.1
中国CPI年率报告,1991-01-01,4.3,,3.7
中国CPI年率报告,1991-02-01,2.2,,4.3
中国CPI年率报告,1991-03-01,1.8,,2.2
中国CPI年率报告,1991-04-01,1.6,,1.8
中国CPI年率报告,1991-05-01,1.3,,1.6
中国CPI年率报告,1991-06-01,3.6,,1.3
中国CPI年率报告,1991-07-01,4.4,,3.6
中国CPI年率报告,1991-08-01,4.7,,4.4
中国CPI年率报告,1991-09-01,4.9,,4.7
中国CPI年率报告,1991-10-01,4.5,,4.9
中国CPI年率报告,1991-11-01,4.8,,4.5
中国CPI年率报告,1991-12-01,4.4,,4.8
中国CPI年率报告,1992-01-01,4.5,,4.4
中国CPI年率报告,1992-02-01,5.5,,4.5
中国CPI年率报告,1992-03-01,5.3,,5.5
中国CPI年率报告,1992-04-01,5.3,,5.3
中国CPI年率报告,1992-05-01,7.1,,5.3
中国CPI年率报告,1992-06-01,4.7,,7.1
中国CPI年率报告,1992-07-01,4.8,,4.7
中国CPI年率报告,1992-08-01,5.2,,4.8
中国CPI年率报告,1992-09-01,5.8,,5.2
中国CPI年率报告,1992-10-01,7.5,,5.8
中国CPI年率报告,1992-11-01,7.9,,7.5
中国CPI年率报告,1992-12-01,8.2,,7.9
中国CPI年率报告,1993-01-01,8.8,,8.2
中国CPI年率报告,1993-02-01,10.3,,8.8
中国CPI年率报告,1993-03-01,10.8,,10.3
中国CPI年率报告,1993-04-01,12.2,,10.8
中国CPI年率报告,1993-05-01,12.6,,12.2
中国CPI年率报告,1993-06-01,14.0,,12.6
中国CPI年率报告,1993-07-01,15.1,,14.0
中国CPI年率报告,1993-08-01,16.2,,15.1
中国CPI年率报告,1993-09-01,16.4,,16.2
中国CPI年率报告,1993-10-01,15.7,,16.4
中国CPI年率报告,1993-11-01,15.9,,15.7
中国CPI年率报告,1993-12-01,16.7,,15.9
中国CPI年率报告,1994-01-01,18.8,,16.7
中国CPI年率报告,1994-02-01,21.1,,18.8
中国CPI年率报告,1994-03-01,23.2,,21.1
中国CPI年率报告,1994-04-01,22.4,,23.2
中国CPI年率报告,1994-05-01,21.7,,22.4
