报告期,报表核心指标,*净利润,*营业总收入,*营业支出,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,利息净收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,投资收益,其中：对联营企业和合营企业的投资收益,公允价值变动收益,汇兑收益,其他业务收入,二、营业支出,营业税金及附加,业务及管理费,资产减值损失,信用减值损失,三、营业利润,加：营业外收入,减：营业外支出,四、利润总额,减：所得税费用,五、净利润,归属母公司所有者的净利润,少数股东损益,扣除非经常性损益后的利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2023-06-30,,253.87亿,886.10亿,566.73亿,253.87亿,252.16亿,,886.10亿,886.10亿,626.34亿,1164.67亿,538.33亿,163.74亿,192.82亿,29.08亿,72.87亿,False,10.15亿,7.00亿,3.39亿,566.73亿,8.74亿,234.38亿,3900.00万,323.22亿,319.37亿,2200.00万,2600.00万,319.33亿,65.46亿,253.87亿,253.87亿,False,252.16亿,,1.20,1.20,-3.75亿,-3.75亿,250.12亿,False,False
2023-03-31,,146.02亿,450.98亿,267.29亿,146.02亿,144.69亿,,450.98亿,450.98亿,321.15亿,586.92亿,265.77亿,88.78亿,103.66亿,14.88亿,33.03亿,False,5400.00万,3.15亿,2.53亿,267.29亿,4.58亿,118.07亿,1500.00万,144.49亿,183.69亿,1100.00万,1300.00万,183.67亿,37.65亿,146.02亿,146.02亿,False,144.69亿,,0.65,0.65,-4.48亿,-4.48亿,141.54亿,False,False
2022-12-31,,455.16亿,1798.95亿,1224.20亿,455.16亿,454.07亿,,1798.95亿,1798.95亿,1301.30亿,2288.78亿,987.48亿,302.08亿,377.54亿,75.46亿,132.43亿,False,12.40亿,45.48亿,1.31亿,1224.20亿,17.27亿,493.87亿,-3500.00万,713.41亿,574.75亿,6400.00万,2.86亿,572.53亿,117.37亿,455.16亿,455.16亿,False,454.07亿,,2.20,2.20,9.90亿,9.90亿,465.06亿,False,False
2022-09-30,,366.59亿,1382.65亿,919.70亿,366.59亿,365.97亿,,1382.65亿,1382.65亿,973.49亿,1704.91亿,731.42亿,223.96亿,280.52亿,56.56亿,108.18亿,False,32.15亿,41.21亿,1.06亿,919.70亿,12.91亿,365.19亿,-3500.00万,541.95亿,462.95亿,5000.00万,2.33亿,461.12亿,94.53亿,366.59亿,366.59亿,False,365.97亿,,1.78,1.78,-2.69亿,-2.69亿,363.90亿,False,False
2022-06-30,,220.88亿,920.22亿,640.61亿,220.88亿,220.42亿,,920.22亿,920.22亿,640.59亿,1127.89亿,487.30亿,160.62亿,196.02亿,35.40亿,77.69亿,False,16.48亿,21.82亿,6900.00万,640.61亿,8.67亿,243.49亿,-4900.00万,388.94亿,279.61亿,2900.00万,2.07亿,277.83亿,56.95亿,220.88亿,220.88亿,False,220.42亿,,1.03,1.03,10.16亿,10.16亿,231.04亿,False,False
2022-03-31,,128.50亿,462.07亿,298.67亿,128.50亿,128.73亿,,462.07亿,462.07亿,319.42亿,563.31亿,243.89亿,88.87亿,107.36亿,18.49亿,38.78亿,False,6.90亿,6.61亿,2300.00万,298.67亿,4.38亿,121.06亿,-600.00万,173.29亿,163.40亿,1400.00万,1.70亿,161.84亿,33.34亿,128.50亿,128.50亿,False,128.73亿,,0.56,0.56,-9400.00万,-9400.00万,127.56亿,False,False
2021-12-31,,363.36亿,1693.83亿,1233.98亿,363.36亿,362.30亿,,1693.83亿,1693.83亿,1203.36亿,2135.36亿,932.00亿,330.62亿,401.90亿,71.28亿,122.43亿,False,20.80亿,13.20亿,1.05亿,1233.98亿,16.44亿,479.37亿,11.98亿,726.19亿,459.85亿,1.58亿,2.64亿,458.79亿,95.43亿,363.36亿,363.36亿,False,362.30亿,,1.73,1.73,13.23亿,13.23亿,376.59亿,False,False
2021-09-30,,291.35亿,1271.90亿,903.61亿,291.35亿,289.92亿,,1271.90亿,1271.90亿,895.61亿,1586.87亿,691.26亿,254.39亿,307.89亿,53.50亿,93.67亿,False,15.02亿,9.93亿,1.08亿,903.61亿,12.29亿,353.70亿,11.77亿,525.85亿,368.29亿,8400.00万,1.26亿,367.87亿,76.52亿,291.35亿,291.35亿,False,289.92亿,,1.40,1.40,11.14亿,11.14亿,302.49亿,False,False
2021-06-30,,175.83亿,846.80亿,622.65亿,175.83亿,175.11亿,,846.80亿,846.80亿,593.61亿,1048.32亿,454.71亿,173.98亿,206.88亿,32.90亿,59.63亿,False,12.15亿,5.05亿,7600.00万,622.65亿,8.20亿,231.60亿,12.73亿,370.12亿,224.15亿,2600.00万,1.00亿,223.41亿,47.58亿,175.83亿,175.83亿,False,175.11亿,,0.80,0.80,10.01亿,10.01亿,185.84亿,False,False
2021-03-31,,101.32亿,417.88亿,288.59亿,101.32亿,101.11亿,,417.88亿,417.88亿,297.66亿,520.74亿,223.08亿,84.81亿,107.33亿,22.52亿,27.57亿,False,1.76亿,5.03亿,2400.00万,288.59亿,4.12亿,117.50亿,200.00万,166.95亿,129.29亿,1900.00万,7400.00万,128.74亿,27.42亿,101.32亿,101.32亿,False,101.11亿,,0.42,0.42,3.83亿,3.83亿,105.15亿,False,False
