报告期,报表核心指标,*净利润,*营业总收入,*营业支出,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,利息净收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,投资收益,其中：对联营企业和合营企业的投资收益,公允价值变动收益,汇兑收益,其他业务收入,二、营业支出,营业税金及附加,业务及管理费,资产减值损失,信用减值损失,三、营业利润,加：营业外收入,减：营业外支出,四、利润总额,减：所得税费用,五、净利润,归属母公司所有者的净利润,少数股东损益,扣除非经常性损益后的利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2014-12-31,,198.02亿,734.07亿,471.61亿,198.02亿,198.41亿,,734.07亿,734.07亿,530.46亿,1192.02亿,661.56亿,173.78亿,197.06亿,23.28亿,31.68亿,2800.00万,-1000.00万,-3.88亿,2.13亿,471.61亿,54.82亿,266.68亿,150.11亿,False,262.46亿,4000.00万,9200.00万,261.94亿,63.92亿,198.02亿,198.02亿,False,198.41亿,,1.44,1.44,5.86亿,5.86亿,203.88亿,False,False
2014-09-30,,156.94亿,546.51亿,338.80亿,156.94亿,157.11亿,,546.51亿,546.51亿,384.18亿,875.70亿,491.52亿,127.97亿,144.73亿,16.76亿,33.05亿,False,2700.00万,-5300.00万,1.57亿,338.80亿,41.23亿,200.56亿,97.01亿,False,207.71亿,3000.00万,5300.00万,207.48亿,50.54亿,156.94亿,156.94亿,False,157.11亿,,1.14,1.14,4.81亿,4.81亿,161.75亿,False,False
2014-06-30,,100.72亿,347.33亿,213.88亿,100.72亿,100.85亿,,347.33亿,347.33亿,245.54亿,569.50亿,323.96亿,77.71亿,89.41亿,11.70亿,21.73亿,900.00万,6800.00万,8000.00万,8700.00万,213.88亿,26.81亿,130.55亿,56.52亿,False,133.45亿,1700.00万,3400.00万,133.28亿,32.56亿,100.72亿,100.72亿,False,100.85亿,,0.73,0.73,3.10亿,3.10亿,103.82亿,False,False
2014-03-31,,50.54亿,161.00亿,93.88亿,50.54亿,50.65亿,,161.00亿,161.00亿,115.50亿,279.04亿,163.54亿,32.07亿,38.79亿,6.72亿,12.79亿,False,5800.00万,-3700.00万,4300.00万,93.88亿,12.59亿,60.62亿,20.67亿,False,67.12亿,300.00万,1800.00万,66.97亿,16.43亿,50.54亿,50.54亿,False,50.65亿,,0.37,0.37,1.65亿,1.65亿,52.19亿,False,False
2013-12-31,,152.31亿,521.89亿,322.34亿,152.31亿,151.66亿,,521.89亿,521.89亿,406.88亿,931.02亿,524.14亿,104.56亿,118.21亿,13.65亿,11.40亿,1.02亿,-8200.00万,-1.63亿,1.50亿,322.34亿,40.65亿,212.79亿,68.90亿,False,199.55亿,1.11亿,2600.00万,200.40亿,48.09亿,152.31亿,152.31亿,False,151.66亿,,1.55,1.55,-18.11亿,-18.11亿,134.20亿,False,False
2013-09-30,,116.96亿,373.45亿,220.38亿,116.96亿,116.37亿,,373.45亿,373.45亿,290.56亿,674.87亿,384.31亿,74.15亿,82.80亿,8.65亿,8.98亿,False,1700.00万,-1.34亿,9300.00万,220.38亿,29.36亿,147.76亿,43.26亿,False,153.07亿,8600.00万,800.00万,153.85亿,36.89亿,116.96亿,116.96亿,False,116.37亿,,1.19,1.19,-7.10亿,False,109.86亿,False,False
2013-06-30,,75.31亿,234.26亿,135.32亿,75.31亿,75.22亿,,234.26亿,234.26亿,185.28亿,432.26亿,246.98亿,43.76亿,48.91亿,5.15亿,5.10亿,1700.00万,-7600.00万,2300.00万,6500.00万,135.32亿,18.24亿,91.06亿,26.02亿,False,98.94亿,1800.00万,600.00万,99.06亿,23.75亿,75.31亿,75.31亿,False,75.22亿,,0.77,0.77,8400.00万,False,76.15亿,False,False
2013-03-31,,35.89亿,108.02亿,60.85亿,35.89亿,35.88亿,,108.02亿,108.02亿,87.07亿,202.46亿,115.39亿,18.05亿,20.29亿,2.24亿,2.40亿,False,2100.00万,1500.00万,1400.00万,60.85亿,8.55亿,41.84亿,10.46亿,False,47.17亿,300.00万,200.00万,47.18亿,11.29亿,35.89亿,35.89亿,False,35.88亿,,0.44,0.44,3.71亿,False,39.60亿,False,False
2012-12-31,,135.12亿,397.49亿,222.06亿,134.03亿,133.85亿,,397.49亿,397.49亿,330.36亿,746.14亿,415.78亿,57.22亿,64.50亿,7.28亿,6.23亿,4300.00万,-2900.00万,2.43亿,1.54亿,222.06亿,34.12亿,156.64亿,31.30亿,False,175.43亿,9800.00万,8900.00万,175.52亿,40.40亿,135.12亿,134.03亿,1.09亿,133.85亿,,1.64,1.64,-8.90亿,False,126.22亿,124.95亿,1.27亿
2012-09-30,,103.46亿,295.31亿,161.72亿,102.37亿,101.87亿,,295.31亿,295.31亿,245.60亿,561.74亿,316.14亿,41.55亿,46.60亿,5.05亿,5.97亿,False,-3400.00万,1.73亿,8000.00万,161.72亿,25.70亿,113.87亿,22.15亿,False,133.59亿,7400.00万,2100.00万,134.12亿,30.66亿,103.46亿,102.37亿,1.09亿,101.87亿,,1.25,1.25,-7.98亿,False,95.48亿,94.21亿,1.27亿
2012-06-30,,68.70亿,196.26亿,107.89亿,67.61亿,67.29亿,,196.26亿,196.26亿,161.57亿,372.27亿,210.70亿,27.79亿,30.99亿,3.20亿,4.52亿,1500.00万,-1100.00万,1.84亿,6500.00万,107.89亿,17.36亿,74.83亿,15.70亿,False,88.37亿,5900.00万,1700.00万,88.79亿,20.09亿,68.70亿,67.61亿,1.09亿,67.29亿,,0.82,0.82,2.62亿,False,71.32亿,70.06亿,1.26亿
2012-03-31,,34.95亿,97.24亿,52.59亿,34.29亿,34.20亿,,97.24亿,97.24亿,79.55亿,183.32亿,103.77亿,14.48亿,15.96亿,1.48亿,2.15亿,False,-900.00万,8400.00万,3100.00万,52.59亿,8.60亿,37.13亿,6.86亿,False,44.65亿,1400.00万,200.00万,44.77亿,9.82亿,34.95亿,34.29亿,6600.00万,34.20亿,,0.67,0.67,8100.00万,False,35.76亿,35.04亿,7200.00万
2011-12-31,,103.90亿,296.43亿,165.10亿,102.79亿,101.79亿,,296.43亿,296.43亿,252.90亿,522.69亿,269.80亿,36.65亿,41.30亿,4.65亿,2.85亿,4500.00万,600.50万,2.65亿,1.33亿,165.10亿,25.06亿,118.55亿,21.49亿,False,131.33亿,1.74亿,4962.80万,132.57亿,28.67亿,103.90亿,102.79亿,1.12亿,101.79亿,,2.47,2.47,4.51亿,False,108.41亿,107.22亿,1.20亿
2011-09-30,,77.45亿,207.01亿,108.83亿,76.87亿,76.04亿,,207.01亿,207.01亿,176.81亿,349.99亿,173.18亿,24.30亿,27.26亿,2.96亿,2.77亿,False,-1565.00万,2.35亿,9395.00万,108.83亿,16.85亿,79.58亿,12.40亿,False,98.19亿,1.45亿,3976.90万,99.24亿,21.79亿,77.45亿,76.87亿,5789.50万,76.04亿,,2.01,2.01,-5.98亿,False,71.47亿,71.19亿,2808.10万
2011-06-30,,47.31亿,121.37亿,60.90亿,47.31亿,47.18亿,,121.37亿,121.37亿,103.92亿,195.40亿,91.48亿,11.88亿,13.30亿,1.42亿,3.52亿,2900.00万,-786.50万,1.52亿,6114.20万,60.90亿,9.53亿,44.06亿,7.31亿,False,60.47亿,3925.70万,2330.50万,60.63亿,13.32亿,47.31亿,47.31亿,False,47.18亿,,1.36,1.36,-1.02亿,False,46.29亿,46.29亿,False
2011-03-31,,24.02亿,58.15亿,27.55亿,24.02亿,23.95亿,,58.15亿,58.15亿,51.04亿,92.20亿,41.16亿,4.82亿,5.44亿,6217.40万,1.25亿,False,829.70万,6461.20万,3158.90万,27.55亿,4.46亿,20.68亿,2.41亿,False,30.60亿,1566.90万,652.70万,30.69亿,6.67亿,24.02亿,24.02亿,False,23.95亿,,0.69,0.69,2646.00万,False,24.29亿,24.29亿,False
2010-12-31,,62.47亿,179.72亿,101.72亿,62.47亿,61.44亿,,179.72亿,179.72亿,158.29亿,262.52亿,104.23亿,15.85亿,18.36亿,2.51亿,2.29亿,6082.40万,-1907.10万,2.14亿,1.34亿,101.72亿,13.25亿,73.59亿,14.88亿,False,78.00亿,1.65亿,1685.40万,79.48亿,17.02亿,62.47亿,62.47亿,False,61.44亿,,1.90,1.90,-1.62亿,False,60.84亿,60.84亿,False
2010-09-30,,47.18亿,131.37亿,72.40亿,47.18亿,46.56亿,,131.37亿,131.37亿,114.60亿,188.13亿,73.53亿,11.50亿,13.32亿,1.83亿,3.14亿,False,-2258.90万,1.42亿,9414.70万,72.40亿,9.46亿,54.90亿,8.04亿,False,58.97亿,1.06亿,1172.40万,59.92亿,12.74亿,47.18亿,47.18亿,False,46.56亿,,1.46,1.46,1903.10万,False,47.37亿,47.37亿,False
2010-06-30,,30.33亿,84.96亿,46.91亿,30.33亿,29.77亿,,84.96亿,84.96亿,74.09亿,121.80亿,47.70亿,7.50亿,8.65亿,1.15亿,1.72亿,4082.40万,-764.60万,9884.00万,7350.30万,46.91亿,6.07亿,35.90亿,4.94亿,False,38.05亿,7539.50万,847.60万,38.72亿,8.39亿,30.33亿,30.33亿,False,29.77亿,,0.98,0.98,1111.20万,False,30.44亿,False,False
2010-03-31,,15.78亿,40.84亿,20.89亿,15.78亿,15.77亿,,40.84亿,40.84亿,36.10亿,59.35亿,23.24亿,3.18亿,3.67亿,4908.90万,5854.90万,False,1682.40万,5218.90万,2879.10万,20.89亿,2.85亿,16.85亿,1.19亿,False,19.95亿,308.20万,121.20万,19.97亿,4.19亿,15.78亿,15.78亿,False,15.77亿,,0.51,0.51,6210.00万,False,16.40亿,False,False
2009-12-31,,50.31亿,151.14亿,89.55亿,50.31亿,49.40亿,,151.14亿,151.14亿,129.84亿,219.86亿,90.01亿,11.81亿,13.87亿,2.06亿,5.80亿,1833.60万,-133.20万,2.42亿,1.29亿,89.55亿,10.69亿,63.11亿,15.75亿,False,61.59亿,5580.50万,2439.50万,61.91亿,11.60亿,50.31亿,50.31亿,False,49.40亿,,1.62,1.62,-9.62亿,False,40.69亿,False,False
2009-09-30,,36.37亿,111.14亿,65.88亿,36.37亿,36.22亿,,111.14亿,111.14亿,95.60亿,164.19亿,68.59亿,7.82亿,9.29亿,1.47亿,5.57亿,False,-4464.50万,1.68亿,9259.90万,65.88亿,7.68亿,44.44亿,13.75亿,False,45.26亿,3072.80万,1653.50万,45.41亿,9.03亿,36.37亿,36.37亿,False,36.22亿,,1.17,1.17,-9.50亿,False,26.88亿,False,False
2009-06-30,,23.11亿,74.91亿,45.69亿,23.11亿,23.06亿,,74.91亿,74.91亿,63.64亿,111.71亿,48.08亿,4.78亿,5.70亿,9174.70万,5.08亿,1833.60万,-4100.90万,1.22亿,6048.40万,45.69亿,5.22亿,29.43亿,11.04亿,False,29.22亿,1842.60万,1047.60万,29.29亿,6.18亿,23.11亿,23.11亿,False,23.06亿,,0.74,0.74,-7.25亿,False,15.87亿,False,False
2009-03-31,,11.22亿,37.61亿,22.47亿,11.22亿,11.20亿,,37.61亿,37.61亿,32.99亿,58.73亿,25.73亿,1.96亿,2.41亿,4548.10万,1.86亿,False,-2729.00万,7811.70万,2877.80万,22.47亿,2.59亿,14.66亿,5.22亿,False,15.14亿,118.50万,-230.00万,15.17亿,3.95亿,11.22亿,11.22亿,False,11.20亿,,0.36,0.36,-4.51亿,False,6.71亿,False,False
2008-12-31,,6.14亿,145.13亿,137.10亿,6.14亿,6.24亿,,145.13亿,145.13亿,125.98亿,264.65亿,138.67亿,8.51亿,10.57亿,2.05亿,4.22亿,2267.50万,6580.00万,4.63亿,1.14亿,137.10亿,11.52亿,52.24亿,73.34亿,False,8.03亿,5231.00万,6312.70万,7.93亿,1.79亿,6.14亿,6.14亿,False,6.24亿,,0.20,0.20,10.56亿,False,16.70亿,False,False
2008-09-30,,33.17亿,107.41亿,63.77亿,33.17亿,33.58亿,,107.41亿,107.41亿,94.79亿,199.19亿,104.40亿,6.65亿,8.08亿,1.43亿,7684.80万,False,3426.50万,3.89亿,9700.70万,63.77亿,8.59亿,37.40亿,17.78亿,False,43.64亿,2879.10万,7832.60万,43.15亿,9.98亿,33.17亿,33.17亿,False,33.58亿,,1.09,1.08,2.46亿,False,35.63亿,False,False
2008-06-30,,21.44亿,71.15亿,18.47亿,21.44亿,21.56亿,,71.15亿,71.15亿,63.03亿,131.95亿,68.93亿,3.81亿,4.70亿,8946.30万,1149.30万,475.40万,-276.60万,3.09亿,1.15亿,18.47亿,5.68亿,24.92亿,-12.14亿,False,28.41亿,1311.10万,2843.90万,28.26亿,6.82亿,21.44亿,21.44亿,False,21.56亿,,0.71,0.70,-1205.30万,False,21.32亿,False,False
2008-03-31,,10.04亿,35.53亿,21.77亿,10.04亿,10.02亿,,35.53亿,35.53亿,31.45亿,64.34亿,32.89亿,1.50亿,1.97亿,4635.10万,231.20万,False,832.50万,1.76亿,7046.70万,21.77亿,2.83亿,13.11亿,5.83亿,False,13.76亿,454.50万,179.10万,13.79亿,3.75亿,10.04亿,10.04亿,False,10.02亿,,0.34,0.33,False,False,False,False,False
2007-12-31,,26.50亿,108.08亿,70.86亿,26.50亿,26.08亿,,108.08亿,108.08亿,96.06亿,180.44亿,84.38亿,5.21亿,6.68亿,1.47亿,2.01亿,False,5764.10万,2.57亿,1.65亿,70.86亿,8.24亿,42.07亿,20.54亿,False,37.22亿,8972.00万,3988.70万,37.72亿,11.22亿,26.50亿,26.50亿,False,26.08亿,,0.97,0.95,False,False,False,False,False
2007-09-30,,18.74亿,77.67亿,49.91亿,18.74亿,18.67亿,,77.67亿,77.67亿,69.37亿,124.28亿,54.91亿,3.22亿,4.18亿,9558.20万,2.03亿,False,3921.90万,1.61亿,1.05亿,49.91亿,5.78亿,29.38亿,14.76亿,False,27.76亿,2837.60万,2181.30万,27.83亿,9.09亿,18.74亿,18.74亿,False,18.67亿,,0.90,0.88,False,False,False,False,False
2007-06-30,,11.24亿,48.91亿,32.09亿,11.24亿,11.17亿,,48.91亿,48.91亿,44.34亿,76.21亿,31.87亿,2.10亿,2.63亿,5323.60万,6584.90万,False,584.10万,1.07亿,6834.00万,32.09亿,3.53亿,18.58亿,9.97亿,False,16.82亿,2684.30万,1869.40万,16.90亿,5.66亿,11.24亿,11.24亿,False,11.17亿,,0.54,0.54,False,False,False,False,False
2007-03-31,,5.35亿,23.53亿,15.34亿,5.35亿,5.32亿,,23.53亿,23.53亿,21.37亿,35.76亿,14.39亿,8232.00万,1.04亿,2200.00万,5362.80万,False,351.40万,5055.50万,2523.40万,15.34亿,1.67亿,8.88亿,4.79亿,False,8.19亿,330.20万,58.20万,8.21亿,2.86亿,5.35亿,5.35亿,False,5.32亿,,0.26,0.26,False,False,False,False,False
2006-12-31,,14.12亿,78.18亿,57.77亿,14.12亿,12.27亿,,78.18亿,78.18亿,70.00亿,120.68亿,50.69亿,3.46亿,4.22亿,7603.50万,9962.30万,False,1.14亿,1.46亿,1.13亿,57.77亿,5.53亿,32.37亿,19.86亿,False,20.41亿,1.02亿,2145.80万,21.22亿,7.10亿,14.12亿,14.12亿,False,12.27亿,,0.68,0.68,False,False,False,False,False
2006-09-30,,9.72亿,55.85亿,41.04亿,9.72亿,8.22亿,,55.85亿,55.85亿,50.03亿,87.31亿,37.28亿,2.11亿,2.90亿,7934.80万,5154.10万,False,9160.10万,1.35亿,9251.70万,41.04亿,3.97亿,22.96亿,14.10亿,False,14.81亿,7870.30万,1562.90万,15.44亿,5.72亿,9.72亿,9.72亿,False,8.22亿,,0.47,0.47,False,False,False,False,False
2006-06-30,,5.18亿,34.53亿,26.75亿,5.18亿,4.17亿,,34.53亿,34.53亿,31.13亿,54.84亿,23.71亿,1.39亿,1.83亿,4380.40万,3028.70万,False,3530.90万,8689.80万,4924.20万,26.75亿,2.46亿,14.78亿,9.51亿,False,7.78亿,6181.70万,1653.20万,8.23亿,3.06亿,5.18亿,5.18亿,False,4.17亿,,0.25,0.25,False,False,False,False,False
2006-03-31,,2.33亿,15.97亿,12.66亿,2.33亿,2.21亿,,15.97亿,15.97亿,14.85亿,26.10亿,11.25亿,5334.75万,7400.53万,2065.78万,687.71万,False,-1340.01万,4737.05万,1720.48万,12.66亿,1.19亿,6.70亿,4.77亿,False,3.31亿,30.22万,102.84万,3.60亿,1.27亿,2.33亿,2.33亿,False,2.21亿,,0.12,0.12,False,False,False,False,False
2005-12-31,,3.11亿,54.51亿,48.17亿,3.11亿,3.35亿,,54.51亿,54.51亿,48.94亿,86.64亿,37.70亿,2.39亿,3.07亿,6799.05万,1.11亿,False,111.71万,1.32亿,7292.95万,48.17亿,4.17亿,25.97亿,18.03亿,False,6.34亿,3109.77万,6723.56万,5.98亿,2.87亿,3.11亿,3.11亿,False,3.35亿,,0.16,0.16,False,False,False,False,False
2005-09-30,,3.00亿,40.39亿,35.05亿,3.00亿,2.99亿,,40.39亿,40.39亿,37.04亿,64.35亿,27.31亿,1.56亿,2.03亿,4671.59万,4129.99万,False,115.29万,8752.64万,False,35.05亿,3.06亿,17.94亿,14.05亿,False,5.34亿,False,False,5.22亿,2.22亿,3.00亿,3.00亿,False,2.99亿,,False,False,False,False,False,False,False
2005-06-30,,1.68亿,26.41亿,23.11亿,1.68亿,1.46亿,,26.41亿,26.41亿,24.15亿,42.15亿,18.00亿,9879.53万,1.28亿,2950.71万,3211.05万,False,64.36万,5192.15万,False,23.11亿,1.99亿,11.47亿,9.64亿,False,3.30亿,False,False,3.09亿,1.41亿,1.68亿,1.68亿,False,1.46亿,,0.08,False,False,False,False,False,False
2005-03-31,,1.54亿,19.76亿,False,1.54亿,1.53亿,,19.76亿,19.76亿,7.17亿,13.45亿,6.29亿,4856.69万,6311.56万,1454.87万,1.99亿,False,False,2575.40万,False,False,9838.25万,False,False,False,10.03亿,209.20万,128.51万,2.66亿,1.12亿,1.54亿,1.54亿,False,1.53亿,,False,False,False,False,False,False,False
2004-12-31,,2.95亿,83.46亿,False,2.95亿,2.77亿,,83.46亿,83.46亿,31.43亿,55.15亿,23.72亿,1.88亿,2.47亿,5963.99万,False,False,False,9859.83万,False,False,4.13亿,False,False,False,27.99亿,2096.00万,2828.37万,4.98亿,2.04亿,2.95亿,2.95亿,False,2.77亿,,0.15,False,False,False,False,False,False
2004-09-30,,3.38亿,60.86亿,False,3.38亿,4.04亿,,60.86亿,60.86亿,23.17亿,40.55亿,17.38亿,1.27亿,1.67亿,3999.66万,5.13亿,False,False,7132.70万,False,False,3.09亿,False,False,False,24.77亿,1666.60万,1401.55万,4.92亿,1.53亿,3.38亿,3.38亿,False,4.04亿,,False,False,False,False,False,False,False
2004-06-30,,2.17亿,40.83亿,False,2.17亿,2.56亿,,40.83亿,40.83亿,15.81亿,27.05亿,11.23亿,7927.13万,1.06亿,2632.92万,3.52亿,False,False,4524.53万,False,False,2.08亿,False,False,False,17.45亿,1124.71万,1294.96万,3.45亿,1.28亿,2.17亿,2.17亿,False,2.56亿,,0.15,False,False,False,False,False,False
2004-03-31,,1.58亿,19.09亿,False,1.58亿,2.15亿,,19.09亿,19.09亿,7.34亿,12.59亿,5.25亿,3550.88万,4751.03万,1200.15万,1.56亿,False,False,2171.45万,False,False,9658.26万,False,False,False,8.60亿,163.87万,206.26万,2.15亿,5751.77万,1.58亿,1.58亿,False,2.15亿,,False,False,False,False,False,False,False
2003-12-31,,4.25亿,59.93亿,False,4.25亿,3.19亿,,59.93亿,59.93亿,21.14亿,39.31亿,18.17亿,1.29亿,1.79亿,4934.82万,6.39亿,False,False,8370.41万,False,False,2.52亿,False,False,False,23.27亿,1323.27万,2782.37万,3.54亿,-7112.65万,4.25亿,4.25亿,False,3.19亿,,0.22,False,False,False,False,False,False
2003-09-30,,3.15亿,41.41亿,False,3.15亿,3.20亿,,41.41亿,41.41亿,15.12亿,28.32亿,13.20亿,7916.08万,1.10亿,3108.74万,4.76亿,False,False,5433.98万,False,False,1.94亿,False,False,False,16.84亿,427.37万,886.16万,4.21亿,1.06亿,3.15亿,3.15亿,False,3.20亿,,False,False,False,False,False,False,False
2003-06-30,,2.70亿,28.22亿,False,2.70亿,2.70亿,,28.22亿,28.22亿,8.62亿,17.06亿,8.44亿,5393.44万,7210.41万,1816.97万,3.18亿,False,False,3342.27万,False,False,1.35亿,False,False,False,12.02亿,1036.00万,1100.57万,3.44亿,7402.60万,2.70亿,2.70亿,False,2.70亿,,0.14,False,False,False,False,False,False
2003-03-31,,1.53亿,13.53亿,False,1.53亿,False,,13.53亿,13.53亿,4.10亿,8.22亿,4.12亿,2106.44万,3046.50万,940.07万,1.37亿,False,False,2134.16万,False,False,6686.29万,False,False,False,5.27亿,696.32万,127.47万,1.64亿,1034.97万,1.53亿,1.53亿,False,False,,False,False,False,False,False,False,False
2002-12-31,,3.13亿,54.00亿,False,3.13亿,4.45亿,,54.00亿,54.00亿,17.43亿,32.61亿,15.18亿,7844.70万,1.05亿,2704.12万,6.31亿,False,False,6888.72万,False,False,2.92亿,False,False,False,24.17亿,1460.46万,2732.28万,5.17亿,2.04亿,3.13亿,3.13亿,False,4.45亿,,0.22,False,False,False,False,False,False
2002-09-30,,3.66亿,38.89亿,False,3.66亿,4.19亿,,38.89亿,38.89亿,20.22亿,31.33亿,11.11亿,5819.68万,7493.29万,1673.61万,4.23亿,False,False,4181.37万,False,False,2.20亿,False,False,False,15.98亿,1376.67万,1285.73万,4.96亿,1.29亿,3.66亿,3.66亿,False,4.19亿,,False,False,False,False,False,False,False
2002-06-30,,3.14亿,24.13亿,False,3.14亿,3.20亿,,24.13亿,24.13亿,7.90亿,15.20亿,7.30亿,3149.42万,4092.50万,943.07万,3.35亿,False,False,3019.33万,False,False,1.33亿,False,False,False,12.26亿,330.78万,889.28万,3.86亿,7190.42万,3.14亿,3.14亿,False,3.20亿,,0.16,False,False,False,False,False,False
2002-03-31,,1.84亿,10.95亿,False,1.84亿,False,,10.95亿,10.95亿,5.84亿,9.42亿,3.58亿,1070.20万,1492.98万,422.79万,1.18亿,False,False,100.13万,False,False,6374.00万,False,False,False,5.17亿,60.58万,72.12万,2.26亿,4173.85万,1.84亿,1.84亿,False,False,,False,False,False,False,False,False,False
2001-12-31,,4.02亿,38.86亿,False,4.02亿,4.05亿,,38.86亿,38.86亿,11.52亿,24.58亿,13.07亿,6292.37万,7977.26万,1684.89万,4.42亿,False,False,5196.61万,False,False,2.62亿,False,False,False,16.01亿,1088.72万,1368.01万,5.59亿,1.57亿,4.02亿,4.02亿,False,4.05亿,,0.21,False,False,False,False,False,False
2001-09-30,,3.65亿,25.80亿,False,3.65亿,False,,25.80亿,25.80亿,11.75亿,21.26亿,9.52亿,3391.32万,4442.33万,1051.01万,2.22亿,False,False,2.08万,False,False,1.60亿,False,False,False,9.66亿,375.71万,565.16万,4.07亿,4236.49万,3.65亿,3.65亿,False,False,,False,False,False,False,False,False,False
2001-06-30,,2.23亿,15.70亿,False,2.23亿,2.26亿,,15.70亿,15.70亿,4.20亿,9.89亿,5.69亿,2004.28万,2637.58万,633.30万,1.99亿,False,False,2.17万,False,False,9856.34万,False,False,False,6.87亿,192.70万,506.17万,2.64亿,4121.98万,2.23亿,2.23亿,False,2.26亿,,0.12,False,False,False,False,False,False
2001-03-31,,1.39亿,7.25亿,False,1.39亿,False,,7.25亿,7.25亿,3.61亿,6.01亿,2.40亿,757.54万,1045.08万,287.54万,2707.16万,False,False,1.87万,False,False,4985.02万,False,False,False,2.39亿,88.67万,315.68万,1.60亿,2067.71万,1.39亿,1.39亿,False,False,,False,False,False,False,False,False,False
