统计时间,全社会用电量,全社会用电量同比,各行业用电量合计,各行业用电量合计同比,第一产业用电量,第一产业用电量同比,第二产业用电量,第二产业用电量同比,第三产业用电量,第三产业用电量同比,城乡居民生活用电量合计,城乡居民生活用电量合计同比,城镇居民用电量,城镇居民用电量同比,乡村居民用电量,乡村居民用电量同比
2003.12,188912117.0,15.29,166531685.0,15.77,5958327.0,0.95,139485064.0,16.65,21088294.0,14.78,22380432.0,11.82,13573724.0,16.12,8806708.0,5.79
2004.10,175828690.0,15.17,156100929.0,16.03,4979893.0,1.89,131227030.0,16.78,19894006.0,15.12,19727761.0,8.83,12075538.0,8.74,7652223.0,8.99
2004.11,194584023.0,15.13,172937132.0,15.87,5479353.0,2.44,145542325.0,16.52,21915454.0,15.32,21646891.0,9.54,13238851.0,8.95,8408040.0,10.48
2004.3,48045510.0,15.7,42431023.0,16.41,1125688.0,-0.19,35783305.0,17.58,5522030.0,12.95,5614487.0,10.56,3426878.0,9.85,2187609.0,11.68
2004.9,157131146.0,14.92,139454527.0,15.71,4518047.0,1.9,117019516.0,16.44,17916964.0,16.01,17676619.0,9.05,10862461.0,8.58,6814158.0,9.8
2005.10,203245913.0,13.75,179642302.0,13.32,6247935.0,7.43,152109929.0,13.84,21284438.0,11.47,23603611.0,17.12,14607564.0,19.13,8996047.0,14.0
2005.11,218408100.0,13.19,192938800.0,12.7,6574500.0,6.97,163266600.0,13.15,23097700.0,11.31,25469300.0,16.99,15710800.0,19.06,9758500.0,13.81
2005.2,35718061.0,13.01,31361676.0,13.06,849037.0,4.73,26506972.0,13.65,4005667.0,11.11,4356385.0,12.65,2685506.0,12.98,1670879.0,12.12
2005.3,55056362.0,13.38,48328576.0,12.67,1317340.0,3.29,41065291.0,13.23,5945945.0,11.1,6727786.0,18.8,4154626.0,19.47,2553483.0,17.71
2005.4,74322965.0,13.46,65527134.0,12.79,1949243.0,2.88,55691775.0,13.34,7886116.0,11.56,8795831.0,18.75,5397487.0,18.55,3398344.0,19.08
2005.5,93957423.0,13.98,83080105.0,13.19,2649979.0,4.62,70811825.0,13.96,9618301.0,10.23,10877318.0,20.37,6622656.0,19.32,4254662.0,22.05
2005.6,114869850.0,13.91,101902948.0,13.28,3404484.0,5.82,86957731.0,14.17,11540733.0,9.13,12966902.0,19.11,7922926.0,19.54,5043976.0,18.44
2005.8,161138732.0,14.12,142408059.0,13.52,5010936.0,8.02,120747614.0,14.31,16649509.0,9.65,18730673.0,18.97,11558010.0,20.23,7172663.0,16.99
2005.9,182387900.0,13.95,161216200.0,15.61,5639400.0,8.09,136452600.0,14.19,19124200.0,11.07,21171600.0,16.74,,,,
2006.10,231832378.0,14.05,204714259.0,13.91,6917246.0,10.01,174262930.0,14.29,23534083.0,12.32,27118119.0,15.11,16298950.0,12.57,10819169.0,19.17
2006.11,256274909.0,14.15,226720870.0,14.09,7502372.0,9.71,193565474.0,14.61,25653024.0,11.59,29554039.0,14.58,17748457.0,12.25,11805582.0,18.25
2006.12,282480000.0,14.0,,,8320000.0,9.9,213540000.0,14.3,28220000.0,11.8,32400000.0,14.7,,,,
2006.2,42222700.0,11.7,36704000.0,10.87,954500.0,8.41,30929200.0,10.64,4820300.0,12.92,5518600.0,17.52,3425900.0,16.53,2092800.0,19.18
