月份,货币和准货币(M2)-数量(亿元),货币和准货币(M2)-同比增长,货币和准货币(M2)-环比增长,货币(M1)-数量(亿元),货币(M1)-同比增长,货币(M1)-环比增长,流通中的现金(M0)-数量(亿元),流通中的现金(M0)-同比增长,流通中的现金(M0)-环比增长
2022年10月份,2612914.57,11.8,-0.52106698,662140.99,5.8,-0.3602789,98416.71,14.4,-0.25878653
2022年09月份,2626600.92,12.1,1.21509905,664535.17,6.4,-0.01048443,98672.06,13.6,1.48206802
2022年08月份,2595068.27,12.2,0.65900629,664604.85,6.1,0.41891577,97231.03,14.3,0.7479495
2022年07月份,2578078.57,12.0,-0.13064861,661832.33,6.7,-1.85986781,96509.19,13.9,0.51871048
2022年06月份,2581451.2,11.4,2.1537193,674374.81,5.8,4.53680807,96011.17,13.9,0.48595004
2022年05月份,2527026.15,11.1,1.09273636,645107.52,4.6,1.40983494,95546.86,13.5,-0.08327191
2022年04月份,2499710.9,10.5,0.08097728,636139.01,5.1,-1.38355152,95626.49,11.5,0.50931282
2022年03月份,2497688.34,9.7,2.30185114,645063.8,4.7,3.7727209,95141.92,10.0,-2.14525284
2022年02月份,2441488.9,9.2,0.4305258,621612.11,4.7,1.2629538,97227.7,5.8,-8.4388976
2022年01月份,2431022.72,9.8,2.01952112,613859.35,-1.9,-5.18717197,106188.87,18.5,16.91571112
2021年12月份,2382899.56,9.0,1.14119925,647443.35,3.5,1.56260245,90825.15,7.7,3.87922649
2021年11月份,2356012.76,8.5,0.84978237,637482.04,3.0,1.82083462,87433.41,7.2,1.56545018
2021年10月份,2336160.48,8.7,-0.28466516,626082.12,2.8,0.22996077,86085.78,6.2,-0.89943153
2021年09月份,2342829.7,8.3,1.32173365,624645.68,3.7,-0.32122909,86867.09,5.5,2.1254491
2021年08月份,2312267.68,8.2,0.43932164,626658.69,4.2,1.01418023,85059.2,6.3,0.4032694
2021年07月份,2302153.82,8.3,-0.67454563,620367.05,4.9,-2.68437083,84717.56,6.1,0.43936374
