报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息、手续费及佣金的现金,收到其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付利息、手续费及佣金的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,发行债券收到的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,待摊费用减少,预提费用增加,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,间接法-现金及现金等价物净增加额
2023-06-30,,777.37亿,442.41亿,387.09亿,-85.64亿,3000.63亿,,,1417.24亿,False,False,1308.02亿,248.72亿,3431.93亿,1491.76亿,False,379.52亿,136.32亿,212.07亿,148.00亿,2989.52亿,442.41亿,,2107.27亿,190.69亿,9500.00万,2298.91亿,1902.33亿,9.49亿,False,1911.82亿,387.09亿,,4728.27亿,4728.27亿,4694.73亿,105.09亿,False,4813.91亿,-85.64亿,33.51亿,777.37亿,2223.26亿,3000.63亿,,,253.87亿,3900.00万,22.27亿,3.69亿,3.37亿,-800.00万,False,-119.46亿,False,-180.18亿,8.56亿,False,False,-1429.16亿,1472.09亿,False,False,False,442.41亿,,,35.02亿,41.62亿,2965.61亿,2181.64亿,777.37亿
2023-03-31,,673.09亿,1091.56亿,70.25亿,-480.93亿,2896.35亿,,,2078.38亿,False,False,661.83亿,261.39亿,3577.21亿,1285.55亿,False,194.66亿,92.46亿,46.52亿,139.67亿,2485.65亿,1091.56亿,,917.56亿,82.84亿,1.30亿,1001.70亿,927.51亿,3.94亿,False,931.45亿,70.25亿,,1634.57亿,1634.57亿,2081.21亿,27.72亿,False,2115.50亿,-480.93亿,-7.79亿,673.09亿,2223.26亿,2896.35亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2022-12-31,,-28.96亿,1345.72亿,178.58亿,-1614.05亿,2223.26亿,,,4111.57亿,433.17亿,False,2488.91亿,536.76亿,7717.51亿,3329.03亿,214.05亿,743.73亿,217.41亿,277.13亿,240.09亿,6371.79亿,1345.72亿,,4919.14亿,384.27亿,2.91亿,5306.32亿,5092.31亿,35.43亿,False,5127.74亿,178.58亿,,6791.89亿,6791.89亿,8259.06亿,118.87亿,False,8405.94亿,-1614.05亿,60.79亿,-28.96亿,2252.22亿,2223.26亿,,,455.16亿,-3500.00万,46.07亿,7.32亿,7.11亿,-1.01亿,False,35.79亿,False,-342.11亿,-46.48亿,False,False,-4630.15亿,4903.77亿,False,False,False,1345.72亿,,,41.62亿,36.85亿,2181.64亿,2215.37亿,-28.96亿
2022-09-30,,-335.05亿,925.18亿,136.14亿,-1453.83亿,1917.17亿,,,2098.17亿,145.83亿,False,1855.18亿,860.11亿,5484.76亿,2845.93亿,152.30亿,518.36亿,173.77亿,212.30亿,198.31亿,4559.58亿,925.18亿,,3855.44亿,287.19亿,2.24亿,4144.87亿,3984.38亿,24.35亿,False,4008.73亿,136.14亿,,5187.55亿,5187.55亿,6522.11亿,98.41亿,False,6641.38亿,-1453.83亿,57.46亿,-335.05亿,2252.22亿,1917.17亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2022-06-30,,-175.17亿,1504.83亿,-106.53亿,-1604.25亿,2077.05亿,,,2981.56亿,False,78.39亿,1238.15亿,641.29亿,5231.44亿,1952.67亿,137.79亿,342.88亿,130.88亿,163.78亿,136.90亿,3726.61亿,1504.83亿,,2676.58亿,202.17亿,1.04亿,2879.79亿,2980.16亿,6.16亿,False,2986.32亿,-106.53亿,,3816.13亿,3816.13亿,5354.51亿,52.88亿,False,5420.38亿,-1604.25亿,30.78亿,-175.17亿,2252.22亿,2077.05亿,,,220.88亿,-4900.00万,22.52亿,3.21亿,3.49亿,-5500.00万,False,-24.25亿,False,-179.81亿,-10.88亿,False,False,-2114.20亿,3089.23亿,False,False,False,1504.83亿,,,35.96亿,36.85亿,2041.09亿,2215.37亿,-175.17亿
2022-03-31,,797.40亿,1471.27亿,-49.57亿,-619.53亿,3049.62亿,,,1868.20亿,597.01亿,False,623.57亿,471.46亿,3597.15亿,1070.36亿,101.08亿,166.14亿,91.11亿,37.63亿,50.25亿,2125.88亿,1471.27亿,,1311.68亿,88.30亿,7900.00万,1400.77亿,1448.30亿,2.04亿,False,1450.34亿,-49.57亿,,2234.44亿,2234.44亿,2817.19亿,30.30亿,False,2853.97亿,-619.53亿,-4.77亿,797.40亿,2252.22亿,3049.62亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2021-12-31,,-537.28亿,-1927.33亿,-404.55亿,1810.64亿,2252.22亿,,,1629.32亿,234.52亿,False,2307.19亿,433.05亿,4860.48亿,4473.89亿,False,704.44亿,205.60亿,234.11亿,392.33亿,6787.81亿,-1927.33亿,,4831.60亿,360.17亿,5.59亿,5197.36亿,5535.77亿,66.14亿,False,5601.91亿,-404.55亿,,1.11万亿,1.11万亿,9226.35亿,63.42亿,False,9317.35亿,1810.64亿,-16.04亿,-537.28亿,2789.50亿,2252.22亿,,,363.36亿,11.98亿,42.38亿,9.59亿,7.04亿,4200.00万,False,-34.23亿,False,-329.89亿,-11.43亿,False,False,-5009.83亿,2077.08亿,False,False,False,-1927.33亿,,,36.85亿,38.05亿,2215.37亿,2751.45亿,-537.28亿
2021-09-30,,-41.62亿,-1258.08亿,-298.39亿,1526.27亿,2747.88亿,,,1263.14亿,487.38亿,False,1719.51亿,386.79亿,3957.20亿,3412.94亿,False,508.50亿,163.50亿,181.47亿,289.77亿,5215.28亿,-1258.08亿,,3575.83亿,250.73亿,5.33亿,3831.89亿,4070.95亿,59.33亿,False,4130.28亿,-298.39亿,,7891.20亿,7891.20亿,6256.91亿,88.03亿,False,6364.93亿,1526.27亿,-11.42亿,-41.62亿,2789.50亿,2747.88亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2021-06-30,,191.67亿,-1159.72亿,-125.06亿,1486.99亿,2981.17亿,,,1028.91亿,False,False,1146.93亿,375.10亿,2562.67亿,2276.58亿,135.02亿,329.84亿,123.57亿,134.95亿,212.16亿,3722.39亿,-1159.72亿,,2203.87亿,177.13亿,3.31亿,2384.31亿,2466.27亿,43.10亿,False,2509.37亿,-125.06亿,,5227.51亿,5227.51亿,3642.15亿,85.06亿,False,3740.52亿,1486.99亿,-10.54亿,191.67亿,2789.50亿,2981.17亿,,,175.83亿,12.73亿,21.04亿,4.99亿,3.39亿,1800.00万,False,-7.37亿,False,-163.68亿,-4.62亿,False,False,-2425.94亿,752.67亿,False,False,False,-1159.72亿,,,37.75亿,38.05亿,2943.42亿,2751.45亿,191.67亿
2021-03-31,,44.41亿,-115.53亿,-135.12亿,294.89亿,2833.91亿,,,754.98亿,False,False,576.14亿,336.18亿,2009.92亿,1212.22亿,151.04亿,174.78亿,86.17亿,27.05亿,126.97亿,2125.45亿,-115.53亿,,891.25亿,78.07亿,1500.00万,969.47亿,1069.09亿,35.50亿,False,1104.59亿,-135.12亿,,2576.25亿,2576.25亿,2252.68亿,21.12亿,9500.00万,2281.36亿,294.89亿,1700.00万,44.41亿,2789.50亿,2833.91亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
