代码,名称,送转股份-送转总比例,送转股份-送转比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
002728,特一药业,4.0,,4.0,5.0,0.035260930889,0.77,5.513442961319,2.692730244856,1.419024595272,42.070684298045,364738910,2024-03-08,2024-04-23,2024-04-24,实施分配,2024-04-16
603697,有友食品,,,,2.5,0.039808917197,0.27,4.290778937445,0.895862546752,2.106596805209,-24.377420642994,427692098,2024-03-16,2024-04-19,2024-04-22,实施分配,2024-04-16
600309,万华化学,,,,16.25,0.018775274408,5.36,28.236738633664,0.578516806197,25.806280496505,3.585948753158,3139746626,2024-03-19,2024-04-19,2024-04-22,实施分配,2024-04-16
605028,世茂能源,,,,6.0,0.036855036855,1.18,8.122215021438,3.385051018188,3.233447603,-8.696030748034,160000000,2024-03-20,2024-04-22,2024-04-23,实施分配,2024-04-17
300059,东方财富,,,,0.4,0.003231017771,0.52,4.538240714828,1.475168200033,1.993796340536,-3.713419056127,15785542475,2024-03-15,2024-04-22,2024-04-23,实施分配,2024-04-17
688582,芯动联科,,,,1.28,0.004170739655,0.44,5.283952753556,3.384604932152,0.797155088548,41.844952225605,400010000,2024-03-05,2024-04-22,2024-04-23,实施分配,2024-04-17
002519,银河电子,,,,1.0,0.019083969466,0.17,2.818548071903,1.607910755854,0.175908512561,-4.532854822018,1126430898,2024-03-23,2024-04-22,2024-04-23,实施分配,2024-04-17
003006,百亚股份,,,,5.5,0.026029342168,0.56,3.229946641987,0.620204386899,1.356696207021,27.20955789626,429401300,2024-03-23,2024-04-23,2024-04-24,实施分配,2024-04-17
002879,长缆科技,,,,2.5,0.018910741301,0.38,9.160683174886,3.820333828429,4.433195932642,142.789803133029,193107640,2024-03-15,2024-04-22,2024-04-23,实施分配,2024-04-17
002911,佛燃能源,2.999149,,2.999149,5.998299,0.042122886236,0.83,4.302124853165,0.364239809034,2.17690825272,28.874056425194,988213100,2024-03-27,2024-04-25,2024-04-26,实施分配,2024-04-18
000895,双汇发展,,,,7.0,0.025547445255,1.4584,6.015822049424,2.327109475855,2.117031088889,-10.10772914189,3464661213,2024-03-27,2024-04-25,2024-04-26,实施分配,2024-04-18
301069,凯盛新材,,,,1.5,0.010266940452,0.3756,3.582178025033,0.943545160707,1.315037562429,-32.63390577535,420640000,2024-03-15,2024-04-24,2024-04-25,实施分配,2024-04-18
001358,兴欣新材,4.0,,4.0,12.0,0.032258064516,2.15,17.219710804659,10.06056764625,5.655354298523,-32.225909287434,88000000,2024-03-26,2024-04-23,2024-04-24,实施分配,2024-04-18
601608,中信重工,,,,0.285,0.006506849315,0.088,1.847458386474,0.48685761169,0.155071106732,163.505483813004,4339419293,2024-03-16,2024-04-23,2024-04-24,实施分配,2024-04-18
003022,联泓新科,,,,0.8,0.005053695515,0.33,5.332208891812,2.038174506143,1.969678750337,-48.499385150397,1335568000,2024-03-27,2024-04-24,2024-04-25,实施分配,2024-04-18
920433,大唐药业,,,,0.8,0.016736401674,0.03,1.89,0.50528246569,0.275370217438,-46.711491655375,258777181,2024-03-20,2024-04-25,2024-04-26,实施分配,2024-04-18
300554,三超新材,,,,0.8,0.003836930456,0.2423,7.096614181153,4.652098726384,1.285489152645,109.771281463987,114211577,2024-03-19,2024-04-24,2024-04-25,实施分配,2024-04-18
920402,硅烷科技,3.0,,3.0,1.8481,0.013362979031,0.95,5.07,2.064151262458,1.803866223103,62.975517688637,324661590,2024-03-20,2024-04-25,2024-04-26,实施分配,2024-04-18
300453,三鑫医疗,,,,1.5,0.020297699594,0.3987,2.398836270976,0.099490309409,1.102168071864,11.915228323575,519596545,2024-03-23,2024-04-24,2024-04-25,实施分配,2024-04-18
920703,广厦环能,4.0,,4.0,7.0,0.024973242954,2.06,12.46,5.590571502612,5.336254181112,-4.282372138586,76900000,2024-03-11,2024-04-25,2024-04-26,实施分配,2024-04-18
603200,上海洗霸,,,,0.7,0.003315963998,0.22,5.274913304977,1.835072658606,2.111638464768,-7.798600731571,175395993,2024-03-19,2024-04-24,2024-04-25,实施分配,2024-04-18
920553,凯腾精工,,,,1.0,0.023148148148,0.16,2.39,0.399826778758,0.883932425924,23.91540231213,143690460,2024-03-25,2024-04-26,2024-04-29,实施分配,2024-04-18
300562,乐心医疗,,,,1.51075,0.017032130778,0.1597,4.797592909127,2.392826415916,1.080274962026,206.207087556828,216901188,2024-03-26,2024-04-24,2024-04-25,实施分配,2024-04-18
300997,欢乐家,,,,3.4,0.021978021978,0.6244,3.315061565207,0.698744260492,1.533246642436,36.851140317462,447500000,2024-03-26,2024-04-24,2024-04-25,实施分配,2024-04-18
600038,中直股份,,,,2.0,0.004587155963,0.751,16.975524225116,7.500984876661,7.386200888586,14.113866033974,731605986,2024-03-16,2024-04-24,2024-04-25,实施分配,2024-04-19
603677,奇精机械,,,,2.0,0.015987210232,0.3599,5.622435050211,2.321686142362,1.872110337643,8.029317845425,192147573,2024-03-21,2024-04-24,2024-04-25,实施分配,2024-04-19
600955,维远股份,,,,0.55,0.003405572755,0.18,15.698384577127,7.984754921527,6.109490812436,-83.774313115104,550000000,2024-03-19,2024-04-24,2024-04-25,实施分配,2024-04-19
002240,盛新锂能,,,,2.4,0.01378518093,0.77,14.068480371571,6.187296234501,6.645307372767,-87.352689352534,921265872,2024-03-28,2024-04-25,2024-04-26,实施分配,2024-04-19
001309,德明利,3.0,,3.0,1.3,0.001064701065,0.22,9.902855042379,6.624656604458,2.268161263555,-62.965188205952,113217000,2024-02-27,2024-04-25,2024-04-26,实施分配,2024-04-19
603866,桃李面包,,,,1.8,0.029850746269,0.3588,3.180003778776,0.897339545897,0.979173440609,-10.290189647188,1599719155,2024-03-21,2024-04-24,2024-04-25,实施分配,2024-04-19
300224,正海磁材,,,,2.0,0.019417475728,0.55,4.350840069758,1.581706416929,1.452636248258,10.739873222895,820245567,2024-03-28,2024-04-25,2024-04-26,实施分配,2024-04-19
600828,茂业商业,,,,0.27,0.009854014599,0.0293,4.036491346824,-0.013526492634,1.409783611659,-85.151733962196,1731982546,2024-03-21,2024-04-24,2024-04-25,实施分配,2024-04-19
002283,天润工业,,,,2.3,0.044315992293,0.35,5.286489811485,1.285402669287,2.741839645298,91.962138685626,1139457178,2024-03-20,2024-04-25,2024-04-26,实施分配,2024-04-19
002299,圣农发展,,,,3.0,0.019243104554,0.5368,8.290269184334,3.421254906096,3.281178885759,61.664286028894,1243400295,2024-03-28,2024-04-25,2024-04-26,实施分配,2024-04-19
