统计时间,统计对象,货运量,货运量同比增长,货物周转量,公里货物周转量同比增长,客运量,客运量同比增长,旅客周转量,公里旅客周转量同比增长,沿海主要港口货物吞吐量,沿海主要港口货物吞吐量同比增长,其中:外贸货物吞吐量,其中:外贸货物吞吐量同比增长,民航总周转量,公里民航总周转
2025.7,港澳地区航线,1.6,8.0,0.2,2.9,0.01,-2.6,12.6,-0.3,,,,,1.3,0.6
2025.7,国内航线,47.9,10.8,7.3,9.6,0.65,2.7,1016.3,3.8,,,,,94.5,4.4
2025.7,民航,86.69,15.3,35.53,16.2,0.72,3.9,1309.24,6.1,,,,,148.0,8.6
2025.7,水运,8.19,3.4,12276.86,1.7,0.28,2.1,6.37,9.1,,,,,,
2025.7,公路,36.99,3.3,6742.8,3.4,9.5,-4.4,441.13,-2.2,,,,,,
2025.11,公路,,,,,,,,,,,,,,
2025.11,铁路,,,,,,,,,,,,,,
2025.7,铁路,4.52,4.5,3042.17,6.5,4.55,6.6,1770.69,5.7,,,,,,
2025.7,合计,49.7,3.4,22097.36,2.9,15.05,-0.8,3527.42,4.8,,,,,,
2025.6,国际航线,36.8,23.2,27.2,20.2,0.06,19.3,263.6,19.4,,,,,50.4,20.0
2025.6,港澳地区航线,1.5,1.5,0.2,-1.9,0.01,1.9,12.4,4.4,,,,,1.3,3.8
2025.6,国内航线,51.7,15.3,7.9,14.8,0.55,2.8,846.8,3.8,,,,,82.7,4.9
2025.6,民航,88.5,18.4,35.1,19.0,0.61,4.3,1097.06,5.8,,,,,133.1,10.1
2025.6,水运,8.58,3.1,12341.55,8.6,0.19,-6.9,4.2,-0.4,,,,,,
2025.6,公路,36.51,2.9,6782.23,3.3,9.48,-3.7,434.0,0.1,,,,,,
2025.6,铁路,4.38,2.3,2942.78,-0.1,3.73,3.6,1296.69,2.2,,,,,,
2025.6,合计,49.48,2.9,22101.54,5.7,14.01,-1.6,2831.95,3.2,,,,,,
2025.5,国际航线,37.6,26.3,27.3,22.1,0.06,25.7,264.8,27.5,,,,,50.8,24.6
2025.5,港澳地区航线,1.5,6.5,0.2,3.5,0.01,2.9,12.0,4.4,,,,,1.2,4.3
2025.5,国内航线,48.1,10.0,7.4,10.5,0.57,6.5,871.7,7.4,,,,,84.5,7.6
2025.5,民航,85.7,16.6,34.67,19.5,0.64,8.2,1136.48,11.5,,,,,135.2,13.4
2025.5,水运,8.7,3.1,12550.92,6.5,0.26,2.1,5.46,9.2,,,,,,
2025.5,公路,36.81,1.7,6745.95,1.8,9.85,-2.5,444.73,-0.1,,,,,,
2025.5,铁路,4.4,0.7,3080.61,2.2,4.06,12.6,1373.51,7.6,,,,,,
2025.5,合计,49.91,1.8,22412.15,4.4,14.81,1.8,2960.19,7.8,,,,,,
2025.4,国际航线,35.3,26.3,26.0,24.1,0.06,25.9,264.4,28.3,,,,,49.3,26.0
2025.4,港澳地区航线,1.5,10.2,0.2,5.2,0.01,2.0,11.8,3.1,,,,,1.2,3.2
2025.4,国内航线,44.7,10.2,6.8,8.6,0.55,7.2,826.8,7.0,,,,,80.0,7.2
2025.4,民航,79.9,16.8,32.76,20.5,0.61,8.9,1091.19,11.5,,,,,129.3,13.7
2025.4,水运,8.59,4.9,11981.07,6.3,0.22,-3.4,4.69,-1.5,,,,,,
2025.4,公路,37.46,4.1,6886.22,2.8,9.7,-2.4,439.01,1.6,,,,,,
2025.4,铁路,4.28,4.9,3018.66,8.4,3.82,6.0,1306.76,1.8,,,,,,
2025.4,合计,50.33,4.3,21918.72,5.5,14.34,0.2,2841.64,5.3,,,,,,
2025.3,国际航线,36.4,26.9,27.2,26.3,0.06,25.3,249.9,26.8,,,,,49.4,26.6
2025.3,港澳地区航线,1.5,12.9,0.2,9.4,0.01,0.9,10.9,1.5,,,,,1.1,3.2
2025.3,国内航线,45.2,7.3,6.9,5.8,0.53,1.5,816.4,1.7,,,,,79.5,2.1
2025.3,民航,81.65,15.3,34.05,21.5,0.59,3.5,1066.29,6.6,,,,,128.8,10.3
2025.3,水运,8.56,6.8,12443.5,6.4,0.18,-0.9,3.49,-7.3,,,,,,
2025.7,水运,,,,,,,,,,,,,,
2025.7,公路,,,,,,,,,,,,,,
2025.3,公路,37.28,4.9,6859.36,4.6,9.66,-0.5,421.6,3.2,,,,,,
