symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
SI2308,20221223,18180.0,18220.0,17060.0,17060.0,30354,7629,264507.325,17425.0,18540.0,SI
SI2309,20221223,18295.0,18295.0,17095.0,17095.0,830,862,7186.37,17315.0,18580.0,SI
SI2310,20221223,17790.0,17900.0,17040.0,17040.0,167,246,1444.97,17305.0,18520.0,SI
SI2311,20221223,17615.0,17685.0,16790.0,16805.0,332,714,2847.85,17155.0,18240.0,SI
SI2312,20221223,17930.0,17930.0,17280.0,17280.0,193,503,1687.5475,17485.0,18780.0,SI
