symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
IC2605,20260421,8226.0,8247.8,8145.6,8216.0,22980,46118,3767897.78,8215.4,8240.0,IC
IC2606,20260421,8137.0,8150.0,8055.0,8124.4,68719,150214,11145240.78,8125.0,8155.8,IC
IC2609,20260421,8001.8,8002.0,7907.8,7973.6,19119,79661,3044468.684,7975.8,8008.8,IC
IC2612,20260421,7840.0,7867.6,7781.0,7832.6,6816,6764,1067268.052,7835.0,7873.2,IC
IF2605,20260421,4726.0,4751.8,4696.6,4742.8,17811,35166,2524306.542,4739.8,4728.2,IF
IF2606,20260421,4691.0,4718.0,4660.0,4707.8,48681,138220,6849247.218,4705.0,4694.0,IF
IF2609,20260421,4614.0,4639.6,4584.6,4628.8,10286,68702,1423555.47,4626.8,4617.2,IF
IF2612,20260421,4578.0,4595.8,4543.8,4586.0,4136,5496,567268.152,4581.2,4577.2,IF
IH2605,20260421,2936.0,2936.0,2914.4,2928.6,7530,13778,660685.812,2927.8,2927.8,IH
IH2606,20260421,2914.4,2923.6,2902.2,2916.6,22752,55951,1987603.578,2915.8,2914.4,IH
IH2609,20260421,2872.6,2884.4,2866.4,2880.4,5206,29615,449080.932,2878.6,2877.0,IH
IH2612,20260421,2867.6,2875.8,2856.8,2868.4,2053,2036,176502.39,2867.0,2865.2,IH
IM2605,20260421,8260.0,8297.6,8205.0,8280.2,30651,62691,5060174.268,8277.8,8283.4,IM
IM2606,20260421,8140.0,8185.8,8092.0,8170.0,98498,193709,16037470.964,8164.0,8171.2,IM
IM2609,20260421,7933.2,7967.6,7883.2,7950.0,23994,106406,3803470.236,7948.6,7954.2,IM
IM2612,20260421,7740.0,7775.0,7708.0,7756.0,12308,13134,1904523.696,7751.6,7754.8,IM
T2606,20260421,108.74,108.8,108.72,108.755,83021,347520,9029483.235,108.74,108.705,T
T2609,20260421,108.65,108.69,108.625,108.645,7458,38999,810405.08,108.645,108.595,T
T2612,20260421,108.515,108.59,108.485,108.53,238,1074,25836.15,108.535,108.505,T
